FR,GLOSS_LSF,GENERATED,TENSE,GLOSS_LSFB,EN,NUM,SECOND_FR,SECOND_EN
Le chat fit la connaissance d'une souris.,,,,,"A cat had made the acquaintance of a mouse,",1,,
Il l'assura si bien que ses sentiments envers elle étaient amicaux et chaleureux,,,,,and had said so much to her about the great love and friendship,2,,
"que la souris se laissa convaincre et finit par accepter de vivre avec le chat, sous le même toit.",,,,,"that he felt for her, that at last the mouse agreed that they should live and keep house together.",3,,
"Il nous faudra faire nos réserves de nourriture pour l'hiver,",,,,,"But we must make preparations for winter,",4,,
"dit le chat,",,,,,"said the cat,",5,,
sinon nous risquons de mourir de faim.,,,,,"else we shall suffer from hunger,",6,,
"Toi, ma petite souris,",,,,,"and you, little mouse,",7,,
"tu ne peux pas aller partout,",,,,,"cannot venture out everywhere,",8,,
tu pourrais te faire prendre dans un piège.,,,,,or in the end you will be caught in a trap.,9,,
C'était une bonne idée.,,,,,"This good advice was followed,",10,,
Ils achetèrent alors un petit pot de saindoux mais ne savaient pas où le cacher.,,,,,"and they bought a pot of fat, but they did not know where to store it.",11,,
"Ils réfléchirent longtemps et, finalement,",,,,,"Finally, after much consideration,",12,,
le chat décida: Sais-tu ce que nous allons faire? Nous le cacherons dans l'église; on ne peut imaginer meilleure cachette!,,,,,"the cat said, I know of no place where it will be better stored up than in the church.",13,,
Personne n'oserait emporter quelque chose d'une église.,,,,,No one dares take anything away from there.,14,,
Nous poserons le pot sous l'autel et nous ne l'entamerons qu'en cas de nécessité absolue.,,,,,"We will put it beneath the altar, and not touch it until we are need it.",15,,
"Ils portèrent donc le pot en ce lieu sûr,",,,,,"So the pot was stored safely away,",16,,
mais très vite le chat eut envie de saindoux.,,,,,"but it was not long before the cat took a great longing for it,",17,,
Il dit à la souris:,,,,,"and said to the mouse,",18,,
"Je voulais te dire, ma petite souris,",,,,,"I wanted to tell you, little mouse,",19,,
ma cousine m'a demandé d'être le parrain de leur petit dernier.,,,,,"that my cousin has brought a little son into the world, and she has asked me to be his godfather.",20,,
"Ils ont eu un petit, blanc avec des taches marron et je dois le tenir pendant le baptême.",,,,,"He is white with brown spots, and I am to hold him over the baptismal font.",21,,
"Laisse-moi y aller, et occupe-toi aujourd'hui de la maison toute seule, veux-tu?",,,,,"Let me go out today, and you look after the house by yourself.",22,,
"Bien sûr, sans problème, acquiesça la souris,",,,,,"Yes, yes, answered the mouse.",23,,
"vas-y, si tu veux, et pense à moi quand tu mangeras des bonnes choses.",,,,,"By all means go, and if you get anything good to eat, think of me.",24,,
"J'aurais bien voulu, moi aussi, goûter de ce bon vin doux qu'on donne aux jeunes mamans.",,,,,I would like to drink a drop of sweet red christening wine myself.,25,,
Mais tout cela était faux;,,,,,"All this, however, was untrue.",26,,
le chat n'avait pas de cousine et personne ne lui avait demandé d'être parrain.,,,,,"The cat had no cousin, and had not been asked to be godfather.",27,,
"Il s'empressa d'aller à l'église,",,,,,"He went straight to the church,",28,,
rampa jusqu'au petit pot de saindoux et lécha jusqu'à avoir mangé toute la graisse du dessus.,,,,,"crept up to the pot of fat, began to lick at it, and licked off the top of the fat.",29,,
"Ensuite, il partit se promener sur les toits pour voir ce qui se passait dans le monde,",,,,,"Then he went for a stroll on the roofs of the town,",30,,
et puis surtout pour trouver encore quelque chose de bon à manger.,,,,,"looked out for opportunities,",31,,
Puis il s'allongea au soleil.,,,,,"and then stretched out in the sun,",32,,
"Et chaque fois qu'il se souvenait du petit pot de saindoux, il se léchait les babines et se caressait la moustache.",,,,,licking his whiskers whenever he thought of the pot of fat.,33,,
Il ne rentra à la maison que dans la soirée.,,,,,He did not return home until it was evening.,34,,
Te voilà enfin de retour! l'accueillit la petite souris.,,,,,"Well, here you are again, said the mouse.",35,,
T'es-tu bien amusé? Vous avez dù bien rire.,,,,,You must have had a happy day.,36,,
"Oui, ce n'était pas mal, répondit le chat.",,,,,"Everything went well, answered the cat.",37,,
Et quel nom avez-vous donné à ce chaton?,,,,,What name did they give the child?,38,,
demanda la souris.,,,,,asked the mouse.,39,,
"Sanledessu, répondit sèchement le chat.",,,,,"Top-Off, said the cat quite coolly.",40,,
"Sanledessu? chicota la souris, quel drôle de nom! Assez rare, dirais-je.",,,,,Top-Off? cried the mouse. That is a very odd and uncommon name.,41,,
Est-il courant dans votre famille?,,,,,Is it a usual one in your family?,42,,
"Tu peux dire ce que tu veux, rétorqua le chat,",,,,,What does that matter? said the cat.,43,,
"mais ce n'est pas pire que Volemiettes, le nom de tes filleuls.",,,,,"It is no worse than Crumb-Thief, as your godchildren are called.",44,,
"Peu de temps après,",,,,,Before long,45,,
le chat se sentit de nouveau l'eau venir à la bouche.,,,,,the cat was seized by another fit of longing.,46,,
"Sois gentille, supplia-t-il,",,,,,"He said to the mouse, You must do me a favor,",47,,
occupe-toi encore une fois de la maison toute seule.,,,,,and once more manage the house alone for a day.,48,,
on m'a encore demandé d'être le parrain.,,,,,"I have been asked again to be godfather,",49,,
"Le chaton a une collerette blanche au cou,",,,,,"and since the child has a white ring around its neck, ",50,,
je ne peux pas refuser.,,,,,I cannot refuse.,51,,
La gentille souris fut d'accord.,,,,,The good mouse consented.,52,,
"Et le chat se glissa à travers le mur de la ville, s'introduisit dans l'église et vida la moitié du pot de saindoux.",,,,,"However, the cat crept behind the town wall to the church, and devoured half the pot of fat.",53,,
"Rien à faire, se dit-il, c'est bien meilleur quand on mange tout seul.",,,,,"Nothing tastes as good as that which one eats by oneself, he said,",54,,
Et il se félicita de son exploit.,,,,,and was quite satisfied with his day's work.,55,,
"Lorsqu'il arriva à la maison, la petite souris demanda:",,,,,"When he arrived home the mouse asked,",56,,
Comment avez-vous baptisé le bébé?,,,,,What name was this child christened with?,57,,
"Miparti, répondit le chat.",,,,,"Half-Gone, answered the cat.",58,,
Miparti? Pas possible! je n'ai jamais entendu un nom pareil.,,,,,Half-Gone? What are you saying? I have never heard that name in all my life.,59,,
Je parie qu'il n'est même pas dans le calendrier.,,,,,I'll wager it is not in the almanac.,60,,
Le chat ne tarda pas à se sentir de nouveau l'eau à la bouche en pensant au pot de saindoux.,,,,,The cat's mouth soon again began to water for the delicious goods.,61,,
"Jamais deux sans trois, dit-il à la souris.",,,,,"All good things come in threes, he said to the mouse. ",62,,
On me demande de nouveau d'être le parrain.,,,,,I have been asked to be godfather again.,63,,
"L'enfant est tout noir,",,,,,"The child is totally black,",64,,
"seules les pattes sont blanches, elles mis à part, il n'a pas un seul poil blanc.",,,,,only it has white paws. Otherwise it has not a single white hair on its whole body.,65,,
Un enfant comme ça ne nait qu'une fois par siècle! ,,,,,This only happens once every few years. ,66,,
"Tu me laisseras y aller, n'est-ce pas?",,,,,"You will let me go, won't you?",67,,
"Sanledessu! Miparti! répondit la souris, ce sont des noms si étranges. Cela ne s'est jamais vu.",,,,,"Top-Off. Half-Gone, answered the mouse. They are such odd names,",68,,
Ils me trottent dans la tête sans arrêt.,,,,,that they make me stop and think.,69,,
"C'est parce que tu restes tout le temps ici,",,,,,"Here you sit at home, said the cat,",70,,
"avec ta vilaine robe gris foncé à longue natte,",,,,,with your dark gray fur coat and long braid of hair capturing fantasies.,71,,
"tu passes toutes tes journées enfermée ici,",,,,,That is because you do not go out in the daytime.,72,,
"Le chat parti, la petite souris fit le ménage dans toute la maison.",,,,,"During the cat's absence the mouse cleaned the house, and put it in order,",73,,
"Pendant ce temps-là, le chat gourmand vida entièrement le pot de saindoux.",,,,,but the greedy cat devoured all the rest of the fat.,74,,
"Et voilà, pensa-t-il, maintenant que j'ai tout mangé, je ne serai plus tenté.",,,,,"One has peace only after everything is eaten up, he said to himself.",75,,
"Si repu qu'il s'essoufflait en marchant,",,,,,"Well filled and fat, ",76,,
"il ne rentra à la maison que la nuit, mais serein.",,,,,he did not return home until nighttime.,77,,
La petite souris lui demanda aussitôt le nom du troisième chaton.,,,,,The mouse immediately asked what name had been given to the third child.,78,,
"Je suis sûr que tu n'aimeras pas, répondit le chat.",,,,,"You will not like it either, said the cat. ",79,,
Il s'appelle Toufini.,,,,,His name is All-Gone.,80,,
Toufini! chicota la souris.,,,,,"All-Gone!, cried the mouse.",81,,
"Cela parait suspect, ce nom ne me dit rien qui vaille.",,,,,That is the most worrisome name of all.,82,,
Je ne l'ai jamais vu imprimé quelque part.,,,,,I have never seen it in print.,83,,
"Toufini! Qu'est ce que cela veut dire, en fait?",,,,,All-Gone! What can that mean?,84,,
"Elle hocha la tête, se roula en boule et s'endormit.",,,,,"Then she shook her head, curled herself up, and lay down to sleep.",85,,
"Depuis ce jour, plus personne n'invita le chat à un baptême.",,,,,"From this time forth no one invited the cat to be godfather,",86,,
"L'hiver arriva, et dehors, il n'y avait rien à manger.",,,,,"but when winter had come and there was no longer anything to be found outside,",87,,
La petite souris se rappela qu'ils avaient quelque chose en réserve.,,,,,"the mouse thought of their stored food,",88,,
"Viens, mon chat,",,,,,"and said, Come cat,",89,,
allons chercher notre pot de saindoux que nous avons caché pour les temps durs.,,,,,we will go to our pot of fat which we have stored up for ourselves.,90,,
On va se régaler.,,,,,It will taste good now.,91,,
"Tu te régaleras, tu te régaleras, marmonna le chat,",,,,,"Yes, answered the cat.",92,,
cela sera comme si tu sortais ta petite langue fine par la fenêtre.,,,,,You will enjoy it as much as you would enjoy sticking that dainty tongue of yours out of the window.,93,,
"Ils s'en allèrent et lorsqu'ils arrivèrent dans l'église,",,,,,"They set out on their way, but when they arrived,",94,,
le pot était toujours à sa place mais vide.,,,,,"the pot of fat, to be sure, was still in its place, but it was empty.",95,,
"Ça y est, dit la souris, je comprends tout, j'y vois clair à présent.",,,,,"Alas, said the mouse, now I see what has happened. Now it comes to light.",96,,
Tu parles d'un ami! ,,,,,You are a true friend.,97,,
Tu as tout mangé quand tu allais faire le parrain:,,,,,You ate everything when you were serving as a godfather.,98,,
"d'abord Sanledessu, puis Miparti et pour finir",,,,,"First top off, then half done, then...",99,,
"Tais-toi, coupa le chat, encore un mot et je te mange!",,,,,"Be quiet! cried the cat. One more word, and I will eat you too.",100,,
"Mais la petite souris avait le Toufini sur la langue,",,,,,"All gone, was already on the poor mouse's lips.",101,,
"et à peine l'eut-elle prononcé que le chat lui sauta dessus,",,,,,"She had scarcely spoken it before the cat sprang on her,",102,,
l'attrapa et la dévora.,,,,,"seized her, and swallowed her down.",103,,
"Eh oui, ainsi va le monde.",,,,,"You see, that is the way of the world.",104,,
