FR,GLOSS_LSF,GENERATED,TENSE,GLOSS_LSFB,EN,NUM,SECOND_FR,SECOND_EN
"Près de l'entrée d'une grande forêt vivait un bûcheron avec sa femme et son seul enfant,",,,,,"Hard by a great forest dwelt a wood-cutter with his wife,",1,,
qui était une jeune fille âgée de trois ans.,,,,,"who had an only child, a little girl three years old.",2,,
"Mais ils étaient si pauvres qu'ils ne savaient que lui donner à manger, car ils n'avaient que leur pain de chaque jour.",,,,,"They were so poor, however, that they no longer had daily bread, and did not know how to get food for her.",3,,
"Un matin le bûcheron s'en alla tout soucieux travailler dans la forêt,",,,,,"One morning the wood-cutter went out sorrowfully to his work in the forest,",4,,
"et, comme il fendait du bois,",,,,,"and while he was cutting wood,",5,,
"une grande et belle femme se présenta tout à coup devant lui: elle portait sur la tète une couronne d'étoiles brillantes, et, lui adressant la parole, elle lui dit:",,,,,"suddenly there stood before him a tall and beautiful woman with a crown of shining stars on her head, who said to him:",6,,
"Je suis la Vierge Marie, mère du petit enfant Jésus;",,,,,"I am the Virgin Mary, mother of the child Jesus.",7,,
"tu es pauvre et misérable, amène-moi ton enfant;",,,,,"Thou art poor and needy,",8,,
"je l'emporterai avec moi, je serai sa mère et j'en prendrai soin.",,,,,"bring thy child to me, I will take her with me and be her mother, and care for her.",9,,
"Le bûcheron obéit; il alla chercher son enfant et le remit à la Vierge Marie,",,,,,"The wood-cutter obeyed, brought his child, and gave her to the Virgin Mary,",10,,
qui l'emporta là-haut dans le ciel.,,,,,who took her up to heaven with her.,11,,
Là l'enfant se trouvait très heureuse;,,,,,"There the child fared well,",12,,
"elle mangeait du biscuit,",,,,,"ate sugar-cakes,",13,,
buvait d'excellente crème;,,,,,"and drank sweet milk,",14,,
"ses vêtements étaient d'or,",,,,,"and her clothes were of gold,",15,,
et les anges jouaient avec elle.,,,,,and the little angels played with her.,16,,
"Quand elle eut atteint quatorze ans,",,,,,"And when she was fourteen years of age,",17,,
la Vierge Marie l'appela un jour et lui dit:,,,,,the Virgin Mary called her one day and said:,18,,
"Ma chère enfant, j'ai un grand voyage à l'aire;",,,,,"Dear child, I am about to make a long journey,",19,,
je te confie ces clefs des treize portes du paradis.,,,,,so take into thy keeping the keys of the thirteen doors of heaven.,20,,
Tu peux en ouvrir douze et voir les merveilles qu'elles renferment;,,,,,"Twelve of these thou mayest open, and behold the glory which is within them,",21,,
"mais la treizième porte qu'ouvre cette petite clef que voici, celle-là t'est défendue;",,,,,"but the thirteenth, to which this little key belongs, is forbidden thee.",22,,
"garde-toi bien de l'ouvrir, car il t'arriverait malheur.",,,,,"Beware of opening it, or thou wilt bring misery on thyself.",23,,
"La jeune fille promit d'obéir,",,,,,"The girl promised to be obedient,",24,,
"et, quand la Vierge Marie fut partie,",,,,,"and when the Virgin Mary was gone,",25,,
