FR,GLOSS_LSF,GENERATED,TENSE,GLOSS_LSFB,EN,NUM,SECOND_FR,SECOND_EN
Un père avait deux fils;,,,,,"A certain father had two sons,",1,,
le premier était réfléchi et intelligent;,,,,,"the elder of whom was smart and sensible,",2,,
il savait se tirer de toute aventure.,,,,,"and could do everything,",3,,
"Le cadet en revanche était sot,",,,,,but the younger was stupid,4,,
incapable de comprendre et d'apprendre.,,,,,"and could neither learn nor understand anything,",5,,
"Quand les gens le voyaient,",,,,,and when people saw him ,6,,
"ils disaient: Avec lui, son père n'a pas fini d'en voir.",,,,,"they said, There's a fellow who will give his father some trouble!",7,,
"Quand il y avait quelque chose à faire,",,,,,"When anything had to be done,",8,,
"c'était toujours à l'aîné que revenait la tâche,",,,,,it was always the elder who was forced to do it;,9,,
"et si son père lui demandait d'aller chercher quelque chose, le soir ou même la nuit,",,,,,"but if his father bade him fetch anything when it was late, or in the night-time,",10,,
"et qu'il fallait passer par le cimetière ou quelque autre lieu terrifiant, il répondait:",,,,,"and the way led through the churchyard, or any other dismal place, he answered",11,,
"Oh non! père, je n'irai pas, j'ai peur.",,,,,"Oh, no, father, I'll not go there, it makes me shudder!",12,,
Car il avait effectivement peur.,,,,,for he was afraid.,13,,
"Quand, à la veillée, on racontait des histoires à donner la chair de poule,",,,,,"Or when stories were told by the fire at night which made the flesh creep,",14,,
ceux qui les entendaient disaient parfois:,,,,,the listeners sometimes said,15,,
Ça me donne le frisson!,,,,,"Oh, it makes us shudder!",16,,
"Le plus jeune des fils, lui, assis dans son coin,",,,,,The younger sat in a corner,17,,
écoutait et n'arrivait pas à comprendre ce qu'ils voulaient dire.,,,,,"and listened with the rest of them, and could not imagine what they could mean.",18,,
Ils disent toujours: ,,,,,They are always saying,19,,
Ca me donne la chair de poule! ça me fait frissonner!,,,,,"it makes me shudder, it makes me shudder!",20,,
"Moi, jamais! Voilà encore une chose à laquelle je ne comprends rien.",,,,,"It does not make me shudder, thought he. That, too, must be an art of which I understand nothing.",21,,
Il arriva qu'un jour son père lui dit:,,,,,Now it came to pass that his father said to him,22,,
"Écoute voir, toi, là dans ton coin!",,,,,"one day Hearken to me, thou fellow in the corner there,",23,,
Tu deviens grand et fort.,,,,,"thou art growing tall and strong,",24,,
Il est temps que tu apprennes à gagner ton pain.,,,,,and thou too must learn something by which thou canst earn thy living.,25,,
Tu vois comme ton frère se donne du mal.,,,,,"Look how thy brother works, but thou dost not even earn thy salt.",26,,
"Eh! père, répondit-il,",,,,,"Well, father, he replied,",27,,
j'apprendrais bien volontiers.,,,,,"I am quite willing to learn something indeed,",28,,
"Si c'était possible, je voudrais apprendre à frissonner.",,,,,"if it could but be managed, I should like to learn how to shudder.",29,,
C'est une chose que j'ignore totalement.,,,,,I don't understand that at all yet.,30,,
"Lorsqu'il entendit ces mots, l'aîné des fils songea:",,,,,"The elder brother smiled when he heard that, and thought to himself,",31,,
Seigneur Dieu!,,,,,"Good God,",32,,
quel crétin que mon frère!,,,,,what a blockhead that brother of mine is!,33,,
Il ne fera jamais rien de sa vie.,,,,,He will never be good for anything as long as he lives.,34,,
Le père réfléchit et dit: Tu apprendras bien un jour à avoir peur. Mais ce n'est pas comme ça que tu gagneras ton pain.,,,,,"He who wants to be a sickle must bend himself betimes. The father sighed, and answered him thou shalt soon learn what it is to shudder, but thou wilt not earn thy bread by that.",35,,
"Peu de temps après,",,,,,Soon after this,36,,
le bedeau vint en visite à la maison.,,,,,"the sexton came to the house on a visit,",37,,
Le père lui conta sa peine et lui expliqua combien son fils était peu doué en toutes choses.,,,,,"and the father bewailed his trouble, and told him how his younger son was so backward in every respect that he knew nothing and learnt nothing.",38,,
Pensez voir!,,,,,"Just think, said he,",39,,
"Quand je lui ai demandé comment il ferait pour gagner son pain,",,,,,"when I asked him how he was going to earn his bread,",40,,
il a dit qu'il voulait apprendre à frissonner!,,,,,he actually wanted to learn to shudder.,41,,
"Si ce n'est que ça, répondit le bedeau, je le lui apprendrai.",,,,,"If that be all, replied the sexton, he can learn that with me.",42,,
Confiez-le-moi. Le père était content;,,,,,"Send him to me, and I will soon polish him. The father was glad to do it,",43,,
il se disait: On va le dégourdir un peu.,,,,,"for he thought, It will train the boy a little.",44,,
Le bedeau l'amena donc chez lui et lui confia la tâche de sonner les cloches.,,,,,"The sexton therefore took him into his house, and he had to ring the bell.",45,,
"Au bout de quelque temps,",,,,,"After a day or two,",46,,
son maître le réveilla à minuit et lui demanda de se lever et de monter au clocher pour carillonner.,,,,,"the sexton awoke him at midnight, and bade him arise and go up into the church tower and ring the bell.",47,,
"Tu vas voir ce que c'est que d'avoir peur, songeait-il.",,,,,"Thou shalt soon learn what shuddering is, thought he,",48,,
"Il quitta secrètement la maison et quand le garçon fut arrivé en haut du clocher,",,,,,"and secretly went there before him; and when the boy was at the top of the tower and turned round,",49,,
"comme il s'apprêtait à saisir les cordes,",,,,,"and was just going to take hold of the bell rope,",50,,
"il vit dans l'escalier, en dessous de lui, une forme toute blanche.",,,,,he saw a white figure standing on the stairs opposite the sounding hole.,51,,
Qui va là? cria-t-il.,,,,,"Who is there? cried he,",52,,
"L'apparition ne répondit pas, ne bougea pas.",,,,,"but the figure made no reply, and did not move or stir.",53,,
Réponds! cria le jeune homme. Ou bien décampe!,,,,,"Give an answer, cried the boy, or take thy self off,",54,,
Tu n'as rien à faire ici!,,,,,thou hast no business here at night.,55,,
Le bedeau ne bougeait toujours pas.,,,,,"The sexton, however, remained standing motionless",56,,
Il voulait que le jeune homme le prit pour un fantôme.,,,,,that the boy might think he was a ghost.,57,,
"Pour la deuxième fois, celui-ci cria:",,,,,"The boy cried a second time, ",58,,
Que viens-tu faire ici?,,,,,What do you want here?,59,,
Parle si tu es honnête homme.,,,,,"speak if thou art an honest fellow,",60,,
Sinon je te jette au bas de l'escalier.,,,,,or I will throw thee down the steps!,61,,
Le bedeau pensa: Il n'en fera rien.,,,,,"The sexton thought, he can't intend to be as bad as his words,",62,,
Il ne répondit pas et resta sans bouger.,,,,,uttered no sound and stood ,63,,
Comme s'il était de pierre.,,,,,as if he were made of stone.,64,,
"Alors le garçon l'avertit pour la troisième fois et comme le fantôme ne répondait toujours pas,",,,,,"Then the boy called to him for the third time, and as that was also to no purpose,",65,,
il prit son élan et le précipita dans l'escalier.,,,,,"he ran against him and pushed the ghost down the stairs,",66,,
L'apparition dégringola d'une dizaine de marches et resta là allongée.,,,,,so that it fell down ten steps and remained lying there in a corner.,67,,
"Le garçon fit sonner les cloches,",,,,,"Thereupon he rang the bell,",68,,
"rentra à la maison,",,,,,"went home,",69,,
se coucha sans souffler mot et s'endormit.,,,,,"and without saying a word went to bed, and fell asleep.",70,,
