FR,GLOSS_LSF,GENERATED,TENSE,GLOSS_LSFB,EN,NUM,SECOND_FR,SECOND_EN
Il était une fois une vieille chèvre qui avait sept chevreaux et les aimait comme chaque mère aime ses enfants.,,,,,"There was once an old goat who had seven little ones, and was as fond of them as ever mother was of her children.",1,,
"Un jour, elle voulut aller dans la forêt pour rapporter quelque chose à manger,",,,,,"One day she had to go into the wood to fetch food for them,",2,,
"elle les rassembla tous les sept et leur dit: Je dois aller dans la forêt, mes chers enfants.",,,,,"so she called them all round her. Dear children, said she, I am going out into the wood; and while I am gone,",3,,
Faites attention au loup!,,,,,"be on your guard against the wolf,",4,,
"S'il arrivait à rentrer dans la maison, il vous mangerait tout crus.",,,,,"for if he were once to get inside he would eat you up, skin, bones, and all.",5,,
"Ce bandit sait jouer la comédie,",,,,,"The wretch often disguises himself,",6,,
"mais il a une voix rauque et des pattes noires, c'est ainsi que vous le reconnaîtrez.",,,,,but he may always be known by his hoarse voice and black paws.,7,,
"Ne t'inquiète pas, maman, répondirent les chevreaux, nous ferons attention. Tu peux t'en aller sans crainte.",,,,,"Dear mother, answered the kids, you need not be afraid, we will take good care of ourselves.",8,,
La vieille chèvre bêla de satisfaction et s'en alla.,,,,,"And the mother bleated good-bye, and went on her way with an easy mind.",9,,
"Peu de temps après,",,,,,It was not long before,10,,
quelqu'un frappa à la porte en criant:,,,,,"some one came knocking at the house-door, and crying out:",11,,
"Ouvrez la porte, mes chers enfants,",,,,,"Open the door, my dear children,",12,,
votre mère est là et vous a apporté quelque chose.,,,,,"your mother is come back, and has brought each of you something.",13,,
Mais les chevreaux reconnurent le loup à sa voix rude.,,,,,But the little kids knew it was the wolf by the hoarse voice.,14,,
"Nous ne t'ouvrirons pas, crièrent-ils.",,,,,"We will not open the door, cried they;",15,,
Tu n'es pas notre maman.,,,,,"you are not our mother,",16,,
Notre maman a une voix douce et agréable et ta voix est rauque.,,,,,"she has a delicate and sweet voice, and your voice is hoarse;",17,,
Tu es un loup!,,,,,you must be the wolf.,18,,
Le loup partit chez le marchand et y acheta un grand morceau de craie.,,,,,"Then off went the wolf to a shop and bought a big lump of chalk,",19,,
Il mangea la craie et sa voix devint plus douce.,,,,,and ate it up to make his voice soft.,20,,
"Il revint ensuite vers la petite maison, frappa et appela à nouveau:",,,,,"And then he came back, knocked at the house-door, and cried:",21,,
"Ouvrez la porte,",,,,,"Open the door,",22,,
"mes chers enfants,",,,,,"my dear children,",23,,
votre maman est de retour et vous a apporté pour chacun un petit quelque chose.,,,,,"your mother is here, and has brought each of you something.",24,,
Mais tout en parlant il posa sa patte noire sur la fenêtre;,,,,,"But the wolf had put up his black paws against the window,",25,,
les chevreaux l'aperçurent et crièrent:,,,,,"and the kids seeing this, cried out,",26,,
Nous ne t'ouvrirons pas! Notre maman n'a pas les pattes noires comme toi.,,,,,We will not open the door; our mother has no black paws like you;,27,,
Tu es un loup!,,,,,you must be the wolf.,28,,
Et le loup courut chez le boulanger et dit:,,,,,"The wolf then ran to a baker. Baker, said he,",29,,
"Je me suis blessé à la patte, enduis-la-moi avec de la pâte.",,,,,I am hurt in the foot; pray spread some dough over the place.,30,,
Le boulanger lui enduisit la patte et le loup courut encore chez le meunier.,,,,,"And when the baker had plastered his feet, he ran to the miller.",31,,
Verse de la farine blanche sur ma patte! commanda-t-il.,,,,,"Miller, said he, strew me some white meal over my paws.",32,,
"Le loup veut duper quelqu'un, pensa le meunier, et il fit des manières.",,,,,"But the miller refused, thinking the wolf must be meaning harm to some one.",33,,
"Mais le loup dit: Si tu ne le fais pas, je te mangerai.",,,,,"If you don't do it, cried the wolf, I'll eat you up!",34,,
Le meunier eut peur et blanchit sa patte.,,,,,And the miller was afraid and did as he was told.,35,,
"Eh oui, les gens sont ainsi!",,,,,And that just shows what men are.,36,,
"Pour la troisième fois le loup arriva à la porte de la petite maison,",,,,,And now came the rogue the third time to the door and knocked.,37,,
"frappa et cria: Ouvrez la porte, mes chers petits,",,,,,"Open, children! cried he.",38,,
maman est de retour de la forêt et vous a apporté quelque chose.,,,,,"Your dear mother has come home, and brought you each something from the wood.",39,,
"Montre-nous ta patte d'abord,",,,,,"First show us your paws,",40,,
"crièrent les petits,",,,,,"said the kids,",41,,
que nous sachions si tu es vraiment notre maman.,,,,,so that we may know if you are really our mother or not.,42,,
"Le loup posa sa patte sur le rebord de la fenêtre,",,,,,"And he put up his paws against the window,",43,,
"et lorsque les chevreaux virent qu'elle était blanche,",,,,,"and when they saw that they were white,",44,,
ils crurent tout ce qu'il avait dit et ouvrirent la porte.,,,,,"all seemed right, and they opened the door.",45,,
Mais c'est un loup qui entra.,,,,,"And when he was inside they saw it was the wolf,",46,,
