FR,GLOSS_LSF,GENERATED,TENSE,GLOSS_LSFB,EN,NUM,SECOND_FR,SECOND_EN
Il était une fois un vieux roi qui tomba malade.,,,,,"There was once on a time an old king who was ill,",1,,
"Sentant qu'il allait mourir,",,,,,"and thought to himself, I am lying on what must be my death-bed.",2,,
"il fit appeler le fidèle Jean : c'était son plus cher serviteur,",,,,,"Then said he, Tell Faithful John to come to me. Faithful John was his favourite servant,",3,,
et on le nommait ainsi parce que toute sa vie il avait été fidèle à son maître.,,,,,"and was so called, because he had for his whole life long been so true to him.",4,,
"Quand il fut venu,",,,,,"When therefore he came beside the bed,",5,,
"le roi lui dit: Mon fidèle Jean,",,,,,"the King said to him, Most faithful John,",6,,
"je sens que ma fin s'approche, je n'ai de souci qu'en songeant à mon fils;",,,,,"I feel my end approaching, and have no anxiety except about my son.",7,,
il est encore bien jeune; il ne saura pas toujours se diriger;,,,,,"He is still of tender age, and cannot always know how to guide himself.",8,,
"je ne mourrai tranquille que si tu me promets de veiller sur lui, de l'instruire de tout ce qu'il doit savoir, et d'être pour lui un second père.",,,,,"If thou dost not promise me to teach him everything that he ought to know, and to be his foster-father, I cannot close my eyes in peace.",9,,
"Je vous promets, répondit Jean, de ne pas l'abandonner; je le servirai fidèlement, dût-il m'en coûter la vie.",,,,,"Then answered Faithful John, I will not forsake him, and will serve him with fidelity, even if it should cost me my life.",10,,
"Je peux donc mourir en paix, dit le vieux roi.",,,,,"On this, the old King said, Now I die in comfort and peace.",11,,
"Après ma mort, tu lui feras voir tout le palais,",,,,,"Then he added, After my death, thou shalt show him the whole castle:",12,,
"toutes les chambres, les salles, les souterrains avec les richesses qui y sont renfermées;",,,,,"all the chambers, halls, and vaults, and all the treasures which lie therein,",13,,
"seulement tu ne le laisseras pas entrer dans la dernière chambre de la grande galerie, où se trouve le portrait de la princesse du Dôme d'or.",,,,,"but the last chamber in the long gallery, in which is the picture of the princess of the Golden Dwelling, shalt thou not show.",14,,
"Car, s'il voit ce tableau, il ressentira pour elle un amour irrésistible",,,,,"If he sees that picture, he will fall violently in love with her,",15,,
qui lui fera courir les plus grands dangers.,,,,,"and will drop down in a swoon, and go through great danger for her sake,",16,,
Tâche de l'en préserver.,,,,,therefore thou must preserve him from that.,17,,
"Le fidèle Jean réitéra ses promesses, et le vieux roi, tranquillisé,",,,,,"And when Faithful John had once more given his promise to the old King about this,",18,,
posa sa tête sur l'oreiller et expira.,,,,,"the King said no more, but laid his head on his pillow, and died.",19,,
"Quand on eut mis le vieux roi au tombeau,",,,,,"When the old King had been carried to his grave,",20,,
Jean raconta au jeune successeur ce qu'il avait promis à son père au lit de mort.,,,,,"Faithful John told the young King all that he had promised his father on his deathbed,",21,,
"Je le tiendrai, ajouta-t-il, et je vous serai fidèle comme je l'ai été à votre père,",,,,,"and said, This will I assuredly perform, and will be faithful to thee as I have been faithful to him,",22,,
dût-il m'en coûter la vie.,,,,,even if it should cost me my life.,23,,
"Après que le grand deuil fut passé,",,,,,"When the mourning was over,",24,,
Jean dit au roi:,,,,,"Faithful John said to him,",25,,
Il est temps que vous connaissiez votre héritage.,,,,,It is now time that thou shouldst see thine inheritance.,26,,
Je vais vous faire voir le palais de votre père.,,,,,I will show thee thy father's palace.,27,,
"Il le conduisit partout,",,,,,"Then he took him about everywhere,",28,,
"du haut en bas,",,,,,"up and down,",29,,
et lui fit voir toutes les richesses,,,,,"and let him see all the riches,",30,,
"et les splendides appartements,",,,,,"and the magnificent apartments,",31,,
en omettant seulement la chambre,,,,,"only there was one room which he did not open,",32,,
où était le dangereux portrait.,,,,,that in which hung the dangerous picture.,33,,
"Il avait été placé de telle sorte que, lorsqu'on ouvrait la porte, on l'apercevait aussitôt,",,,,,"The picture was, however, so placed that when the door was opened you looked straight on it,",34,,
et il était si bien fait qu'il semblait vivre et respirer,,,,,"and it was so admirably painted that it seemed to breathe and live,",35,,
et que rien au monde n'était si beau ni si aimable.,,,,,and there was nothing more charming or more beautiful in the whole world.,36,,
"Le jeune roi vit bien que le fidèle Jean passait toujours devant cette porte sans l'ouvrir, et il lui demanda pourquoi.",,,,,"The young King, however, plainly remarked that Faithful John always walked past this one door, and said, Why dost thou never open this one for me?",37,,
"C'est, répondit l'autre, parce qu'il y a dans la chambre quelque chose qui vous ferait peur.",,,,,"There is something within it, he replied, which would terrify thee.",38,,
"J'ai vu tout le château, dit le roi,",,,,,"But the King answered, I have seen all the palace,",39,,
"je veux savoir ce qu'il y a ici,",,,,,"and I will know what is in this room also,",40,,
et il voulait ouvrir de force.,,,,,and he went and tried to break open the door by force.,41,,
Le fidèle Jean le retint encore et lui dit:,,,,,"Then Faithful John held him back and said,",42,,
"J'ai promis à votre père, à son lit de mort, de ne pas vous laisser entrer dans cette chambre:",,,,,"I promised thy father before his death that thou shouldst not see that which is in this chamber,",43,,
il en pourrait résulter les plus grands malheurs pour vous et pour moi.,,,,,it might bring the greatest misfortune on thee and on me.,44,,
"Le malheur le plus grand, répliqua le roi, c'est que ma curiosité ne soit pas satisfaite.",,,,,"Ah, no, replied the young King, if I do not go in, it will be my certain destruction.",45,,
Je n'aurai de repos que lorsque mes yeux auront vu.,,,,,I should have no rest day or night until I had seen it with my own eyes.,46,,
Je ne sors pas d'ici que tu ne m'aies ouvert.,,,,,I shall not leave the place now until thou hast unlocked the door.,47,,
"Le fidèle Jean, voyant qu'il n'y avait plus moyen de s'y refuser,",,,,,"Then Faithful John saw that there was no help for it now,",48,,
"alla, le coeur bien gros et en soupirant beaucoup,",,,,,"and with a heavy heart and many sighs,",49,,
chercher la clef au grand trousseau.,,,,,sought out the key from the great bunch.,50,,
"Quand la porte fut ouverte, il entra le premier,",,,,,"When he had opened the door, he went in first,",51,,
tâchant de cacher le portrait avec son corps; tout fut inutile:,,,,,"and thought by standing before him he could hide the portrait so that the King should not see it in front of him, but what availed that?",52,,
"le roi, en se dressant sur la pointe des pieds, l'aperçut par-dessus son épaule.",,,,,The King stood on tip-toe and saw it over his shoulder.,53,,
Mais en voyant cette image de jeune fille si belle ,,,,,"And when he saw the portrait of the maiden,",54,,
"et si brillante d'or et de pierreries,",,,,,"which was so magnificent and shone with gold and precious stones,",55,,
il tomba sans connaissance sur le parquet.,,,,,he fell fainting to the ground.,56,,
"Le fidèle Jean le releva et le porta sur son lit,",,,,,"Faithful John took him up, carried him to his bed,",57,,
tout en murmurant:,,,,,"and sorrowfully thought,",58,,
Le malheur est fait;,,,,,"The misfortune has befallen us,",59,,
grand Dieu! qu'allons-nous devenir?,,,,,"Lord God, what will be the end of it?",60,,
et il lui fit prendre un peu de vin pour le réconforter.,,,,,"Then he strengthened him with wine,",61,,
"Le premier mot du roi, quand il revint à lui, ",,,,,"until he came to himself again. The first words the King said were,",62,,
fut pour demander quel était ce beau portrait.,,,,,"Ah, the beautiful portrait! whose it it?",63,,
"C'est celui de la princesse du Dôme d'or, répondit le fidèle Jean.",,,,,"That is the princess of the Golden Dwelling, answered Faithful John.",64,,
"Mon amour pour elle est si grand, continua le roi,",,,,,"Then the King continued, My love for her is so great, ",65,,
"que, si toutes les feuilles des arbres étaient des langues, elles ne suffiraient pas à l'exprimer.",,,,,"that if all the leaves on all the trees were tongues, they could not declare it.",66,,
Ma vie tient désormais à sa possession.,,,,,I will give my life to win her.,67,,
"Tu m'aideras, toi qui es mon fidèle serviteur.",,,,,"Thou art my most Faithful John, thou must help me.",68,,
"Le fidèle Jean réfléchit longtemps à la manière dont il convenait de s'y prendre,",,,,,"The faithful servant considered within himself for a long time how to set about the matter,",69,,
car il était difficile même de se présenter devant les yeux de la princesse.,,,,,for it was difficult even to obtain a sight of the King's daughter.,70,,
"Enfin, il imagina un moyen,",,,,,"At length he thought of a way,",71,,
et dit au roi:,,,,,"and said to the King,",72,,
"Tout ce qui entoure la princesse est d'or, chaises, plats, tables, gobelets, meubles de toute espèce.",,,,,"Everything which she has about her is of gold tables, chairs, dishes, glasses, bowls, and household furniture.",73,,
Vous avez cinq tonnes d'or dans votre trésor;,,,,,Among thy treasures are five tons of gold;,74,,
"il faut en confier une aux orfèvres pour qu'ils vous en fassent des vases et des bijoux d'or de toutes les façons,",,,,,"let one of the goldsmiths of the Kingdom work these up into all manner of vessels and utensils,",75,,
"des oiseaux, des bêtes sauvages, des monstres de mille formes;",,,,,"into all kinds of birds, wild beasts and strange animals,",76,,
tout cela doit plaire à la princesse.,,,,,"such as may please her, ",77,,
"Nous nous mettrons en route avec ce bagage, et nous tâcherons de réussir.",,,,,and we will go there with them and try our luck.,78,,
