FR,GLOSS_LSF,GENERATED,TENSE,GLOSS_LSFB,EN,NUM,SECOND_FR,SECOND_EN
Il était une fois un ménétrier qui avait un violon merveilleux. ,FOIS MUSICIEN MERVEILLEUX VIOLON,,,,"There was once a wonderful musician,",1,,
"Ce ménétrier se rendit un jour tout seul dans une forêt, laissant errer sa pensée ça et là;",JOUR CE MUSICIEN ALLER MARCHER FORET PENSER,,,,"who went quite alone through a forest and thought of all manner of things,",2,,
"et quand il ne sut plus à quoi songer, ",PENSER DISPAAITRE,,,,"and when nothing was left for him to think about,",3,,
il se dit:,DIRE,,,,"he said to himself,",4,,
Le temps commence à me sembler long dans cette forêt;,TEMPS LONG ICI,,,,"Time is beginning to pass heavily with me here in the forest,",5,,
je veux faire en sorte qu'il m'arrive un bon compagnon.,TROUVER COMPAGNON,,,,I will fetch hither a good companion for myself.,6,,
"En conséquence, il prit son violon qu'il portait sur le dos,",ALORS DOS PRENDRE VIOLON,,,,"Then he took his fiddle from his back,",7,,
et se mit à jouer un air qui réveilla mille échos dans le feuillage.,JOUER VIOLON FEUILLES AIR DISPERSER,,,,and played so that it echoed through the trees.,8,,
"Il n'y avait pas longtemps qu'il jouait, lorsqu'un loup vint en tapinois derrière les arbres.",JOUER VIOLON LOUP ARBRE DERRIERE MARCHER DOUCEMENT,,,,It was not long before a wolf came trotting through the thicket towards him.,9,,
Ciel! voilà un loup!,OH MON DIEU ! LOUP !,,,,"Ah, here is a wolf coming!",10,,
"Ce n'est point là le compagnon que je désire,",COMPAGNON LUI PAS VOULOIR,,,,I have no desire for him!,11,,
pensa le ménétrier.,PENSER MUSICIEN,,,,said the musician;,12,,
"Cependant le loup s'approcha, et lui dit:",LOUP APPROCHER DIRE,,,,"but the wolf came nearer and said to him,",13,,
"Eh! cher ménétrier,",EH ! MUSICIEN !,,,,"Ah, dear musician,",14,,
que tu joues bien!,JOUER BIEN,,,,how beautifully thou dost play.,15,,
ne pourrais-je pas aussi apprendre ton art?,POUVOIR APPRENDRE TON ART ?,,,,"I should like to learn that, too.",16,,
"La chose est facile, répondit le ménétrier,",FACIL MUSICIEN REPONDRE,,,,"It is soon learnt, the musician replied,",17,,
il suffit pour cela que tu fasses exactement tout ce que je te dirai.,COPIER MOI ECOUTER MOI DIRE,,,,thou hast only to do all that I bid thee.,18,,
"Oh! cher ménétrier, reprit le loup,",LOUP DIRE OH ! MUSICIEN !,,,,"Oh, musician, said the wolf,",19,,
"je veux t'obéir, comme un écolier obéit à son maître.",OBEIR TOI COMME ECOLIER OBEIR SON MAITRE,,,,I will obey thee as a scholar obeys his master.,20,,
"Le musicien lui enjoignit de le suivre,",MUSICIEN SUIVRE MOI,,,,"The musician bade him follow,",21,,
"et lorsqu'ils eurent fait un bout de chemin,",MARCHER ENSEMBLE,,,,"and when they had gone part of the way together,",22,,
ils arrivèrent au pied d'un vieux chêne qui était creux ,CHENE CREUX ARRIVER PIED,,,,"they came to an old oak-tree which was hollow inside,",23,,
et fendu par le milieu.,CHENE FENDU MILIEU,,,,and cleft in the middle.,24,,
"Tu vois cet arbre, dit le ménétrier,",MUSICIEN DIRE TU VOIR CET ARBRE,,,,"Look, said the musician,",25,,
"si tu veux apprendre à jouer du violon,",SI VOULOIR APPRENDRE VIOLON,,,,"if thou wilt learn to fiddle,",26,,
il faut que tu places tes pattes de devant dans cette fente.,PATTES DEVANT PLACER DANS FENTE,,,,put thy fore paws into this crevice.,27,,
Le loup obéit; mais le musicien ramassa aussitôt une pierre,LOUP OBEIT PATTES AVANT DANS FENTE MUSICIEN PIERRE PRENDRE,,,,"The wolf obeyed, but the musician quickly picked up a stone",28,,
"et en frappa avec tant de force les deux pattes du loup, qu'elles s'enfoncèrent dans la fente,",PATTES LOUP FRAPPER FORT PATTES AVANT FENTE ENFONCER,,,,and with one blow wedged his two paws so fast ,29,,
et que le pauvre animal dut rester prisonnier.,PAUVRE LUI ANIMAL PATTES AVANT FENTE PRISONIER,,,,that he was forced to stay there like a prisoner.,30,,
"Attends-moi jusqu'à ce que je revienne, ajouta le ménétrier.",MUSICIEN DIRE ATTENDRE MOI REVENIR,,,,"Stay there until I come back again, said the musician,",31,,
Et il continua sa route.,MUSICIEN CHEMIN MARCHER,,,,and went his way.,32,,
"Il avait à peine marché pendant quelques minutes, qu'il se prit à penser de nouveau:",MARCHER PENSER,,,,"After a while he again said to himself,",33,,
"Le temps me semble si long dans cette forêt,",TEMPS LONG,,,,"Time is beginning to pass heavily with me here in the forest,",34,,
que je vais tâcher de m'attirer un autre compagnon.,ESSAYER TROUVER AUTRE COMPAGNON,,,,"I will fetch hither another companion,",35,,
