FR,GLOSS_LSF,GENERATED,TENSE,GLOSS_LSFB,EN,NUM,SECOND_FR,SECOND_EN
Il y avait une fois un roi et une reine qui vivaient ensemble en bonne intelligence.,,,,,There were once on a time a king and a queen who lived happily together,1,,
"Ils avaient douze enfants, mais c'étaient douze garçons.",,,,,"and had twelve children, but they were all boys.",2,,
Un jour le roi dit à la reine:,,,,,"Then said the King to his wife,",3,,
"Si le treizième enfant que tu me promets est une fille,",,,,,"If the thirteenth child which thou art about to bring into the world, is a girl,",4,,
"les douze garçons devront mourir,",,,,,"the twelve boys shall die,",5,,
"afin que l'héritage de leur soeur soit considérable,",,,,,"in order that her possessions may be great,",6,,
et que le royaume tout entier lui appartienne.,,,,,and that the kingdom may fall to her alone.,7,,
Il fit donc construire douze cercueils qu'on remplit de copeaux;,,,,,"He caused likewise twelve coffins to be made, which were already filled with shavings,",8,,
"dans que le petit coussin pour le mort,",,,,,"and in each lay the little pillow for the dead,",9,,
"puis le roi les fit transporter dans un cabinet bien fermé,",,,,,"and he had them taken into a locked-up room,",10,,
"dont il donna la clef à la reine,",,,,,"and then he gave the Queen the key of it,",11,,
en lui recommandant de n'en rien dire à personne.,,,,,and bade her not to speak of this to any one.,12,,
"Cependant, la mère était en proie à un violent chagrin.",,,,,"The mother, however, now sat and lamented all day long,",13,,
"Le plus jeune de ses fils,",,,,,"until the youngest son,",14,,
"qui était toujours avec elle,",,,,,"who was always with her,",15,,
"à qui elle avait donné le nom de Benjamin, de la Bible,",,,,,"and whom she had named Benjamin, from the Bible,",16,,
s'aperçut de sa peine et lui dit:,,,,,"said to her, ",17,,
"Ma bonne mère, pourquoi es-tu si triste?",,,,,"Dear mother, why art thou so sad?",18,,
"Cher enfant, lui répondit-elle, je ne dois pas te le dire.",,,,,"Dearest child, she answered, I may not tell thee.",19,,
"Mais l'enfant ne lui laissa point de repos, qu'elle ne l'eût conduit au cabinet mystérieux,",,,,,"But he let her have no rest until she went and unlocked the room,",20,,
et qu'elle ne lui eût montré les douze cercueils remplis de copeaux:,,,,,and showed him the twelve coffins ready filled with shavings.,21,,
"Mon bien-aimé Benjamin, lui dit-elle,",,,,,"Then she said, my dearest Benjamin,",22,,
"ton père a fait construire ces cercueil pour tes onze frères et pour toi,",,,,,"thy father has had these coffins made for thee and for thy eleven brothers,",23,,
"car si je mets au monde une petite fille,",,,,,"for if I bring a little girl into the world,",24,,
vous devez tous mourir et être ensevelis là.,,,,,you are all to be killed and buried in them.,25,,
"Et comme elle pleurait,",,,,,"And as she wept while she was saying this,",26,,
l'enfant chercha à la consoler en lui disant:,,,,,"the son comforted her and said, Weep not, dear mother,",27,,
"Ne pleure pas, nous saurons bien éviter la mort.",,,,,"we will save ourselves, and go hence.",28,,
"La reine reprit: Va dans la forêt avec tes onze frères,",,,,,"But she said, Go forth into the forest with thy eleven brothers,",29,,
"et que l'un de vous se tienne sans cesse en sentinelle sur la cime de l'arbre le plus élevé,",,,,,"and let one sit constantly on the highest tree which can be found,",30,,
les yeux tournés vers la tour du château.,,,,,"and keep watch, looking towards the tower here in the castle.",31,,
"J'aurai soin d'y arborer un drapeau blanc si je mets au monde un garçon,",,,,,"If I give birth to a little son, I will put up a white flag,",32,,
et alors vous pourrez revenir sans danger;,,,,,"and then you may venture to come back,",33,,
"si au contraire je deviens mère d'une fille, j'y planterai un drapeau rouge comme du sang;",,,,,"but if I bear a daughter, I will hoist a red flag,",34,,
"alors hâtez-vous de fuir bien loin,",,,,,"and then fly hence as quickly as you are able,",35,,
et que le bon Dieu vous protège.,,,,,and may the good God protect you.,36,,
Et chaque nuit je me lèverai et prierai pour vous,,,,,And every night I will rise up and pray for you,37,,
"En hivers que vous puissiez vous réchauffer devant un feu,",,,,,"in winter that you may be able to warm yourself at a fire,",38,,
et en été pour que vous ne vous évanouissiez pas dans la chaleur.,,,,,and in summer that you may not faint away in the heat.,39,,
"Lorsque la reine eut donné sa bénédiction à ses fils,",,,,,"After she had blessed her sons therefore,",40,,
ceux-ci se rendirent dans la forêt.,,,,,they went forth into the forest.,41,,
"Chacun d'eux eut son tour de faire sentinelle, ",,,,,"They each kept watch in turn,",42,,
"en grimpant au haut du chêne le plus élevé, et en tenant, de là, ses yeux fixés vers la tour. ",,,,,and sat on the highest oak and looked towards the tower.,43,,
"Quand onze jours furent passés, et que ce fut à Benjamin de veiller,",,,,,"When eleven days had passed and the turn came to Benjamin,",44,,
"il vit qu'un drapeau avait été arboré,",,,,,he saw that a flag was being raised.,45,,
"C’était cependant pas le blanc,",,,,,"It was, however, not the white,",46,,
"mais c'était un drapeau rouge comme du sang,",,,,,but the blood-red flag ,47,,
ce qui prouvait trop qu'ils devaient tous mourir.,,,,,which announced that they were all to die.,48,,
"Lorsqu'il eut annoncé la nouvelle à ses frères,",,,,,"When the brothers heard that,",49,,
ceux-ci s'indignèrent et dirent:,,,,,"they were very angry and said,",50,,
Sera-t-il dit que nous aurons dû subir la mort pour une fille?,,,,,Are we all to suffer death for the sake of a girl?,51,,
Faisons serment de nous venger!,,,,,We swear that we will avenge ourselves!,52,,
"Partout où nous trouverons une jeune fille, son sang devra couler.",,,,,"wheresoever we find a girl, her red blood shall flow.",53,,
"Cela dit, ils allèrent tous ensemble au fond de la forêt, et à l'endroit le plus épais,",,,,,"Thereupon they went deeper into the forest, and in the midst of it, where it was the darkest,",54,,
ils trouvèrent une petite cabane misérable et déserte.,,,,,"they found a little bewitched hut, which was standing empty.",55,,
Alors ils dirent: C'est ici que nous voulons fixer notre demeure,,,,,"Then said they, Here we will dwell,",56,,
"et toi, Benjamin, comme tu es le plus jeune et le plus faible,",,,,,"and thou Benjamin, who art the youngest and weakest,",57,,
"tu resteras au logis et te chargeras du ménage nous autres,",,,,,"thou shalt stay at home and keep house,",58,,
nous irons à la chasse afin de nous procurer de la nourriture.,,,,,we others will go out and get food.,59,,
"Ils allèrent donc dans la forêt, et tuèrent des lièvres, des chevreuils sauvages, des oiseaux et des pigeons; ",,,,,"Then they went into the forest and shot hares, wild deer, birds and pigeons, and whatsoever there was to eat;",60,,
puis ils les rapportèrent à Benjamin qui dut les préparer et les faire cuire pour apaiser la faim commune.,,,,,"this they took to Benjamin, who had to dress it for them in order that they might appease their hunger.",61,,
C'est ainsi qu'ils vécurent pendant dix années dans la forêt;,,,,,"They lived together ten years in the little hut,",62,,
et ce temps leur parut court.,,,,,and the time did not appear long to them.,63,,
Cependant la jeune fille que la mère avait mise au monde,,,,,"The little daughter which their mother the Queen had given birth to,",64,,
était devenue grande,,,,,was now grown up;,65,,
"elle était bonne, ",,,,,"she was good of heart,",66,,
"sa beauté était remarquable,",,,,,"and fair of face,",67,,
et elle avait sur le front une étoile d'or.,,,,,and had a golden star on her forehead.,68,,
"Un jour que se faisait la grande lessive,",,,,,"Once, when it was the great washing,",69,,
"elle remarqua parmi le linge douze chemises d'homme,",,,,,"she saw twelve men's shirts among the things,",70,,
et demanda à sa mère:,,,,,"and asked her mother,",71,,
"À qui appartiennent ces douze chemises,",,,,,"To whom do these twelve shirts belong,",72,,
car elles sont beaucoup trop petites pour mon père?,,,,,for they are far too small for father?,73,,
La reine lui répondit avec un soupir:,,,,,"Then the Queen answered with a heavy heart,",74,,
"Chère enfant, elles appartiennent à tes douze frères.",,,,,"Dear child, these belong to thy twelve brothers.",75,,
