FR,GLOSS_LSF,GENERATED,TENSE,GLOSS_LSFB,EN,NUM,SECOND_FR,SECOND_EN
Le coq dit à la poule :,COQ POULE COQ DIRE,POULE DIRE ,['Pres'],,"The cock once said to the hen, ",1,,
Voici la saison des noix;,VOILA SAISON NOIX,SAISON NOIX VOICI ,,,"It is now the time when our nuts are ripe, ",2,,
il faut aller sur la côte avant que l'écureuil les ait toutes récoltées.,VITE ALLER COTE AVANT ECUREUIL RAMASSER,COTE AIT TOUTES FALLOIR ALLER RECOLTER ,['Pres']['Past'],,so let us go to the hill together and for once eat our fill before the squirrel takes them all away. ,3,,
"Bonne idée, répondit poule,",POULE REPONDRE BONNE IDEEE,BONNE IDEE POULE REPONDRE ,['Pres'],,"Yes, replied the hen, ",4,,
partons; nous allons bien nous divertir.,ALLER ON Y VA ON S'AMUSER,PARTONS BIEN ALLER DIVERTIR ,['Pres'],,"come, we will have some pleasure together. ",5,,
Ils allèrent ensemble sur la côte,ENSEMBLER MARCHER COTE,ENSEMBLE COTE ALLER ,['Pres'],,"Then they went away to the hill, ",6,,
et y restèrent jusqu'au soir.,RESTER SOIR,SOIR RESTER ,['Pres'],,and on it was a bright day they stayed till evening. ,7,,
"Alors, soit parce qu'ils avaient trop mangé,",ALORS SOIT TROP MANGER,ALORS SOIT TROP AVOIR MANGER ,['Imp']['Past'],,"Now I do not know whether it was that they had eaten till they were too fat, ",8,,
"soit par vanité,",SOIT FIER,VANITE ,<unk>,,"or whether they had become proud, ",9,,
"ils ne voulurent pas retourner à pied chez eux,",PAS VOULOIR RENTRER PIED MAISON EUX,PAS PAS PIED VOULOIR RETOURNER ,['Pres'],,"but they would not go home on foot, ",10,,
et le coq fut obligé de fabriquer une petite voiture avec des coquilles de noix.,COQ DECIDER NOIX COQUILLES FABRIQUER VOITURE PETITE ,PETITE VOITURE COQUILLES NOIX OBLIGER FABRIQUER ,['Past']['Past'],,and the cock had to build a little carriage of nut-shells. ,11,,
