FR,GLOSS_LSF,GENERATED,TENSE,GLOSS_LSFB,EN,NUM,SECOND_FR,SECOND_EN
Frérot prit sa soeurette par la main et dit:,FRERE SOEUR FRERE PRENDRE MAIN SOEUR ,FREROT SOEURETTE MAIN PRENDRE DIRE ,['Pres']['Past'],,"The brother took his sister's hand and said to her,",1,,
"Depuis que notre mère est morte,",FRERE DIRE QUAND NOTRE MERE MORTE,MERE MOURIR ,['Pres']['Past'],,Since our mother died ,2,,
nous ne connaissons plus que le malheur.,TOUT DEUX MALHEUR,PAS PLUS MALHEUR CONNAITRE ,['Pres'],,we have had no good days;,3,,
Notre belle-mère nous bat tous les jours,NOTRE BELLE MERE FRAPPER NOUS TOUS LES JOURS,BELLE-MERE TOUS JOURS BATTRE ,['Pres'],,"our stepmother beats us every day,",4,,
"et quand nous voulons nous approcher d'elle, elle nous chasse à coups de pied.",QUAND NOUS APPROCHER ELLE ELLE COUP PIED NOUS,VOULOIR APPROCHER COUPS PIED CHASSER ,['Pres']['Pres'],,and if we go near her she kicks us away;,5,,
"Pour nourriture, nous n'avons que de vieilles croûtes de pain,",MANGER QUE VIEILLE CROUTE PAIN,NOURRITURE PAS QUE VIEILLES CROUTES PAIN AVOIR ,['Pres'],,we have nothing to eat but hard crusts of bread left over;,6,,
"et le petit chien, sous la table, est plus gâté que nous;",LUI CHIEN PLUS GATER QUE NOUS,PETIT CHIEN TABLE PLUS GATE ,['Pres'],,"the dog under the table fares better,",7,,
"de temps à autre, elle lui jette quelques bons morceaux.",TEMPS EN TEMPS ELLE DONNER LUI BON MORCEAUX,TEMPS AUTRE BONS MORCEAUX JETER ,['Pres'],,he gets a good piece every now and then.,8,,
Si notre mère savait cela!,SI NOTRE MERE SAVAIT CA,MERE SAVOIR ,['Imp'],,"If our mother only knew,",9,,
Elle aurait pitié de nous!,PEINE NOUS,PITIER ,['Pres']['Past'],,how she would pity us!,10,,
"Viens, nous allons partir par le vaste monde!",VIENS TOUS DEUX S'ENFUIR,VIENS VASTE MONDE ALLER PARTIR ,['Pres'],,"Come, let us go together out into the wide world!",11,,
"Tout le jour ils marchèrent par les prés, les champs et les pierrailles",JOURNEE MARCHER PRES CHAMPS CHEMIN PIERRE,TOUT JOUR PRES MARCHER CHAMPS PIERRAILLES ,['Pres'],,"So they went, and journeyed the whole day through fields and meadows and stony places,",12,,
"et quand la pluie se mit à tomber, soeurette dit:",QUAND PLEUVOIR SOEUR DIRE,PLUIE METTRE TOMBER SOEURETTE DIRE ,['Past']['Past'],,"and if it rained the sister said,",13,,
Le ciel et nos coeurs pleurent ensemble!,CIEL NOS COEURS PLEURER ENSEMBLE,CIEL PLEURENT COEURS ENSEMBLE ,<unk>,,The skies and we are weeping together.,14,,
"Au soir, ils arrivèrent dans une grande forêt.",SOIR ARRIVER FORET GRANDE,SOIR GRANDE FORET ARRIVER ,['Imp'],,"In the evening they came to a great wood,",15,,
"Ils étaient si épuisés de douleur, de faim et d'avoir si longtemps marché",TOUS DEUX FATIGUER DOULEUR FAIM TROP MARCHER,SI DOULEUR EPUISER FAIM SI LONGTEMPS MARCHE AVOIR ,['Imp'],,"and they were so weary with hunger and their long journey,",16,,
qu'ils se blottirent au creux d'un arbre et s'endormirent.,ARBRE ASSOIR ENDORMIR,ARBRE BLOTTIR ENDORMIR ,['Pres']['Pres'],,that they climbed up into a high tree and fell asleep.,17,,
"Quand ils se réveillèrent le lendemain matin,",REVEILLER LENDEMAIN MATIN,LENDEMAIN MATIN REVEILLER ,['Pres'],,"The next morning, when they awoke,",18,,
le soleil était déjà haut dans le ciel,SOLEIL HAUT CIEL,DEJA SOLEIL HAUT CIEL ,['Imp'],,"the sun was high in heaven,",19,,
et sa chaleur pénétrait la forêt.,FORET CHALEUR PENETRER,CHALEUR FORET PENETRER ,['Imp'],,and shone brightly through the leaves.,20,,
frérot dit à sa soeur:,FRERE DIRE SOEUR,SOEUR FREROT DIRE ,['Past']['Pres'],,"Then said the brother,",21,,
"Soeurette, j'ai soif.",BOUDU SOIF,SOEURETTE SOIF ,['Pres'],,"Sister, I am thirsty;",22,,
"Si je savais où il y a une source,",SI SAVOIR OU TROUVER EAU,SOURCE SAVOIR AVOIR ,['Pres']['Pres'],,"if I only knew where to find a brook,",23,,
j'y courrais pour y boire;,COURIR BOIRE,COURIR BOIRE ,['Pres'],,that I might go and drink!,24,,
il me semble entendre murmurer un ruisseau.,ATTEND ENTENDRE PETIT RUISSEAU,RUISSEAU SEMBLE ENTENDRE MURMURER ,['Pres'],,I almost think that I hear one rushing.,25,,
"Il se leva, prit Soeurette par la main",LEVER PRENDRE MAIN SOEUR,LEVER MAIN PRENDRE SOEURETTE ,['Past']['Pres']['Past'],,"So the brother got down and led his sister by the hand,",26,,
et ils partirent tous deux à la recherche de la source.,TOUS DEUX CHERCHER RUISSEAU,TOUS RECHERCHE SOURCE PARTIR ,['Pres'],,and they went to seek the brook.,27,,
Leur méchante marâtre était en réalité une sorcière,LEUR BELLE MERE VRAI SORCIERE,MECHANTE REALITE SORCIERE MARATRE ,['Imp'],,"But their wicked stepmother was a witch,",28,,
et elle avait vu partir les enfants.,ELLE VOIR ENFANTS PARTIR,ENFANTS VOIR PARTIR ,['Imp']['Past'],,"and had known quite well that the two children had run away,",29,,
"Elles les avait suivis en secret, sans bruit,",ELLE SUIVRE ,SECRET SUIVRE BRUIT ,['Imp']['Past'],,"and had sneaked after them,",30,,
"à la manière des sorcières,",COMME SORCIERE,MANIERE SORCIERES ,<unk>,,"as only witches can,",31,,
et avait jeté un sort sur toutes les sources de la forêt.,SORT TOUS RUISSEAU DANS FORET,SORT TOUTES SOURCES FORET JETER ,['Imp']['Past'],,and had laid a spell on all the brooks in the forest.,32,,
"Quand les deux enfants en découvrirent une qui coulait comme du vif argent sur les pierres,",DEUX ENFANTS DECOUVRIR EAU COULER NON ARGENT COULER,DEUX ENFANTS VIF ARGENT PIERRES DECOUVRIR COULER ,['Pres']['Imp'],,"So when they found a little stream flowing smoothly over its pebbles,",33,,
Frérot voulut y boire.,FRERE VOULOIR BOIR QUAND MEME,FREROT VOULOIR BOIRE ,['Imp'],,the brother was going to drink of it;,34,,
Mais Soeurette entendit dans le murmure de l'eau une voix qui disait:,SOEUR ENTENDRE DANS RUISSEAU VOIX DIRE QUOI ?,SOEURETTE MURMURE EAU VOIX ENTENDRE DIRE ,['Past']['Imp'],,"but the sister heard how it said in its rushing,",35,,
Qui me boit devient tigre. ,VOIX DIRE PERSONNE BOIRE DEVENIR TIGRE,TIGRE BOIRE DEVENIR ,['Pres']['Pres'],,"He a tiger will be who drinks of me, ",36,,
Qui me boit devient tigre. ,PERSONNE BOIRE DEVENIR TIGRE,TIGRE BOIRE DEVENIR ,['Pres']['Pres'],,Who drinks of me a tiger will be!,37,,
"Elle s'écria: Je t'en prie, Frérot, ne bois pas;",SOEUR CRIER S'IL TE PLAIT BOIRE PAS,ECRIER PRIE T' FREROT PAS PAS BOIRE ,['Pres']['Pres']['Pres'],,"Then the sister cried, Pray, dear brother, do not drink,",38,,
sinon tu deviendras une bête sauvage,SI BOIRE TOI DEVENIR ANIMAL SAUVAGE,SINON TU BETE SAUVAGE ,<unk>,,"or you will become a wild beast,",39,,
qui me dévorera.,TOI MANGER MOI,DEVORER ,['Fut'],,and will tear me in pieces.,40,,
"Frérot ne but pas,",FRERE PAS BOIRE,PAS PAS FREROT BOIRE ,['Pres'],,"So the brother refrained from drinking,",41,,
"malgré sa grande soif,",MEME TRES SOIF,GRANDE SOIF ,<unk>,,"though his thirst was great,",42,,
