FR,GLOSS_LSF,GENERATED,TENSE,GLOSS_LSFB,EN,NUM,SECOND_FR,SECOND_EN
Il était une fois un mari et sa femme,FOIS MARI SA FEMME,FOIS MARI FEMME ,['Imp'],,"There once lived a man and his wife,",1,,
"qui avaient depuis longtemps désiré avoir un enfant,",TOUS LES DEUX DESIRER ENFANT,LONGTEMPS ENFANT DESIRER AVOIR ,['Imp']['Past'],,"who had long wished for a child, but in vain.",2,,
quand enfin la femme fut dans l'espérance et pensa que le Bon Dieu avait bien voulu accomplir son voeu le plus cher.,ENFIN BON DIEU ECOUTER FEMME NAITRE BEBE,ENFIN FEMME ESPERANCE BIEN PLUS PENSA BON DIEU VOEU CHER VOULOIR ACCOMPLIR ,['Past']['Imp']['Past'],,when finally the woman was in hope and thought that the Good Lord had wanted to fulfill her dearest wish.,3,,
"Sur le derrière de leur maison, ils avaient une petite fenêtre qui donnait sur un magnifique jardin où poussaient les plantes et les fleurs les plus belles;",MAISON DERRIERE FENETRE POUSSER PLANTES FLEURS,DERRIERE MAISON PETITE FENETRE MAGNIFIQUE JARDIN PLANTES AVOIR DONNER POUSSER PLUS FLEURS BELLES ,['Imp']['Pres']['Pres'],,Now there was at the back of their house a little window which overlooked a beautiful garden full of the finest vegetables and flowers;,4,,
"mais il était entouré d'un haut mur,",JARDIN MUR HAUT,HAUT MUR ENTOURER ,['Imp']['Past'],,"but there was a high wall all round it,",5,,
et nul n'osait s'aventurer à l'intérieur,PERSONNE OSER FRANCHIR MUR,PAS NUL INTERIEUR OSER AVENTURER ,['Imp'],,"and no one ventured into it,",6,,
parce qu'il appartenait à une sorcière douée d'un grand pouvoir,PARCE QUE QUOI LIEU APPARTENIR SORCIERE GRAND POUVOIR,SORCIERE GRAND POUVOIR APPARTENIR DOUER ,['Imp']['Past'],,"for it belonged to a witch of great might,",7,,
et que tout le monde craignait.,TOUT LE MONDE PEUR ELLE,TOUT MONDE CRAINDRE ,['Imp'],,and of whom all the world was afraid.,8,,
Un jour donc que la femme se tenait à cette fenêtre,JOUR DAME FENETRE TENIR ,DONC JOUR FEMME FENETRE TENIR ,['Imp'],,"One day that the wife was standing at the window,",9,,
"et admirait le jardin en dessous,",JARDIN BAS ADMIRER,JARDIN DESSOUS ADMIRER ,['Imp'],,"and looking into the garden,",10,,
elle vit un parterre planté de superbes raiponces,VOIR FLEURS RAIPONCE ,PARTERRE SUPERBES RAIPONCES VOIR PLANTER ,['Pres']['Past'],,she saw a bed filled with the finest rampion;,11,,
"avec des rosettes de feuilles si vertes et si luisantes, si fraîches et si appétissantes, que l'eau lui en vint à la bouche",FEUILLES VERTE BRILLANTES FRAICHE ENVIE MANGER BAVER,ROSETTES FEUILLES VERTES LUISANTES FRAICHES APPETISSANTES EAU BOUCHE VENIR ,['Pres'],,and it looked so fresh and green that she began to wish for some;,12,,
Cette envie qu'elle en avait ne faisait que croître,ENVIE PLUS EN PLUS,PAS QUE ENVIE CROITRE FAIRE ,['Imp']['Imp'],,and at length she longed for it greatly.,13,,
et grandir de jour en jour;,TOUS LES JOURS,JOUR JOUR GRANDIR ,,,"This went on for days,",14,,
"mais comme elle savait aussi qu'elle ne pourrait pas en avoir,",SAVOIR IMPOSSIBLE MANGER,AUSSI PAS PAS SAVOIR POUVOIR AVOIR ,['Imp']['Pres'],,"and as she knew she could not get the rampion,",15,,
