FR,GLOSS_LSF,GENERATED,TENSE,GLOSS_LSFB,EN,NUM,SECOND_FR,SECOND_EN
Il était un homme,,,,,"There was once a man,",1,,
"dont la femme mourut,",,,,,"whose wife was dead,",2,,
et une femme,,,,,"and a woman,",3,,
dont le mari mourut;,,,,,whose husband was dead;,4,,
"et l'homme avait une fille,",,,,,"and the man had a daughter,",5,,
et la femme avait une fille.,,,,,and so had the woman.,6,,
Les petites filles se connaissaient,,,,,"The girls were acquainted with each other,",7,,
et allaient se promener ensemble et rentraient ensuite à la maison de la femme.,,,,,and used to play together sometimes in the woman's house.,8,,
Alors elle dit à la fille de l'homme:,,,,,"So the woman said to the man's daughter,",9,,
"Ecoute, ",,,,,"Listen to me,",10,,
"dis à ton père que je veux l'épouser,",,,,,"tell your father that I will marry him,",11,,
"alors tu auras chaque matin du lait pour te laver et du vin à boire,",,,,,"and then you shall have milk to wash in every morning and wine to drink,",12,,
tandis que ma fille se lavera dans de l'eau et boira de l'eau.,,,,,and my daughter shall have water to wash in and water to drink.,13,,
La petite fille rentra chez elle et raconta à son père ce que la femme avait dit.,,,,,The girl went home and told her father what the woman had said.,14,,
L'homme dit:,,,,,"The man said,",15,,
Que dois-je faire?,,,,,What shall I do!,16,,
Le mariage est une joie,,,,,"Marriage is a joy,",17,,
et aussi un tourment.,,,,,and also a torment.,18,,
"Pour finir,",,,,,"At last,",19,,
"comme il ne parvenait pas à se décider,",,,,,"as he could come to no conclusion,",20,,
il retira sa botte ,,,,,"he took off his boot,",21,,
et dit à sa fille: ,,,,,"and said to his daughter,",22,,
"Prends cette botte,",,,,,"Take this boot,",23,,
"la semelle en est percée,",,,,,it has a hole in the sole;,24,,
"va au grenier,",,,,,"go up with it into the loft,",25,,
pends-la au gros clou et verse de l'eau dedans.,,,,,hang it on the big nail and pour water in it.,26,,
"Si elle ne fuit pas,",,,,,"If it holds water,",27,,
"je me remarierai,",,,,,I will once more take to me a wife;,28,,
"mais si elle fuit, je refuse.",,,,,"if it lets out the water, so will I not.",29,,
La fillette fit ce qu'il lui avait ordonné: ,,,,,"The girl did as she was told,",30,,
mais sous l'effet de l'eau le trou se resserra ,,,,,"but the water held the hole together,",31,,
et la botte se remplit jusqu'au bord. ,,,,,and the boot was full up to the top.,32,,
Elle rapporta à son père ce que le sort avait décidé. ,,,,,So she went and told her father how it was.,33,,
Alors il monta voir lui-même ,,,,,"And he went up to see with his own eyes,",34,,
et il constata que c'était vrai; ,,,,,"and as there was no mistake about it,",35,,
il alla demander la veuve en mariage ,,,,,"he went to the widow and courted her,",36,,
et les noces eurent lieu.,,,,,and then they had the wedding.,37,,
"Le lendemain, quand les deux jeunes filles se lévèrent,",,,,,"The next morning, when the two girls awoke,",38,,
"la fille de l'homme trouva du lait pour se laver et du vin à boire,",,,,,"there stood by the bedside of the man's daughter milk to wash in and wine to drink,",39,,
tandis que la fille de la femme avait de l'eau pour se laver et de l'eau à boire.,,,,,and by the bedside of the woman's daughter there stood water to wash in and water to drink.,40,,
"Le surlendemain, il y eut pour l'une comme pour l'autre de l'eau pour se laver et de l'eau à boire.",,,,,On the second morning there stood water to wash in and water to drink for both of them alike.,41,,
"Et le troisième jour la fille de l'homme eut de l'eau pour se laver et de l'eau à boire,",,,,,"On the third morning there stood water to wash in and water to drink for the man's daughter,",42,,
"tandis que la fille de la femme avait du lait pour se laver et du vin à boire,",,,,,and milk to wash in and wine to drink for the woman's daughter;,43,,
et on en resta là.,,,,,and so it remained ever after.,44,,
La femme se mit à détester cordialement sa belle-fille,,,,,"The woman hated her stepdaughter,",45,,
et ne sut qu'inventer pour lui rendre la vie de plus en plus dure. ,,,,,and never knew how to treat her badly enough from one day to another.,46,,
"De plus elle était jalouse, parce que sa belle-fille était belle et aimable, ",,,,,"And she was jealous because her stepdaughter was pleasant and pretty,",47,,
tandis que sa vraie fille était laide et repoussante.,,,,,and her real daughter was ugly and hateful.,48,,
"Un jour d'hiver,",,,,,"Once in winter,",49,,
comme il avait gelé à pierre fendre,,,,,"when it was freezing hard,",50,,
"et que monts et vallées étaient ensevelis sous la neige,",,,,,"and snow lay deep on hill and valley,",51,,
"la femme confectionna une robe de papier,",,,,,"the woman made a frock out of paper,",52,,
appela la jeune fille et lui dit:,,,,,"called her stepdaughter, and said,",53,,
"mets cette robe,",,,,,"Here, put on this frock,",54,,
va dans la fort et rapporte-moi un petit panier de fraise:,,,,,go out into the wood and fetch me a basket of strawberries;,55,,
j'en ai envie.,,,,,I have a great wish for some.,56,,
"Mon Dieu, dit la jeune fille, ",,,,,"Oh dear, said the girl,",57,,
"c'est que les fraises ne poussent pas en hiver, ",,,,,there are no strawberries to be found in winter;,58,,
"la terre est felée, ",,,,,"the ground is frozen,",59,,
et puis la neige a tout recouvert. ,,,,,and the snow covers everything.,60,,
Et pourquoi irais-je dans cette robe en papier? ,,,,,And why should I go in the paper frock?,61,,
