FR,GLOSS_LSF,GENERATED,TENSE,GLOSS_LSFB,EN,NUM,SECOND_FR,SECOND_EN
Il était une jeune fille paresseuse qui ne voulait pas filer. ,,,,,"There was once a girl who was lazy and would not spin,",1,,
"Sa mère avait beau se mettre en colère, ",,,,,"and her mother could not persuade her to it, ",2,,
elle n'en pouvait rien tirer. ,,,,,do what she would.,3,,
Un jour elle en perdit tellement patience,,,,,"At last the mother became angry and out of patience,",4,,
"qu'elle alla jusqu'à lui donner des coups,",,,,,"and gave her a good beating,",5,,
et la fille se mit à pleurer tout haut.,,,,,so that she cried out loudly.,6,,
Justement la reine passait par là;,,,,,At that moment the Queen was going by;,7,,
"en entendant les pleurs, elle fit arrêter sa voiture,",,,,,"as she heard the crying, she stopped;",8,,
"et, entrant dans la maison,",,,,,"and, going into the house, ",9,,
elle demanda à la mère pourquoi elle frappait sa fille,,,,,"she asked the mother why she was beating her daughter,",10,,
si durement que les cris de l'enfant s'entendaient jusque dans la rue.,,,,,so that every one outside in the street could hear her cries.,11,,
"La femme eut honte de révéler la paresse de sa fille, ",,,,,"The woman was ashamed to tell of her daughter's laziness, ",12,,
et elle dit:  ,,,,,"so she said,",13,,
Je ne peux pas lui ôter son fuseau; ,,,,,I cannot stop her from spinning;,14,,
"elle veut toujours et sans cesse filer, ",,,,,"she is for ever at it,",15,,
et dans ma pauvreté je ne peux pas suffire à lui fournir du lin.,,,,,and I am poor and cannot furnish her with flax enough.,16,,
La reine répondit:  ,,,,,"Then the Queen answered,",17,,
Rien ne me plaît plus que la quenouille; ,,,,,"I like nothing better than the sound of the spinning-wheel,",18,,
le bruit du rouet me charme; ,,,,,and always feel happy when I hear its humming;,19,,
donnez-moi votre fille dans mon palais; ,,,,,let me take your daughter with me to the castle,20,,
j'ai du lin en quantité; ,,,,,"I have plenty of flax, ",21,,
elle y filera tant qu'elle voudra.,,,,,she shall spin there to her heart's content.,22,,
"La mère y consentit de tout son coeur, ",,,,,"The mother was only too glad of the offer, ",23,,
et la reine emmena la jeune fille.,,,,,and the Queen took the girl with her.,24,,
"Quand on fut arrivé au palais, elle la conduisit dans trois chambres qui étaient remplies du plus beau lin depuis le haut jusqu'en bas.",,,,,When they reached the castle the Queen showed her three rooms which were filled with the finest flax as full as they could hold.,25,,
"File-moi tout ce lin, lui dit-elle, ",,,,,"Now you can spin me this flax, said she,",26,,
"et quand tout sera fini, ",,,,,and when you can show it me all done ,27,,
