FR,GLOSS_LSF,GENERATED,TENSE,GLOSS_LSFB,EN,NUM,SECOND_FR,SECOND_EN
Il y a maintenant fort longtemps que vivait un roi dont la sagesse était connue dans tout son royaume.,,,,,A long time ago there lived a king who was famed for his wisdom through all the land.,1,,
"On ne pouvait rien lui cacher,",,,,,"Nothing was hidden from him,",2,,
il semblait capter dans les airs des nouvelles sur les choses les plus secrètes.,,,,,and it seemed as if news of the most secret things was brought to him through the air.,3,,
Ce roi avait une étrange habitude:,,,,,But he had a strange custom;,4,,
"tous les midis, alors que la grande table était desservie ",,,,,"every day after dinner, when the table was cleared,",5,,
"et qu'il n'y avait plus personne dans la salle, ",,,,,"and no one else was present,",6,,
son serviteur fidèle lui apportait un certain plat. ,,,,,"a trusty servant had to bring him one more dish. It was covered, however,",7,,
"Or, ce plat était recouvert, et le valet lui-même ignorait ce qu'il contenait;",,,,,"and even the servant did not know what was in it,",8,,
"personne d'ailleurs ne le savait, ",,,,,"neither did anyone know,",9,,
car le roi ne soulevait le couvercle et ne commençait à manger que lorsqu'il était seul.,,,,,for the King never took off the cover to eat of it until he was quite alone.,10,,
Pendant longtemps cela se passa ainsi.,,,,,"This had gone on for a long time,",11,,
"Mais un jour, le valet,",,,,,"when one day the servant,",12,,
"ne sachant plus résister à sa curiosité, emporta le plat dans sa chambrette ",,,,,"who took away the dish, was overcome with such curiosity that he could not help carrying the dish into his room.",13,,
et referma soigneusement la porte derrière lui.,,,,,"When he had carefully locked the door,",14,,
Il souleva le couvercle,,,,,"he lifted up the cover,",15,,
et vit un serpent blanc au fond du plat.,,,,,and saw a white snake lying on the dish.,16,,
Cela sentait bon et il eut envie d'y goûter.,,,,,"But when he saw it he could not deny himself the pleasure of tasting it,",17,,
"N'y tenant plus, il en coupa un morceau et le porta à sa bouche.",,,,,so he cut off a little bit and put it into his mouth.,18,,
Mais à peine sentit-il le morceau sur sa langue qu'il entendit gazouiller sous la fenêtre.,,,,,No sooner had it touched his tongue than he heard a strange whispering of little voices outside his window.,19,,
"Il s'approcha, écouta",,,,,"He went and listened,",20,,
et se rendit compte qu'il s'agissait de moineaux qui se racontaient ce qu'ils avaient vu dans les champs et dans les forêts.,,,,,"and then noticed that it was the sparrows who were chattering together, and telling one another of all kinds of things which they had seen in the fields and woods.",21,,
Le fait d'avoir goûté au serpent lui avait donné la faculté de comprendre le langage des animaux.,,,,,Eating the snake had given him power of understanding the language of animals.,22,,
"Ce jour-là, justement, la reine perdit sa plus belle bague, ",,,,,"Now it so happened that on this very day the Queen lost her most beautiful ring, ",23,,
et les soupçons se portèrent sur le valet qui avait la confiance du roi et avait donc accès partout. ,,,,,"and suspicion of having stolen it fell upon this trusty servant, who was allowed to go everywhere.",24,,
"Le roi le fit appeler, ",,,,,"The King ordered the man to be brought before him,",25,,
le rudoya et menaça de le condamner s'il ne démasquait pas le coupable avant le lendemain matin. ,,,,,"and threatened with angry words that unless he could before the morrow point out the thief, he himself should be looked upon as guilty and executed.",26,,
Le jeune homme jura qu'il était innocent mais le roi ne voulut rien entendre et le renvoya. ,,,,,In vain he declared his innocence; he was dismissed with no better answer.,27,,
"Le valet, effrayé et inquiet, descendit dans la cour où il commença à se demander comment il pourrait bien faire pour s'en tirer. ",,,,,In his trouble and fear he went down into the courtyard and took thought how to help himself out of his trouble.,28,,
"Il y avait là, sur le bord du ruisseau, des canards qui se reposaient en discutant à voix basse tout en lissant leurs plumes avec leur bec. ",,,,,"Now some ducks were sitting together quietly by a brook and taking their rest; and, whilst they were making their feathers smooth with their bills,they were having a confidential conversation together.",29,,
Le valet s'arrêta pour écouter.,,,,,The servant stood by and listened.,30,,
Les canards se racontaient où ils avaient pataugé ce matin-là ,,,,,"They were telling one another of all the places where they had been waddling about all the morning,",31,,
et quelles bonnes choses ils avaient trouvées à manger ,,,,,"and what good food they had found,",32,,
puis l'un d'eux se plaignit: ,,,,,"and one said in a pitiful tone,",33,,
J'ai l'estomac lourd ,,,,,Something lies heavy on my stomach;,34,,
car j'ai avalé par mégarde une bague qui était sous la fenêtre de la reine. ,,,,,as I was eating in haste I swallowed a ring which lay under the Queen's window.,35,,
"Le valet l'attrapa aussitôt, le porta dans la cuisine ",,,,,"The servant at once seized her by the neck, carried her to the kitchen,",36,,
et dit au cuisinier: ,,,,,"and said to the cook,",37,,
"Saigne ce canard, il est déjà bien assez gras. ",,,,,"Here is a fine duck; pray, kill her.",38,,
"D'accord, répondit le cuisinier en le soupesant.",,,,,"Yes, said the cook, and weighed her in his hand;",39,,
