FR,GLOSS_LSF,GENERATED,TENSE,GLOSS_LSFB,EN,NUM,SECOND_FR,SECOND_EN
Un homme riche avait une femme qui tomba malade;,,HOMME RICHE FEMME MALADE ,['Imp']['Pres'],,"There was once a rich man whose wife lay sick,",1,,
"et quand celle-ci sentit sa fin prochaine, elle appela à son chevet son unique fille",,FIN PROCHAINE SENTIR CHEVET UNIQUE FILLE APPELER ,['Past']['Imp'],,"and when she felt her end drawing near she called to her only daughter to come near her bed,",2,,
"et lui dit: Chère enfant,",,DIRE CHERE ENFANT ,['Pres'],,"and said, Dear child,",3,,
"reste bonne et pieuse,",,BONNE RESTE PIEUSE ,['Pres'],,"be pious and good,",4,,
"et le bon Dieu t'aidera toujours,",,T' TOUJOURS BON DIEU AIDER ,['Fut'],,"and God will always take care of you,",5,,
"et moi, du haut du ciel, je te regarderai et te protégerai.",,HAUT CIEL REGARDERAI TE PROTEGERAI ,['Pres'],,"and I will look down upon you from heaven, and will be with you.",6,,
Puis elle ferma les yeux et mourut.,,YEUX FERMER MOURUT ,['Pres'],,And then she closed her eyes and expired.,7,,
"La fillette se rendit chaque jour sur la tombe de sa mère, pleura",,FILLETTE JOUR TOMBE MERE RENDRE PLEURER ,['Past']['Fut'],,"The maiden went every day to her mother's grave and wept,",8,,
et resta bonne et pieuse.,,BONNE RESTER PIEUSE ,['Pres'],,and was always pious and good.,9,,
"L'hiver venu, la neige recouvrit la tombe d'un tapis blanc.",,HIVER VENIR NEIGE TOMBE TAPIS BLANC RECOUVRIR ,['Past']['Pres'],,"When the winter came the snow covered the grave with a white covering,",10,,
"Mais au printemps, quand le soleil l'eut fait fondre,",,PRINTEMPS SOLEIL FONDRE ,['Past']['Past'],,"and when the sun came in the early spring and melted it away,",11,,
l'homme prit une autre femme.,,HOMME AUTRE FEMME PRENDRE ,['Pres'],,the man took to himself another wife.,12,,
"La femme avait amené avec elle ses deux filles qui étaient jolies et blanches de visage,",,DEUX FEMME FILLES JOLIES AMENER BLANCHES VISAGE ,['Imp']['Past']['Imp'],,"The new wife brought two daughters home with her, and they were beautiful and fair in appearance,",13,,
mais laides et noires de coeur.,,LAIDES NOIRES COEUR ,<unk>,,"but at heart were, black and ugly.",14,,
Alors de bien mauvais jours commencèrent pour la pauvre belle-fille.,,ALORS BIEN MAUVAIS JOURS PAUVRE BELLE-FILLE COMMENCER ,['Pres'],,And then began very evil times for the poor step-daughter.,15,,
Faut-il que cette petite oie reste avec nous dans la salle? dirent-elles.,,DIRENT PETITE OIE SALLE - FALLOIR RESTE ,['Pres']['Pres'],,Is the stupid creature to sit in the same room with us? said they;,16,,
"Qui veut manger du pain, doit le gagner.",,PAIN VOULOIR MANGER GAGNER DEVOIR ,['Pres']['Pres'],,those who eat food must earn it.,17,,
"Allez ouste, souillon!",,ALLEZ OUSTE SOUILLON ,['Pres'],,Out upon her for a kitchen-maid!,18,,
"Elles lui enlevèrent ses beaux habits,",,BEAUX ENLEVER HABITS ,['Pres']['Past'],,"They took away her pretty dresses,",19,,
la vêtirent d'un vieux tablier gris,,VETIRENT VIEUX TABLIER GRIS ,<unk>,,"and put on her an old grey kirtle,",20,,
et lui donnèrent des sabots de bois.,,LUI SABOTS BOIS DONNER ,['Imp'],,and gave her wooden shoes to wear.,21,,
"Voyez un peu la fière princesse,",,PEU FIERE PRINCESSE VOIR ,['Pres'],,"Just look now at the proud princess,",22,,
comme elle est accoutrée! s'écrièrent-elles en riant,,ECRIERENT - ACCOUTRER RIRE ,['Pres']['Past']['Pres'],,"how she is decked out! cried they laughing,",23,,
et elles la conduisirent à la cuisine.,,CONDUISIRENT CUISINE ,<unk>,,and then they sent her into the kitchen.,24,,
"Alors il lui fallut faire du matin au soir de durs travaux,",,ALORS MATIN SOIR DURS TRAVAUX FALLOIR FAIRE ,['Past'],,"There she was obliged to do heavy work from morning to night,",25,,
"se lever bien avant le jour, porter de l'eau,",,BIEN JOUR LEVER EAU PORTER ,,,"get up early in the morning, draw water,",26,,
"allumer le feu, faire la cuisine et la lessive.",,FEU ALLUMER CUISINE FAIRE LESSIVE ,,,"make the fires, cook, and wash.",27,,
"En outre, les deux soeurs lui faisaient toutes les misères imaginables, se moquaient d'elle,",,DEUX SOEURS TOUTES MISERES IMAGINABLES FAIRE MOQUAIENT ,['Imp'],,"Besides that, the sisters did their utmost to torment her, mocking her,",28,,
"lui renversaient les pois et les lentilles dans la cendre,",,POIS RENVERSER LENTILLES CENDRE ,['Pres'],,"and strewing peas and lentils among the ashes,",29,,
de sorte qu'elle devait recommencer à les trier.,,SORTE TRIER DEVOIR RECOMMENCER ,['Imp'],,and setting her to pick them up.,30,,
