FR,GLOSS_LSF,GENERATED,TENSE,GLOSS_LSFB,EN,NUM,SECOND_FR,SECOND_EN
Il était une fois une petite fille,FOIS PETIT FILLE,FOIS PETIT FILLE ÊTRE,,,Once upon a time there was a sweet little girl.,1,,
"que tout le monde aimait bien,",TOUT MONDE AIMER ELLE,BIEN TOUT MONDE AIMER,,,"Everyone who saw her liked her,",2,,
surtout sa grand-mère.,SURTOUT GRAND-MÈRE,SURTOUT GRAND-MÈRE,,,"but most of all her grandmother,",3,,
Elle ne savait qu'entreprendre pour lui faire plaisir. ,NE SAIT PAS COMMENT LUI FAIRE PLAISIR,NE QUE PLAISIR SAVOIR ENTREPRENDRE FAIRE,,,who did not know what to give the child next.,4,,
"Un jour, elle lui offrit un petit bonnet de velours rouge, ",JOUR OFFRIR QUOI? PETIT BONNET VELOURS ROUGE ,JOUR PETIT BONNET VELOURS ROUGE OFFRIR,,,Once she gave her a little cap made of red velvet.,5,,
qui lui allait si bien,SI BIEN ALLER,SI BIEN ALLER,,,"Because it suited her so well,",6,,
qu'elle ne voulut plus en porter d'autre.,REFUSER PORTER D'AUTRES,NE PLUS VOULOIR PORTER,,,"and she wanted to wear it all the time,",7,,
"Du coup, on l'appela Chaperon Rouge.",ELLE APPELER CHAPERON ROUGE,COUP CHAPERON ROUGE APPELER,,,she came to be known as Little Red Riding Hood.,8,,
"Un jour, sa mère lui dit:",JOUR MÈRE DIRE,JOUR MÈRE DIRE,,,One day her mother said to her:,9,,
"Viens voir, Chaperon Rouge:",VENIR VOIR,CHAPERON ROUGE VENIR VOIR,,,Come Little Red Riding Hood.,10,,
voici un morceau de gâteau et une bouteille de vin.,VOICI MORCEAU GÂTEAU BOUTEILLE VIN ,ET MORCEAU GÂTEAU BOUTEILLE VIN VOICI,,,Here is a piece of cake and a bottle of wine.,11,,
Porte-les à ta grand-mère;,AMENER LES GRAND-MÈRE,PORTE-LE GRAND-MÈRE,,,Take them to your grandmother.,12,,
elle est malade et faible;,ELLE MALADE FAIBLE,ET MALADE FAIBLE ÊTRE,,,"She is sick and weak,",13,,
elle s'en délectera;,MANGER PLEINS DELICIEUX,DÉLECTER,,,and they will do her well.,14,,
Soit bien élevée. Salue-là de ma part.,CORRECTE DIRE BONJOUR DE MA PART,SOIT BIEN ÉLEVÉ,,,Mind your manners and give her my greetings.,15,,
"Fais vite quand tu seras en chemin,",MARCHER VITE,VITE CHEMIN FAIRE ÊTRE,,,"Behave yourself on the way,",16,,
"Ne t'écarte pas de ta route,",CHEMIN PAS T'ECARTER,NE PAS ROUTE ÉCARTER,,,"and do not leave the path,",17,,
sinon tu pourrais tomber et casser la bouteille ,ATTENTION TOMBER CASSER BOUTEILLE,ET BOUTEILLE POUVOIR TOMBER CASSER,,,"or you might fall down and break the glass,",18,,
