FR,GLOSS_LSF,GENERATED_LSF,TENSE,GLOSS_LSFB,EN,NUM,GENERATED_FR,GENERATED_EN
"Dans des temps très anciens, ",TEMPS ANCIEN,,,,"In the old times,",1,,"In very ancient times,"
"alors qu'il pouvait encore être utile de faire des voeux,",ENCORE UTILE FAIRE VŒUX,,,,"when it was still of some use to wish for the thing one wanted,",2,,"useful to make wishes,"
vivait un roi dont toutes les filles étaient belles. ,VIVRE ROI SES FILLES TOUTES BELLES,,,,"there lived a King whose daughters were all handsome,",3,,lived a king whose daughters were all beautiful. 
"La plus jeune était si belle que le soleil, ",PLUS JEUNE TELLEMENT BELLE LUI SOLEIL,,,,"but the youngest was so beautiful that the sun himself,",4,,"The youngest was so beautiful that the sun, "
"qui en a cependant tant vu, ",VOIR PLEIN FILLE,,,,"who has seen so much,",5,,"who has seen so much, "
s'étonnait chaque fois qu'il illuminait son visage. ,MAIS S'ETONNER CHAQUE FOIS SOLEIL ILLUMINER SON VISAGE,,,,wondered each time he shone over her because of her beauty.,6,,was surprised every time he lit up his face. 
"Non loin du château du roi, ",PAS LOIN CHÂTEAU ROI,,,,Near the royal castle there,7,,"Not far from the king's castle, "
"il y avait une grande et sombre forêt et, ",LA GRANDE FORET SOMBRE,,,,"was a great dark wood, and",8,,"there was a big, dark forest and, "
"dans la forêt, ",DANS FORET,,,,in the wood,9,,"in the forest, "
"sous un vieux tilleul, une fontaine. ",VIEUX TILLEUL DESSOUS LA FONTAINE,,,,under an old linden-tree was a well;,10,,"under an old lime tree, a fountain. "
"Un jour qu'il faisait très chaud, ",UN JOUR TRES CHAUD,,,,"and when the day was hot,",11,,"One day it was very hot, "
"la royale enfant partit dans le bois, ",ENFANT ROYALE PARTIR DANS BOIS,,,,the King's daughter used to go forth into the wood and,12,,"the royal child went into the woods, "
et s'assit au bord de la source fraîche. ,S'ASSOIR FONTAINE BORD,,,,"sit by the brink of the cool well,",13,,and sat down at the edge of the cool spring. 
"Et comme elle s'ennuyait, ",ELLE S'ENNUYER,,,,"and if the time seemed long,",14,,"And how bored she was, "
"elle prit sa balle en or, ",PRENDRE BALLE OR,,,,"she would take out a golden ball,",15,,"she took her golden ball, "
la jeta en l'air et la rattrapa; ,JETER AIR RATTRAPER,,,,"and throw it up and catch it again,",16,,threw it in the air and caught it; 
c'était son jeu favori.,SON JEU PREFERE,,,,and this was her favourite pastime.,17,,it was his favorite game.
"Il arriva que la balle d'or, ",PARFOIS BALLE OR,,,,"Now it happened one day that the golden ball, ",18,,"It happened that the golden ball, "
"au lieu de revenir dans sa main, ",REVENIR SA MAIN NON,,,,"instead of falling back into the maiden's little hand which had sent it aloft, ",19,,"instead of returning to his hand, "
tomba sur le sol et roula tout droit dans l'eau. ,TOMBER SUR SOL ROULER DANS EAU BALLE COULER,,,,dropped to the ground near the edge of the well and rolled in. ,20,,fell to the ground and rolled straight into the water. 
"La princesse la suivit des yeux, mais la balle disparut: ",PRINCESSE SUIVRE BALLE YEUX MAIS BALLE DISPARAITRE,,,,"The king's daughter followed it with her eyes as it sank, ",21,,"The princess followed it with her eyes, but the ball disappeared"
la fontaine était si profonde qu'on n'en voyait pas le fond. ,FONTAINE PROFONDE PAS VOIR FOND,,,,"but the well was deep, so deep that the bottom could not be seen. ",22,,the fountain was so deep that you couldn't see the bottom. 
"La jeune fille se mit à pleurer, ",JEUNE FILLE PLEURER,,,,"Then she began to weep,",23,,"The girl began to cry, "
à pleurer de plus en plus fort; ,PLEURER PLEURER PIRE PIRE,,,,and she wept and wept,24,,crying louder and louder; 
elle était inconsolable. ,IMPOSSIBLE CONSOLER,,,,as if she could never be comforted.,25,,she was inconsolable. 
"Comme elle gémissait ainsi, ",CRIER PLEURER,,,,And in the midst of her weeping,26,,"How she moaned like that, "
quelqu'un lui cria: ,QUELQU'UN CRIER,,,,she heard a voice saying to her:,27,,someone shouted at him
"Pourquoi pleures-tu, princesse,",POURQUOI TOI PLEURER PRINCESSE,,,,"What ails thee, king's daughter?",28,,"Why are you crying, princess,"
si fort qu'une pierre s'en laisserait attendrir? ,TELLEMENT PLEURER IMPOSSIBLE TE CONSOLER MEME PIERRE POUVOIR TOUCHER PAR TES PLEURS ?,,,,Thy tears would melt a heart of stone.,29,,so strong that a stone would be moved by it? 
Elle regarda autour d'elle pour voir d'où venait la voix ,ELLE REGARDER AUTOUR ELLE VOIR OU VOIX VENIR,,,,"And when she looked to see where the voice came from,",30,,She looked around to see where the voice was coming from 
et aperçut une grenouille ,APERCEVOIR GRENOUILLE,,,,there was nothing but a frog,31,,and saw a frog 
qui tendait hors de l'eau sa tête grosse et affreuse. ,EAU TETE GROSSE AFFREUSE SORTIR ,,,,stretching his thick ugly head out of the water.,32,,which stretched out of the water its big and frightful head. 
"Ah! c'est toi, ",PRINCESSE DIRE AH TOI PARLER,,,,"Oh, is it you,",33,,"Ah! it's you, "
"vieille barboteuse! dit-elle,",FLEMMARDE,,,,"old waddler? said she,",34,,"old romper! she said,"
je pleure ma balle d'or qui est tombée dans la fontaine.,MOI PLEURER CAR MA BALLE OR TOMBER DANS FONTAINE,,,,I weep because my golden ball has fallen into the well.,35,,I cry for my golden ball that fell into the fountain.
"Tais-toi et ne pleure plus, ",GRENOUILLE DIRE,,,,"Never mind, do not weep,",36,,"Shut up and stop crying, "
"dit la grenouille, ",TAIS TOI ARRETER PLEURER,,,,"answered the frog,",37,,"said the frog, "
je vais t'aider. ,MOI T'AIDER,,,,I can help you;,38,,I will help you. 
Mais que me donneras-tu si je te rapporte ton jouet? ,MAIS SI MOI RAMENER TON JOUET TOI ME DONNER QUOI ?,,,,but what will you give me if I fetch up your ball again?,39,,But what will you give me if I bring back your toy? 
"Ce que tu voudras, ",PRINCESSE REPONDRE,,,,"Whatever you like,",40,,"Whatever you want, "
"chère grenouille, ",OH GRENOUILLE,,,,"dear frog,",41,,"dear frog, "
"répondit-elle, ",TOUT TOI VOULOIR,,,,"said she,",42,,"she replied, "
"mes habits, ",MES HABITS,,,,"any of my clothes,",43,,"my clothes, "
mes perles et mes diamants et même la couronne d'or que je porte sur la tête. ,MES PERLES MES DIAMANTS MEME COURONNE OR MOI PORTER,,,,"my pearls and jewels, or even the golden crown that I wear.",44,,my pearls and diamonds and even the golden crown I wear on my head. 
"Je ne veux ni de tes perles, ni de tes diamants, ni de ta couronne. ",GRENOUILLE REPONDRE MOI PAS VOULOIR TES PERLES TE DIAMANT TA COURONNE NON,,,,"Thy clothes, thy pearls and jewels, and thy golden crown are not for me, answered the frog,",45,,"I don't want your pearls, your diamonds or your crown. "
"Mais, si tu acceptes de m'aimer, ",MAIS SI TOI ACCEPTER M'AIMER,,,,"but if thou wouldst love me,",46,,"But, if you agree to love me, "
"si tu me prends comme compagne et camarade de jeux, ",ME PRENDRE TON COMPAGNON TON CAMARADE JEUX,,,,"and have me for thy companion and play-fellow,",47,,"if you take me as your companion and playmate, "
"si je peux m'asseoir à ta table à côté de toi, ",SI MOI POUVOIR M'ASSOIR TABLE COTER TOI,,,,"and let me sit by thee at table,",48,,"if I can sit at your table next to you, "
"manger dans ton assiette, ",MANGER MEME ASSIETTE TOI,,,,"and eat from thy plate,",49,,"eat from your plate, "
boire dans ton gobelet et ,BOIRE MEME VERRE TOI,,,,"and drink from thy cup,",50,,drink from your cup and 
"dormir dans ton lit, ",DORMIR DANS TON LIT,,,,"and sleep in thy little bed,",51,,"sleep in your bed, "
"si tu me promets tout cela, ",SI TOI ME PROMETTRE TOUT CA,,,,"if thou wouldst promise all this,",52,,"if you promise me all that, "
je plongerai au fond de la source et te rendrai ta balle. ,ALORS MOI PLONGER FOND FONTAINE RENDRE TA BALLE,,,,then would I dive below the water and fetch thee thy golden ball again.,53,,I will dive to the bottom of the spring and give you back your ball. 
"Mais oui, dit-elle, ",ELLE DIRE OUI,,,,"Oh yes, she answered,",54,,"But yes, she says, "
je te promets tout ce que tu veux ,MOI TE PROMETTRE TOUT TOI VOULOIR,,,,"I will promise it all, whatever you want,",55,,I promise you everything you want 
à condition que tu me retrouves ma balle. ,CONDITION TOI RETROUVER MA BALLE,,,,if you will only get me my ball again.,56,,on the condition that you get me my ball back. 
"Elle se disait: Elle vit là, ",PRINCESSE PENSER GRENOUILLE VIVRE ICI,,,,But she thought to herself: What nonsense he talks!,57,,"She said to herself : She lives there, "
dans l'eau avec les siens et coasse. ,DANS EAU AVEC MEME GRENOUILLE ELLE,,,,"As if he could do anything but sit in the water and croak with the other frogs,",58,,in the water with his own and croaks. 
Comment serait-elle la compagne d'un être humain?,COMMENT ELLE DEVENIR COMPAGNE ETRE HUMAIN ?,,,,or could possibly be any one's companion.,59,,How could she be the companion of a human being?
"Quand la grenouille eut obtenu sa promesse, ",QUAND GRENOUILLE AVOIR PROMESSE PRINCESSE,,,,"But the frog, as soon as he heard her promise,",60,,"When the frog had obtained his promise, "
"elle mit la tête sous l'eau, ",TETE SOUS EAU,,,,drew his head under the water,61,,"she put her head under water, "
"plongea et, ",PLONGER,,,,"and sank down out of sight,",62,,"plunged and, "
"peu après, ",JUSTE APRES,,,,but after a while,63,,"soon after, "
réapparut en tenant la balle entre ses lèvres. ,REEAPPARAITRE DANS BOUCHE BALLE,,,,"he came to the surface again with the ball in his mouth,",64,,reappeared holding the ball between his lips. 
Elle la jeta sur l'herbe. ,JETER SUR HERBE,,,,and he threw it on the grass.,65,,She threw it on the grass. 
"En retrouvant son beau jouet, la fille du roi fut folle de joie.",FILLE DU ROI RETROUVER SON BEAU JOUET ELLE HEUREUSE,,,,"The King's daughter was overjoyed to see her pretty plaything again,",66,,"When she found her beautiful toy, the king's daughter was overjoyed."
Elle le ramassa et partit en courant. ,RAMASSER PARTIR COURANT,,,,and she caught it up and ran off with it.,67,,She picked it up and ran off. 
Attends! Attends! cria la grenouille. ,GRENOUILLE CRIER ATTEND ATTEND,,,,"Stop, stop! cried the frog,",68,,"Wait! Wait!"" shouted the frog. "
Emmène-moi! ,EMMENER MOI,,,,take me up too.,69,,Take me with you! 
Je ne peux pas courir aussi vite que toi! ,MOI PAS COURIR VITE COMME TOI,,,,I cannot run as fast as you!,70,,I can't run as fast as you! 
