FR,GLOSS_LSF,GENERATED_LSF,TENSE,GLOSS_LSFB,EN,NUM,GENERATED_FR,GENERATED_EN
Le chat fit la connaissance d'une souris.,CHAT SOURIS CHAT FAIRE CONNAISSANCE AVEC SOURIS,CHAT CONNAISSANCE SOURIS FAIRE ,['Past'],,"A cat had made the acquaintance of a mouse,",1,,The cat met a mouse.
Il l'assura si bien que ses sentiments envers elle étaient amicaux et chaleureux,CHAT DIRE T'INQUIETE PAS TOI MOI AMI C'EST TOUT ,ASSURA BIEN SENTIMENTS ENVERS CHALEUREUX AMICAUX ,['Imp']['Past'],,and had said so much to her about the great love and friendship,2,,He assured her so well that his feelings towards her were friendly and warm
"que la souris se laissa convaincre et finit par accepter de vivre avec le chat, sous le même toit.",CHAT CONVAINCRE SOURIS SOURIS ACCEPTER VIVRE AVEC CHAT DEUX SOUS TOIT,SOURIS CONVAINCRE FINIT VIVRE CHAT LAISSER ACCEPTER MEME TOIT ,['Pres'],,"that he felt for her, that at last the mouse agreed that they should live and keep house together.",3,,"that the mouse was convinced and finally agreed to live with the cat, under the same roof."
"Il nous faudra faire nos réserves de nourriture pour l'hiver,",FALLOIR RESERVE NOURRITURE POUR HIVER,RESERVES NOURRITURE FALLOIR FAIRE HIVER ,['Fut'],,"But we must make preparations for winter,",4,,"We will need to stock up on food for the winter,"
"dit le chat,",CHAT DIRE,CHAT DIT ,['Past'],,"said the cat,",5,,"said the cat,"
sinon nous risquons de mourir de faim.,SINON NOUS MOURIR FAIM,SINON FAIM RISQUER MOURIR ,['Pres'],,"else we shall suffer from hunger,",6,,otherwise we risk starving to death.
"Toi, ma petite souris,",TOI MA PETITE SOURIS,PETITE SOURIS ,<unk>,,"and you, little mouse,",7,,"You, my little mouse,"
"tu ne peux pas aller partout,",PAS POSSIBLE ALLER PARTOUT,NE PAS PARTOUT POUVOIR ALLER ,['Pres'],,"cannot venture out everywhere,",8,,"you can't go everywhere,"
tu pourrais te faire prendre dans un piège.,POUVOIR ATTRAPER PIEGE,TOI POURRAIS PIEGE PRENDRE ,,,or in the end you will be caught in a trap.,9,,you might get caught in a trap.
C'était une bonne idée.,IDEE,BONNE IDEE ,['Imp'],,"This good advice was followed,",10,,It was a good idea.
Ils achetèrent alors un petit pot de saindoux mais ne savaient pas où le cacher.,DEUX ACHETER PETIT POT DEDANS GRAS PORC MAIS PAS SAVOIR OU CACHER,ALORS PETIT POT SAINDOUX NE PAS CACHER ACHETER SAVOIR ,['Pres']['Imp'],,"and they bought a pot of fat, but they did not know where to store it.",11,,They bought a small jar of lard but didn't know where to hide it.
"Ils réfléchirent longtemps et, finalement,",REFLECHIR REFLECHIR LONGTEMPS FINALEMENT,LONGTEMPS REFLECHIR FINALEMENT ,['Imp'],,"Finally, after much consideration,",12,,"They thought for a long time and finally,"
le chat décida: Sais-tu ce que nous allons faire? Nous le cacherons dans l'église; on ne peut imaginer meilleure cachette!,CHAT DECIDER TOI SAVOIR NOUS FAIRE ? DEUX CACHER DANS EGLISE SUR MEILLEUR CACHETTE !,CHAT DECIDER SAIS TOI EGLISE ALLER FAIRE CACHER NE MEILLEURE CACHETTE POUVOIR IMAGINER ,['Past']['Pres']['Pres']['Pres'],,"the cat said, I know of no place where it will be better stored up than in the church.",13,,the cat decided : Do you know what we'll do? We'll hide him in the church; we can't imagine a better hiding place!
Personne n'oserait emporter quelque chose d'une église.,PERSONNE OSER PRENDRE QUELQUE CHOSE DANS EGLISE,PERSONNE CHOSE EGLISE OSER EMPORTER ,['Imp'],,No one dares take anything away from there.,14,,No one would dare take anything away from a church.
Nous poserons le pot sous l'autel et nous ne l'entamerons qu'en cas de nécessité absolue.,NOUS METTRE POT SOUS AUTEL MANGER CA UNIQUEMENT SI VRAIMENT BESOIN,POT AUTEL NE ENTAMERONS CAS NECESSITE ABSOLUE POSER ,['Pres'],,"We will put it beneath the altar, and not touch it until we are need it.",15,,We will place the pot under the altar and will not open it unless absolutely necessary.
"Ils portèrent donc le pot en ce lieu sûr,",APPORTER POT DANS EGLISE SUR RESTER,DONC POT LIEU SUR PORTER ,['Imp'],,"So the pot was stored safely away,",16,,"So they carried the jar to this safe place,"
mais très vite le chat eut envie de saindoux.,VITE CHAT ENVIE GRAS PORC,TRES VITE CHAT SAINDOUX ENVIE ,['Past']['Past'],,"but it was not long before the cat took a great longing for it,",17,,but soon the cat had a craving for lard.
