FR,GLOSS_LSF,GENERATED_LSF,TENSE,GLOSS_LSFB,EN,NUM,GENERATED_FR,GENERATED_EN
"Près de l'entrée d'une grande forêt vivait un bûcheron avec sa femme et son seul enfant,",GRANDE FORET PRES ENTREE LA VIVRE BUCHERON AVEC SA FEMME SON UNIQUE ENFANT,PRES ENTREE GRANDE FORET BUCHERON FEMME SEUL ENFANT VIVRE ,['Imp'],,"Hard by a great forest dwelt a wood-cutter with his wife,",1,"Dans une grande forêt, un bûcheron vivait avec sa femme,","Near the entrance to a large forest lived a lumberjack with his wife and only child,"
qui était une jeune fille âgée de trois ans.,ENFANT JEUNE FILLE AGE TROIS ANS,JEUNE FILLE TROIS ANS AGEE ,['Imp']['Past'],,"who had an only child, a little girl three years old.",2,"qui avait un enfant unique, une petite fille de trois ans.",who was a young girl of three years old.
"Mais ils étaient si pauvres qu'ils ne savaient que lui donner à manger, car ils n'avaient que leur pain de chaque jour.",TOUS TROIS TRES PAUVRES SAIT PAS QUOI NOURRIR ENFANT CAR PAS PAIN CHAQUE JOUR,PAUVRES NE MANGER SAVOIR DONNER PAIN JOUR AVOIR ,['Imp']['Imp']['Imp'],,"They were so poor, however, that they no longer had daily bread, and did not know how to get food for her.",3,Mais ils étaient si pauvres qu'ils n'avaient plus de pain quotidien et ne savaient pas comment lui procurer de la nourriture.,"But they were so poor that they did not know what to give him to eat, for they had only their daily bread."
"Un matin le bûcheron s'en alla tout soucieux travailler dans la forêt,",MATIN BUCHERON ALLER TRAVAILLER DANS FORET TRANQUILLE,MATIN BUCHERON TOUT SOUCIEUX FORET ALLER TRAVAILLER ,['Past'],,"One morning the wood-cutter went out sorrowfully to his work in the forest,",4,"Un matin, le bûcheron se rendit tristement à son travail dans la forêt,","One morning the woodcutter went to work in the forest, worried,"
"et, comme il fendait du bois,",QUAND LUI COUPER BOIS,BOIS FENDRE ,['Imp'],,"and while he was cutting wood,",5,"et pendant qu'il coupait du bois,","and, as he was splitting wood,"
"une grande et belle femme se présenta tout à coup devant lui: elle portait sur la tète une couronne d'étoiles brillantes, et, lui adressant la parole, elle lui dit:",GRANDE BELLE FEMME PRESENTER DEVANT LUI COURONNE ETOILE BRILLANTE PORTER SUR TETE ELLE LUI DIRE,GRANDE BELLE FEMME TOUT PRESENTER COUP TETE COURONNE ETOILES BRILLANTES PORTER PAROLE ADRESSANT DIRE ,['Past']['Imp']['Pres']['Pres'],,"suddenly there stood before him a tall and beautiful woman with a crown of shining stars on her head, who said to him:",6,"Soudain, une femme grande et belle, portant sur la tête une couronne d'étoiles brillantes, se présenta devant lui et lui dit :","a tall and beautiful woman suddenly appeared before him, wearing a crown of shining stars on her head, and speaking to him, she said"
"Je suis la Vierge Marie, mère du petit enfant Jésus;",MOI VIERGE MARIE MERE PETIT ENFANT JESUS,VIERGE MARIE MERE PETIT ENFANT JESUS ,['Pres'],,"I am the Virgin Mary, mother of the child Jesus.",7,"Je suis la Vierge Marie, mère de l'enfant Jésus.","I am the Virgin Mary, mother of the little child Jesus;"
"tu es pauvre et misérable, amène-moi ton enfant;",TOI PAUVRE MISERABLE AMENE MOI TON ENFANT,TOI MISERABLE PAUVRE AMENE ENFANT ,['Pres']['Pres'],,"Thou art poor and needy,",8,"Tu es pauvre et nécessiteux,","you are poor and miserable, bring me your child;"
"je l'emporterai avec moi, je serai sa mère et j'en prendrai soin.",MOI PRENDRE AVEC MOI DEVENIR SA MERE M' OCCUPER ELLE,EMPORTERAI MERE PRENDRAI SOIN ETRE ,['Pres'],,"bring thy child to me, I will take her with me and be her mother, and care for her.",9,"Amène-moi ton enfant, je le prendrai avec moi, je serai sa mère et je prendrai soin de lui.","I will take him with me, I will be his mother and I will take care of him."
"Le bûcheron obéit; il alla chercher son enfant et le remit à la Vierge Marie,",BUCHERON OBEIR CHERCHER SON ENFANT DONNER VIERGE MARIE ,BUCHERON OBEIT ENFANT REMIT VIERGE MARIE ALLER CHERCHER ,['Past']['Past'],,"The wood-cutter obeyed, brought his child, and gave her to the Virgin Mary,",10,"Le bûcheron obéit, amena son enfant et le donna à la Vierge Marie,","The woodcutter obeyed; he went to fetch his child and gave him to the Virgin Mary,"
