FR,GLOSS_LSF,GENERATED_LSF,TENSE,GLOSS_LSFB,EN,NUM,GENERATED_FR,GENERATED_EN
Un père avait deux fils;,PERE AVOIR DEUX FILS,PERE DEUX FILS ,['Imp'],,"A certain father had two sons,",1,"Un père avait deux fils,",A father had two sons;
le premier était réfléchi et intelligent;,AINE LUI INTELLIGENT REFLECHIT,PREMIER INTELLIGENT REFLECHI ,['Imp']['Past'],,"the elder of whom was smart and sensible,",2,"dont l'aîné était intelligent et sensible,",the first was thoughtful and intelligent;
il savait se tirer de toute aventure.,LUI SAVOIR COMMENT S'ECHAPPER AVENTURE PROBLEME,AVENTURE SAVOIR TIRER ,['Imp'],,"and could do everything,",3,"et pouvait tout faire,",he knew how to get out of any adventure.
"Le cadet en revanche était sot,",CADET LUI CONTRAIRE SOT,CADET REVANCHE SOT ,['Imp']['Past'],,but the younger was stupid,4,mais le plus jeune était stupide,"The younger one, on the other hand, was foolish,"
incapable de comprendre et d'apprendre.,INCAPABLE COMPRENDRE APPRENDRE,INCAPABLE COMPRENDRE APPRENDRE ,,,"and could neither learn nor understand anything,",5,"et ne pouvait rien apprendre ni comprendre,",unable to understand and learn.
"Quand les gens le voyaient,",QUAND GENS VOIR LUI,GENS VOYAIENT ,<unk>,,and when people saw him ,6,et quand les gens le virent,"When people saw it,"
"ils disaient: Avec lui, son père n'a pas fini d'en voir.",EUX DIRE AH LALA SON PERE COURAGE LUI VOIR BEAUCOUP CHOSE,DIRE PERE PAS FINI VOIR ,['Pres']['Pres']['Past'],,"they said, There's a fellow who will give his father some trouble!",7,Ils ont dit : Voilà un homme qui va donner du fil à retordre à son père !,"they said :  With him, his father has not finished seeing."
"Quand il y avait quelque chose à faire,",QUAND QUELQUE CHOSE FAIRE,CHOSE AVOIR FAIRE ,['Imp'],,"When anything had to be done,",8,"Quand il fallait faire quelque chose,","When there was something to do,"
"c'était toujours à l'aîné que revenait la tâche,",TOUJOURS AINE LUI RESPONSABLE FAIRE,TOUJOURS AINE TACHE REVENIR ,['Imp']['Imp'],,it was always the elder who was forced to do it;,9,c'est toujours l'aîné qui a été contraint de le faire ;,"it was always the eldest who had the task,"
"et si son père lui demandait d'aller chercher quelque chose, le soir ou même la nuit,",SI SON PERE DEMANDER ALLER CHERCHER QUELQUE CHOSE SOIR NUIT,PERE CHOSE DEMANDER ALLER CHERCHER SOIR MEME NUIT ,['Imp'],,"but if his father bade him fetch anything when it was late, or in the night-time,",10,"mais si son père lui demandait d'aller chercher quelque chose quand il était tard, ou pendant la nuit,","and if his father asked him to go get something, in the evening or even at night,"
"et qu'il fallait passer par le cimetière ou quelque autre lieu terrifiant, il répondait:",FALLAIT CIMETIERE PASSER OU LIEU TERRIFIANT AINE REPONDRE,CIMETIERE AUTRE LIEU TERRIFIANT FALLOIR PASSER REPONDRE ,['Imp']['Imp'],,"and the way led through the churchyard, or any other dismal place, he answered",11,"et que le chemin passait par le cimetière, ou tout autre endroit lugubre, il répondit","and that it was necessary to go through the cemetery or some other terrifying place, he answered"
"Oh non! père, je n'irai pas, j'ai peur.",OH NON ! MOI PAS ALLER MOI PEUR,NON PERE PAS ALLER PEUR AVOIR ,['Pres'],,"Oh, no, father, I'll not go there, it makes me shudder!",12,"Oh, non, père, je n'irai pas là-bas, cela me fait frémir !","Oh no! Father, I will not go, I am afraid."
Car il avait effectivement peur.,PAR LUI PEUR,CAR EFFECTIVEMENT PEUR ,['Imp'],,for he was afraid.,13,car il avait peur.,For he was indeed afraid.
"Quand, à la veillée, on racontait des histoires à donner la chair de poule,",QUAND VEILLEE PERSONNE RACONTER HISTOIRES DONNE CHAIR POULE PEUR ,VEILLEE HISTOIRES CHAIR POULE RACONTER DONNER ,['Imp'],,"Or when stories were told by the fire at night which made the flesh creep,",14,"Ou lorsque des histoires étaient racontées au coin du feu la nuit, ce qui donnait la chair de poule,","When, at the wake, we told stories that would give you goosebumps,"
ceux qui les entendaient disaient parfois:,PERSONNE ENTENDRE CES HISTOIRES DIRE ,PARFOIS DIRE ,['Imp']['Pres'],,the listeners sometimes said,15,les auditeurs disaient parfois,those who heard them sometimes said
Ça me donne le frisson!,ME DONNE FRISSON !,CA FRISSON DONNE ,['Pres'],,"Oh, it makes us shudder!",16,"Oh, cela nous fait frémir !",It gives me the chills!
"Le plus jeune des fils, lui, assis dans son coin,",DEUXIEME FILS ASSIS DANS COIN,PLUS JEUNE FILS COIN ASSIS ,['Past'],,The younger sat in a corner,17,Le plus jeune s'est assis dans un coin,"The youngest son sat in his corner,"
écoutait et n'arrivait pas à comprendre ce qu'ils voulaient dire.,LUI ECOUTER PAS COMPRENDRE HISTOIRE RACONTER QUOI,PAS ECOUTER ARRIVER COMPRENDRE VOULOIR DIRE ,['Imp']['Imp']['Imp'],,"and listened with the rest of them, and could not imagine what they could mean.",18,"et écoutait avec les autres, sans pouvoir imaginer ce qu'ils pouvaient bien vouloir dire.",was listening and could not understand what they meant.
Ils disent toujours: ,PERSONNE DIRE ENCORE,TOUJOURS DIRE ,['Pres'],,They are always saying,19,Ils disent toujours,They always say
Ca me donne la chair de poule! ça me fait frissonner!,AH LALA ME DONNE CHAIR DE POULE ! MOI FRISSONNER !,CA CHAIR POULE DONNE FRISSONNER ,['Pres']['Past'],,"it makes me shudder, it makes me shudder!",20,"ça me fait frémir, ça me fait frémir !",It gives me goosebumps! It makes me shiver!
"Moi, jamais! Voilà encore une chose à laquelle je ne comprends rien.",CADET DIRE MOI JAMAIS ! VOILA MOI PAS COMPRENDRE ,MOI JAMAIS ENCORE CHOSE NE COMPRENDS ,<unk>,,"It does not make me shudder, thought he. That, too, must be an art of which I understand nothing.",21,"Cela ne me fait pas frémir, pensa-t-il. Cela aussi doit être un art auquel je ne comprends rien.",I never do! This is another thing I don't understand.
Il arriva qu'un jour son père lui dit:,UN JOUR SON PERE DIRE,JOUR PERE ARRIVER DIRE ,['Pres']['Pres'],,Now it came to pass that his father said to him,22,"Or, son père lui dit",It happened that one day his father told him
"Écoute voir, toi, là dans ton coin!",TOI DANS TON COIN VIENS ECOUTE MOI !,ECOUTE VOIR TOI LA TON COIN ,,,"one day Hearken to me, thou fellow in the corner there,",23,"Un jour, écoute-moi, toi qui es dans le coin,","Listen, you, there in your corner!"
Tu deviens grand et fort.,TOI DEVENIR GRAND FORT,GRAND FORT DEVENIR ,['Pres'],,"thou art growing tall and strong,",24,"tu deviens grand et fort,",You are getting big and strong.
Il est temps que tu apprennes à gagner ton pain.,MAINTENANT ENFIN TOI POUVOIR APPRENDRE GAGNER TON ARGENT TOI TRAVAILLER,TEMPS TOI APPRENNES TON PAIN GAGNER ,['Pres'],,and thou too must learn something by which thou canst earn thy living.,25,"et toi aussi, tu dois apprendre quelque chose qui te permette de gagner ta vie.",It's time you learned to earn your keep.
Tu vois comme ton frère se donne du mal.,TOI VOIR TON FRERE LUI ESSAYER POUR TRAVAILLER,TON FRERE MAL VOIR DONNE ,['Pres']['Pres'],,"Look how thy brother works, but thou dost not even earn thy salt.",26,"Regarde comment ton frère travaille, mais toi, tu ne gagnes même pas ton sel.",You see how hard your brother is working.
"Eh! père, répondit-il,",FILS REPONDRE OH PERE,PERE REPONDRE ,['Pres'],,"Well, father, he replied,",27,"Eh bien, mon père, répondit-il,","Eh! father, he answered,"
j'apprendrais bien volontiers.,MOI VOULOIR APPRENDRE,APPRENDRAIS BIEN VOLONTIERS ,<unk>,,"I am quite willing to learn something indeed,",28,"Je suis tout à fait disposé à apprendre quelque chose,",I would gladly learn.
"Si c'était possible, je voudrais apprendre à frissonner.",SI POSSIBLE MOI VOULOIR APPRENDRE PEUR,POSSIBLE VOULOIR APPRENDRE FRISSONNER ,['Imp']['Pres'],,"if it could but be managed, I should like to learn how to shudder.",29,"si je pouvais y arriver, j'aimerais apprendre à trembler.","If it were possible, I would like to learn to shiver."
C'est une chose que j'ignore totalement.,CA MOI PAS SAVOIR IGNORER,CHOSE IGNORE TOTALEMENT ,['Pres'],,I don't understand that at all yet.,30,Je ne comprends pas du tout cela pour l'instant.,That's something I don't know anything about.
"Lorsqu'il entendit ces mots, l'aîné des fils songea:",AINE ENTENDRE SES PAROLES AINE PENSER,MOTS ENTENDRE AINE FILS SONGEA ,['Pres'],,"The elder brother smiled when he heard that, and thought to himself,",31,"Le frère aîné a souri en entendant cela et s'est dit,","When he heard these words, the eldest son thought"
Seigneur Dieu!,SEIGNEUR DIEU !,SEIGNEUR DIEU ,<unk>,,"Good God,",32,"Bon Dieu,",Lord God!
quel crétin que mon frère!,IMBECILE MON FRERE IDIOT,CRETIN FRERE ,<unk>,,what a blockhead that brother of mine is!,33,Quel abruti est mon frère !,what a moron my brother is!
Il ne fera jamais rien de sa vie.,JAMAIS LUI REUSSIR QUELQUE CHOSE SA VIE,NE JAMAIS VIE FAIRE ,['Fut'],,He will never be good for anything as long as he lives.,34,Il ne sera jamais bon à rien tant qu'il vivra.,He will never do anything with his life.
Le père réfléchit et dit: Tu apprendras bien un jour à avoir peur. Mais ce n'est pas comme ça que tu gagneras ton pain.,PERE REFLECHIR DIRE TOI UN JOUR APPRENDRE PEUR MAIS PEUR DONNER ARGENT NON,PERE REFLECHIT DIT APPRENDRAS BIEN JOUR PEUR AVOIR PAS TOI GAGNERAS TON PAIN ,['Past']['Pres'],,"He who wants to be a sickle must bend himself betimes. The father sighed, and answered him thou shalt soon learn what it is to shudder, but thou wilt not earn thy bread by that.",35,"Celui qui veut être une faucille doit se plier de temps en temps. Le père soupira et lui répondit : Tu apprendras bientôt ce que c'est que de trembler, mais ce n'est pas ainsi que tu gagneras ton pain.","The father thought about it and said, You will learn to be afraid one day. But that's not how you'll earn your bread."
"Peu de temps après,",QUELQUE TEMPS APRES,PEU TEMPS ,<unk>,,Soon after this,36,Peu de temps après,"Shortly afterwards,"
le bedeau vint en visite à la maison.,MONSIEUR EGLISE VENIR LEUR MAISON,BEDEAU VISITE MAISON VINT ,['Past'],,"the sexton came to the house on a visit,",37,"le sacristain est venu rendre visite à la maison,",the beadle came to visit the house.
Le père lui conta sa peine et lui expliqua combien son fils était peu doué en toutes choses.,PERE EXPLIQUER SON CHAGRIN EXPLIQUER SON FILS IDIOT PAS DOUE DANS VIE,PERE PEINE COMBIEN FILS PEU CHOSES CONTER EXPLIQUER DOUE ,['Pres']['Past']['Imp']['Past'],,"and the father bewailed his trouble, and told him how his younger son was so backward in every respect that he knew nothing and learnt nothing.",38,Le père se lamenta sur son malheur et lui raconta que son fils cadet était si arriéré à tous égards qu'il ne savait rien et n'apprenait rien.,The father told him of his sorrow and explained to him how little his son was gifted in all things.
Pensez voir!,PERE DIRE VOUS IMAGINEZ PAS !,PENSEZ VOIR ,,,"Just think, said he,",39,"Réfléchissez, dit-il,",Think about it!
"Quand je lui ai demandé comment il ferait pour gagner son pain,",QUAND MOI LUI DEMANDER LUI COMMENT GAGNER ARGENT ,COMMENT PAIN DEMANDE FAIRE GAGNER ,['Pres']['Past']['Imp'],,"when I asked him how he was going to earn his bread,",40,"quand je lui ai demandé comment il allait gagner son pain,","When I asked him how he would earn his bread,"
il a dit qu'il voulait apprendre à frissonner!,LUI ME REPONDRE LUI VOULOIR APPRENDRE PEUR,DIT VOULOIR APPRENDRE FRISSONNER ,['Pres']['Past']['Imp'],,he actually wanted to learn to shudder.,41,il voulait en fait apprendre à frissonner.,he said he wanted to learn to shiver!
"Si ce n'est que ça, répondit le bedeau, je le lui apprendrai.",MONSIEUR EGLISE REPONDRE AH SI CA MOI LUI APPRENDRE,ETRE BEDEAU REPONDRE LUI APPRENDRAI ,['Pres']['Pres'],,"If that be all, replied the sexton, he can learn that with me.",42,"Si c'est tout, répondit le sacristain, il peut l'apprendre avec moi.","If that's all, said the beadle, I'll teach him."
Confiez-le-moi. Le père était content;,MOI LE PRENDRE PERE CONTENT,CONFIEZ-LE-MOI PERE CONTENT ,['Imp'],,"Send him to me, and I will soon polish him. The father was glad to do it,",43,"Envoyez-le-moi, et je le polirai bientôt. Le père fut heureux de le faire,",Leave it to me. The father was happy;
