FR,GLOSS_LSF,GENERATED_LSF,TENSE,GLOSS_LSFB,EN,NUM,GENERATED_FR,GENERATED_EN
Il était une fois une vieille chèvre qui avait sept chevreaux et les aimait comme chaque mère aime ses enfants.,MOMENT AVANT VIEILLE CHEVRE AVOIR SEPT CHEVREAUX ELLE AIMER COMME MERE AIMER SES ENFANTS,FOIS VIEILLE CHEVRE SEPT CHEVREAUX MERE ENFANTS AVOIR AIMER AIME ,['Imp']['Imp']['Imp']['Pres'],,"There was once an old goat who had seven little ones, and was as fond of them as ever mother was of her children.",1,Il était une fois une vieille chèvre qui avait sept petits et qui les aimait autant qu'une mère aime ses enfants.,Once upon a time there was an old goat who had seven kids and loved them as every mother loves her children.
"Un jour, elle voulut aller dans la forêt pour rapporter quelque chose à manger,",JOUR ELLE VOULOIR ALLER DANS FORET POUR AMENER CHOSE MANGER,JOUR FORET CHOSE MANGER VOULOIR ALLER RAPPORTER ,['Fut'],,"One day she had to go into the wood to fetch food for them,",2,"Un jour, elle doit aller chercher de la nourriture pour eux dans la forêt,","One day, she wanted to go into the forest to bring back something to eat,"
"elle les rassembla tous les sept et leur dit: Je dois aller dans la forêt, mes chers enfants.",ELLE RASSEMBLER SEPT ENFANT DIRE MES ENFANT MOI DEVOIR ALLER FORET,RASSEMBLA TOUS SEPT DIT FORET DEVOIR ALLER CHERS ENFANTS ,['Pres'],,"so she called them all round her. Dear children, said she, I am going out into the wood; and while I am gone,",3,"et elle les appela tous autour d'elle. Chers enfants, dit-elle, je vais sortir dans le bois ; et pendant que je suis partie,","she gathered all seven of them and said to them : I must go to the forest, my dear children."
Faites attention au loup!,VOUS ATTENTION LOUP,FAITES ATTENTION ,<unk>,,"be on your guard against the wolf,",4,"se méfier du loup,",Watch out for the wolf!
"S'il arrivait à rentrer dans la maison, il vous mangerait tout crus.",SI LUI REUSSIR ENTRER DANS MAISON LUI MANGER VOUS D' UN COUP,MAISON ARRIVER RENTRER TOUT CRUS MANGER ,['Imp']['Imp'],,"for if he were once to get inside he would eat you up, skin, bones, and all.",5,"car s'il y pénétrait, il vous dévorerait, peau, os et tout le reste.","If he got into the house, he would eat you alive."
"Ce bandit sait jouer la comédie,",LUI MALIN SAVOIR JOUER COMEDIE,BANDIT COMEDIE SAVOIR JOUER ,['Pres'],,"The wretch often disguises himself,",6,"Le malheureux se déguise souvent,","This bandit knows how to act,"
"mais il a une voix rauque et des pattes noires, c'est ainsi que vous le reconnaîtrez.",MAIS LUI VOIX GRAVE PATTES NOIRES COMME CA LE RECONNAITRE,VOIX RAUQUE PATTES NOIRES AVOIR AINSI RECONNAITREZ ,['Pres']['Pres'],,but he may always be known by his hoarse voice and black paws.,7,mais on le reconnaîtra toujours à sa voix rauque et à ses pattes noires.,"but he has a hoarse voice and black legs, that's how you will recognize him."
"Ne t'inquiète pas, maman, répondirent les chevreaux, nous ferons attention. Tu peux t'en aller sans crainte.",CHEVREAUX REPONDRE PAS T' INQUIETER MAMAN NOUS ATTENTION TOI POUVOIR PARTIR SANS PEUR,NE INQUIETE PAS MAMAN CHEVREAUX REPONDRE FAIRE ATTENTION CRAINTE POUVOIR ALLER ,['Pres']['Imp']['Past']['Pres'],,"Dear mother, answered the kids, you need not be afraid, we will take good care of ourselves.",8,"Chère maman, ont répondu les enfants, n'ayez pas peur, nous prendrons bien soin de nous.","Don't worry, Mom, the kids said, we'll be careful. You can go without fear."
La vieille chèvre bêla de satisfaction et s'en alla.,VIEILLE CHEVRE BELER CONTENTE PARTIR,VIEILLE CHEVRE BELA SATISFACTION ALLER ,['Imp'],,"And the mother bleated good-bye, and went on her way with an easy mind.",9,La mère lui dit au revoir en bêlant et reprit son chemin l'esprit tranquille.,The old goat bleated with satisfaction and walked away.
"Peu de temps après,",JUSTE APRES ,PEU TEMPS ,<unk>,,It was not long before,10,Il n'a pas fallu attendre longtemps pour que,"Shortly afterwards,"
quelqu'un frappa à la porte en criant:,QUELQU' UN PORTE FRAPPER CRIER,FRAPPA PORTE CRIANT ,['Pres'],,"some one came knocking at the house-door, and crying out:",11,quelqu'un vint frapper à la porte de la maison et cria :,someone knocked on the door and shouted
"Ouvrez la porte, mes chers enfants,",OUVRER PORTE MES ENFANTS,PORTE OUVRIR CHERS ENFANTS ,['Pres'],,"Open the door, my dear children,",12,"Ouvrez la porte, mes chers enfants,","Open the door, my dear children,"
votre mère est là et vous a apporté quelque chose.,VOTRE MAMAN LA MOI APPORTER VOUS CHOSE,MERE LA CHOSE APPORTE ,['Pres']['Pres']['Past'],,"your mother is come back, and has brought each of you something.",13,votre mère est revenue et vous a apporté à chacun quelque chose.,your mother is here and has brought you something.
Mais les chevreaux reconnurent le loup à sa voix rude.,MAIS CHEVREAUX RECONNAITRE LOUP PAR VOIX GRAVE,CHEVREAUX LOUP VOIX RUDE RECONNAITRE ,['Imp'],,But the little kids knew it was the wolf by the hoarse voice.,14,Mais les petits enfants savaient que c'était le loup à cause de la voix rauque.,But the kids recognized the wolf by his rough voice.
