FR,GLOSS_LSF,GENERATED_LSF,TENSE,GLOSS_LSFB,EN,NUM,GENERATED_FR,GENERATED_EN
Il était une fois un vieux roi qui tomba malade.,,FOIS VIEUX ROI MALADE ,['Imp']['Pres'],,"There was once on a time an old king who was ill,",1,,"Once upon a time, an old king fell ill."
"Sentant qu'il allait mourir,",,SENTANT ALLER MOURIR ,['Pres']['Imp'],,"and thought to himself, I am lying on what must be my death-bed.",2,,"Feeling that he was going to die,"
"il fit appeler le fidèle Jean : c'était son plus cher serviteur,",,FIDELE JEAN FAIRE APPELER PLUS CHER SERVITEUR ,['Past']['Imp'],,"Then said he, Tell Faithful John to come to me. Faithful John was his favourite servant,",3,,"he called for the faithful John, who was his dearest servant,"
et on le nommait ainsi parce que toute sa vie il avait été fidèle à son maître.,,AINSI TOUTE VIE FIDELE MAITRE NOMMER ,['Imp']['Imp']['Past'],,"and was so called, because he had for his whole life long been so true to him.",4,,and he was so called because all his life he had been faithful to his master.
"Quand il fut venu,",,VENU ,['Past']['Past'],,"When therefore he came beside the bed,",5,,"When he came,"
"le roi lui dit: Mon fidèle Jean,",,ROI DIRE FIDELE JEAN ,['Pres'],,"the King said to him, Most faithful John,",6,,"the king says to him: My faithful John,"
"je sens que ma fin s'approche, je n'ai de souci qu'en songeant à mon fils;",,FIN SENTIR APPROCHE SOUCI FILS AVOIR SONGEANT ,['Pres']['Pres']['Pres']['Pres'],,"I feel my end approaching, and have no anxiety except about my son.",7,,"I feel that my end is approaching, I only worry about my son;"
il est encore bien jeune; il ne saura pas toujours se diriger;,,ENCORE BIEN JEUNE NE PAS TOUJOURS SAVOIR DIRIGER ,['Pres']['Fut'],,"He is still of tender age, and cannot always know how to guide himself.",8,,he is still very young; he will not always know how to direct himself;
"je ne mourrai tranquille que si tu me promets de veiller sur lui, de l'instruire de tout ce qu'il doit savoir, et d'être pour lui un second père.",,NE TRANQUILLE TOI MOURIR PROMETTRE VEILLER INSTRUIRE TOUT DEVOIR SAVOIR SECOND PERE ,['Fut']['Pres']['Pres'],,"If thou dost not promise me to teach him everything that he ought to know, and to be his foster-father, I cannot close my eyes in peace.",9,,"I will not die in peace unless you promise to watch over him, to teach him everything he needs to know, and to be a second father to him."
"Je vous promets, répondit Jean, de ne pas l'abandonner; je le servirai fidèlement, dût-il m'en coûter la vie.",,PROMETTRE JEAN REPONDRE NE PAS ABANDONNER SERVIRAI FIDELEMER DUT VIE COUTER ,['Pres']['Pres']['Pres'],,"Then answered Faithful John, I will not forsake him, and will serve him with fidelity, even if it should cost me my life.",10,,"I promise you, answered John, that I will not abandon him; I will serve him faithfully, even if it costs me my life."
"Je peux donc mourir en paix, dit le vieux roi.",,DONC PAIX POUVOIR MOURIR VIEUX ROI DIRE ,['Pres']['Pres'],,"On this, the old King said, Now I die in comfort and peace.",11,,"So I can die in peace, said the old king."
"Après ma mort, tu lui feras voir tout le palais,",,MORT TOUT PALAIS FERAS VOIR ,['Past'],,"Then he added, After my death, thou shalt show him the whole castle:",12,,"After my death, you will show him the whole palace,"
"toutes les chambres, les salles, les souterrains avec les richesses qui y sont renfermées;",,TOUTES CHAMBRES SALLES SOUTERRAINS RICHESSES RENFERMEES ,['Pres']['Past'],,"all the chambers, halls, and vaults, and all the treasures which lie therein,",13,,"all the rooms, the halls, the subterranean with the riches which are contained there;"
"seulement tu ne le laisseras pas entrer dans la dernière chambre de la grande galerie, où se trouve le portrait de la princesse du Dôme d'or.",,SEULEMENT NE LAISSERAS PAS DERNIERE CHAMBRE GRANDE GALERIE ENTRER PORTRAIT PRINCESSE DOME OR TROUVE ,['Pres'],,"but the last chamber in the long gallery, in which is the picture of the princess of the Golden Dwelling, shalt thou not show.",14,,"only you will not let him enter the last room of the great gallery, where the portrait of the princess of the Golden Dome is."
"Car, s'il voit ce tableau, il ressentira pour elle un amour irrésistible",,CAR TABLEAU VOIR AMOUR IRRESISTIBLE RESSENTIR ,['Pres']['Fut'],,"If he sees that picture, he will fall violently in love with her,",15,,"For, if he sees this painting, he will feel an irresistible love for her"
qui lui fera courir les plus grands dangers.,,PLUS GRANDS DANGERS FAIRE COURIR ,['Fut'],,"and will drop down in a swoon, and go through great danger for her sake,",16,,that will put him in the greatest danger.
Tâche de l'en préserver.,,TACHE PRESERVER ,,,therefore thou must preserve him from that.,17,,Try to keep it that way.
"Le fidèle Jean réitéra ses promesses, et le vieux roi, tranquillisé,",,FIDELE JEAN PROMESSES REITERER VIEUX ROI TRANQUILLISE ,['Pres']['Past'],,"And when Faithful John had once more given his promise to the old King about this,",18,,"The faithful John reiterated his promises, and the old king was reassured,"
posa sa tête sur l'oreiller et expira.,,TETE OREILLER POSER EXPIRER ,['Fut'],,"the King said no more, but laid his head on his pillow, and died.",19,,put his head on the pillow and exhaled.
"Quand on eut mis le vieux roi au tombeau,",,VIEUX ROI TOMBEAU MIS ,['Past']['Past'],,"When the old King had been carried to his grave,",20,,"When the old king was put in the tomb,"
Jean raconta au jeune successeur ce qu'il avait promis à son père au lit de mort.,,JEAN JEUNE SUCCESSEUR PERE LIT MORT RACONTER PROMIS ,['Pres']['Imp']['Past'],,"Faithful John told the young King all that he had promised his father on his deathbed,",21,,John told the young successor what he had promised his father on his deathbed.
"Je le tiendrai, ajouta-t-il, et je vous serai fidèle comme je l'ai été à votre père,",,TIENDRAI AJOUTA FIDELE PERE ETRE ,['Fut']['Pres']['Past'],,"and said, This will I assuredly perform, and will be faithful to thee as I have been faithful to him,",22,,"I will keep it, he added, and I will be faithful to you as I was to your father,"
dût-il m'en coûter la vie.,,VIE COUTER ,,,even if it should cost me my life.,23,,even if it cost me my life.
"Après que le grand deuil fut passé,",,GRAND DEUIL PASSE ,['Past']['Past'],,"When the mourning was over,",24,,"After the great mourning was over,"
Jean dit au roi:,,JEAN ROI DIRE ,['Pres'],,"Faithful John said to him,",25,,John says to the king:
Il est temps que vous connaissiez votre héritage.,,TEMPS HERITAGE CONNAITRE ,['Pres']['Pres'],,It is now time that thou shouldst see thine inheritance.,26,,It's time you knew your heritage.
Je vais vous faire voir le palais de votre père.,,PALAIS PERE ALLER VOIR ,['Pres'],,I will show thee thy father's palace.,27,,I will show you your father's palace.
"Il le conduisit partout,",,PARTOUT CONDUIRE ,['Pres'],,"Then he took him about everywhere,",28,,"He drove him everywhere,"
"du haut en bas,",,HAUT BAS ,<unk>,,"up and down,",29,,"from top to bottom,"
et lui fit voir toutes les richesses,,TOUTES RICHESSES FAIRE VOIR ,['Past'],,"and let him see all the riches,",30,,and showed him all the riches
"et les splendides appartements,",,SPLENDIDES APPARTEMENTS ,<unk>,,"and the magnificent apartments,",31,,"and the splendid apartments,"
en omettant seulement la chambre,,SEULEMENT CHAMBRE OMETTANT ,['Pres'],,"only there was one room which he did not open,",32,,omitting only the room
où était le dangereux portrait.,,DANGEREUX PORTRAIT ,['Imp'],,that in which hung the dangerous picture.,33,,where the dangerous portrait was.
"Il avait été placé de telle sorte que, lorsqu'on ouvrait la porte, on l'apercevait aussitôt,",,TELLE SORTE PLACE PORTE OUVRIR AUSSITOT APERCEVOIR ,['Imp']['Past']['Past']['Imp']['Imp'],,"The picture was, however, so placed that when the door was opened you looked straight on it,",34,,"It had been placed in such a way that when the door was opened, it was immediately visible,"
et il était si bien fait qu'il semblait vivre et respirer,,SI BIEN VIVRE FAIT SEMBLER RESPIRER ,['Imp']['Past']['Imp'],,"and it was so admirably painted that it seemed to breathe and live,",35,,and it was so well made that it seemed to live and breathe
et que rien au monde n'était si beau ni si aimable.,,MONDE BEAU AIMABLE ,['Imp'],,and there was nothing more charming or more beautiful in the whole world.,36,,and that nothing in the world was so beautiful or so lovable.
"Le jeune roi vit bien que le fidèle Jean passait toujours devant cette porte sans l'ouvrir, et il lui demanda pourquoi.",,JEUNE ROI BIEN FIDELE JEAN TOUJOURS PORTE VOIR PASSER OUVRIR DEMANDA POURQUOI ,['Pres']['Imp'],,"The young King, however, plainly remarked that Faithful John always walked past this one door, and said, Why dost thou never open this one for me?",37,,"The young king saw that the faithful John always passed by this door without opening it, and he asked him why."
"C'est, répondit l'autre, parce qu'il y a dans la chambre quelque chose qui vous ferait peur.",,REPONDRE CHAMBRE CHOSE PEUR AVOIR FAIRE ,['Pres']['Pres']['Pres']['Imp'],,"There is something within it, he replied, which would terrify thee.",38,,"It is, replied the other, because there is something in the room that would scare you."
"J'ai vu tout le château, dit le roi,",,TOUT CHATEAU VU ROI DIRE ,['Pres']['Past']['Pres'],,"But the King answered, I have seen all the palace,",39,,"I have seen the whole castle, said the king,"
"je veux savoir ce qu'il y a ici,",,ICI VOULOIR SAVOIR AVOIR ,['Pres']['Pres'],,"and I will know what is in this room also,",40,,"I want to know what's in here,"
et il voulait ouvrir de force.,,FORCE VOULOIR OUVRIR ,['Imp'],,and he went and tried to break open the door by force.,41,,and he wanted to open it by force.
Le fidèle Jean le retint encore et lui dit:,,FIDELE JEAN RETINT ENCORE DIRE ,['Pres'],,"Then Faithful John held him back and said,",42,,The faithful John held him back again and said:
"J'ai promis à votre père, à son lit de mort, de ne pas vous laisser entrer dans cette chambre:",,PERE PROMIS LIT MORT NE PAS CHAMBRE LAISSER ENTRER ,['Pres']['Past'],,"I promised thy father before his death that thou shouldst not see that which is in this chamber,",43,,"I promised your father, on his deathbed, that I would not let you into this room:"
