FR,GLOSS_LSF,GENERATED_LSF,TENSE,GLOSS_LSFB,EN,NUM,GENERATED_FR,GENERATED_EN
,PAYSAN VACHE FOIRE CONDUIT ,['Imp']['Past'],,,"There was once a peasant who had driven his cow to the fair, ",1,"un paysan qui avait conduit sa vache à la foire, ",
,SEPT THALERS VENDUE ,['Pres']['Past'],,,and sold her for seven thalers. ,2,et l'a vendue pour sept thalers. ,
,CHEMIN RETOUR ETANG DEVOIR PASSER ,['Pres'],,,"On the way home he had to pass a pond, ",3,"Sur le chemin du retour, il doit passer devant un étang, ",
,DEJA LOIN GRENOUILLES ENTENDRE CRI ,['Imp']['Pres'],,,"and already from afar he heard the frogs crying, ",4,"et il entendait déjà de loin le cri des grenouilles, ",
,AIK AIK AIK AIK ,<unk>,,,"Aik, aik, aik, aik. ",5,"Aik, aik, aik, aik. ",
,BIEN DIRE RAISON PARLER ,['Pres']['Pres'],,,"Well, said he to himself, they are talking without rhyme or reason, ",6,"Eh bien, se dit-il, ils parlent sans raison, ",
,SEPT RECU HUIT NON ,['Pres']['Pres']['Past'],,,"it is seven that I have received, not eight. ",7,"c'est sept que j'ai reçu, et non huit. ",
,EAU ARRIVE CRIER ,['Past']['Pres'],,,"When he got to the water, he cried to them, ",8,"Arrivé à l'eau, il cria vers eux, ",
,ANIMAUX STUPIDES ,['Pres'],,,Stupid animals that you are! ,9,Vous êtes des animaux stupides ! ,
,NE PAS MIEUX SAVOIR ,['Pres'],,,Dont you know better than that? ,10,Ne savez-vous pas mieux que cela ? ,
,SEPT THALERS AGIR NON ,['Past'],,,It is seven thalers and not eight. ,11,Il s'agit de sept thalers et non de huit. ,
,GRENOUILLES DEBOUT RESTEES ,['Pres']['Past'],,,"The frogs, however, stood to their, ",12,"Les grenouilles, elles, sont restées debout, ",
,AIK AIK AIK AIK ,<unk>,,,"aik aik, aik, aik. ",13,"aik aik, aik, aik. ",
,VENEZ DONC NE PAS VOULOIR CROIRE ,['Fut'],,,"Come, then, if you wont believe it, ",14,"Venez donc, si vous ne voulez pas le croire, ",
,POUVOIR COMPTER ,['Pres'],,,I can count it out to you. ,15,Je peux vous le compter. ,
,ARGENT POCHE SORTIR SEPT COMPTA THALERS ,['Pres'],,,"And he took his money out of his pocket and counted out the seven thalers,",16,"Il sortit son argent de sa poche et compta les sept thalers,",
,QUATRE VINGT TOUJOURS RAISON GROSCHEN THALER ,<unk>,,,always reckoning four and twenty groschen to a thaler. ,17,toujours à raison de quatre vingt groschen pour un thaler. ,
,GRENOUILLES NE PAS ATTENTION CALCULS PRETER ,['Pres'],,,"The frogs, however, paid no attention to his reckoning, ",18,"Les grenouilles, elles, ne prêtent pas attention à ses calculs, ",
,QUAND MEME AVOIR PLEURE ,['Pres']['Past'],,,"but still cried, ",19,"mais a quand même pleuré, ",
,AIK AIK AIK AIK ,<unk>,,,"aik, aik, aik, aik. ",20,"aik, aik, aik, aik. ",
,PAYSAN ECRIER TRES COLERE ,['Past'],,,"What, cried the peasant, quite angry, ",21,"Quoi, s'écria le paysan, très en colère, ",
,MIEUX DETERMINES SAVOIR COMPTEZ ,['Pres']['Past'],,,"since you are determined to know better than I, count it yourselves, ",22,"Puisque vous êtes déterminés à savoir mieux que moi, comptez vous-mêmes, ",
,JETA TOUT ARGENT EAU ,<unk>,,,and threw all the money into the water to them. ,23,et leur jeta tout l'argent dans l'eau. ,
,NE PAS BOUGER VOULOIR ATTENDRE FINI SIEN RAMENE ,['Pres']['Fut']['Pres']['Past']['Pres']['Past'],,,"He stood still and wanted to wait until they were done and had brought him his own again, ",24,"Il ne bougea pas et voulut attendre qu'ils aient fini et qu'ils lui aient ramené le sien, ",
,GRENOUILLES OPINION MAINTENIR CRIENT CONTINUELLEMENT ,['Pres'],,,"but the frogs maintained their opinion and cried continually, ",25,"mais les grenouilles maintiennent leur opinion et crient continuellement, ",
,AIK AIK AIK AIK ,<unk>,,,"aik, aik, aik, aik, ",26,"aik, aik, aik, aik, ",
,PLUS CELA ,<unk>,,,"and besides that, ",27,"et en plus de cela, ",
,PAS ARGENT NOUVEAU JETE ,['Pres']['Past'],,,did not throw the money out again. ,28,n'a pas jeté l'argent à nouveau. ,
,ENCORE LONGTEMPS SOIR ARRIVE ATTENDRE OBLIGE RENTRER ,['Pres']['Pres']['Past'],,,He still waited a long while until evening came on and he was forced to go home. ,29,Il attendit encore longtemps jusqu'à ce que le soir arrive et qu'il soit obligé de rentrer chez lui. ,
,GRENOUILLES MALTRAITER PLEURA ,['Pres'],,,"Then he abused the frogs and cried, ",30,"Puis il maltraita les grenouilles et pleura, ",
,ECLABOUSSEURS EAU ,<unk>,,,"You water-splashers, ",31,"Vous, les éclabousseurs d'eau, ",
,TETES ETRE ,['Pres'],,,"you thick-heads, ",32,"vous êtes des têtes de mule, ",
,YEUX LYNX AVOIR ,['Pres'],,,"you goggle-eyes, ",33,"vous avez des yeux de lynx, ",
,GRANDES BOUCHES AVOIR MAL OREILLES POUVOIR HURLER FAIRE ,['Pres']['Pres'],,,"you have great mouths and can screech till you hurt ones ears, ",34,"vous avez de grandes bouches et pouvez hurler jusqu'à faire mal aux oreilles, ",
,SEPT NE PAS THALERS POUVOIR COMPTER ,['Pres'],,,but you cannot count seven thalers! ,35,mais vous ne pouvez pas compter sept thalers ! ,
,TU CROIS ICI AIES ALLER RESTER FINI ,['Pres']['Past'],,,Do you think Im going to stand here till you get done? ,36,Tu crois que je vais rester ici jusqu'à ce que tu aies fini ? ,
,ALLER GRENOUILLES CONTINUAIENT PLEURER ,['Past'],,,"And with that he went away, but the frogs still cried, ",37,"Et il s'en alla, mais les grenouilles continuaient à pleurer, ",
,AIK AIK AIK AIK ,<unk>,,,"aik, aik, aik, aik, ",38,"aik, aik, aik, aik, ",
,POURSUIVI RENTRE TRES FACHE ,['Pres']['Past']['Pres']['Past'],,,after him till he went home quite angry.,39,"Il l'a poursuivi jusqu'à ce qu'il rentre chez lui, très fâché.",
,BOUT CERTAIN TEMPS AUTRE VACHE ACHETER TUER ,['Pres']['Pres'],,,"After a while he bought another cow, which he killed, ",40,"Au bout d'un certain temps, il acheta une autre vache, qu'il tua, ",
,BIEN VIANDE CALCULE VENDANT DEUX AUTANT VALEUR VACHES POUVOIR GAGNER ,['Pres']['Past']['Pres']['Pres'],,,"and he made the calculation that if he sold the meat well he might gain as much as the two cows were worth, ",41,"et il a calculé qu'en vendant bien la viande, il pourrait gagner autant que la valeur des deux vaches, ",
,PEAU AFFAIRE AVOIR ,,,,and have the skin into the bargain. ,42,et d'avoir la peau dans l'affaire. ,
,AINSI VILLE VIANDE ARRIVER ,['Pres']['Pres'],,,"When therefore he got to the town with the meat, ",43,"C'est ainsi qu'il arriva à la ville avec la viande, ",
,GRANDE TROUPE CHIENS PORTE RASSEMBLEE ,['Imp']['Past'],,,"a great troop of dogs were gathered together in front of the gate, ",44,"une grande troupe de chiens était rassemblée devant la porte, ",
,TETE GROS LEVRIER VIANDE SAUTER RENIFLAIT ,['Imp'],,,"with a large greyhound at the head of them, which jumped at the meat, snuffed at it, ",45,"avec, à leur tête, un gros lévrier qui sautait sur la viande et la reniflait, ",
