FR,GLOSS_LSF,GENERATED_LSF,TENSE,GLOSS_LSFB,EN,NUM,GENERATED_FR,GENERATED_EN
Il était une fois un ménétrier qui avait un violon merveilleux. ,FOIS MUSICIEN MERVEILLEUX VIOLON,FOIS MENETRIER VIOLON MERVEILLEUX AVOIR ,['Imp']['Imp'],,"There was once a wonderful musician,",1,"Il était une fois un merveilleux musicien,",Once upon a time there was a minstrel who had a wonderful violin. 
"Ce ménétrier se rendit un jour tout seul dans une forêt, laissant errer sa pensée ça et là;",JOUR CE MUSICIEN ALLER MARCHER FORET PENSER,MENETRIER JOUR TOUT SEUL FORET RENDRE PENSEE LA LAISSANT ERRER ,['Past']['Pres'],,"who went quite alone through a forest and thought of all manner of things,",2,"qui se promenait tout seul dans une forêt et pensait à toutes sortes de choses,","This minstrel went one day alone in a forest, letting his thoughts wander here and there;"
"et quand il ne sut plus à quoi songer, ",PENSER DISPAITRE,NE PLUS SONGER SUT ,['Past'],,"and when nothing was left for him to think about,",3,"et quand il n'y avait plus rien à penser,","and when he didn't know what to think about, "
il se dit:,DIRE,DIRE ,['Pres'],,"he said to himself,",4,"se dit-il,",he says:
Le temps commence à me sembler long dans cette forêt;,TEMPS LONG ICI,TEMPS LONG FORET COMMENCER SEMBLER ,['Pres'],,"Time is beginning to pass heavily with me here in the forest,",5,"Le temps commence à s'écouler lourdement pour moi, ici dans la forêt,",Time is beginning to seem long in this forest;
je veux faire en sorte qu'il m'arrive un bon compagnon.,TROUVER COMPAGNON,SORTE BON COMPAGNON VOULOIR FAIRE ARRIVE ,['Pres']['Pres'],,I will fetch hither a good companion for myself.,6,Je vais chercher ici un bon compagnon pour moi.,I want to make sure that I get a good companion.
"En conséquence, il prit son violon qu'il portait sur le dos,",ALORS DOS PRENDRE VIOLON,CONSEQUENCE VIOLON DOS PRENDRE PORTER ,['Pres']['Imp'],,"Then he took his fiddle from his back,",7,"Puis il a pris son violon dans son dos,","Consequently, he took his violin which he carried on his back,"
et se mit à jouer un air qui réveilla mille échos dans le feuillage.,JOUER VIOLON FEUILLES AIR DISPERSER,AIR MILLE ECHOS FEUILLAGE METTRE JOUER REVEILLER ,['Past']['Past'],,and played so that it echoed through the trees.,8,et jouait de façon à ce qu'il résonne dans les arbres.,and began to play a tune that awakened a thousand echoes in the foliage.
"Il n'y avait pas longtemps qu'il jouait, lorsqu'un loup vint en tapinois derrière les arbres.",JOUER VIOLON LOUP ARBRE DERRIERE MARCHER DOUCEMENT,PAS LONGTEMPS JOUER LOUP TAPINOIS ARBRES VINT ,['Imp']['Imp']['Past'],,It was not long before a wolf came trotting through the thicket towards him.,9,Il ne fallut pas longtemps pour qu'un loup s'approche de lui en trottinant à travers les fourrés.,"He had not been playing long, when a wolf came lurking behind the trees."
Ciel! voilà un loup!,OH MON DIEU ! LOUP !,CIEL LOUP VOILA ,,,"Ah, here is a wolf coming!",10,"Ah, voilà un loup qui arrive !",Heavens! Here comes a wolf!
"Ce n'est point là le compagnon que je désire,",COMPAGNON LUI PAS VOULOIR,LA COMPAGNON POINT DESIRE ,['Pres']['Past'],,I have no desire for him!,11,Je n'ai aucun désir pour lui !,"This is not the companion I want,"
pensa le ménétrier.,PENSER MUSICIEN,MENETRIER PENSA ,['Past'],,said the musician;,12,a déclaré le musicien ;,thought the minstrel.
"Cependant le loup s'approcha, et lui dit:",LOUP APPROCHER DIRE,CEPENDANT LOUP APPROCHA DIRE ,['Pres'],,"but the wolf came nearer and said to him,",13,"mais le loup s'approcha et lui dit,","However, the wolf approached him and said:"
"Eh! cher ménétrier,",EH ! MUSICIEN !,CHER MENETRIER ,<unk>,,"Ah, dear musician,",14,"Ah, cher musicien,","Eh! dear minstrelsy,"
que tu joues bien!,JOUER BIEN,TOI JOUES BIEN ,<unk>,,how beautifully thou dost play.,15,comme tu joues bien.,that you play well!
ne pourrais-je pas aussi apprendre ton art?,POUVOIR APPRENDRE TON ART ?,NE POURRAIS PAS AUSSI TON APPRENDRE ,,,"I should like to learn that, too.",16,J'aimerais aussi apprendre cela.,Couldn't I also learn your art?
"La chose est facile, répondit le ménétrier,",FACILE MUSICIEN REPONDRE,CHOSE FACILE MENETRIER REPONDRE ,['Pres']['Past']['Pres'],,"It is soon learnt, the musician replied,",17,"On l'apprendra bientôt, a répondu le musicien,","It's easy, replied the minstrelsy,"
il suffit pour cela que tu fasses exactement tout ce que je te dirai.,COPIER MOI ECOUTER MOI DIRE,TOI FASSES TOUT SUFFIRE EXACTEMER TE DIRE ,['Past']['Pres']['Imp']['Fut'],,thou hast only to do all that I bid thee.,18,tu n'as qu'à faire tout ce que je te demande.,It is enough for you to do exactly what I tell you.
"Oh! cher ménétrier, reprit le loup,",LOUP DIRE OH ! MUSICIEN !,CHER MENETRIER LOUP REPRIT ,['Past'],,"Oh, musician, said the wolf,",19,"Oh, musicien, dit le loup,","Oh, dear minnow, said the wolf,"
"je veux t'obéir, comme un écolier obéit à son maître.",OBEIR TOI COMME ECOLIER OBEIR SON MAITRE,VOULOIR OBEIR ECOLIER MAITRE OBEIT ,['Pres']['Past']['Past'],,I will obey thee as a scholar obeys his master.,20,Je t'obéirai comme un érudit obéit à son maître.,"I want to obey you, as a schoolboy obeys his teacher."
"Le musicien lui enjoignit de le suivre,",MUSICIEN SUIVRE MOI,MUSICIEN SUIVRE ENJOINDRE ,['Pres'],,"The musician bade him follow,",21,"Le musicien l'invite à le suivre,","The musician told her to follow him,"
"et lorsqu'ils eurent fait un bout de chemin,",MARCHER ENSEMBLE,EURENT BOUT CHEMIN FAIT ,['Past'],,"and when they had gone part of the way together,",22,"et quand ils ont fait un bout de chemin ensemble,","and when they had gone a long way,"
ils arrivèrent au pied d'un vieux chêne qui était creux ,CHENE CREUX ARRIVER PIED,ARRIVERENT PIED VIEUX CHENE CREUX ,['Imp'],,"they came to an old oak-tree which was hollow inside,",23,"ils arrivèrent à un vieux chêne creux à l'intérieur,",they arrived at the foot of an old oak tree which was hollow 
et fendu par le milieu.,CHENE FENDU MILIEU,MILIEU FENDU ,['Past'],,and cleft in the middle.,24,et fendue au milieu.,and split in the middle.
"Tu vois cet arbre, dit le ménétrier,",MUSICIEN DIRE TU VOIR CET ARBRE,ARBRE MENETRIER DIRE ,['Pres'],,"Look, said the musician,",25,"Regarde, dit le musicien,","You see this tree, said the minstrel,"
"si tu veux apprendre à jouer du violon,",SI VOULOIR APPRENDRE VIOLON,TOI VEUX VIOLON APPRENDRE JOUER ,,,"if thou wilt learn to fiddle,",26,"si tu veux apprendre à jouer du violon,","if you want to learn to play the violin,"
il faut que tu places tes pattes de devant dans cette fente.,PATTES DEVANT PLACER DANS FENTE,TOI PLACES TES PATTES FENTE FALLOIR ,['Pres'],,put thy fore paws into this crevice.,27,mets tes pattes avant dans cette crevasse.,you have to put your front paws in this slot.
Le loup obéit; mais le musicien ramassa aussitôt une pierre,LOUP OBEIT PATTES AVANT DANS FENTE MUSICIEN PIERRE PRENDRE,LOUP OBEIT MUSICIEN RAMASSA AUSSITOT PIERRE ,<unk>,,"The wolf obeyed, but the musician quickly picked up a stone",28,"Le loup obéit, mais le musicien s'empresse de ramasser une pierre",The wolf obeyed; but the musician immediately picked up a stone
"et en frappa avec tant de force les deux pattes du loup, qu'elles s'enfoncèrent dans la fente,",PATTES LOUP FRAPPER FORT PATTES AVANT FENTE ENFONCER,TANT FORCE DEUX PATTES LOUP FRAPPER FENTE ENFONCER ,['Pres'],,and with one blow wedged his two paws so fast ,29,"et d'un seul coup, il cala ses deux pattes si vite","and struck the wolf's two paws with such force that they sank into the crack,"
et que le pauvre animal dut rester prisonnier.,PAUVRE LUI ANIMAL PATTES AVANT FENTE PRISONIER,PAUVRE ANIMAL DUT RESTER PRISONNIER ,,,that he was forced to stay there like a prisoner.,30,qu'il a été contraint d'y rester comme un prisonnier.,and the poor animal had to remain a prisoner.
"Attends-moi jusqu'à ce que je revienne, ajouta le ménétrier.",MUSICIEN DIRE ATTENDRE MOI REVENIR,ATTENDS REVENIR MENETRIER AJOUTER ,['Pres']['Pres'],,"Stay there until I come back again, said the musician,",31,"Reste là jusqu'à ce que je revienne, dit le musicien,","Wait for me until I come back, added the minstrel."
Et il continua sa route.,MUSICIEN CHEMIN MARCHER,ROUTE CONTINUER ,['Pres'],,and went his way.,32,et s'en alla.,And he continued on his way.
"Il avait à peine marché pendant quelques minutes, qu'il se prit à penser de nouveau:",MARCHER PENSER,PEINE MINUTES AVOIR MARCHE NOUVEAU PRENDRE PENSER ,['Imp']['Past']['Pres'],,"After a while he again said to himself,",33,"Au bout d'un moment, il se dit à nouveau,","He had hardly walked for a few minutes, when he began to think again:"
"Le temps me semble si long dans cette forêt,",TEMPS LONG,TEMPS LONG FORET SEMBLE ,['Pres'],,"Time is beginning to pass heavily with me here in the forest,",34,"Le temps commence à s'écouler lourdement pour moi, ici dans la forêt,","Time seems so long in this forest,"
que je vais tâcher de m'attirer un autre compagnon.,ESSAYER TROUVER AUTRE COMPAGNON,AUTRE COMPAGNON ALLER TACHER ATTIRER ,['Pres'],,"I will fetch hither another companion,",35,"Je vais chercher ici un autre compagnon,",that I will try to attract another companion.
"En conséquence, il prit son violon, et joua un nouvel air.",ALORS PRENDRE VIOLON JOUER,CONSEQUENCE VIOLON PRENDRE NOUVEL AIR JOUER ,['Pres']['Past'],,and took his fiddle and again played in the forest.,36,Il prit son violon et joua à nouveau dans la forêt.,"Accordingly, he took his violin, and played a new tune."
"Il n'y avait pas longtemps qu'il jouait, lorsqu'un renard arriva en tapinois à travers les arbres.",JOUER VIOLON RENARD ARBRES DERRIERE MARCHER DOUCEMENT,PAS LONGTEMPS JOUER RENARD TAPINOIS TRAVERS ARBRES ARRIVA ,['Imp']['Imp']['Past'],,It was not long before a fox came creeping through the trees towards him.,37,Il ne fallut pas longtemps pour qu'un renard s'approche de lui en rampant à travers les arbres.,"He had not been playing long, when a fox came loping through the trees."
"Ah! voilà un renard, se dit le musicien,",AH ! VOILA RENARD !,AH RENARD VOILA MUSICIEN DIRE ,['Past']['Pres'],,"Ah, there's a fox coming! said the musician.",38,"Ah, il y a un renard qui arrive ! dit le musicien.","Ah! here is a fox, said the musician,"
ce n'est pas là le compagnon que je désire.,COMPAGNON LUI PAS VOULOIR,PAS LA COMPAGNON DESIRE ,['Pres'],,I have no desire for him.,39,Je n'ai aucun désir pour lui.,this is not the companion I want.
"Le renard s'approcha, et lui dit:",RENARD APPROCHER DIRE,RENARD APPROCHA DIRE ,['Pres'],,"The fox came up to him and said,",40,"Le renard s'approcha de lui et dit ,",The fox approached him and said:
"Eh! cher musicien, que tu joues bien!",EH ! MUSICIEN TOI BIEN JOUER !,CHER MUSICIEN TOI JOUES BIEN ,<unk>,,"Oh, dear musician, how beautifully thou dost play!",41,"Oh, cher musicien, comme tu joues bien !","Eh! dear musician, how well you play!"
Je voudrais bien apprendre ton art.,MOI VOULOIR APPRENDRE TON ART ?,BIEN VOULOIR APPRENDRE ,['Pres'],,I should like to learn that too.,42,J'aimerais apprendre cela aussi.,I would like to learn your art.
"La chose est facile, répondit le musicien,",FACILE MUSICIEN REPONDRE,CHOSE FACILE MUSICIEN REPONDRE ,['Pres']['Past']['Pres'],,"That is soon learnt, said the musician.",43,"On l'apprendra bientôt, a déclaré le musicien.","It's easy, replied the musician,"
il suffit pour cela que tu fasses exactement tout ce que je te dirai.,COPIER MOI ECOUTER MOI DIRE,TOI FASSES TOUT SUFFIRE EXACTEMER TE DIRE ,['Past']['Pres']['Imp']['Fut'],,Thou hast only to do everything that I bid thee.,44,Tu n'as qu'à faire tout ce que je te demande.,It is enough for you to do exactly what I tell you.
"Oh! cher musicien, reprit le renard,",RENARD DIRE OH ! MUSICIEN !,CHER MUSICIEN RENARD REPRIT ,['Past'],,"Oh, musician, then said the fox,",45,"Oh, musicien, dit alors le renard,","Oh, dear musician, said the fox,"
"je te promets de t'obéir, comme un écolier obéit à son maître.",PROMETTRE OBEIR TOI COMME ECOLIER OBEIR SON MAITRE,PROMETS T' TE OBEIR ECOLIER MAITRE OBEIT ,['Pres']['Past']['Past'],,I will obey thee as a scholar obeys his master.,46,Je t'obéirai comme un érudit obéit à son maître.,"I promise to obey you, as a schoolboy obeys his teacher."
"Suis-moi, dit le ménétrier.",SUIVRE MOI,MENETRIER DIRE ,['Pres']['Pres'],,"Follow me, said the musician;",47,"Suivez-moi, dit le musicien ;","Follow me, said the minstrel."
"Quand ils eurent marché pendant quelques minutes, ils arrivèrent à un sentier",MARCHER ENSEMBLE ARRIVER SENTIER,EURENT MINUTES MARCHE SENTIER ARRIVER ,['Past']['Imp'],,"and when they had walked a part of the way, they came to a footpath,",48,"Après avoir parcouru une partie du chemin, ils arrivèrent à un sentier,","When they had walked for a few minutes, they came to a path"
bordé des deux côtés par de hauts arbustes.,CHAQUE COTES HAUT ARBUSTE ,DEUX COTES HAUTS ARBUSTES BORDE ,['Past'],,with high bushes on both sides of it.,49,avec de hauts buissons de part et d'autre.,bordered on both sides by tall shrubs.
"En cet endroit, le musicien s'arrêta,",CET ENDROIT MUSICIEN ARRETER,ENDROIT MUSICIEN ARRETA ,<unk>,,"There the musician stood still,",50,"Là, le musicien s'est arrêté,","At this point, the musician stopped,"
"saisit d'un côté du chemin un noisetier qu'il inclina contre terre,",CHEMIN COTE PRENDRE ARBRE NOISETTE INCLINER SOL,COTE CHEMIN NOISETIER TERRE SAISIR INCLINER ,['Pres']['Past'],,"and from one side bent a young hazel-bush down to the ground,",51,"et, d'un côté, un jeune noisetier s'inclinait jusqu'au sol,","grabbed a hazelnut tree on one side of the path and leaned it against the ground,"
mit le pied sur sa cime;,BRANCHE PIED METTRE,PIED CIME METTRE ,['Past'],,"and put his foot on the top of it,",52,"et a posé son pied sur le dessus,",put his foot on its top;
"puis de l'autre côté, il en fit de même avec un autre arbrisseau;",AUTRE COTE PAREIL AUTRE PETIT ARBRE,AUTRE COTE FIT MEME AUTRE ARBRISSEAU ,<unk>,,"then he bent down a young tree from the other side as well,",53,"puis il a abattu un jeune arbre de l'autre côté,","then on the other side, he did the same with another shrub;"
"après quoi, s'adressant au renard:",MUSICIEN DIRE RENARD ,RENARD ADRESSANT ,['Pres'],,"and said,",54,"et a dit,","after which, addressing the fox:"
"Maintenant, camarade, s'il est vrai que tu veuilles apprendre quelque chose, avance ta patte gauche.",MAINTENANT TOI VOULOIR APPRENDRE QUELQUE CHOSE PATTE GAUCHE AVANCER,MAINTENANT CAMARADE VRAI VEUILLES CHOSE ETRE APPRENDRE PATTE GAUCHE AVANCER ,['Past']['Pres']['Pres']['Imp'],,"Now little fox, if thou wilt learn something, give me thy left front paw.",55,"Maintenant, petit renard, si tu veux apprendre quelque chose, donne-moi ta patte avant gauche.","Now, comrade, if it is true that you want to learn something, put your left paw forward."
"Le renard obéit, et le musicien lui lia la patte à l'arbre de gauche.",RENARD OBEIR PATTE GAUCHE AVANCER MUSICIEN PATTE GAUCHE ARBRE LIER,RENARD OBEIT MUSICIEN LIA PATTE ARBRE GAUCHE ,<unk>,,"The fox obeyed, and the musician fastened his paw to the left bough.",56,"Le renard obéit, et le musicien attacha sa patte au rameau de gauche.","The fox obeyed, and the musician tied his paw to the left tree."
