FR,GLOSS_LSF,GENERATED_LSF,TENSE,GLOSS_LSFB,EN,NUM,GENERATED_FR,GENERATED_EN
Il y avait une fois un roi et une reine qui vivaient ensemble en bonne intelligence.,,FOIS ROI REINE ENSEMBLE BONNE INTELLIGENCE AVOIR ,['Imp']['Imp'],,There were once on a time a king and a queen who lived happily together,1,Il était une fois un roi et une reine qui vivaient heureux ensemble,"Once upon a time, there was a king and a queen who lived together in good understanding."
"Ils avaient douze enfants, mais c'étaient douze garçons.",,ENFANTS AVOIR GARCONS ,['Imp']['Imp'],,"and had twelve children, but they were all boys.",2,"et a eu douze enfants, mais ce sont tous des garçons.","They had twelve children, but they were twelve boys."
Un jour le roi dit à la reine:,,JOUR ROI REINE DIRE ,['Pres'],,"Then said the King to his wife,",3,Le roi dit à sa femme,One day the king said to the queen
"Si le treizième enfant que tu me promets est une fille,",,TREIZIEME ENFANT TOI PROMETS FILLE ,['Pres'],,"If the thirteenth child which thou art about to bring into the world, is a girl,",4,"Si le treizième enfant que tu vas mettre au monde est une fille,","If the thirteenth child you promise me is a girl,"
"les douze garçons devront mourir,",,DOUZE GARCONS DEVOIR MOURIR ,['Fut'],,"the twelve boys shall die,",5,"les douze garçons mourront,","the twelve boys will have to die,"
"afin que l'héritage de leur soeur soit considérable,",,AFIN HERITAGE SOEUR CONSIDERABLE ,['Pres'],,"in order that her possessions may be great,",6,"afin que ses possessions soient grandes,","so that their sister's inheritance is considerable,"
et que le royaume tout entier lui appartienne.,,ROYAUME TOUT ENTIER APPARTIENNE ,<unk>,,and that the kingdom may fall to her alone.,7,et que le royaume lui revienne à elle seule.,and that the whole kingdom belongs to him.
Il fit donc construire douze cercueils qu'on remplit de copeaux;,,DONC DOUZE CERCUEILS COPEAUX FAIRE CONSTRUIRE REMPLIR ,['Past']['Pres'],,"He caused likewise twelve coffins to be made, which were already filled with shavings,",8,"Il fit faire douze cercueils déjà remplis de copeaux,",So he had twelve coffins built and filled with wood chips;
"dans que le petit coussin pour le mort,",,PETIT COUSSIN MORT ,<unk>,,"and in each lay the little pillow for the dead,",9,"et dans chacun d'eux se trouve le petit oreiller pour les morts,","in that the small cushion for the dead,"
"puis le roi les fit transporter dans un cabinet bien fermé,",,ROI FIT CABINET BIEN FERME TRANSPORTER ,,,"and he had them taken into a locked-up room,",10,"et il les a fait emmener dans une pièce fermée à clé,","then the king made transport them in a closed cabinet,"
"dont il donna la clef à la reine,",,CLEF REINE DONNER ,['Past'],,"and then he gave the Queen the key of it,",11,"et il en donna la clé à la reine,","of which he gave the key to the queen,"
en lui recommandant de n'en rien dire à personne.,,PERSONNE RECOMMANDANT DIRE ,['Pres'],,and bade her not to speak of this to any one.,12,et lui demanda de n'en parler à personne.,recommending him not to tell anyone.
"Cependant, la mère était en proie à un violent chagrin.",,CEPENDANT MERE PROIE VIOLENT CHAGRIN ,['Imp'],,"The mother, however, now sat and lamented all day long,",13,"La mère, elle, s'assoit et se lamente toute la journée,","However, the mother was in the grip of a violent grief."
"Le plus jeune de ses fils,",,PLUS JEUNE FILS ,<unk>,,"until the youngest son,",14,"jusqu'au fils cadet,","The youngest of his sons,"
"qui était toujours avec elle,",,TOUJOURS ,['Imp'],,"who was always with her,",15,"qui était toujours avec elle,","who was always with her,"
