FR,GLOSS_LSF,GENERATED_LSF,TENSE,GLOSS_LSFB,EN,NUM,GENERATED_FR,GENERATED_EN
Coq dit à poule :,COQ POULE COQ DIRE,POULE DIRE ,['Pres'],,"The cock once said to the hen, ",1,"Le coq a dit un jour à la poule,",Rooster says to hen
Voici la saison des noix;,VOILA SAISON NOIX,SAISON NOIX VOICI ,,,"It is now the time when our nuts are ripe, ",2,"C'est maintenant que nos noix sont mûres,",This is the season for nuts;
il faut aller sur la côte avant que l'écureuil les ait toutes récoltées.,VITE ALLER COTE AVANT ECUREUIL RAMASSER,COTE AIT TOUTES FALLOIR ALLER RECOLTEES ,['Pres']['Past'],,so let us go to the hill together and for once eat our fill before the squirrel takes them all away. ,3,Alors allons ensemble sur la colline et pour une fois mangeons à notre faim avant que l'écureuil ne les emporte tous.,you have to get to the coast before the squirrel has harvested them all.
"Bonne idée, répondit poule,",POULE REPONDRE BONNE IDEEE,BONNE IDEE POULE REPONDRE ,['Pres'],,"Yes, replied the hen, ",4,"Oui, répond la poule,","Good idea,"" said the chicken,"
partons; nous allons bien nous divertir.,ALLER ON Y VA ON S'AMUSER,PARTONS BIEN ALLER DIVERTIR ,['Pres'],,"come, we will have some pleasure together. ",5,"Viens, nous aurons du plaisir ensemble.",Let's go; we'll have a good time.
Ils allèrent ensemble sur la côte,ENSEMBLER MARCHER COTE,ENSEMBLE COTE ALLER ,['Pres'],,"Then they went away to the hill, ",6,"Puis ils s'en allèrent sur la colline,",They went together to the coast
et y restèrent jusqu'au soir.,RESTER SOIR,SOIR RESTER ,['Pres'],,and on it was a bright day they stayed till evening. ,7,"et par une belle journée, ils sont restés jusqu'au soir.",and stayed there until the evening.
"Alors, soit parce qu'ils avaient trop mangé,",ALORS SOIT TROP MANGER,ALORS SOIT TROP AVOIR MANGE ,['Imp']['Past'],,"Now I do not know whether it was that they had eaten till they were too fat, ",8,"Je ne sais pas si c'est parce qu'ils ont mangé jusqu'à ce qu'ils soient trop gros,","So, either because they had eaten too much,"
"soit par vanité,",SOIT FIER,VANITE ,<unk>,,"or whether they had become proud, ",9,"ou s'ils étaient devenus orgueilleux,","or by vanity,"
"ils ne voulurent pas retourner à pied chez eux,",PAS VOULOIR RENTRER PIED MAISON EUX,NE PAS PIED VOULOIR RETOURNER ,['Pres'],,"but they would not go home on foot, ",10,"mais ils ne rentreraient pas chez eux à pied,","they did not want to walk back home,"
et le coq fut obligé de fabriquer une petite voiture avec des coquilles de noix.,COQ DECIDER NOIX COQUILLES FABRIQUER VOITURE PETITE ,PETITE VOITURE COQUILLES NOIX OBLIGE FABRIQUER ,['Past']['Past'],,and the cock had to build a little carriage of nut-shells. ,11,et le coq a dû construire un petit carrosse en coquilles de noix.,and the rooster was forced to make a small car out of nutshells.
"Quand elle fut prête,",PRETE,PRETE ,['Past']['Past'],,"When it was ready, ",12,"Quand il a été prêt,","When she was ready,"
la poule monta dedans et dit au coq de s'atteler au timon.,POULE VOITURE MONTER DIRE COQ TOI TIRER VOITURE,POULE DEDANS COQ TIMON MONTA DIT ATTELER ,['Past']['Past'],,"the little hen seated herself in it and said to the cock, ",13,"la petite poule s'y installa et dit au coq,",the hen climbed in and told the rooster to hitch himself to the tiller.
Et pour qui me prends-tu?,COQ CHOQUE REPONDRE TOI PENSER MOI QUOI?,ME PRENDS TOI ,<unk>,,Thou canst just harness thyself to it. ,14,Il suffit de s'y atteler.,And who do you take me for?
"répondit le coq, j'aimerais mieux m'en retourner à pied que de m'atteler comme un cheval;",PREFERE RENTRER PIED SEUL QUE TIRER,COQ REPONDRE MIEUX PIED CHEVAL AIMER RETOURNER ATTELER ,['Pres']['Imp'],,"I like that! said the cock, I would rather go home on foot than let myself be harnessed to it; ",15,"J'aime ça ! dit le coq, je préfère rentrer à pied plutôt que de me laisser atteler ;","replied the rooster, I would rather walk back than hitch up like a horse;"
"non, cela n'est pas dans nos conventions:",MES PRINCIPES REFUSER,NON PAS CONVENTIONS ETRE ,['Pres'],,"no, that is not our bargain. ",16,"Non, ce n'est pas notre marché.","No, this is not in our conventions"
je veux bien être cocher et m'asseoir sur le siège;,COCHER ASSOIR SIEGE OUI,BIEN SIEGE VOULOIR COCHER ASSEOIR ,['Pres'],,"I do not mind being coachman and sitting on the box, ",17,"Cela ne me dérange pas d'être cocher et de m'asseoir sur la caisse,",I'm willing to be a coachman and sit on the seat;
"mais traîner moi-même la voiture, c'est ce que je ne ferai pas.",MOI TIRER VOITURE REFUSER,MEME VOITURE TRAINER NE FERAI PAS ,['Pres'],,but drag it myself I will not.,18,mais je ne le traînerai pas moi-même.,"but dragging the car myself, that's what I won't do."
