FR,GLOSS_LSF,GENERATED_LSF,TENSE,GLOSS_LSFB,EN,NUM,GENERATED_FR,GENERATED_EN
Frérot prit sa soeurette par la main et dit:,FRERE SOEUR FRERE PRENDRE MAIN SOEUR ,,,,"The brother took his sister's hand and said to her,",1,,Brother took his sister by the hand and said:
"Depuis que notre mère est morte,",FRERE DIRE QUAND NOTRE MERE MORTE,,,,Since our mother died ,2,,"Since our mother died,"
nous ne connaissons plus que le malheur.,TOUT DEUX MALHEUR,,,,we have had no good days;,3,,we only know misfortune.
Notre belle-mère nous bat tous les jours,NOTRE BELLE MERE FRAPPER NOUS TOUS LES JOURS,,,,"our stepmother beats us every day,",4,,Our mother-in-law beats us every day
"et quand nous voulons nous approcher d'elle, elle nous chasse à coups de pied.",QUAND NOUS APPROCHER ELLE ELLE COUP PIED NOUS,,,,and if we go near her she kicks us away;,5,,"and when we want to approach her, she kicks us away."
"Pour nourriture, nous n'avons que de vieilles croûtes de pain,",MANGER QUE VIEILLE CROUTE PAIN,,,,we have nothing to eat but hard crusts of bread left over;,6,,"For food, we have only old bread crusts,"
"et le petit chien, sous la table, est plus gâté que nous;",LUI CHIEN PLUS GATER QUE NOUS,,,,"the dog under the table fares better,",7,,"and the little dog, under the table, is more spoiled than us;"
"de temps à autre, elle lui jette quelques bons morceaux.",TEMPS EN TEMPS ELLE DONNER LUI BON MORCEAUX,,,,he gets a good piece every now and then.,8,,"from time to time, she throws him a few good pieces."
Si notre mère savait cela!,SI NOTRE MERE SAVAIT CA,,,,"If our mother only knew,",9,,If our mother knew that!
Elle aurait pitié de nous!,PEINE NOUS,,,,how she would pity us!,10,,She would have mercy on us!
"Viens, nous allons partir par le vaste monde!",VIENS TOUS DEUX S'ENFUIR,,,,"Come, let us go together out into the wide world!",11,,"Come on, let's go to the wide world!"
"Tout le jour ils marchèrent par les prés, les champs et les pierrailles",JOURNEE MARCHER PRES CHAMPS CHEMIN PIERRE,,,,"So they went, and journeyed the whole day through fields and meadows and stony places,",12,,"All day long they walked through the meadows, fields and stones"
