FR,GLOSS_LSF,GENERATED_LSF,TENSE,GLOSS_LSFB,EN,NUM,GENERATED_FR,GENERATED_EN
Il était une fois un mari et sa femme,FOIS MARI SA FEMME,FOIS MARI FEMME ,['Imp'],,"There once lived a man and his wife,",1,,Once upon a time there was a husband and wife
"qui avaient depuis longtemps désiré avoir un enfant,",TOUS LES DEUX DESIRER ENFANT,LONGTEMPS ENFANT DESIRE AVOIR ,['Imp']['Past'],,"who had long wished for a child, but in vain.",2,,"who had long wanted to have a child,"
quand enfin la femme fut dans l'espérance et pensa que le Bon Dieu avait bien voulu accomplir son voeu le plus cher.,ENFIN BON DIEU ECOUTER FEMME NAITRE BEBE,ENFIN FEMME ESPERANCE PENSA BON DIEU BIEN VOEU PLUS CHER VOULU ACCOMPLIR ,['Past']['Imp']['Past'],,when finally the woman was in hope and thought that the Good Lord had wanted to fulfill her dearest wish.,3,,when finally the woman was in hope and thought that the Good God had wanted to fulfill her dearest wish.
"Sur le derrière de leur maison, ils avaient une petite fenêtre qui donnait sur un magnifique jardin où poussaient les plantes et les fleurs les plus belles;",MAISON DERRIERE FENETRE POUSSER PLANTES FLEURS,DERRIERE MAISON PETITE FENETRE MAGNIFIQUE JARDIN PLANTES FLEURS PLUS BELLES AVOIR DONNER POUSSER ,['Imp']['Pres']['Pres'],,Now there was at the back of their house a little window which overlooked a beautiful garden full of the finest vegetables and flowers;,4,,"At the back of their house, they had a small window that looked out onto a beautiful garden where the most beautiful plants and flowers were growing;"
"mais il était entouré d'un haut mur,",JARDIN MUR HAUT,HAUT MUR ENTOURE ,['Imp']['Past'],,"but there was a high wall all round it,",5,,"but it was surrounded by a high wall,"
et nul n'osait s'aventurer à l'intérieur,PERSONNE OSER FRANCHIR MUR,NUL INTERIEUR OSER AVENTURER ,['Imp'],,"and no one ventured into it,",6,,and no one dared to venture inside
parce qu'il appartenait à une sorcière douée d'un grand pouvoir,PARCE QUE QUOI LIEU APPARTENIR SORCIERE GRAND POUVOIR,SORCIERE GRAND POUVOIR APPARTENIR DOUEE ,['Imp']['Past'],,"for it belonged to a witch of great might,",7,,because it belonged to a witch with great power
et que tout le monde craignait.,TOUT LE MONDE PEUR ELLE,TOUT MONDE CRAINDRE ,['Imp'],,and of whom all the world was afraid.,8,,and that everyone feared.
Un jour donc que la femme se tenait à cette fenêtre,JOUR DAME FENETRE TENIR ,JOUR DONC FEMME FENETRE TENIR ,['Imp'],,"One day that the wife was standing at the window,",9,,So one day the woman was standing at this window
"et admirait le jardin en dessous,",JARDIN BAS ADMIRER,JARDIN DESSOUS ADMIRER ,['Imp'],,"and looking into the garden,",10,,"and admired the garden below,"
elle vit un parterre planté de superbes raiponces,VOIR FLEURS RAIPONCE ,PARTERRE SUPERBES RAIPONCES VOIR PLANTE ,['Pres']['Past'],,she saw a bed filled with the finest rampion;,11,,she saw a flowerbed planted with beautiful raipers
"avec des rosettes de feuilles si vertes et si luisantes, si fraîches et si appétissantes, que l'eau lui en vint à la bouche",FEUILLES VERTE BRILLANTES FRAICHE ENVIE MANGER BAVER,ROSETTES FEUILLES VERTES LUISANTES FRAICHES APPETISSANTES EAU BOUCHE VENIR ,['Pres'],,and it looked so fresh and green that she began to wish for some;,12,,"with rosettes of leaves so green and shiny, so fresh and appetizing, that his mouth watered"
Cette envie qu'elle en avait ne faisait que croître,ENVIE PLUS EN PLUS,ENVIE NE QUE CROITRE FAIRE ,['Imp']['Imp'],,and at length she longed for it greatly.,13,,This desire that she had was only growing
et grandir de jour en jour;,TOUS LES JOURS,JOUR JOUR GRANDIR ,,,"This went on for days,",14,,and grow day by day;
"mais comme elle savait aussi qu'elle ne pourrait pas en avoir,",SAVOIR IMPOSSIBLE MANGER,AUSSI NE PAS SAVOIR POUVOIR AVOIR ,['Imp']['Pres'],,"and as she knew she could not get the rampion,",15,,"but as she also knew she couldn't have any,"
"elle tomba en mélancolie et commença à dépérir, maigrissant et pâlissant toujours plus.",MALHEUREUSE DEPRESSION MAIGRIR PALE PIRE EN PIRE,MELANCOLIE TOMBA COMMENCA DEPERIR TOUJOURS PLUS MAIGRISSANT PALISSANT ,['Past']['Past']['Pres']['Pres'],,"she pined away, and grew pale and miserable.",16,,"she fell into melancholy and began to wither, growing thinner and paler."
"En la voyant si bas, son mari s'inquiéta et lui demanda:",SON MARI INQUIETER VOIR SA FEMME MALADE DEMANDER,VOYANT BAS MARI DEMANDA INQUIETER ,,,"Then the man was uneasy, and asked,",17,,"Seeing her so low, her husband became concerned and asked her"
"Mais que t'arrive-t-il donc, ma chère femme?",QU'EST QU'IL SE PASSE ?,DONC ARRIVE CHERE FEMME ,['Pres'],,"What is the matter, dear wife?",18,,"But what is happening to you, my dear wife?"
"Ah! lui répondit-elle,",AH ! REPONDRE SA FEMME,AH REPONDRE ,['Pres'],,"Oh, answered she,",19,,"Ah!"" she replied,"
je vais mourir si je ne peux pas manger des raiponces du jardin de derrière chez nous!,PAS MANGER RAIPONCE DEVANT MOI MOURIR,NE PAS RAIPONCES JARDIN ALLER MOURIR POUVOIR MANGER ,['Pres']['Pres'],,I shall die unless I can have some of that rampion to eat that grows in the garden at the back of our house.,20,,I'm going to die if I can't eat raipons from the back garden!
Le mari aimait fort sa femme ,MARI AIMER FORT SA FEMME,MARI FORT FEMME AIMER ,['Imp'],,"The man, who loved her very much,",21,,The husband loved his wife very much 
et pensa:,PENSER,PENSA ,<unk>,,"thought to himself,",22,,and thought
"Plutôt que de la laisser mourir, je lui apporterai de ces raiponces,",LAISSER MOURIR NON MOI APPORTER FLEURS ELLE,PLUTOT LAISSER MOURIR RAIPONCES APPORTER ,['Past'],,"Rather than lose my wife I will get some rampion,",23,,"Rather than let her die, I'll bring her some of these brambles,"
quoi qu'il puisse m'en coûter!,MEME SI MOI MOURIR,POUVOIR COUTER ,['Pres'],,cost what it will.,24,,no matter what it takes!
"Le jour même, après le crépuscule, il escalada le mur du jardin de la sorcière,",MEME JOUR SOLEIL COUCHE MURE ESCALADER CHEZ SORCIERE,JOUR MEME CREPUSCULE MUR JARDIN SORCIERE ESCALADER ,['Pres'],,"So in the twilight he climbed over the wall into the witch's garden,",25,,"The same day, after dusk, he climbed the wall of the witch's garden,"
"y prit en toute hâte une, pleine main de raiponces qu'il rapporta à son épouse.",VITE VITE ATTRAPER FLEUR APPORTER SA FEMME,HATE PRENDRE PLEINE MAIN RAIPONCES EPOUSE RAPPORTER ,['Pres'],,plucked hastily a handful of rampion and brought it to his wife.,26,,"took there in all haste one, full hand of raiponces that he brought back to his wife."
"La femme s'en prépara immédiatement une salade,",SA FEMME PREPARER SALADE,FEMME IMMEDIATEMENT SALADE PREPARER ,,,"She made a salad of it at once,",27,,"The woman immediately prepared a salad,"
qu'elle mangea avec une grande avidité.,MANGER VITE ,GRANDE AVIDITE MANGEA ,['Past'],,and ate of it to her heart's content.,28,,which she ate with great greed.
Mais c'était si bon et cela lui avait tellement plu ,DELICIEUX ADORER,SI BON TELLEMENT PLU ,['Imp']['Imp']['Past'],,"But she liked it so much, and it tasted so good,",29,,But it was so good and he enjoyed it so much 
"que le lendemain,",DEMAIN,LENDEMAIN ,<unk>,,that the next day ,30,,"than the next day,"
"au lieu que son envie fût satisfaite, elle avait triplé.",REPUS NON ENCORE PLUS ENVIE,LIEU ENVIE FUT SATISFAIRE TRIPLE ,['Pres']['Imp']['Past'],,she longed for it thrice as much as she had done before;,31,,"instead of his desire being satisfied, it had tripled."
"Et pour la calmer, il fallut absolument que son mari retournât encore une fois dans le jardin.",CALMER ELLE SON MARI OBLIGER RETOURNER JARDIN,CALMER ABSOLUMENT MARI RETOURNAT ENCORE FOIS FALLOIR JARDIN ,['Past'],,if she was to have any rest the man must climb over the wall once more.,32,,"And to calm her down, it was absolutely necessary that her husband went back to the garden once again."
"Au crépuscule, donc, il fit comme la veille,",SOLEIL COUCHE COMME HIER,CREPUSCULE DONC VEILLE FAIRE ,['Past'],,So he went in the twilight again;,33,,"At dusk, therefore, he did as he had done the day before,"
"mais quand il sauta du mur dans le jardin,",MAIS MUR HAUT SAUTER CHEZ SORCIERE,MUR SAUTER JARDIN ,['Pres'],,"and as he was climbing back,",34,,"but when he jumped from the wall into the garden,"
il se figea d'effroi car la sorcière était devant lui!,FIGER PEUR SORCIERE DEVANT LUI,EFFROI SORCIERE FIGER ,['Pres']['Imp'],,"he saw, all at once, the witch standing before him, and was terribly frightened,",35,,he froze with fear because the witch was in front of him!
