FR,GLOSS_LSF,GENERATED_LSF,TENSE,GLOSS_LSFB,EN,NUM,GENERATED_FR,GENERATED_EN
Il était un homme,AVANT UN HOMME,HOMME ,['Imp'],,"There was once a man,",1,,He was a man
"dont la femme mourut,",SA FEMME MOURIR,FEMME MOURUT ,<unk>,,"whose wife was dead,",2,,"whose wife died,"
et une femme,UNE AUTRE FEMME,FEMME ,<unk>,,"and a woman,",3,,and a woman
dont le mari mourut;,SON MARI MOURIR,MARI MOURUT ,<unk>,,whose husband was dead;,4,,whose husband died;
"et l'homme avait une fille,",HOMME AVOIR UNE FILLE,HOMME FILLE AVOIR ,['Imp'],,"and the man had a daughter,",5,,"and the man had a daughter,"
et la femme avait une fille.,FEMME AVOIR UNE FILLE AUSSI,FEMME FILLE AVOIR ,['Imp'],,and so had the woman.,6,,and the woman had a daughter.
Les petites filles se connaissaient,PETITES FILLES SE CONNAITRE,PETITES FILLES CONNAITRE ,['Pres'],,"The girls were acquainted with each other,",7,,The little girls knew each other
et allaient se promener ensemble et rentraient ensuite à la maison de la femme.,ELLES ALLER SE PROMENER ENSEMBLER RENTRER ENSEMBLE MAISON DE FEMME,ENSEMBLE RENTRAIENT ENSUITE MAISON FEMME ALLER PROMENER ,['Pres'],,and used to play together sometimes in the woman's house.,8,,and would go for a walk together and then return to the woman's house.
Alors elle dit à la fille de l'homme:,FEMME DIRE FILLE DE HOMME,ALORS FILLE HOMME DIRE ,['Pres'],,"So the woman said to the man's daughter,",9,,Then she said to the man's daughter:
"Ecoute, ",ECOUTE,ECOUTE ,<unk>,,"Listen to me,",10,,"Listen, "
"dis à ton père que je veux l'épouser,",TOI DIRE TON PERE MOI VOULOIR L' EPOUSER,TON PERE VOULOIR EPOUSER ,['Pres'],,"tell your father that I will marry him,",11,,"tell your father that I want to marry him,"
"alors tu auras chaque matin du lait pour te laver et du vin à boire,",TOI CHAQUE MATIN AVOIR LAIT POUR TE LAVER ET VIN BOIRE,ALORS TOI AURAS MATIN LAIT TOI VIN LAVER BOIRE ,,,"and then you shall have milk to wash in every morning and wine to drink,",12,,"then you will have every morning milk to wash yourself and wine to drink,"
tandis que ma fille se lavera dans de l'eau et boira de l'eau.,ALORS MA FILLE SE LAVER AVEC EAU BOIRE EAU,TANDIS FILLE EAU EAU LAVER BOIRE ,['Fut']['Fut'],,and my daughter shall have water to wash in and water to drink.,13,,while my daughter will wash in water and drink water.
La petite fille rentra chez elle et raconta à son père ce que la femme avait dit.,PETITE FILLE RENTRER SA MAISON RACONTER SON PERE FEMME ELLE DIRE,PETITE FILLE PERE FEMME RENTRER RACONTER DIT ,['Fut']['Imp']['Imp']['Past'],,The girl went home and told her father what the woman had said.,14,,The little girl went home and told her father what the woman had said.
L'homme dit:,HOMME DIRE ,HOMME DIT ,['Past'],,"The man said,",15,,The man says:
Que dois-je faire?,MOI FAIRE QUOI ?,DEVOIR FAIRE ,['Pres'],,What shall I do!,16,,What should I do?
Le mariage est une joie,MARIAGE BONHEUR,MARIAGE JOIE ,['Pres'],,"Marriage is a joy,",17,,Marriage is a joy
et aussi un tourment.,AUSSI DONNER NOUVEAU VIE,AUSSI TOURMENT ,<unk>,,and also a torment.,18,,and also a torment.
"Pour finir,",POUR FINIR,FINIR ,,,"At last,",19,,"Finally,"
"comme il ne parvenait pas à se décider,",LUI PAS REUSSIR DECIDER,NE PAS PARVENIR DECIDER ,['Imp'],,"as he could come to no conclusion,",20,,"as he couldn't make up his mind,"
il retira sa botte ,ENLEVER SES BOTTES,BOTTE RETIRER ,['Fut'],,"he took off his boot,",21,,he withdrew his boot 
et dit à sa fille: ,HOMME DIRE SA FILLE,FILLE DIT ,['Past'],,"and said to his daughter,",22,,and said to her daughter: 
"Prends cette botte,",TOI PRENDRE CES BOTTES,PRENDS BOTTE ,<unk>,,"Take this boot,",23,,"Take this boot,"
"la semelle en est percée,",SEMELLE PERCER,SEMELLE PERCEE ,['Pres']['Past'],,it has a hole in the sole;,24,,"the sole is pierced,"
"va au grenier,",TOI ALLER GRENIER,GRENIER ALLER ,['Pres'],,"go up with it into the loft,",25,,"go to the attic,"
pends-la au gros clou et verse de l'eau dedans.,ACCROCHER GROS CLOU METTRE EAU DEDANS,PENDS GROS CLOU EAU DEDANS VERSE ,['Pres'],,hang it on the big nail and pour water in it.,26,,hang it on the big nail and pour water into it.
"Si elle ne fuit pas,",SI FEMME PAS FUIR,NE PAS FUIR ,['Pres'],,"If it holds water,",27,,"If it doesn't leak,"
"je me remarierai,",MOI MARIER AVEC ELLE,REMARIERAI ,<unk>,,I will once more take to me a wife;,28,,"I will marry again,"
"mais si elle fuit, je refuse.",MAIS SI ELLE FUIR MOI REFUSER PAS MARIER AVEC ELLE,FUIR REFUSE ,['Pres']['Pres'],,"if it lets out the water, so will I not.",29,,"but if she runs away, I refuse."
La fillette fit ce qu'il lui avait ordonné: ,FILLETTE FAIRE PERE ORDONNER,FILLETTE FAIRE ORDONNE ,['Past']['Imp']['Past'],,"The girl did as she was told,",30,,The girl did as he instructed: 
mais sous l'effet de l'eau le trou se resserra ,MAIS AVEC EAU TROU RESSERRER,EFFET EAU TROU RESSERRER ,['Fut'],,"but the water held the hole together,",31,,but under the effect of the water the hole tightened 
et la botte se remplit jusqu'au bord. ,BOTTE REMPLIR JUSQU' AU BORD,BOTTE BORD REMPLIR ,['Pres'],,and the boot was full up to the top.,32,,and the boot fills to the brim. 
Elle rapporta à son père ce que le sort avait décidé. ,ELLE DIRE SON PERE CE QU'IL S'EST PASSER,PERE SORT RAPPORTER DECIDE ,['Past']['Imp']['Past'],,So she went and told her father how it was.,33,,She reported to her father what fate had decided. 
Alors il monta voir lui-même ,ALORS LUI MONTER VOIR LUI-MEME,ALORS MONTA VOIR ,['Past'],,"And he went up to see with his own eyes,",34,,Then he went up to see for himself 
et il constata que c'était vrai; ,LUI VOIR VRAI,VRAI CONSTATER ,['Pres']['Imp'],,"and as there was no mistake about it,",35,,and he saw that it was true; 
il alla demander la veuve en mariage ,HOMME ALLER DEMANDER VEUVE MARIAGE,VEUVE MARIAGE ALLER DEMANDER ,['Past'],,"he went to the widow and courted her,",36,,he went to propose to the widow 
et les noces eurent lieu.,MARIAGE PREPARER,NOCES EURENT LIEU ,<unk>,,and then they had the wedding.,37,,and the wedding took place.
"Le lendemain, quand les deux jeunes filles se lévèrent,",LENDEMAIN QUAND DEUX JEUNES FILLES SE LEVER,LENDEMAIN DEUX JEUNES FILLES LEVERER ,['Pres'],,"The next morning, when the two girls awoke,",38,,"The next day, when the two girls rose,"
"la fille de l'homme trouva du lait pour se laver et du vin à boire,",FILLE DE HOMME TROUVER LAIT POUR SE LAVER VIN POUR BOIRE,FILLE HOMME TROUVA LAIT VIN LAVER BOIRE ,,,"there stood by the bedside of the man's daughter milk to wash in and wine to drink,",39,,"the man's daughter found milk to wash and wine to drink,"
tandis que la fille de la femme avait de l'eau pour se laver et de l'eau à boire.,ALORS FILLE FEMME AVOIR EAU POUR SE LAVER EAU POUR BOIRE,TANDIS FILLE FEMME EAU EAU LAVER BOIRE ,['Imp'],,and by the bedside of the woman's daughter there stood water to wash in and water to drink.,40,,while the woman's daughter had water to wash and water to drink.
"Le surlendemain, il y eut pour l'une comme pour l'autre de l'eau pour se laver et de l'eau à boire.",JOUR ENCORE APRES POUR DEUX FILLES EAU POUR SE LAVER EAU POUR BOIRE,SURLENDEMAIN EAU EAU AVOIR LAVER BOIRE ,['Past'],,On the second morning there stood water to wash in and water to drink for both of them alike.,41,,"The next day, there was water to wash and water to drink for both of them."
"Et le troisième jour la fille de l'homme eut de l'eau pour se laver et de l'eau à boire,",TROISIEME JOUR FILLE DE HOMME AVOIR EAU POUR SE LAVER EAU POUR BOIRE,TROISIEME JOUR FILLE HOMME EAU EAU AVOIR LAVER BOIRE ,['Past'],,"On the third morning there stood water to wash in and water to drink for the man's daughter,",42,,"And on the third day the man's daughter had water to wash and water to drink,"
"tandis que la fille de la femme avait du lait pour se laver et du vin à boire,",ALORS FILLE FEMME AVOIR LAIT POUR SE LAVER VIN POUR BOIRE,TANDIS FILLE FEMME LAIT VIN LAVER BOIRE ,['Imp'],,and milk to wash in and wine to drink for the woman's daughter;,43,,"while the woman's daughter had milk to wash and wine to drink,"
et on en resta là.,APRES FINIR,RESTA LA ,<unk>,,and so it remained ever after.,44,,and we left it at that.
La femme se mit à détester cordialement sa belle-fille,FEMME DETESTER SA BELLE FILLE,FEMME CORDIALEMENT BELLE-FILLE METTRE DETESTER ,['Past'],,"The woman hated her stepdaughter,",45,,The woman began to cordially dislike her daughter-in-law
et ne sut qu'inventer pour lui rendre la vie de plus en plus dure. ,PAS SAVOIR QUOI FAIRE POUR RENDRE SA VIE PLUS COMPLIQUER,NE VIE PLUS PLUS DURE SUT INVENTER RENDRE ,['Past'],,and never knew how to treat her badly enough from one day to another.,46,,and did not know what to invent to make his life harder and harder. 
"De plus elle était jalouse, parce que sa belle-fille était belle et aimable, ",FEMME JALOUSE CAR SA BELLE FILLE BELLE AIMABLE,PLUS JALOUSE BELLE-FILLE BELLE AIMABLE ,['Imp']['Imp'],,"And she was jealous because her stepdaughter was pleasant and pretty,",47,,"Moreover she was jealous, because her daughter-in-law was beautiful and kind, "
tandis que sa vraie fille était laide et repoussante.,ALORS SA FILLE MOCHE LAIDE,TANDIS VRAIE FILLE LAIDE REPOUSSANTE ,['Imp'],,and her real daughter was ugly and hateful.,48,,while her real daughter was ugly and repulsive.
"Un jour d'hiver,",UN JOUR HIVER,JOUR HIVER ,,,"Once in winter,",49,,"A winter day,"
