FR,GLOSS_LSF,GENERATED_LSF,TENSE,GLOSS_LSFB,EN,NUM,GENERATED_FR,GENERATED_EN
Il était une jeune fille paresseuse qui ne voulait pas filer. ,,,,,"There was once a girl who was lazy and would not spin,",1,,He was a lazy girl who didn't want to spin. 
"Sa mère avait beau se mettre en colère, ",,,,,"and her mother could not persuade her to it, ",2,,"His mother was angry, "
elle n'en pouvait rien tirer. ,,,,,do what she would.,3,,she couldn't get anything out of it. 
Un jour elle en perdit tellement patience,,,,,"At last the mother became angry and out of patience,",4,,One day she lost so much patience
"qu'elle alla jusqu'à lui donner des coups,",,,,,"and gave her a good beating,",5,,"that she went so far as to hit him,"
et la fille se mit à pleurer tout haut.,,,,,so that she cried out loudly.,6,,and the girl began to cry aloud.
Justement la reine passait par là;,,,,,At that moment the Queen was going by;,7,,The queen was just passing by;
"en entendant les pleurs, elle fit arrêter sa voiture,",,,,,"as she heard the crying, she stopped;",8,,"When she heard the crying, she stopped her car,"
"et, entrant dans la maison,",,,,,"and, going into the house, ",9,,"and, entering the house,"
elle demanda à la mère pourquoi elle frappait sa fille,,,,,"she asked the mother why she was beating her daughter,",10,,she asked the mother why she hit her daughter
si durement que les cris de l'enfant s'entendaient jusque dans la rue.,,,,,so that every one outside in the street could hear her cries.,11,,so hard that the child's cries could be heard in the street.
"La femme eut honte de révéler la paresse de sa fille, ",,,,,"The woman was ashamed to tell of her daughter's laziness, ",12,,"The woman was ashamed to reveal her daughter's laziness, "
et elle dit:  ,,,,,"so she said,",13,,and she said:  
Je ne peux pas lui ôter son fuseau; ,,,,,I cannot stop her from spinning;,14,,I can't take her spindle off; 
"elle veut toujours et sans cesse filer, ",,,,,"she is for ever at it,",15,,"she always wants to run away, "
et dans ma pauvreté je ne peux pas suffire à lui fournir du lin.,,,,,and I am poor and cannot furnish her with flax enough.,16,,and in my poverty I cannot suffice to provide him with linen.
La reine répondit:  ,,,,,"Then the Queen answered,",17,,The queen answered:  
Rien ne me plaît plus que la quenouille; ,,,,,"I like nothing better than the sound of the spinning-wheel,",18,,Nothing pleases me more than the cattail; 
le bruit du rouet me charme; ,,,,,and always feel happy when I hear its humming;,19,,the sound of the spinning wheel charms me; 
donnez-moi votre fille dans mon palais; ,,,,,let me take your daughter with me to the castle,20,,give me your daughter in my palace; 
j'ai du lin en quantité; ,,,,,"I have plenty of flax, ",21,,I have plenty of flax; 
elle y filera tant qu'elle voudra.,,,,,she shall spin there to her heart's content.,22,,she will go as long as she wants.
"La mère y consentit de tout son coeur, ",,,,,"The mother was only too glad of the offer, ",23,,"The mother consented wholeheartedly, "
et la reine emmena la jeune fille.,,,,,and the Queen took the girl with her.,24,,and the queen took the girl away.
"Quand on fut arrivé au palais, elle la conduisit dans trois chambres qui étaient remplies du plus beau lin depuis le haut jusqu'en bas.",,,,,When they reached the castle the Queen showed her three rooms which were filled with the finest flax as full as they could hold.,25,,"When they arrived at the palace, she led her into three rooms that were filled with the finest linen from top to bottom."
"File-moi tout ce lin, lui dit-elle, ",,,,,"Now you can spin me this flax, said she,",26,,"Give me all this linen, she said, "
"et quand tout sera fini, ",,,,,and when you can show it me all done ,27,,"and when it's all over, "
je te ferai épouser mon fils aîné. ,,,,,you shall have my eldest son for bridegroom;,28,,I will make you marry my eldest son. 
"Ne t'inquiète pas de ta pauvreté, ",,,,,"you may be poor, but I make nothing of that",29,,"Don't worry about your poverty, "
ton zèle pour le travail te sera une dot suffisante.,,,,,your industry is dowry enough.,30,,your zeal for work will be a sufficient dowry for you.
"La jeune fille ne dit rien, mais intérieurement elle était consternée;",,,,,"The girl was inwardly terrified,",31,,"The girl said nothing, but inwardly she was dismayed;"
"elle ne pourrait pas venir à bout de ces énormes tas d'étoupe,",,,,,"for she could not have spun the flax,",32,,"she couldn't get through those huge piles of oakum,"
"eût-elle pu vivre une centaire d'années,",,,,,"even if she were to live to be a hundred years old,",33,,"could have lived a hundred years,"
et filer depuis le matin jusqu'au soir.,,,,,and were to sit spinning every day of her life from morning to evening.,34,,and run from morning to night.
