FR,GLOSS_LSF,GENERATED_LSF,TENSE,GLOSS_LSFB,EN,NUM,GENERATED_FR,GENERATED_EN
"A l'orée d'une grande forêt vivaient un pauvre bûcheron,",FORET BORD VIVRE BUCHERON PAUVRE,OREE GRANDE FORET VIVAIENT PAUVRE BUCHERON ,<unk>,,Near a great forest there lived a poor woodcutter ,1,,"At the edge of a large forest lived a poor woodcutter,"
sa femme,SA FEMME,FEMME ,<unk>,,"and his wife, ",2,,his wife
et ses deux enfants.,SES DEUX ENFANTS,DEUX ENFANTS ,<unk>,,and his two children; ,3,,and his two children.
Le garçon s'appelait Hansel et la fille Grethel.,GARCON S'APPELER HANSEL FILLE S'APPELER GRETHEL,GARCON HANSEL FILLE GRETHEL APPELER ,['Imp'],,the boy's name was Hansel and the girl's Grethel. ,4,,The boy's name was Hansel and the girl was Grethel.
La famille ne mangeait guère.,FAMILLE PAS MANGER,FAMILLE NE GUERE MANGER ,['Imp'],,"They had very little to bite or to sup, ",5,,The family did not eat much.
Une année que la famine régnait dans le pays  ,UN AN FAMINE PARTOUT PAYS,ANNEE FAMINE PAYS REGNER ,['Imp'],,"and once, when there was great dearth in the land, ",6,,A year that famine reigned in the country  
"et que le pain lui-même vint à manquer,",MEME PAIN MANQUER,PAIN VENIR MANQUER ,['Past']['Pres'],,the man could not even gain the daily bread. ,7,,"and the bread itself ran out,"
"une nuit, dans son lit ruminant ses idées noires,",UNE NUIT BUCHERON DANS LIT IDEE NOIR RUMINER,NUIT LIT IDEES NOIRES RUMINANT ,['Pres'],,"As he lay in bed one night thinking of this, ",8,,"one night, in his bed ruminating his dark thoughts,"
et remâchait ses soucis.,SOUCIS SOUCIS,SOUCIS REMACHER ,['Imp'],,"and turning and tossing, ",9,,and chewed on his worries.
et dit à sa femme,BUCHERON DIRE SA FEMME,FEMME DIT ,['Past'],,"and said to his wife, ",10,,and said to his wife
Qu'allons-nous devenir?,NOUS DEVENIR QUOI ?,ALLER DEVENIR ,['Pres'],,What will become of us? ,11,,What will become of us?
"Comment nourrir nos pauvres enfants,",COMMENT NOURRIR NOS PAUVRE ENFANTS ?,COMMENT PAUVRES ENFANTS NOURRIR ,,,we cannot even feed our children; ,12,,"How to feed our poor children,"
quand nous n'avons plus rien pour nous-mêmes?,NOUS MEME PAS SE NOURRIR ?,PLUS AVOIR ,['Pres'],,there is nothing left for ourselves.,13,,when we have nothing left for ourselves?
"Eh bien, mon homme,",SA FEMME REPONDRE,BIEN HOMME ,<unk>,,"I will tell you what, husband, ",14,,"Well, my man,"
"dit la femme,",EH BIEN CHERI,FEMME DIT ,['Past'],,answered the wife; ,15,,"said the woman,"
"Dès l'aube, nous conduirons les enfants au plus profond de la forêt",AUBE NOUS AMENER ENFANT FORET AU FOND,AUBE ENFANTS PLUS PROFOND FORET CONDUIRE ,['Pres'],,"we will take the children early in the morning into the forest, where it is thickest; ",16,,"At dawn, we will lead the children deep into the forest"
nous leur allumerons un feu ,ALLUMER FEU,ALLUMERONS FEU ,<unk>,,"we will make them a fire, ",17,,we will light a fire for them 
et leur donnerons à chacun un petit morceau de pain.,DONNER CHACUN MORCEAU PAIN,DONNERONS PETIT MORCEAU PAIN ,<unk>,,"and we will give each of them a piece of bread, ",18,,and give them each a small piece of bread.
Puis nous irons à notre travail et les laisserons seuls.,NOUS RETOURNER TRAVAIL LAISSER EUX SEUL,TRAVAIL LAISSERONS SEULS ALLER ,['Pres'],,then we will go to our work and leave them alone; ,19,,Then we will go to our work and leave them alone.
Ils ne retrouveront plus leur chemin,DEUX ENFANTS PAS RETROUVER LEUR CHEMIN,NE PLUS CHEMIN RETROUVER ,['Fut'],,"they will never find the way home again, ",20,,They will not find their way back
et nous en serons débarrassés.,DEBARASSER EUX NOUS SEUL,SERONS DEBARRASSES ,['Past'],,and we shall be quit of them.,21,,and we will be rid of them.
"Non, femme, dit le bûcheron. je ne ferai pas cela!",BUCHERON REPONDRE NON FEMME MOI REFUSER,NON FEMME BUCHERON DIRE NE FERAI PAS ,['Pres'],,"No, wife, said the man, I cannot do that; ",22,,"No, woman,"" said the woodcutter, ""I won't do that!"
