FR,GLOSS_LSF,GENERATED_LSF,TENSE,GLOSS_LSFB,EN,NUM,GENERATED_FR,GENERATED_EN
Il était une fois un homme si pauvre qu'il ne pouvait pas même nourrir son fils unique. ,UNE FOIS HOMME PAUVRE PAUVRE IMPOSSIBLE NOURRIR SON FILS UNIQUE,FOIS HOMME NE PAS MEME FILS UNIQUE PAUVRE POUVOIR NOURRIR ,['Imp']['Pres']['Imp'],,"There was once on a time a poor man, who could no longer support his only son.",1,Il était une fois un pauvre homme qui ne pouvait plus subvenir aux besoins de son fils unique.,Once upon a time there was a man who was so poor that he could not even feed his only son. 
Celui-ci lui dit un jour:,UN JOUR FILS DIRE,CELUI JOUR DIRE ,['Pres'],,"Then said the son, Dear father,",2,"Le fils dit alors : ""Cher père,",The latter said to him one day:
"Mon cher père, vous avez tant de peine à vivre, que mon entretien vous est un trop lourd fardeau; ",MON PERE TOI COMPLIQUER VIVRE MOI LOURD FARDEAU POUR TOI TOI PAS POSSIBLE ENTRETENIR MOI,CHER PERE TANT PEINE AVOIR VIVRE ENTRETIEN TROP LOURD FARDEAU ,['Pres']['Pres'],,things go so badly with us that I am a burden to you.,3,les choses vont si mal chez nous que je suis un fardeau pour toi.,"My dear father, you have so much trouble living, that my maintenance is too heavy a burden for you; "
"je veux vous quitter, et chercher à gagner moi-même mon pain.",MOI PARTIR QUITTER MOI ESSAYER GAGNER MON ARGENT SEUL,VOULOIR QUITTER MEME PAIN CHERCHER GAGNER ,['Pres'],,I would rather go away and see how I can earn my bread.,4,Je préfère m'en aller et voir comment je peux gagner mon pain.,I want to leave you and try to earn my own bread.
Le pauvre père lui donna donc sa bénédiction ,PAUVRE PERE ACCORDER,PAUVRE PERE DONC BENEDICTION DONNER ,['Past'],,"So the father gave him his blessing,",5,"Le père lui donna sa bénédiction,",So the poor father gave him his blessing 
et le vit prendre congé de lui non sans un grand chagrin.,VOIR FILS PARTIR LUI PEINE,VIT NON GRAND CHAGRIN PRENDRE CONGE ,['Past'],,and with great sorrow took leave of him.,6,et prit congé de lui avec une grande tristesse.,and saw him take leave of him not without great sorrow.
C'était le moment où le roi d'un puissant empire faisait la guerre; ,MEME MOMENT EMPIRE PUISSANT SON ROI GUERRE,MOMENT ROI PUISSANT EMPIRE GUERRE FAIRE ,['Imp']['Imp'],,"At this time the King of a mighty empire was at war,",7,"En ce temps-là, le roi d'un puissant empire était en guerre,",It was the time when the king of a powerful empire was waging war; 
le jeune homme s'engagea à son service et l'accompagna dans les camps. ,JEUNE HOMME S' ENGAGER SON SERVICE ACCOMPAGNER CAMPS,JEUNE HOMME SERVICE ACCOMPAGNA CAMPS ENGAGER ,['Pres'],,"and the youth took service with him, and with him went out to fight.",8,"Le jeune homme s'engagea auprès de lui, et partit avec lui au combat.",the young man joined his service and accompanied him to the camps. 
On ne tarda pas à rencontrer l'ennemi; on livra bataille;,BIENTOT RENCONTRER ENNEMI GUERRE,NE PAS ENNEMI TARDER RENCONTRER BATAILLE LIVRER ,['Pres']['Pres'],,"And when he came before the enemy, there was a battle,",9,"Lorsqu'il arriva devant l'ennemi, il y eut une bataille,",It was not long before the enemy was encountered; a battle was fought;
"l'affaire fut des plus meurtrières, les balles qui sifflaient de toutes parts firent tomber comme grêle ses camarades à ses côtés;",GUERRE MORT MORT MORT PISTOLET BALLES TIRER TIRER CAMARADE TOMBER TOMBER,AFFAIRE PLUS MEURTRIERES BALLES TOUTES PARTS FIRENT CAMARADES COTES SIFFLER TOMBER GRELE ,['Past']['Pres']['Pres'],,"and great danger, and it rained shot until his comrades fell on all sides,",10,"et un grand danger, et il pleuvait des coups de feu jusqu'à ce que ses camarades tombent de tous côtés,","the affair was most murderous, the bullets which whistled from all sides made fall like hail his comrades at his sides;"
