FR,GLOSS_LSF,GENERATED_LSF,TENSE,GLOSS_LSFB,EN,NUM,GENERATED_FR,GENERATED_EN
Il y a maintenant fort longtemps que vivait un roi dont la sagesse était connue dans tout son royaume.,LONGTEMPS ROI SAGE VIVRE ROYAUME CONNAITRE LUI,MAINTENANT FORT LONGTEMPS ROI SAGESSE TOUT ROYAUME AVOIR VIVRE CONNUE ,['Pres']['Imp']['Imp']['Past'],,A long time ago there lived a king who was famed for his wisdom through all the land.,1,Il y a bien longtemps vivait un roi qui était réputé pour sa sagesse dans tout le pays.,Long ago there lived a king whose wisdom was known throughout his kingdom.
"On ne pouvait rien lui cacher,",LUI SAVOIR TOUT,NE CACHER POUVOIR ,['Imp'],,"Nothing was hidden from him,",2,"Rien ne lui est caché,","We could not hide anything from him,"
il semblait capter dans les airs des nouvelles sur les choses les plus secrètes.,IMPRESSION LUI CAPTER AIR NOUVELLES CHOSES SECRETE,AIRS NOUVELLES CHOSES PLUS SECRETES SEMBLER CAPTER ,['Imp'],,and it seemed as if news of the most secret things was brought to him through the air.,3,et il semblait que les nouvelles des choses les plus secrètes lui étaient apportées par les airs.,it seemed to pick up news about the most secret things in the air.
Ce roi avait une étrange habitude:,ROI HABITUDE BIZARRE,ROI ETRANGE HABITUDE AVOIR ,['Imp'],,But he had a strange custom;,4,Mais il avait une drôle de coutume ;,This king had a strange habit:
"tous les midis, alors que la grande table était desservie ",CHAQUE MIDI TABLE DEBARASSE,TOUS MIDIS ALORS GRANDE TABLE DESSERVIE ,['Imp']['Past'],,"every day after dinner, when the table was cleared,",5,"tous les jours après le dîner, lorsque la table est débarrassée,","every noon, when the big table was served "
"et qu'il n'y avait plus personne dans la salle, ",PERSONNE DANS SALLE,PLUS PERSONNE SALLE AVOIR ,['Imp'],,"and no one else was present,",6,"et personne d'autre n'était présent,","and there was no one left in the room, "
son serviteur fidèle lui apportait un certain plat. ,SON FIDELE SERVITEUR APPORTER SPECIAL PLAT,SERVITEUR FIDELE CERTAIN PLAT APPORTER ,['Imp'],,"a trusty servant had to bring him one more dish. It was covered, however,",7,"un fidèle serviteur devait lui apporter un plat supplémentaire. Mais il était couvert,",his faithful servant brought him a certain dish. 
"Or, ce plat était recouvert, et le valet lui-même ignorait ce qu'il contenait;",MAIS CE PLAT FERMER CLOCHE SERVEUR LUI-MERE NE SAIT PAS DEDANS QUOI,PLAT RECOUVERT VALET IGNORER CONTENIR ,['Imp']['Past']['Imp']['Imp']['Imp'],,"and even the servant did not know what was in it,",8,"et même le serviteur ne savait pas ce qu'il contenait,","Now, this dish was covered, and the valet himself did not know what it contained;"
"personne d'ailleurs ne le savait, ",PERSONNE SAVAIT,PERSONNE AILLEURS NE SAVAIT ,<unk>,,"neither did anyone know,",9,"Personne ne le savait non plus,","no one knew about it, "
car le roi ne soulevait le couvercle et ne commençait à manger que lorsqu'il était seul.,ROI OUVRIR CLOCHE COMMENCER MANGER QUAND LUI SEUL,ROI NE COUVERCLE NE SEUL SOULEVER COMMENCER MANGER ,['Imp']['Imp']['Imp'],,for the King never took off the cover to eat of it until he was quite alone.,10,car le roi n'enlevait jamais le couvercle pour en manger avant d'être tout à fait seul.,because the king only lifted the lid and started eating when he was alone.
