FR,GLOSS_LSF,GENERATED_LSF,TENSE,GLOSS_LSFB,EN,NUM,GENERATED_FR,GENERATED_EN
Un homme riche avait une femme qui tomba malade;,HOMME RICHE SA FEMME MALADE,HOMME RICHE FEMME MALADE ,['Imp']['Pres'],,"There was once a rich man whose wife lay sick,",1,"Il était une fois un homme riche dont la femme était malade,",A rich man had a wife who fell ill;
"et quand celle-ci sentit sa fin prochaine, elle appela à son chevet son unique fille",FEMME SENTIR BIENTÔT MOURIR APPELER SA FILLE,FIN PROCHAINE SENTIR CHEVET UNIQUE FILLE APPELER ,['Past']['Imp'],,"and when she felt her end drawing near she called to her only daughter to come near her bed,",2,"et quand elle sentit sa fin approcher, elle appela sa fille unique pour qu'elle vienne près de son lit,","and when she felt that her end was near, she called her only daughter to her bedside"
"et lui dit: Chère enfant,",FEMME DIRE MON ENFANT,DIRE CHERE ENFANT ,['Pres'],,"and said, Dear child,",3,"et lui dit : ""Chère enfant,","and said to her: Dear child,"
"reste bonne et pieuse,",TOI RESTER GENTILLE PIEUSE,BONNE PIEUSE RESTE ,['Pres'],,"be pious and good,",4,"sois pieuse et bonne,","stay good and pious,"
"et le bon Dieu t'aidera toujours,",DIEU T'AIDER TOUJOURS,BON DIEU T' TOUJOURS AIDER ,['Fut'],,"and God will always take care of you,",5,"et Dieu prendra toujours soin de toi,","and the good Lord will always help you,"
"et moi, du haut du ciel, je te regarderai et te protégerai.",MOI REGARDER HAUT TE PROTEGER,HAUT CIEL REGARDERAI PROTEGERAI TE ,['Pres'],,"and I will look down upon you from heaven, and will be with you.",6,"et je te regarderai du haut du ciel, et je serai avec toi.","and I, from heaven, will watch over you and protect you."
Puis elle ferma les yeux et mourut.,YEUX FERMER MOURIR,YEUX MOURUT FERMER ,['Pres'],,And then she closed her eyes and expired.,7,Puis elle ferma les yeux et expira.,Then she closed her eyes and died.
"La fillette se rendit chaque jour sur la tombe de sa mère, pleura",TOUS JOURS FILLE ALLER TOMBE SA MERE PLEURER,FILLETTE JOUR TOMBE MERE RENDRE PLEURER ,['Past']['Fut'],,"The maiden went every day to her mother's grave and wept,",8,"La jeune fille se rendit chaque jour sur la tombe de sa mère et pleura,","The little girl visited her mother's grave every day, wept"
et resta bonne et pieuse.,FILLE RESTER GENTILLE PIEUSE,BONNE PIEUSE RESTER ,['Pres'],,and was always pious and good.,9,et elle était toujours pieuse et bonne.,and remained good and pious.
"L'hiver venu, la neige recouvrit la tombe d'un tapis blanc.",HIVER ARRIVER NEIGE NEIGE COUCHE BLANCHE,HIVER VENU NEIGE TOMBE TAPIS BLANC RECOUVRIR ,['Past']['Pres'],,"When the winter came the snow covered the grave with a white covering,",10,"Quand vint l'hiver, la neige recouvrit la tombe d'une couche blanche,","When winter came, the snow covered the grave with a white carpet."
"Mais au printemps, quand le soleil l'eut fait fondre,",PRINTEMPS SOLEIL FONDRE ,PRINTEMPS SOLEIL FONDRE ,['Past']['Past'],,"and when the sun came in the early spring and melted it away,",11,"et quand le soleil vint au début du printemps et la fit fondre,","But in the spring, when the sun had melted it,"
l'homme prit une autre femme.,HOMME TROUVER AUTRE FEMME,HOMME AUTRE FEMME PRENDRE ,['Pres'],,the man took to himself another wife.,12,l'homme prit une autre femme.,the man took another wife.
"La femme avait amené avec elle ses deux filles qui étaient jolies et blanches de visage,",FEMME PRENDRE SES DEUX FILLES TOUTES DEUX JOLIE VISAGE BLANC,FEMME DEUX FILLES JOLIES BLANCHES VISAGE AMENE ,['Imp']['Past']['Imp'],,"The new wife brought two daughters home with her, and they were beautiful and fair in appearance,",13,"La nouvelle femme ramena à la maison deux filles, qui étaient belles et belles d'aspect, mais dont le cœur était noir et laid,","The woman had brought her two daughters with her, who were pretty and white in the face"
mais laides et noires de coeur.,MAIS DEDANS LAIDE CŒUR PIERRRE,LAIDES NOIRES COEUR ,<unk>,,"but at heart were, black and ugly.",14,"mais au fond, elles étaient noires et laides.",but ugly and black at heart.
Alors de bien mauvais jours commencèrent pour la pauvre belle-fille.,ALORS JOURS A VENIR HORRIBLE POUR BELLE FILLE,ALORS BIEN MAUVAIS JOURS PAUVRE BELLE-FILLE COMMENCER ,['Pres'],,And then began very evil times for the poor step-daughter.,15,C'est alors que commencèrent des temps très difficiles pour la pauvre belle-fille.,So bad days began for the poor daughter-in-law.
Faut-il que cette petite oie reste avec nous dans la salle? dirent-elles.,DEUX FILLE DIRE CETTE OIE RESTE AVEC NOUS ICI ?,PETITE OIE SALLE DIRENT FALLOIR RESTE ,['Pres']['Pres'],,Is the stupid creature to sit in the same room with us? said they;,16,Cette stupide créature doit-elle s'asseoir dans la même pièce que nous ? dirent-ils ;,Must this little goose stay with us in the room? they said.
"Qui veut manger du pain, doit le gagner.",SI TOI VOULOIR MANGER PAIN TOI MERITER,PAIN VOULOIR MANGER GAGNER DEVOIR ,['Pres']['Pres'],,those who eat food must earn it.,17,ceux qui mangent de la nourriture doivent la mériter.,"Who wants to eat bread, must earn it."
"Allez ouste, souillon!",ALLE DEHORS,ALLEZ OUSTE SOUILLON ,['Pres'],,Out upon her for a kitchen-maid!,18,On la prend pour une fille de cuisine !,"Go away, slut!"
"Elles lui enlevèrent ses beaux habits,",ENLEVER SES HABITS,BEAUX ENLEVER HABITS ,['Pres']['Past'],,"They took away her pretty dresses,",19,"Ils lui ont enlevé ses jolies robes,","They took off her beautiful clothes,"
la vêtirent d'un vieux tablier gris,METTRE VIEUX TABLIER GRIS,VETIRENT VIEUX TABLIER GRIS ,<unk>,,"and put on her an old grey kirtle,",20,"et lui ont mis une vieille jupe grise,",dressed her in an old gray apron
et lui donnèrent des sabots de bois.,SABOT BOIS METTRE,LUI SABOTS BOIS DONNER ,['Imp'],,and gave her wooden shoes to wear.,21,et lui donnèrent des sabots de bois.,and gave her wooden clogs.
"Voyez un peu la fière princesse,",FILLES DIRE REGARDER ELLE PRINCESSE,PEU FIERE PRINCESSE VOIR ,['Pres'],,"Just look now at the proud princess,",22,"Regardez maintenant la fière princesse,","Look at the proud princess,"
comme elle est accoutrée! s'écrièrent-elles en riant,HABILLER NUL DEUX FILLES RIGOLER,ECRIERENT ACCOUTREE RIANT ,['Pres']['Past']['Pres'],,"how she is decked out! cried they laughing,",23,"comme elle est parée ! s'écrièrent-ils en riant,","how she is dressed!"" they cried, laughing"
et elles la conduisirent à la cuisine.,FILLES PRENDRE ELLE AMENER CUISINE,CONDUISIRENT CUISINE ,<unk>,,and then they sent her into the kitchen.,24,puis ils l'envoyèrent à la cuisine.,and they led her to the kitchen.
"Alors il lui fallut faire du matin au soir de durs travaux,",OBLIGER MATIN SOIR TRAVAILLER DUR,ALORS MATIN SOIR DURS TRAVAUX FALLOIR FAIRE ,['Past'],,"There she was obliged to do heavy work from morning to night,",25,"Là, elle fut obligée de faire de gros travaux du matin au soir,","Then she had to do hard work from morning to night,"
"se lever bien avant le jour, porter de l'eau,",LEVER AVANT SOLEIL LEVER PORTER EAU,BIEN JOUR LEVER EAU PORTER ,,,"get up early in the morning, draw water,",26,"se lever tôt le matin, puiser de l'eau,","get up well before daylight, carry water,"
"allumer le feu, faire la cuisine et la lessive.",ALLUMER FEU CUISINER LESSIVE,FEU ALLUMER CUISINE LESSIVE FAIRE ,,,"make the fires, cook, and wash.",27,"faire le feu, cuisiner et laver.","light the fire, cook and wash clothes."
"En outre, les deux soeurs lui faisaient toutes les misères imaginables, se moquaient d'elle,",BREF DEUX SOEURS CONFIER CONFIER CONFIER L'EXPLOITER ELLES SE MOQUER ELLE,DEUX SOEURS TOUTES MISERES IMAGINABLES FAIRE MOQUAIENT ,['Imp'],,"Besides that, the sisters did their utmost to torment her, mocking her,",28,"En outre, les sœurs s'évertuaient à la tourmenter, à se moquer d'elle,","In addition, the two sisters made all the miseries imaginable to her, made fun of her,"
"lui renversaient les pois et les lentilles dans la cendre,",ELLES POIS LENTILLE RENVERSER CENDRE,POIS LENTILLES RENVERSER CENDRE ,['Pres'],,"and strewing peas and lentils among the ashes,",29,"et en jetant des pois et des lentilles parmi les cendres,","spilled peas and lentils in the ashes,"
de sorte qu'elle devait recommencer à les trier.,OBLIER RECOMMENCER TIRER,SORTE TRIER DEVOIR RECOMMENCER ,['Imp'],,and setting her to pick them up.,30,et lui demandaient de les ramasser.,so that she had to start sorting them again.
"Le soir, lorsqu'elle était épuisée de travail,",SOIR BELLE FILLE EPUISER TRAVAIL JOURNEE ,SOIR TRAVAIL EPUISEE ,['Imp']['Past'],,"In the evenings, when she was quite tired out with her hard day's work,",31,"Le soir, lorsqu'elle était bien fatiguée par sa dure journée de travail, elle n'avait pas de lit pour se coucher,","In the evening, when she was exhausted with work"
"elle ne se couchait pas dans un lit,",COUCHER LIT NON,NE PAS LIT COUCHER ,['Imp'],,"she had no bed to lie on,",32,"elle n'avait pas de lit pour se coucher,","she did not lie down in a bed,"
mais devait s'étendre près du foyer dans les cendres.,S'ALLONGER A COTER CENDRE,PRES FOYER CENDRES DEVOIR ETENDRE ,['Imp'],,but was obliged to rest on the hearth among the cinders.,33,"mais elle était obligée de se reposer sur l'âtre, parmi les cendres.",but had to lie down by the fireplace in the ashes.
"Et parce que cela lui donnait toujours un air poussiéreux et sale,",DONNER ELLE POUSSIERE SALE,TOUJOURS AIR POUSSIEREUX SALE DONNER ,['Pres'],,"And as she always looked dusty and dirty,",34,"Et comme elle avait toujours l'air poussiéreuse et sale,","And because this always made her look dusty and dirty,"
elles l'appelèrent Cendrillon.,SOEUR APPELER ELLE CENDRILLON,APPELERENT CENDRILLON ,<unk>,,they named her Cinderella.,35,on l'appela Cendrillon.,they called her Cinderella.
Il arriva que le père voulut un jour se rendre à la foire;,UN JOUR SON PERE ALLER FOIRE,PERE JOUR FOIRE ARRIVER VOULOIR RENDRE ,['Pres']['Imp'],,"It happened one day that the father went to the fair,",36,"Un jour, le père se rendit à la foire,",It happened that one day the father wanted to go to the fair;
il demanda à ses deux belles-filles ce qu'il devait leur rapporter.,LUI DEMANDER DEUX BELLE FILLE TOI VOULOIR MOI RAPPORTER QUOI,DEUX BELLES-FILLES DEMANDER DEVOIR RAPPORTER ,['Pres']['Imp'],,and he asked his two step-daughters what he should bring back for them.,37,et demanda à ses deux belles-filles ce qu'il devait leur rapporter.,He asked his two daughters-in-law what he should bring back.
"De beaux habits, dit l'une.",ELLE DIRE BEAUX HABITS,BEAUX HABITS DIRE ,['Past']['Pres'],,Fine clothes! said one.,38,De beaux vêtements ! dit l'une.,"Beautiful clothes,"" said one."
"Des perles et des pierres précieuses, dit la seconde.",L'AUTRE DIRE PERLES PIERRE PRECIEUSE,PERLES PIERRES PRECIEUSES SECONDE DIRE ,['Pres'],,Pearls and jewels! said the other.,39,Des perles et des bijoux ! dit l'autre.,"Pearls and precious stones,"" said the second."
"Et toi, Cendrillon, demanda-t-il, que veux-tu?",PERE DEMANDER TOI CENDRILLON VOULOIR QUOI ?,TOI CENDRILLON DEMANDA VEUX TOI ,['Past'],,"But what will you have, Cinderella? said he.",40,"Mais que veux-tu, Cendrillon ? dit le père.","And you, Cinderella,"" he asked, ""what do you want?"
