FR,GLOSS_LSF,GENERATED_LSF,TENSE,GLOSS_LSFB,EN,NUM,GENERATED_FR,GENERATED_EN
Il était une fois une petite fille,FOIS PETIT FILLE,FOIS PETITE FILLE ,['Imp'],,Once upon a time there was a sweet little girl.,1,Il était une fois une gentille petite fille.,Once upon a time there was a little girl
"que tout le monde aimait bien,",TOUT MONDE AIMER ELLE,TOUT MONDE BIEN AIMER ,['Imp'],,"Everyone who saw her liked her,",2,"Tous ceux qui l'ont vue l'ont appréciée,","that everybody liked,"
surtout sa grand-mère.,SURTOUT GRAND-MERE,SURTOUT GRAND-MERE ,<unk>,,"but most of all her grandmother,",3,"mais surtout sa grand-mère,",especially her grandmother.
Elle ne savait qu'entreprendre pour lui faire plaisir. ,NE SAIT PAS COMMENT LUI FAIRE PLAISIR,NE PLAISIR SAVOIR ENTREPRENDRE FAIRE ,['Imp'],,who did not know what to give the child next.,4,qui ne savait pas quoi donner à l'enfant ensuite.,She didn't know what to do to please her. 
"Un jour, elle lui offrit un petit bonnet de velours rouge, ",JOUR OFFRIR QUOI ? PETIT BONNET VELOURS ROUGE ,JOUR PETIT BONNET VELOURS ROUGE OFFRIR ,['Pres'],,Once she gave her a little cap made of red velvet.,5,"Une fois, elle lui a offert un petit bonnet en velours rouge.","One day, she gave her a little red velvet hat, "
qui lui allait si bien,SI BIEN ALLER,BIEN ALLER ,['Imp'],,"Because it suited her so well,",6,"Parce que cela lui allait si bien,",that fit her so well
qu'elle ne voulut plus en porter d'autre.,REFUSER PORTER D' AUTRES,NE PLUS VOULOIR PORTER ,['Pres'],,"and she wanted to wear it all the time,",7,"et elle voulait le porter tout le temps,",that she didn't want to wear another one.
"Du coup, on l'appela Chaperon Rouge.",ELLE APPELER CHAPERON ROUGE,COUP CHAPERON ROUGE ,<unk>,,she came to be known as Little Red Riding Hood.,8,On l'appelait alors le Petit Chaperon rouge.,"As a result, she became known as Red Riding Hood."
"Un jour, sa mère lui dit:",JOUR MERE DIRE,JOUR MERE DIRE ,['Pres'],,One day her mother said to her:,9,"Un jour, sa mère lui dit :","One day, her mother said to her:"
"Viens voir, Chaperon Rouge:",VENIR VOIR,VIENS VOIR CHAPERON ROUGE ,,,Come Little Red Riding Hood.,10,"Venez, petit chaperon rouge.","Come and see, Red Riding Hood:"
