FR,GLOSS_LSF,GENERATED_LSF,TENSE,GLOSS_LSFB,EN,NUM,GENERATED_FR,GENERATED_EN
,,,,,"There was once an ass whose master had made him carry sacks to the mill for many a long year,",1,"Il était une fois un âne que son maître avait obligé à porter des sacs au moulin pendant de longues années,",
,,,,,"but whose strength began at last to fail,",2,"mais dont les forces commençaient à faiblir,",
,,,,,so that each day as it came found him less capable of work.,3,de sorte que chaque jour qui passait le trouvait moins apte au travail.,
,,,,,"Then his master began to think of turning him out,",4,"C'est alors que son maître commença à envisager de le renvoyer,",
,,,,,"but the ass, guessing that something was in the wind that boded him no good, ran away, taking the road to Bremen;",5,"mais l'âne, devinant qu'il y avait dans le vent quelque chose qui ne lui présageait rien de bon, s'enfuit, prenant la route de Brême ;",
,,,,,for there he thought he might get an engagement as town musician.,6,car il pensait y obtenir un engagement en tant que musicien de la ville.,
,,,,,"When he had gone a little way he found a hound lying by the side of the road panting, as if he had run a long way.",7,"Après avoir fait un bout de chemin, il trouva un chien couché au bord de la route, haletant, comme s'il avait couru longtemps.",
,,,,,"Now, Holdfast, what are you so out of breath about? said the ass.",8,"Alors, Holdfast, pourquoi es-tu si essoufflé ? dit l'âne.",
,,,,,"Oh dear! said the dog, now I am old,",9,"Oh là là ! dit le chien, maintenant je suis vieux,",
,,,,,"I get weaker every day, and can do no good in the hunt,",10,"Je m'affaiblis de jour en jour et je ne peux rien faire de bon dans la chasse,",
,,,,,"so, as my master was going to have me killed, I have made my escape;",11,"Alors, comme mon maître allait me faire tuer, je me suis échappé ;",
,,,,,"but now, how am I to gain a living?",12,"mais maintenant, comment vais-je gagner ma vie ?",
,,,,,"I will tell you what, said the ass, I am going to Bremen to become town musician.",13,"Je vais vous dire, dit l'âne, je vais aller à Brême pour devenir musicien de la ville.",
,,,,,"You may as well go with me, and take up music too.",14,Tu peux tout aussi bien m'accompagner et te mettre à la musique.,
,,,,,"I can play the lute, and you can beat the drum.",15,Je sais jouer du luth et tu sais battre le tambour.,
,,,,,"And the dog consented, and they walked on together.",16,Le chien y consentit et ils continuèrent à marcher ensemble.,
,,,,,"It was not long before they came to a cat sitting in the road,",17,"Ils ne tardèrent pas à rencontrer un chat assis sur la route,",
,,,,,looking as dismal as three wet days.,18,aussi lugubre que trois jours de pluie.,
,,,,,"Now then, what is the matter with you, old shaver? said the ass.",19,"Alors, qu'est-ce qui t'arrive, vieux rasoir ? dit l'âne.",
,,,,,"I should like to know who would be cheerful when his neck is in danger, answered the cat.",20,"Je voudrais bien savoir qui est gai quand son cou est en danger, répondit le chat.",
,,,,,"Now that I am old my teeth are getting blunt,",21,"Maintenant que je suis vieux, mes dents s'émoussent,",
