FR,GLOSS_LSF,GENERATED_LSF,TENSE,GLOSS_LSFB,EN,NUM,GENERATED_FR,GENERATED_EN
,,,,,"In a certain country there was once great lamentation over a wild boar that laid waste the farmer's fields, ",1,"Dans un certain pays, on se lamentait autrefois au sujet d'un sanglier qui avait dévasté les champs du fermier, ",
,,,,,"killed the cattle, ",2,"a tué le bétail, ",
,,,,,and ripped up people's bodies with his tusks. ,3,et déchiquetait le corps des gens avec ses défenses. ,
,,,,,The King promised a large reward to anyone who would free the land from this plague; ,4,Le roi a promis une forte récompense à quiconque libérerait le pays de ce fléau ; ,
,,,,,but the beast was so big and strong that no one dared to go near the forest in which it lived. ,5,mais la bête était si grande et si forte que personne n'osait s'approcher de la forêt où elle vivait. ,
,,,,,At last the King gave notice that whosoever should capture or kill the wild boar should have his only daughter to wife.,6,"Enfin, le roi fit savoir que quiconque capturerait ou tuerait le sanglier aurait sa fille unique pour épouse.",
,,,,,"Now there lived in the country two brothers, ",7,"Or, deux frères vivaient dans le pays, ",
,,,,,"sons of a poor man, who declared themselves willing to undertake the hazardous enterprise; ",8,"fils d'un pauvre homme, qui se sont déclarés prêts à se lancer dans cette entreprise hasardeuse ; ",
,,,,,"the elder, who was crafty and shrewd, out of pride; ",9,"l'aîné, qui était rusé et astucieux, par orgueil ; ",
,,,,,"the younger, who was innocent and simple, from a kind heart. ",10,"le plus jeune, qui était innocent et simple, d'un bon cœur. ",
,,,,,"The King said, In order that you may be the more sure of finding the beast, you must go into the forest from opposite sides. ",11,"Le roi dit : Pour que vous soyez plus sûrs de trouver la bête, il faut que vous entriez dans la forêt par des côtés opposés. ",
,,,,,"So the elder went in on the west side, and the younger on the east. ",12,L'aîné entra donc par l'ouest et le cadet par l'est. ,
,,,,,"When the younger had gone a short way, a little man stepped up to him. ",13,"Après avoir parcouru un petit bout de chemin, un petit homme s'approcha de lui. ",
,,,,,"He held in his hand a black spear and said, ",14,"Il tenait à la main une lance noire et disait, ",
,,,,,I give you this spear because your heart is pure and good; ,15,Je te donne cette lance parce que ton cœur est pur et bon ; ,
,,,,,"with this you can boldly attack the wild boar, and it will do you no harm. ",16,"Avec cela, vous pouvez attaquer hardiment le sanglier, et il ne vous fera aucun mal. ",
