FR,GLOSS_LSF,GENERATED_LSF,TENSE,GLOSS_LSFB,EN,NUM,GENERATED_FR,GENERATED_EN
,,FOIS PAUVRE FEMME NAISSANCE PETIT GARCON DONNER ,['Imp']['Past'],,There was once a poor woman who gave birth to a little son; ,1,Il était une fois une pauvre femme qui donna naissance à un petit garçon ; ,
,,MONDE CALOTTE VENU QUATORZIEME ANNEE PREDIT FILLE ROI EPOUSE AVOIR ,['Pres']['Past']['Pres']['Past']['Pres'],,"and as he came into the world with a caul on, it was predicted that in his fourteenth year he would have the King's daughter for his wife.",2,"et comme il est venu au monde avec une calotte, on lui a prédit qu'à sa quatorzième année, il aurait la fille du roi pour épouse.",
,,PEU TEMPS ROI VILLAGE ARRIVER ,['Pres'],,"It happened that soon afterwards the King came into the village, ",3,"Peu de temps après, le roi arriva au village, ",
,,NE ROI PERSONNE SAVOIR ,['Pres']['Imp']['Imp'],,"and no one knew that he was the King, ",4,"et personne ne savait qu'il était le roi, ",
,,GENS NOUVELLES DEMANDER REPONDRE ,['Pres']['Imp']['Imp'],,"and when he asked the people what news there was, they answered, ",5,"Il demanda aux gens quelles étaient les nouvelles, et ils répondirent, ",
,,ENFANT NAITRE CAUL VENIR ,['Pres'],,A child has just been born with a caul on; ,6,Un enfant vient de naître avec un caul ; ,
,,TOUT PERSONNE AINSI BIEN ENTREPRENDRE NEE TERMINE ,['Pres']['Past']['Pres'],,whatever any one so born undertakes turns out well. ,7,tout ce qu'entreprend une personne ainsi née se termine bien. ,
,,EGALEMENT PROPHETISE QUATORZIEME ANNEE EPOUSE FILLE ROI AVOIR ,['Pres']['Past']['Fut'],,"It is prophesied, too, that in his fourteenth year he will have the King's daughter for his wife.",8,"Il est également prophétisé que, dans sa quatorzième année, il aura pour épouse la fille du roi.",
,,ROI MAUVAIS CŒUR AVOIR ,['Imp'],,"The King, who had a bad heart, ",9,"Le roi, qui avait un mauvais cœur, ",
,,COLERE CAUSE PROPHETIE PARENTS ALLE VOIR ,['Imp']['Pres']['Past'],,"and was angry about the prophecy, went to the parents, ",10,"et qui était en colère à cause de la prophétie, est allé voir les parents, ",
,,AIR ASSEZ AMICAL DIRE ,['Pres'],,"and, seeming quite friendly, said, ",11,"et, d'un air assez amical, lui dit, ",
,,PAUVRES GENS ENFANT AVOIR ,,,"You poor people, let me have your child, ",12,"Pauvres gens, laissez-moi avoir votre enfant, ",
,,OCCUPERAI ,<unk>,,and I will take care of it. ,13,et je m'en occuperai. ,
,,ABORD AVOIR REFUSE GROSSE SOMME ECHANGE ETRANGER OFFERT ,['Pres']['Past']['Pres']['Past'],,"At first they refused, but when the stranger offered them a large amount of gold for it, ",14,"Ils ont d'abord refusé, mais l'étranger leur a offert une grosse somme d'or en échange, ",
,,PENSE ENFANT CHANCE ,['Pres']['Past']['Pres'],,"and they thought, It is a luck-child, ",15,"et ils ont pensé : C'est un enfant de la chance, ",
,,BIEN DEVOIR PASSER FINALEMENT CONSENTI ,['Imp']['Pres'],,"and everything must turn out well for it, they at last consented, ",16,"et que tout devait bien se passer pour elle, ils ont finalement consenti, ",
,,ENFANT DONNER ,['Past'],,and gave him the child.,17,et lui donna l'enfant.,
,,ROI MIT BOITE ALLER ETENDUE EAU PROFONDE ARRIVE ,['Past']['Pres'],,The King put it in a box and rode away with it until he came to a deep piece of water; ,18,"Le roi le mit dans une boîte et s'en alla avec, jusqu'à ce qu'il arrive à une étendue d'eau profonde ; ",
,,BOITE JETE REFLECHI ,['Pres']['Past']['Pres']['Past'],,"then he threw the box into it and thought, ",19,"puis il y a jeté la boîte et a réfléchi, ",
,,FILLE PRETENDANT LIBERE INATTENDU ,['Pres']['Past'],,I have freed my daughter from her unlooked-for suitor.,20,J'ai libéré ma fille de son prétendant inattendu.,
,,BOITE CEPENDANT PAS COULE BATEAU FLOTTE ,['Pres']['Past']['Pres']['Past'],,"The box, however, did not sink, but floated like a boat, ",21,"La boîte n'a cependant pas coulé, mais a flotté comme un bateau, ",
,,GOUTTE EAU NE INFILTREE ,['Pres']['Past'],,and not a drop of water made its way into it. ,22,et aucune goutte d'eau ne s'y est infiltrée. ,
,,DEUX MILLES CHEF LIEU ROI FLOTTER MOULIN TROUVER BARRAGE MOULIN ARRETER ,['Pres']['Imp']['Pres'],,"And it floated to within two miles of the King's chief city, where there was a mill, and it came to a stand-still at the mill-dam. ",23,"Elle flotta jusqu'à deux milles du chef-lieu du roi, où se trouvait un moulin, et s'arrêta au barrage du moulin. ",
,,GARCON MEUNIER CHANCE LA TROUVER ,['Imp'],,"A miller's boy, who by good luck was standing there, ",24,"Un garçon meunier qui, par chance, se trouvait là, ",
,,REMARQUE AIDE CROCHET RETIRE ,['Pres']['Past']['Pres']['Past'],,"noticed it and pulled it out with a hook, ",25,"l'a remarqué et l'a retiré à l'aide d'un crochet, ",
,,GRAND TRESOR PENSANT TROUVE ,['Pres']['Past'],,"thinking that he had found a great treasure, ",26,"pensant avoir trouvé un grand trésor, ",
,,OUVERTE INTERIEUR JOLI GARCON AVOIR TOUT FRAIS PLEIN VIE ,['Pres']['Past']['Imp'],,"but when he opened it there lay a pretty boy inside, quite fresh and lively. ",27,"Mais lorsqu'il l'a ouverte, il y avait à l'intérieur un joli garçon, tout frais et plein de vie. ",
,,MEUNIER EMMENER FEMME ,,,"He took him to the miller and his wife, ",28,"Il l'emmena chez le meunier et sa femme, ",
,,PAS ENFANTS AVOIR CONTENTS ,['Imp']['Imp'],,"and as they had no children they were glad, ",29,"et comme ils n'avaient pas d'enfants, ils étaient contents, ",
,,DIT DIEU DONNE ,['Past']['Pres']['Past'],,"and said, God has given him to us. ",30,et dit : Dieu nous l'a donné. ,
,,PRIRENT GRAND SOIN ENFANT TROUVE BONTE GRANDIR ,['Past']['Past'],,"They took great care of the foundling, and he grew up in all goodness.",31,"Ils prirent grand soin de l'enfant trouvé, et il grandit en toute bonté.",
,,FOIS TEMPETE ARRIVE ,['Pres']['Past'],,"It happened that once in a storm, ",32,"C'est arrivé une fois dans une tempête, ",
,,ROI MOULIN ENTRE ,['Pres']['Past'],,"the King went into the mill, ",33,"le roi est entré dans le moulin, ",
,,DEMANDA HABITANTS MOULIN GRAND JEUNE HOMME FILS ,['Imp'],,and he asked the mill-folk if the tall youth was their son. ,34,et il demanda aux habitants du moulin si le grand jeune homme était leur fils. ,
,,NON REPONDRE ENFANT TROUVE ,['Pres']['Pres']['Past'],,"No, answered they, he's a foundling. ",35,"Non, répondent-ils, c'est un enfant trouvé. ",
,,QUATORZE ANS AVOIR BARRAGE MOULIN BOITE FLOTTE ,['Pres']['Pres']['Past'],,"Fourteen years ago he floated down to the mill-dam in a box, ",36,"Il y a quatorze ans, il a flotté jusqu'au barrage du moulin dans une boîte, ",
,,GARCON MOULIN EAU SORTI ,['Pres']['Past'],,and the mill-boy pulled him out of the water. ,37,et le garçon de moulin l'a sorti de l'eau. ,
,,ROI ALORS AUTRE ENFANT PORTE-BONHEUR EAU SAVOIR JETE ,['Pres']['Imp']['Imp']['Past'],,"Then the King knew that it was none other than the luck-child which he had thrown into the water, ",38,"Le roi sut alors que ce n'était autre que l'enfant porte-bonheur qu'il avait jeté à l'eau, ",
,,DIRE BRAVES GENS JEUNE HOMME NE PAS LETTRE REINE POUVOIR PORTER ,['Pres']['Pres'],,"and he said, My good people, could not the youth take a letter to the Queen; ",39,"et il dit : Mes braves gens, le jeune homme ne pourrait-il pas porter une lettre à la reine ? ",
,,DEUX PIECES OR GUISE RECOMPENSE DONNER ,['Fut'],,I will give him two gold pieces as a reward? ,40,Je lui donnerai deux pièces d'or en guise de récompense ? ,
