FR,GLOSS_LSF,GENERATED_LSF,TENSE,GLOSS_LSFB,EN,NUM,GENERATED_FR,GENERATED_EN
,,,,,A louse and a flea kept house together and were brewing beer in an egg-shell.,1,Un pou et une puce ont gardé la maison ensemble et brassaient de la bière dans une coquille d'œuf.,
,,,,,Then the little louse fell in and burnt herself. ,2,La petite poule est alors tombée dedans et s'est brûlée. ,
,,,,,On this the little flea began to scream loudly. ,3,"Sur ce, la petite puce se mit à crier très fort. ",
,,,,,Then said the little room-door,4,La petite porte de la chambre dit alors,
,,,,,"Little flea, why art thou screaming? ",5,"Petite puce, pourquoi cries-tu ? ",
,,,,,Because the louse has burnt herself.,6,Parce que le pou s'est brûlé.,
,,,,,Then the little door began to creak. ,7,C'est alors que la petite porte se mit à grincer. ,
,,,,,"On this a little broom in the corner said ;  Why art thou creaking, little door? ",8,"Sur ce, un petit balai dans le coin a dit",
,,,,,Have I not reason to creak?,9,N'ai-je pas raison de grincer ?,
,,,,,"The little louse has burnt herself,",10,"La petite poux s'est brûlée,",
,,,,,The little flea is weeping.,11,La petite puce pleure.,
,,,,,So the little broom began to sweep frantically. ,12,Le petit balai se met alors à balayer frénétiquement. ,
,,,,,Then a little cart passed by and said,13,Une petite charrette est passée et a dit,
,,,,,"Why art thou sweeping, little broom? Have I not reason to sweep?",14,"Pourquoi balaies-tu, petit balai ? N'ai-je pas raison de balayer ?",
,,,,,"The little louse has burnt herself,",15,"La petite poux s'est brûlée,",
,,,,,"The little flea is weeping,",16,"La petite puce pleure,",
,,,,,The little door is creaking.,17,La petite porte grince.,
,,,,,"So the little cart said ; Then I will run, and began to run wildly. ",18,Le petit chariot a donc dit,
,,,,,"Then said the ash-heap by which it ran ; Why art thou running so, little cart?",19,Le tas de cendres par lequel il est passé a dit,
,,,,,Have I not reason to run?,20,N'ai-je pas des raisons de fuir ?,
,,,,,"The little louse has burnt herself,",21,"La petite poux s'est brûlée,",
,,,,,"The little flea is weeping,",22,"La petite puce pleure,",
,,,,,"The little door is creaking,",23,"La petite porte grince,",
,,,,,The little broom is sweeping.,24,Le petit balai balaie.,
,,,,,The ash-heap said ; Then I will burn furiously,25,Le tas de cendres a dit,
,,,,,and began to burn in clear flames. ,26,et a commencé à brûler dans des flammes claires. ,
,,,,,A little tree stood near the ash-heap and said,27,Un petit arbre se tenait près du tas de cendres et disait,
,,,,,"Ash-heap, why art thou burning? ",28,"Tas de cendres, pourquoi brûles-tu ? ",
,,,,,Have I not reason to burn?,29,N'ai-je pas des raisons de brûler ?,
,,,,,"The little louse has burnt herself,",30,"La petite poux s'est brûlée,",
,,,,,"The little flea is weeping,",31,"La petite puce pleure,",
,,,,,"The little door is creaking,",32,"La petite porte grince,",
,,,,,"The little broom is sweeping,",33,"Le petit balai balaie,",
,,,,,The little cart is running.,34,Le petit chariot est en marche.,
,,,,,"The little tree said ; Then I will shake myself, ",35,Le petit arbre a dit,
,,,,,and began to shake herself so that all her leaves fell off; ,36,et se mit à se secouer pour faire tomber toutes ses feuilles ; ,
,,,,,"a girl who came up with her water-pitcher saw that, and said Little tree, why art thou shaking thyself? ",37,une jeune fille qui s'approchait avec sa cruche d'eau a vu cela et a dit,
,,,,,Have I not reason to shake myself?,38,N'ai-je pas raison de m'ébranler ?,
,,,,,"The little louse has burnt herself,",39,"La petite poux s'est brûlée,",
,,,,,"The little flea is weeping,",40,"La petite puce pleure,",
,,,,,"The little door is creaking,",41,"La petite porte grince,",
,,,,,"The little broom is sweeping,",42,"Le petit balai balaie,",
,,,,,"The little cart is running,",43,"Le petit chariot est en marche,",
,,,,,The little ash-heap is burning.,44,Le petit tas de cendres brûle.,
,,,,,"On this the girl said Then I will break my little water-pitcher, ",45,"Sur ce point, la jeune fille a déclaré",
,,,,,and she broke her little water-pitcher. ,46,et elle a cassé sa petite cruche d'eau. ,
,,,,,Then said the little spring from which ran the water,47,La petite source d'où jaillit l'eau dit alors,
,,,,,"Girl, why art thou breaking thy water-jug? ",48,"Ma fille, pourquoi casses-tu ta cruche d'eau ? ",
,,,,,Have I not reason to break my water-jug?,49,N'ai-je pas une raison de briser ma cruche d'eau ?,
,,,,,"The little louse has burnt herself,",50,"La petite poux s'est brûlée,",
,,,,,"The little flea is weeping,",51,"La petite puce pleure,",
,,,,,"The little door is creaking,",52,"La petite porte grince,",
,,,,,"The little broom is sweeping,",53,"Le petit balai balaie,",
,,,,,"The little cart is running,",54,"Le petit chariot est en marche,",
,,,,,"The little ash-heap is burning,",55,"Le petit tas de cendres brûle,",
,,,,,The little tree is shaking itself.,56,Le petit arbre s'agite.,
,,,,,"Oh, ho, said the spring, then I will begin to flow, ",57,"Oh, ho, dit la source, alors je commencerai à couler, ",
,,,,,and began to flow violently. ,58,et a commencé à s'écouler violemment. ,
,,,,,"And in the water everything was drowned, ",59,"Et dans l'eau, tout était noyé, ",
,,,,,"the girl, ",60,"la fille, ",
,,,,,"the little tree, ",61,"le petit arbre, ",
,,,,,"the little ash-heap, ",62,"le petit tas de cendres, ",
,,,,,"the little cart, ",63,"le petit chariot, ",
,,,,,"the broom, ",64,"le balai, ",
,,,,,"the little door, ",65,"la petite porte, ",
,,,,,"the little flea, ",66,"la petite puce, ",
,,,,,"the little louse, ",67,"le petit pou, ",
,,,,,all together.,68,tous ensemble.,
