FR,GLOSS_LSF,GENERATED_LSF,TENSE,GLOSS_LSFB,EN,NUM,GENERATED_FR,GENERATED_EN
,,,,,"A certain miller had little by little fallen into poverty,",1,"il peu à peu tombé dans la pauvreté,",
,,,,,and had nothing left but his mill and a large apple-tree behind it.,2,et il ne restait plus que son moulin et un grand pommier derrière lui.,
,,,,,"Once when he had gone into the forest to fetch wood,",3,"Une fois, il était allé chercher du bois dans la forêt,",
,,,,,"an old man stepped up to him whom he had never seen before,",4,"un vieil homme, qu'il n'avait jamais vu auparavant, s'avança vers lui,",
,,,,,"and said, Why dost thou plague thyself with cutting wood,",5,et dit : Pourquoi t'acharnes-tu à couper du bois ?,
,,,,,"I will make thee rich, if thou wilt promise me what is standing behind thy mill?",6,Je te rendrai riche si tu me promets ce qui se trouve derrière ton moulin.,
,,,,,"What can that be but my apple-tree? thought the miller,",7,"Qu'est-ce que c'est que mon pommier ? pensa le meunier,",
,,,,,"and said, Yes, and gave a written promise to the stranger.",8,"et dit : Oui, et donna une promesse écrite à l'étranger.",
,,,,,"He, however, laughed mockingly and said,",9,"Il a cependant ri d'un air moqueur et a dit,",
,,,,,"When three years have passed,",10,"Lorsque trois ans se sont écoulés,",
,,,,,"I will come and carry away what belongs to me, and then he went.",11,"Je viendrai emporter ce qui m'appartient, et il s'en alla.",
,,,,,"When the miller got home, his wife came to meet him and said,",12,"Lorsque le meunier rentra chez lui, sa femme vint à sa rencontre et lui dit,",
,,,,,"Tell me, miller, from whence comes this sudden wealth into our house?",13,"Dites-moi, meunier, d'où vient cette richesse soudaine dans notre maison ?",
,,,,,All at once every box and chest was filled;,14,"D'un seul coup, toutes les boîtes et tous les coffres ont été remplis ;",
,,,,,"no one brought it in,",15,"personne ne l'a apportée,",
,,,,,and I know not how it happened.,16,et je ne sais pas comment c'est arrivé.,
,,,,,"He answered, It comes from a stranger who met me in the forest,",17,"Il a répondu : ""Cela vient d'un étranger qui m'a rencontré dans la forêt,",
,,,,,and promised me great treasure.,18,et m'a promis un grand trésor.,
,,,,,"I, in return, have promised him what stands behind the mill;",19,"En retour, je lui ai promis ce qui se trouve derrière le moulin ;",
,,,,,we can very well give him the big apple-tree for it.,20,nous pouvons très bien lui donner le grand pommier en échange.,
,,,,,"Ah, husband, said the terrified wife,",21,"Ah, mon mari, dit la femme terrifiée,",
,,,,,"that must have been the devil! He did not mean the apple-tree,",22,"ce devait être le diable ! Il ne parlait pas du pommier,",
,,,,,"but our daughter, who was standing behind the mill sweeping the yard.",23,"mais notre fille, qui se tenait derrière le moulin et balayait la cour.",
,,,,,"The miller's daughter was a beautiful, pious girl,",24,"La fille du meunier était une belle fille pieuse,",
,,,,,and lived through the three years in the fear of God and without sin.,25,et il vécut ces trois années dans la crainte de Dieu et sans commettre de péché.,
,,,,,"When therefore the time was over,",26,"Le temps était donc écoulé,",
,,,,,"and the day came when the Evil-one was to fetch her,",27,"et le jour arriva où le Malin devait aller la chercher,",
,,,,,"she washed herself clean, and made a circle round herself with chalk.",28,elle se lava et fit un cercle autour d'elle avec de la craie.,
,,,,,"The devil appeared quite early, but he could not come near to her.",29,"Le diable apparut assez tôt, mais il ne put s'approcher d'elle.",
,,,,,"Angrily, he said to the miller,",30,"En colère, il dit au meunier,",
,,,,,"Take all water away from her, that she may no longer be able to wash herself, for otherwise I have no power over her.",31,"Enlevez-lui toute eau, afin qu'elle ne puisse plus se laver, car sinon je n'ai aucun pouvoir sur elle.",
,,,,,"The miller was afraid, and did so.",32,"Le meunier, effrayé, s'exécuta.",
,,,,,"The next morning the devil came again,",33,"Le lendemain matin, le diable revint à la charge,",
,,,,,"but she had wept on her hands, and they were quite clean.",34,"mais elle avait pleuré sur ses mains, et elles étaient tout à fait propres.",
,,,,,"Again he could not get near her, and furiously said to the miller,",35,"De nouveau, il ne put s'approcher d'elle, et il dit furieusement au meunier,",
,,,,,"Cut her hands off, or else I cannot get the better of her.",36,"Coupez-lui les mains, sinon je ne pourrai pas en venir à bout.",
,,,,,"The miller was shocked and answered,",37,"Le meunier est choqué et répond,",
,,,,,How could I cut off my own child's hands?,38,Comment pourrais-je couper les mains de mon propre enfant ?,
,,,,,"Then the Evil-one threatened him and said,",39,"Alors le Malin le menaça et dit,",
,,,,,"If thou dost not do it thou art mine, and I will take thee thyself.",40,"Si tu ne le fais pas, tu es à moi, et je te prendrai toi-même.",
,,,,,"The father became alarmed, and promised to obey him.",41,Le père s'inquiète et promet de lui obéir.,
,,,,,"So he went to the girl and said,",42,"Il alla donc vers la jeune fille et lui dit,",
,,,,,"My child, if I do not cut off both thine hands,",43,"Mon enfant, si je ne te coupe pas les deux mains,",
,,,,,"the devil will carry me away,",44,"le diable m'emportera,",
,,,,,and in my terror I have promised to do it.,45,"et dans ma terreur, j'ai promis de le faire.",
,,,,,"Help me in my need, and forgive me the harm I do thee.",46,"Aide-moi dans ma détresse, et pardonne-moi le mal que je te fais.",
,,,,,"She replied, Dear father, do with me what you will, I am your child.",47,"Elle répondit : ""Cher père, fais de moi ce que tu veux, je suis ton enfant.",
,,,,,"Thereupon she laid down both her hands,",48,"Elle a alors posé ses deux mains,",
,,,,,and let them be cut off.,49,et qu'ils soient retranchés.,
,,,,,"The devil came for the third time,",50,"Le diable est venu pour la troisième fois,",
,,,,,"but she had wept so long and so much on the stumps, that after all they were quite clean.",51,"Mais elle avait pleuré si longtemps et si fort sur les souches, qu'après tout elles étaient bien propres.",
,,,,,"Then he had to give in, and had lost all right over her.",52,Puis il a dû céder et a perdu tout droit sur elle.,
,,,,,"The miller said to her, I have by means of thee received such great wealth that I will keep thee most delicately as long as thou livest.",53,Le meunier lui dit : J'ai acquis grâce à toi de si grandes richesses que je te garderai avec le plus grand soin tant que tu vivras.,
,,,,,"But she replied,",54,"Mais elle a répondu,",
,,,,,"Here I cannot stay, I will go forth, compassionate people will give me as much as I require.",55,"Je ne peux pas rester ici, je vais partir, des personnes compatissantes me donneront tout ce dont j'ai besoin.",
,,,,,"Thereupon she caused her maimed arms to be bound to her back,",56,"Elle fait alors lier ses bras mutilés dans son dos,",
,,,,,"and by sunrise she set out on her way,",57,"et au lever du soleil, elle s'est mise en route,",
,,,,,and walked the whole day until night fell.,58,et marcha toute la journée jusqu'à la tombée de la nuit.,
,,,,,"Then she came to a royal garden,",59,"Puis elle arriva dans un jardin royal,",
,,,,,"and by the shimmering of the moon she saw that trees covered with beautiful fruits grew in it,",60,"et, au scintillement de la lune, elle vit que des arbres couverts de beaux fruits y poussaient,",
,,,,,"but she could not enter, for there was much water round about it.",61,"mais elle ne put y entrer, car il y avait beaucoup d'eau tout autour.",
,,,,,"And as she had walked the whole day and not eaten one mouthful,",62,"Et comme elle avait marché toute la journée sans manger une seule bouchée,",
,,,,,"and hunger tormented her, she thought,",63,"et la faim la tourmentait, pensait-elle,",
,,,,,"Ah, if I were but inside, that I might eat of the fruit,",64,"Ah, si j'étais à l'intérieur, pour manger du fruit,",
,,,,,else must I die of hunger!,65,sinon je mourrai de faim !,
,,,,,"Then she knelt down, called on God the Lord, and prayed.",66,"Puis elle s'agenouilla, invoqua Dieu le Seigneur et pria.",
,,,,,"And suddenly an angel came towards her, who made a dam in the water,",67,"Soudain, un ange s'approcha d'elle et fit un barrage dans l'eau,",
,,,,,so that the moat became dry and she could walk through it.,68,de sorte que le fossé devint sec et qu'elle put le traverser.,
,,,,,And now she went into the garden and the angel went with her.,69,Elle entra dans le jardin et l'ange l'accompagna.,
