FR,GLOSS_LSF,GENERATED_LSF,TENSE,GLOSS_LSFB,EN,NUM,GENERATED_FR,GENERATED_EN
,,,,,"The mother of Hans said,",1,"La mère de Hans a déclaré,",
,,,,,"Whither away, Hans?",2,"Qui s'en va, Hans ?",
,,,,,"Hans answered,",3,"Hans a répondu,",
,,,,,To Grethel.,4,A Grethel.,
,,,,,"Behave well, Hans.",5,"Tiens-toi bien, Hans.",
,,,,,"Oh, I'll behave well.",6,"Oh, je me tiendrai bien.",
,,,,,"Good-bye, mother.",7,"Au revoir, maman.",
,,,,,"Good-bye, Hans.",8,"Au revoir, Hans.",
,,,,,"Hans comes to Grethel,",9,"Hans vient à Grethel,",
,,,,,"Good day, Grethel.",10,"Bonjour, Grethel.",
,,,,,"Good day, Hans.",11,"Bonjour, Hans.",
,,,,,What dost thou bring that is good?,12,Qu'apportes-tu de bon ?,
,,,,,"I bring nothing,",13,"Je n'apporte rien,",
,,,,,I want to have something given me.,14,Je veux qu'on me donne quelque chose.,
,,,,,Grethel presents Hans with a needle.,15,Grethel présente une aiguille à Hans.,
,,,,,"Hans says, Good-bye, Grethel.",16,"Hans dit : Au revoir, Grethel.",
,,,,,"Good-bye, Hans.",17,"Au revoir, Hans.",
,,,,,"Hans takes the needle, sticks it into a hay-cart,",18,"Hans prend l'aiguille et la plante dans une charrette de foin,",
,,,,,and follows the cart home.,19,et suit le chariot jusqu'à la maison.,
,,,,,"Good evening, mother.",20,"Bonsoir, maman.",
,,,,,"Good evening, Hans.",21,"Bonsoir, Hans.",
,,,,,Where hast thou been?,22,Où étais-tu ?,
,,,,,With Grethel.,23,Avec Grethel.,
,,,,,What didst thou take her?,24,Qu'est-ce que tu lui as pris ?,
,,,,,Took nothing;,25,N'a rien pris ;,
,,,,,had something given me.,26,m'a donné quelque chose.,
,,,,,What did Grethel give thee?,27,Qu'est-ce que Grethel t'a donné ?,
,,,,,Gave me a needle.,28,Il m'a donné une aiguille.,
,,,,,"Where is the needle, Hans?",29,"Où est l'aiguille, Hans ?",
,,,,,Stuck it in the hay-cart.,30,Il l'a mis dans la charrette à foin.,
,,,,,"That was ill done, Hans.",31,"C'était mal fait, Hans.",
,,,,,Thou shouldst have stuck the needle in thy sleeve.,32,Tu aurais dû enfoncer l'aiguille dans ta manche.,
,,,,,"Never mind, I'll do better next time.",33,"Qu'à cela ne tienne, je ferai mieux la prochaine fois.",
,,,,,"Whither away, Hans?",34,"Qui s'en va, Hans ?",
,,,,,"To Grethel, mother.",35,"A Grethel, mère.",
,,,,,"Behave well, Hans.",36,"Tiens-toi bien, Hans.",
,,,,,"Oh, I'll behave well.",37,"Oh, je me tiendrai bien.",
,,,,,"Good-bye, mother.",38,"Au revoir, maman.",
,,,,,"Good-bye, Hans.",39,"Au revoir, Hans.",
,,,,,Hans comes to Grethel.,40,Hans vient à Grethel.,
,,,,,"Good day, Grethel.",41,"Bonjour, Grethel.",
,,,,,"Good day, Hans.",42,"Bonjour, Hans.",
,,,,,What dost thou bring that is good?,43,Qu'apportes-tu de bon ?,
,,,,,I bring nothing;,44,Je n'apporte rien ;,
,,,,,I want to have something given to me.,45,Je veux qu'on me donne quelque chose.,
,,,,,Grethel presents Hans with a knife.,46,Grethel présente un couteau à Hans.,
,,,,,"Good-bye, Grethel.",47,"Au revoir, Grethel.",
,,,,,Good-bye Hans.,48,Au revoir Hans.,
,,,,,"Hans takes the knife, sticks it in his sleeve, and goes home.",49,"Hans prend le couteau, l'enfonce dans sa manche et rentre chez lui.",
,,,,,"Good evening, mother.",50,"Bonsoir, maman.",
,,,,,"Good evening, Hans.",51,"Bonsoir, Hans.",
,,,,,Where hast thou been?,52,Où étais-tu ?,
,,,,,With Grethel.,53,Avec Grethel.,
,,,,,What didst thou take her?,54,Qu'est-ce que tu lui as pris ?,
,,,,,"Took her nothing, she gave me something.",55,"Je ne lui ai rien pris, elle m'a donné quelque chose.",
,,,,,What did Grethel give thee?,56,Qu'est-ce que Grethel t'a donné ?,
,,,,,Gave me a knife.,57,Il m'a donné un couteau.,
,,,,,"Where is the knife, Hans?",58,"Où est le couteau, Hans ?",
,,,,,Stuck in my sleeve.,59,Coincé dans ma manche.,
,,,,,"That's ill done, Hans, thou shouldst have put the knife in thy pocket.",60,"C'est mal fait, Hans, tu aurais dû mettre le couteau dans ta poche.",
,,,,,"Never mind, will do better next time.",61,"Ce n'est pas grave, je ferai mieux la prochaine fois.",
