FR,GLOSS_LSF,GENERATED_LSF,TENSE,GLOSS_LSFB,EN,NUM,GENERATED_FR,GENERATED_EN
,,COMTE AGE AUTREFOIS SUISSE VIVRE ,['Imp'],,"An aged count once lived in Switzerland, ",1,"Un comte âgé vivait autrefois en Suisse,",
,,FILS UNIQUE AVOIR ,['Imp'],,"who had an only son, ",2,"qui avait un fils unique,",
,,STUPIDE NE POUVOIR APPRENDRE ,['Imp']['Imp']['Past'],,"but he was stupid, and could learn nothing. ",3,mais il était stupide et ne pouvait rien apprendre.,
,,PERE DIT ECOUTE FILS ,['Past'],,"Then said the father, Hark thee, my son, ",4,"Le père dit : Écoute, mon fils !",
,,PAS TETE ARRIVE ENTRER LAISSE ESSAYER ,['Pres']['Pres'],,"I can get nothing into thy head, let me try as I will. ",5,"Je n'arrive pas à te faire entrer dans la tête, laisse-moi essayer.",
,,ICI DEVOIR PARTIR ,['Pres'],,"Thou must go from hence, ",6,"Tu dois partir d'ici,",
,,MAITRE REPUTE CONFIER ,['Past'],,"I will give thee into the care of a celebrated master, ",7,"Je te confierai à un maître réputé,",
,,TOI VOIR POUVOIR FAIRE ,['Pres']['Pres'],,who shall see what he can do with thee. ,8,qui verra ce qu'il peut faire de toi.,
,,JEUNE VILLE INCONNUE ENVOYE ,['Pres']['Past'],,"The youth was sent into a strange town, ",9,"Le jeune est envoyé dans une ville inconnue,",
,,ANNEE ENTIERE MAITRE RESTE ,['Pres']['Past'],,and remained a whole year with the master. ,10,et est resté une année entière avec le maître.,
,,BOUT TEMPS MAISON REVENU ,['Pres']['Past'],,"At the end of this time, he came home again, ",11,"Au bout de ce temps, il est revenu à la maison,",
,,PERE DEMANDA ,<unk>,,"and his father asked, ",12,"et son père demanda,",
,,MAINTENANT FILS AS TOI APPRIS ,['Past'],,"Now, my son, what hast thou learnt? ",13,"Maintenant, mon fils, qu'as-tu appris ?",
,,PERE CHIENS DISENT APPRIS ABOYER ,['Pres']['Past']['Pres'],,"Father, I have learnt what the dogs say when they bark. ",14,"Père, j'ai appris ce que les chiens disent quand ils aboient.",
,,SEIGNEUR PERE PITIE ECRIER ,['Imp']['Past']['Pres'],,Lord have mercy on us! cried the father; ,15,"Seigneur, ayez pitié de nous ! s'écrie le père ;",
,,TOUT TOI APPRIS ,['Pres']['Imp']['Past'],,is that all thou hast learnt? ,16,C'est tout ce que tu as appris ?,
,,AUTRE VILLE ENVOYER AUPRES AUTRE MAITRE ,['Past'],,"I will send thee into another town, to another master. ",17,"Je t'enverrai dans une autre ville, auprès d'un autre maître.",
,,JEUNE HOMME EMMENE ,['Pres']['Past'],,"The youth was taken thither, ",18,"Le jeune homme y est emmené,",
,,AN MAITRE MEME RESTE ,['Pres']['Past'],,and stayed a year with this master likewise. ,19,et est resté un an avec ce maître de même.,
,,REVENIR PERE DEMANDA NOUVEAU ,['Past'],,"When he came back the father again asked, ",20,"Lorsqu'il revint, le père lui demanda à nouveau,",
,,FILS AS TOI APPRIS ,['Past'],,"My son, what hast thou learnt? ",21,"Mon fils, qu'as-tu appris ?",
,,REPONDRE PERE DISENT OISEAUX APPRIS ,['Pres']['Pres']['Past'],,"He answered, Father, I have learnt what the birds say. ",22,"Il répondit : Père, j'ai appris ce que disent les oiseaux.",
,,PERE ALORS COLERE NOIRE ENTRER DIT ,['Fut']['Past'],,"Then the father fell into a rage and said, ",23,"Le père entra alors dans une colère noire et dit,",
,,OH HOMME PERDRE TEMPS PRECIEUX PASSE AVOIR APPRIS ,['Pres']['Imp']['Past']['Imp']['Past'],,"Oh, thou lost man, thou hast spent the precious time and learnt nothing; ",24,"Oh, homme perdu, tu as passé un temps précieux et tu n'as rien appris ;",
,,AS PAS HONTE YEUX PARAITRE ,['Pres'],,art thou not ashamed to appear before mine eyes? ,25,N'as-tu pas honte de paraître sous mes yeux ?,
,,AUPRES TROISIEME MAITRE ENVERRAI ,['Past'],,"I will send thee to a third master, ",26,"Je t'enverrai auprès d'un troisième maître,",
,,TOI APPRENDS FOIS ENCORE ,<unk>,,"but if thou learnest nothing this time also, ",27,"mais si tu n'apprends rien cette fois encore,",
,,NE PLUS PERE ETRE ,['Fut'],,I will no longer be thy father. ,28,Je ne serai plus ton père.,
,,JEUNE ANNEE ENTIERE TROISIEME MAITRE EGALEMENT RESTE ,['Pres']['Past'],,"The youth remained a whole year with the third master also, ",29,"Le jeune est resté une année entière avec le troisième maître également,",
,,MAISON REVENU ,['Pres']['Past'],,"and when he came home again, ",30,"et quand il est revenu à la maison,",
,,PERE RENSEIGNE ,['Pres']['Past'],,"and his father inquired, ",31,"et son père s'est renseigné,",
,,FILS AS TOI APPRIS ,['Past'],,"My son, what hast thou learnt? ",32,"Mon fils, qu'as-tu appris ?",
,,REPONDRE PERE ANNEE GRENOUILLES APPRIS CROASSER ,['Pres']['Pres']['Past']['Pres'],,"he answered, Dear father, I have this year learnt what the frogs croak. ",33,"Il répondit : Cher père, j'ai appris cette année ce que croassent les grenouilles.",
,,PERE ALORS COLERE NOIRE ENTRER APPELA GENS LEVER ,['Fut']['Imp'],,"Then the father fell into the most furious anger, sprang up, called his people thither, ",34,"Le père entra alors dans une colère noire, se leva et appela ses gens,",
,,DIT HOMME PLUS FILS ETRE ,['Past']['Pres'],,"and said, This man is no longer my son, ",35,"et dit : Cet homme n'est plus mon fils,",
,,CHASSE FORET TUER ORDONNE EMMENER ,['Pres'],,"I drive him forth, and command you to take him out into the forest, and kill him. ",36,"Je le chasse, et je vous ordonne de l'emmener dans la forêt et de le tuer.",
,,EMMENE ALORS TUER DU ,['Pres']['Past']['Pres']['Past'],,"They took him forth, but when they should have killed him, ",37,"Ils l'ont emmené, mais alors qu'ils auraient dû le tuer,",
,,PAS PITIE PU FAIRE LAISSE PARTIR ,['Pres']['Past']['Pres']['Past'],,"they could not do it for pity, and let him go, ",38,"Ils n'ont pas pu le faire par pitié et l'ont laissé partir,",
,,YEUX LANGUE CERF VIEILLARD GAGE COUPER APPORTER ,['Pres'],,and they cut the eyes and the tongue out of a deer that they might carry them to the old man as a token.,39,Ils coupèrent les yeux et la langue d'un cerf pour les apporter au vieillard en gage.,
