FR,GLOSS_LSF,GENERATED_LSF,TENSE,GLOSS_LSFB,EN,NUM,GENERATED_FR,GENERATED_EN
,,FOIS HOMME FILLE AVOIR APPELER CLEVER ,['Imp']['Imp']['Imp']['Past'],,"There was once a man who had a daughter who was called Clever Else,",1,"Il était une fois un homme qui avait une fille qui s'appelait Clever Else,",
,,GRANDI ,['Pres']['Past'],,"and when she was grown up,",2,"et quand elle a grandi,",
,,PERE DIRE DEVOIR ,['Pres']['Pres'],,"her father said she must be married,",3,"son père dit qu'elle doit se marier,",
,,MERE DIT ,['Pres']['Past'],,"and her mother said,",4,"et sa mère a dit,",
,,OUI SEULEMENT POUVOIR TROUVER CONSENTIR AVOIR ,['Pres']['Pres'],,"Yes, if we could only find some one that would consent to have.",5,"Oui, si seulement nous pouvions trouver quelqu'un qui consente à l'avoir.",
,,ENFIN LOIN VENU ,['Pres']['Past'],,"At last one came from a distance,",6,"Enfin, l'un d'entre eux est venu de loin,",
,,HANS APPELER MARIAGE DEMANDEE ,['Imp']['Pres']['Past'],,"and his name was Hans, and when he proposed to her,",7,"et il s'appelait Hans, et quand il l'a demandée en mariage,",
,,CONDITION CLEVER EGALEMENT TRES PRUDENT POSE ELSE ,['Pres']['Past']['Pres']['Pres'],,he made it a condition that Clever Else should be very careful as well. ,8,il a posé comme condition que Clever Else soit également très prudent.,
,,OH PERE DIRE NE PAS CERVELLE MANQUE ,['Pres']['Pres'],,"Oh, said the father, she does not want for brains. ",9,"Oh, dit le père, elle ne manque pas de cervelle.",
,,NON EFFET MERE DIRE ,['Pres'],,"No, indeed, said the mother, ",10,"Non, en effet, dit la mère,",
,,VENT RUE POUVOIR VOIR MONTER MOUCHES ENTENDRE TOUSSER ,['Pres'],,she can see the wind coming up the street and hear the flies cough. ,11,Elle peut voir le vent monter dans la rue et entendre les mouches tousser.,
,,BIEN HANS DIRE NE PAS PRUDENTE AUSSI REVELER NE PAS AVOIR ,['Pres']['Pres']['Fut'],,"Well, said Hans, if she does not turn out to be careful too, I will not have her. ",12,"Eh bien, dit Hans, si elle ne se révèle pas prudente elle aussi, je ne l'aurai pas.",
,,MAINTENANT TOUS TABLE ASSIS ,['Pres']['Past'],,"Now when they were all seated at table, ",13,"Maintenant qu'ils sont tous assis à table,",
,,BIEN MANGE ,['Imp']['Past'],,"and had well eaten, ",14,"et avait bien mangé,",
,,MERE DIRE CAVE ALLER TIRE BIERE ,['Pres']['Pres'],,"the mother said, Else, go into the cellar and draw some beer. ",15,"La mère dit : Else, va à la cave et tire de la bière.",
,,ENSUITE CLEVER CRUCHE CROCHET MUR DECROCHE ,['Pres']['Pres']['Past'],,"Then Clever Else took down the jug from the hook in the wall, ",16,"Ensuite, Clever Else a décroché la cruche du crochet dans le mur,",
,,CAVE RENDANT COUVERCLE HAUT BAS TEMPS FAIRE CLAQUER PASSER ,['Pres']['Past'],,and as she was on her way to the cellar she rattled the lid up and down so as to pass away the time. ,17,"et, en se rendant à la cave, elle fit claquer le couvercle de haut en bas pour faire passer le temps.",
,,ARRIVEE LA TABOURET PRENDRE POSA TONNEAU ,['Pres'],,"When she got there, she took a stool and stood it in front of the cask, ",18,"Arrivée là, elle prit un tabouret et le posa devant le tonneau,",
,,PAS BAISSER MAL INUTILEMENT DONNER ,['Pres'],,so that she need not stoop and make her back ache with needless trouble. ,19,afin qu'elle n'ait pas à se baisser et à se donner du mal inutilement.,
,,ENSUITE CRUCHE ROBINET PLACE TOURNEE ,['Pres']['Past']['Pres']['Past'],,"Then she put the jug under the tap and turned it, ",20,"Elle a ensuite placé la cruche sous le robinet et l'a tournée,",
