FR,GLOSS_LSF,GENERATED_LSF,TENSE,GLOSS_LSFB,EN,NUM,GENERATED_FR,GENERATED_EN
,,BEAU JOUR BON DIEU JARDIN CELESTE TOUS APOTRES SAINTS VOULOIR AMUSER EMMENER SORTE NE CIEL EXCEPTION SAINT PIERRE PERSONNE RESTER ,['Imp']['Pres']['Pres'],,"One very fine day it came to pass that the good God wished to enjoy himself in the heavenly garden, and took all the apostles and saints with him, so that no one stayed in heaven but Saint Peter. ",1,"Un beau jour, le bon Dieu voulut s'amuser dans le jardin céleste et emmena avec lui tous les apôtres et les saints, de sorte que personne ne resta au ciel à l'exception de saint Pierre. ",
,,SEIGNEUR NE PERSONNE ABSENCE ORDONNE LAISSER ENTRER PIERRE PORTE VEILLA TENIR ,['Pres']['Past']['Pres'],,"The Lord had commanded him to let no one in during his absence, so Peter stood by the door and kept watch. ",2,"Le Seigneur lui ayant ordonné de ne laisser entrer personne pendant son absence, Pierre se tint à la porte et veilla. ",
,,TRES VITE FRAPPE PORTE ,<unk>,,Before long some one knocked. ,3,"Très vite, quelqu'un frappe à la porte. ",
,,PIERRE LA DEMANDE VOULOIR ,['Pres']['Past']['Imp']['Imp'],,"Peter asked who was there, and what he wanted? ",4,Pierre a demandé qui était là et ce qu'il voulait. ,
,,PAUVRE TAILLEUR HONNETE PRIER ADMIS VOIX DOUCE REPONDRE ,['Pres']['Pres']['Pres']['Past']['Pres'],,"I am a poor, honest tailor who prays for admission, replied a smooth voice.",5,"Je suis un pauvre et honnête tailleur qui prie pour être admis, répondit une voix douce.",
,,HONNETE EFFET PIERRE DIRE VOLEUR POTENCE ,['Pres'],,"Honest indeed, said Peter, like the thief on the gallows! ",6,"Honnête en effet, dit Pierre, comme le voleur sur la potence ! ",
,,INDEX LEGER TOI AS VETEMENTS GENS EU ARRACHE ,['Past']['Past'],,Thou hast been light-fingered and hast snipped folks' clothes away. ,7,Tu as eu l'index léger et tu as arraché les vêtements des gens. ,
,,PAS PARADIS ALLER ,['Pres'],,Thou wilt not get into heaven. ,8,Tu n'iras pas au paradis. ,
,,SEIGNEUR ABSENCE INTERDIRE LAISSER ENTRER ,['Pres']['Past'],,The Lord hath forbidden me to let any one in while he is out. ,9,Le Seigneur m'a interdit de laisser entrer qui que ce soit pendant son absence. ,
,,ALLONS SOYEZ MISERICORDIEUX TAILLEUR ECRIER ,['Past'],,"Come, do be merciful, cried the tailor. ",10,"Allons, soyez miséricordieux, s'écria le tailleur. ",
,,PETITS MORCEAUX MEMES TABLE NE PAS TOMBER VOLES ,['Pres']['Pres']['Past'],,"Little scraps which fall off the table of their own accord are not stolen, ",11,"Les petits morceaux qui tombent d'eux-mêmes de la table ne sont pas volés, ",
,,NE PAS PEINE PARLE VALOIR ,['Pres'],,and are not worth speaking about. ,12,et ne valent pas la peine qu'on en parle. ,
