FR,GLOSS_LSF,GENERATED_LSF,TENSE,GLOSS_LSFB,EN,NUM,GENERATED_FR,GENERATED_EN
,,,,,"There was once upon a time a tailor who had three sons, and only one goat. ",1,Il était une fois un tailleur qui avait trois fils et une seule chèvre.,
,,,,,"But as the goat supported the whole of them with her milk, ",2,"Mais comme la chèvre les soutenait tous avec son lait,",
,,,,,"she was obliged to have good food, ",3,"elle était obligée de bien manger,",
,,,,,and to be taken every day to pasture. ,4,et d'être emmenés chaque jour au pâturage.,
,,,,,"The sons, therefore, did this, in turn. ",5,Les fils l'ont donc fait à leur tour.,
,,,,,"Once the eldest took her to the churchyard, where the finest herbs were to be found, and let her eat and run about there. ",6,"Une fois, l'aîné l'emmena dans le cimetière, où se trouvaient les herbes les plus fines, et la laissa manger et courir.",
,,,,,"At night when it was time to go home he asked, ",7,"Le soir, quand il était temps de rentrer à la maison, il a demandé,",
,,,,,"Goat, hast thou had enough? The goat answered,",8,"Chèvre, en as-tu assez ? La chèvre répondit,",
,,,,,"I have eaten so much,",9,"J'ai tellement mangé,",
,,,,,"Not a leaf more I'll touch, meh! meh!",10,"Je ne toucherai plus une seule feuille, meh ! meh !",
,,,,,"Come home, then, said the youth, ",11,"Rentrez donc à la maison, dit le jeune homme,",
,,,,,"and took hold of the cord round her neck, led her into the stable and tied her up securely. ",12,"et, saisissant la corde autour de son cou, la conduisit dans l'étable et l'attacha solidement.",
,,,,,"Well, said the old tailor, has the goat had as much food as she ought? ",13,"Eh bien, dit le vieux tailleur, la chèvre a-t-elle mangé autant qu'elle le devait ?",
,,,,,"Oh, answered the son, she has eaten so much, not a leaf more she'll touch. ",14,"Oh, répondit le fils, elle a tellement mangé qu'elle ne touchera plus à une seule feuille.",
,,,,,"But the father wished to satisfy himself, ",15,"Mais le père a voulu se rassurer,",
,,,,,"and went down to the stable, stroked the dear animal and asked, ",16,"et descendit à l'étable, caressa le cher animal et lui demanda,",
,,,,,"Goat, art thou satisfied? The goat answered,",17,"Chèvre, es-tu satisfaite ? La chèvre répondit,",
,,,,,Wherewithal should I be satisfied?,18,De quoi dois-je me satisfaire ?,
,,,,,"Among the graves I leapt about,",19,"Parmi les tombes, je bondis,",
,,,,,"And found no food, so went without, meh! meh!",20,"Je n'ai pas trouvé de nourriture, j'ai donc dû me passer de nourriture, meh ! meh !",
,,,,,"What do I hear? cried the tailor, ",21,"Qu'est-ce que j'entends ? s'écrie le tailleur,",
,,,,,"and ran upstairs and said to the youth, ",22,"Il courut à l'étage et dit au jeune,",
,,,,,"Hollo, thou liar thou saidest the goat had had enough, ",23,"Hollo, menteur, tu as dit que la chèvre en avait assez,",
,,,,,and hast let her hunger! ,24,et ne l'a pas laissée souffrir de la faim !,
,,,,,"and in his anger he took the yard-measure from the wall, ",25,"et, dans sa colère, il prit la mesure du mur,",
,,,,,and drove him out with blows.,26,et l'a chassé à coups de poing.,
,,,,,"Next day it was the turn of the second son, who looked out for a place in the fence of the garden, where nothing but good herbs grew, and the goat cleared them all off.",27,"Le lendemain, ce fut le tour du deuxième fils, qui chercha dans la clôture du jardin un endroit où ne poussaient que de bonnes herbes, et la chèvre les enleva toutes.",
,,,,,"At night when he wanted to go home, he asked, ",28,"Le soir, lorsqu'il voulait rentrer chez lui, il demandait,",
,,,,,"Goat, art thou satisfied? The goat answered,",29,"Chèvre, es-tu satisfaite ? La chèvre répondit,",
,,,,,"I have eaten so much,",30,"J'ai tellement mangé,",
,,,,,"Not a leaf more I'll touch, meh! meh!",31,"Je ne toucherai plus une seule feuille, meh ! meh !",
,,,,,"Come home, then, said the youth, and led her home, and tied her up in the stable. ",32,"Viens donc à la maison, dit le jeune homme ; il la conduisit à la maison et l'attacha dans l'étable.",
,,,,,"Well, said the old tailor, has the goat had as much food as she ought? ",33,"Eh bien, dit le vieux tailleur, la chèvre a-t-elle mangé autant qu'elle le devait ?",
,,,,,"Oh, answered the son, she has eaten so much, not a leaf more she'll touch. ",34,"Oh, répondit le fils, elle a tellement mangé qu'elle ne touchera plus à une seule feuille.",
,,,,,"The tailor would not rely on this, but went down to the stable and said, ",35,"Le tailleur ne voulut pas s'y fier, mais il descendit à l'étable et dit,",
,,,,,"Goat, hast thou had enough? The goat answered,",36,"Chèvre, en as-tu assez ? La chèvre répondit,",
,,,,,Wherewithal should I be satisfied?,37,De quoi dois-je me satisfaire ?,
,,,,,"Among the graves I leapt about,",38,"Parmi les tombes, je bondis,",
