FR,GLOSS_LSF,GENERATED_LSF,TENSE,GLOSS_LSFB,EN,NUM,GENERATED_FR,GENERATED_EN
,,PAUVRE PAYSAN HABITUDE COIN CHEMINEE TOUTE SOIREE FEU AVOIR ASSEOIR ATTISER TANDIS FEMME ROUET ASSISE ,['Imp']['Imp']['Past'],,"There was once a poor countryman who used to sit in the chimney-corner all evening and poke the fire, while his wife sat at her spinning-wheel.",1,"Un pauvre paysan qui avait l'habitude de s'asseoir dans le coin de la cheminée toute la soirée et d'attiser le feu, tandis que sa femme était assise à son rouet.",
,,HABITUDE AVOIR DIRE ENNUYEUX NE PAS ENFANTS AUTOUR AVOIR ,['Imp']['Pres'],,"And he used to say, How dull it is without any children about us;",2,"Et il avait l'habitude de dire : ""Comme c'est ennuyeux de ne pas avoir d'enfants autour de nous ;",
,,MAISON CALME MAISONS AUTRES BRUYANTES JOYEUSES ,['Pres'],,"our house is so quiet, and other people's houses so noisy and merry!",3,"notre maison est si calme, et les maisons des autres si bruyantes et joyeuses !",
,,OUI FEMME REPONDRE SOUPIRANT SEUL POUVOIR AVOIR PETIT PAS PLUS GROS POUCE HEUREUX ,['Pres']['Pres']['Pres']['Pres']['Pres'],,"Yes, answered his wife, and sighed, if we could only have one, and that one ever so little, no bigger than my thumb, how happy I should be!",4,"Oui, répondit sa femme en soupirant, si nous pouvions n'en avoir qu'un seul, et qu'il soit si petit, pas plus gros que mon pouce, comme je serais heureux !",
,,SERAIT EFFET DESIR CŒUR AVOIR ,,,"It would, indeed, be having our heart's desire.",5,"Ce serait, en effet, avoir le désir de notre cœur.",
,,BOUT CERTAIN TEMPS FEMME ENFANT TOUS MEMBRES AVOIR PARFAIRE PAS PLUS GRAND POUCE ,['Past']['Imp']['Imp']['Imp'],,"Now, it happened that after a while the woman had a child who was perfect in all his limbs, but no bigger than a thumb.",6,"Au bout d'un certain temps, la femme eut un enfant qui était parfait dans tous ses membres, mais qui n'était pas plus grand qu'un pouce.",
,,PARENTS ALORS DIT EXACTEMER VOULOIR AIMERONS BEAUCOUP ,['Pres']['Past']['Pres']['Pres']['Imp'],,"Then the parents said, He is just what we wished for, and we will love him very much,",7,"Les parents ont alors dit : ""Il est exactement ce que nous voulions, et nous l'aimerons beaucoup,",
,,NOM TAILLE DONNER CORRESPONDANT ,['Pres']['Pres'],,"and they named him according to his stature,",8,"et ils lui donnèrent un nom correspondant à sa taille,",
,,PETIT POUCET ,<unk>,,Tom Thumb.,9,Le Petit Poucet.,
,,BIEN BEAUCOUP NOURRITURE DONNE PAS GRANDI ,['Pres']['Past']['Pres'],,"And though they gave him plenty of nourishment, he grew no bigger,",10,"Bien qu'ils lui aient donné beaucoup de nourriture, il n'a pas grandi,",
,,MEME TAILLE NAISSANCE GARDE ,['Pres']['Past'],,but remained exactly the same size as when he was first born;,11,mais il a gardé la même taille qu'à sa naissance ;,
,,TRES BONNES FACULTES AVOIR ,['Imp'],,"and he had very good faculties,",12,"et il avait de très bonnes facultés,",
,,TRES RAPIDE PRUDENT ,['Pres']['Past'],,"and was very quick and prudent,",13,"et a été très rapide et prudent,",
,,TOUT FAIRE REUSSIR ,['Imp']['Imp'],,so that all he did prospered.,14,et tout ce qu'il faisait lui réussissait.,
,,JOUR PERE BOIS FORET PREPARE ALLER COUPER ,['Pres'],,"One day his father made ready to go into the forest to cut wood,",15,"Un jour, son père se prépare à aller couper du bois dans la forêt,",
,,DIRE DIRE ,['Pres']['Imp'],,"and he said, as if to himself,",16,"et il dit, comme s'il se le disait à lui-même,",
,,MAINTENANT APPORTE CHARIOT RENCONTRE AIMER ,['Pres'],,"Now, I wish there was some one to bring the cart to meet me.",17,"Maintenant, j'aimerais que quelqu'un apporte le chariot à ma rencontre.",
,,PERE TOM POUCE ECRIER CHARRETTE POUVOIR APPORTER FAIRE ,['Past']['Pres'],,"O father, cried Tom Thumb, I can bring the cart, let me alone for that,",18,"O père, s'écria Tom Pouce, je peux apporter la charrette, laissez-moi faire,",
,,TEMPS VOULU ,['Past'],,"and in proper time, too!",19,et en temps voulu !,
,,PERE RIRE METTRE DIT COMMENT VAS TOI PRENDRE ,['Past']['Past'],,"Then the father laughed, and said, How will you manage that?",20,Le père se mit à rire et dit : Comment vas-tu t'y prendre ?,
,,BEAUCOUP TROP PETIT RENES TENIR ,,,You are much too little to hold the reins.,21,Tu es beaucoup trop petit pour tenir les rênes.,
,,AVOIR VOIR PERE ,['Pres'],,"That has nothing to do with it, father;",22,"Cela n'a rien à voir, mon père ;",
,,MERE CONTINUE FILER OREILLE CHEVAL ALLER ASSEOIR DIRE ALLER ,['Pres']['Pres'],,while my mother goes on with her spinning I will sit in the horse's ear and tell him where to go.,23,"Pendant que ma mère continue à filer, je vais m'asseoir à l'oreille du cheval et lui dire où aller.",
,,BIEN PERE REPONDRE FOIS ALLER ESSAYER ,['Pres']['Pres'],,"Well, answered the father, we will try it for once.",24,"Eh bien, répondit le père, nous allons essayer pour une fois.",
,,MOMENT PARTIR MERE CONTINUE FILER TOM POUCE OREILLE CHEVAL MIS ,['Pres']['Past'],,"When it was time to set off, the mother went on spinning, after setting Tom Thumb in the horse's ear;",25,"Au moment de partir, la mère continue à filer, après avoir mis Tom Pouce dans l'oreille du cheval ;",
,,PARTI CRIANT GEE GEE WO ,['Pres']['Past']['Pres'],,"and so he drove off, crying, Gee-up, gee-wo!",26,"et il est parti en criant : ""Gee-up, gee-wo !"".",
,,CHEVAL DONC ROUTE MAITRE CONDUISAIT METTRE CHARIOT BON CHEMIN BOIS TIRER ,['Past']['Fut'],,"So the horse went on quite as if his master were driving him, and drew the waggon along the right road to the wood.",27,"Le cheval se mit donc en route comme si son maître le conduisait, et tira le chariot par le bon chemin jusqu'au bois.",
,,MOMENT TOURNENT COIN RUE INCIDENT PRODUIRE ,['Pres']['Pres'],,"Now it happened just as they turned a corner,",28,"C'est au moment où ils tournent le coin de la rue que l'incident se produit,",
,,PETIT GARCON GEE CRIER ,['Imp'],,and the little fellow was calling out Gee-up!,29,et le petit garçon criait Gee-up !,
,,DEUX HOMMES ETRANGES PASSERENT ,<unk>,,that two strange men passed by.,30,que deux hommes étranges passèrent.,
,,ECOUTEZ DIRE COMMENT PASSER ,['Pres']['Pres'],,"Look, said one of them, how is this?",31,"Ecoutez, dit l'un d'eux, comment cela se passe-t-il ?",
,,CHARIOT CONDUCTEUR CHEVAL AVANCER APPELER ,['Pres']['Pres'],,"There goes a waggon, and the driver is calling to the horse,",32,"Un chariot s'avance et le conducteur appelle le cheval,",
,,POURTANT PART NULLE ,['Pres']['Past'],,and yet he is nowhere to be seen.,33,et pourtant il n'est nulle part.,
,,TRES ETRANGE DIRE ,['Pres']['Pres'],,"It is very strange, said the other;",34,"C'est très étrange, dit l'autre ;",
,,WAGON SUIVRE VOIR APPARTENIR ,['Pres']['Pres']['Pres'],,"we will follow the waggon, and see where it belongs.",35,"nous suivrons le wagon, et nous verrons à quoi il appartient.",
,,CHARIOT BOIS ENDROIT TRAVERSER TAILLE ,['Pres']['Imp']['Past']['Past'],,"And the wagon went right through the wood, up to the place where the wood had been hewed.",36,Le chariot traversa le bois jusqu'à l'endroit où il avait été taillé.,
,,TOM POUCE PERE APERCEVOIR ECRIER REGARDE PERE CHARRETTE VOICI ,['Pres']['Past'],,"When Tom Thumb caught sight of his father, he cried out, Look, father, here am I with the wagon;",37,"Lorsque Tom Pouce aperçut son père, il s'écria : ""Regarde, père, me voici avec la charrette ;",
,,MAINTENANT DESCENDEZ ,['Past'],,"now, take me down.",38,"maintenant, descendez-moi.",
,,PERE CHEVAL MAIN GAUCHE TENIR ,['Imp'],,"The father held the horse with his left hand,",39,"Le père tient le cheval de la main gauche,",
,,DROIT PETIT FILS OREILLE CHEVAL SOULEVE ,['Pres']['Past'],,"and with the right he lifted down his little son out of the horse's ear,",40,"et avec le droit il a soulevé son petit fils de l'oreille du cheval,",
,,TOM POUCE SOUCHE ASSIS ,['Pres']['Past'],,"and Tom Thumb sat down on a stump,",41,"et Tom Pouce s'est assis sur une souche,",
,,HEUREUX SATISFAITS ,['Past'],,quite happy and content.,42,heureux et satisfaits.,
,,DEUX ETRANGERS VIRENT STUPEUR FRAPPES ,['Past']['Past'],,When the two strangers saw him they were struck dumb with wonder.,43,"Lorsque les deux étrangers le virent, ils furent frappés de stupeur.",
,,ENFIN PART PRENANT DIRE ECOUTE PETIT GARS FORTUNE FAISIONS VILLE ARGENT FAIRE VISITER ,['Pres']['Pres']['Imp'],,"At last one of them, taking the other aside, said to him, Look here, the little chap would make our fortune if we were to show him in the town for money.",44,"Enfin, l'un d'eux, prenant l'autre à part, lui dit : ""Écoute, ce petit gars ferait notre fortune si nous le faisions visiter la ville pour de l'argent.",
,,ACHETERONS DONC BUCHERON ALLER TROUVER DIRE VENDS PETIT HOMME ,['Pres']['Pres'],,"Suppose we buy him. So they went up to the woodcutter, and said, Sell the little man to us;",45,Nous l'achèterons. Ils allèrent donc trouver le bûcheron et lui dirent : Vends-nous le petit homme ;,
,,NE MAL VEILLER ARRIVE ,['Pres']['Pres'],,we will take care he shall come to no harm.,46,nous veillerons à ce qu'il ne lui arrive aucun mal.,
,,NON PERE REPONDRE PRUNELLE YEUX TOUT ARGENT MONDE NE VENDRAIS PAS ,['Pres']['Pres'],,"No, answered the father; he is the apple of my eye, and not for all the money in the world would I sell him.",47,"Non, répondit le père ; c'est la prunelle de mes yeux, et pour tout l'argent du monde je ne le vendrais pas.",
,,TOM POUCE ENTENDRE PASSER GRIMPA QUEUE MANTEAU PERE EPAULE PERCHANT OREILLE CHUCHOTER PERE TOI MIEUX FAIRE LAISSER PARTIR ,['Pres']['Imp']['Pres']['Pres']['Pres'],,"But Tom Thumb, when he heard what was going on, climbed up by his father's coat tails, and, perching himself on his shoulder, he whispered in his ear, Father, you might as well let me go.",48,"Mais Tom Pouce, lorsqu'il entendit ce qui se passait, grimpa par la queue du manteau de son père et, se perchant sur son épaule, il lui chuchota à l'oreille : ""Père, tu ferais mieux de me laisser partir.",
,,BIENTOT REVENIR ,['Fut'],,I will soon come back again.,49,Je reviendrai bientôt.,
,,PERE CEDA DEUX HOMMES GROSSE SOMME ARGENT ,<unk>,,Then the father gave him up to the two men for a large piece of money.,50,Le père le céda aux deux hommes pour une grosse somme d'argent.,
,,DEMANDE SOUHAITER ASSEOIR ,['Pres']['Past']['Imp'],,"They asked him where he would like to sit,",51,"Ils lui ont demandé où il souhaitait s'asseoir,",
,,OH METS BORD TON CHAPEAU DIRE ,['Pres'],,"Oh, put me on the brim of your hat, said he.",52,"Oh, mets-moi sur le bord de ton chapeau, dit-il.",
,,LA PAYS POUVOIR PROMENER ADMIRER RISQUER TOMBER DONC FAIRE SOUHAITER TOM POUCE PERE PRIS CONGE ROUTE TOUS ENSEMBLE METTRE ,['Fut']['Pres']['Imp']['Past']['Past']['Past']['Pres'],,"There I can walk about and view the country, and be in no danger of falling off. So they did as he wished, and when Tom Thumb had taken leave of his father, they set off all together.",53,"Là, je pourrai me promener et admirer le pays, sans risquer de tomber. Ils firent donc ce qu'il souhaitait, et lorsque Tom Pouce eut pris congé de son père, ils se mirent en route tous ensemble.",
,,ROUTE CREPUSCULE POURSUIVRE ,['Pres'],,"And they travelled on until it grew dusk,",54,"Ils poursuivirent leur route jusqu'au crépuscule,",
,,PETIT BONHOMME DEPOSE PEU DEMANDE CHANGER ,['Pres']['Past'],,"and the little fellow asked to be set down a little while for a change,",55,"et le petit bonhomme a demandé à ce qu'on le dépose un peu pour changer,",
,,DIFFICULTES CONSENTI ,['Pres'],,and after some difficulty they consented.,56,"et, après quelques difficultés, ils y ont consenti.",
,,HOMME DESCENDIT CHAPEAU DEPOSA CHAMP BORD ROUTE AUSSITOT ENFUIR SILLONS FAUFILE SOUDAIN TROU SOURIS GLISSER EXACTEMER CHERCHER ,['Past']['Past']['Pres']['Pres']['Imp'],,"So the man took him down from his hat, and set him in a field by the roadside, and he ran away directly, and, after creeping about among the furrows, he slipped suddenly into a mouse-hole, just what he was looking for.",57,"L'homme le descendit de son chapeau et le déposa dans un champ au bord de la route. Il s'enfuit aussitôt et, après s'être faufilé dans les sillons, il se glissa soudain dans un trou de souris, exactement ce qu'il cherchait.",
,,BONSOIR MAITRES POUVOIR RENTRER ,['Pres'],,"Good evening, my masters, you can go home without me!",58,"Bonsoir, mes maîtres, vous pouvez rentrer chez vous sans moi !",
,,CRIA RIANT ,['Pres'],,"cried he to them, laughing.",59,leur cria-t-il en riant.,
,,BATONS TROU SOURIS PRECIPITER FOUILLER VAIN ,['Pres']['Pres'],,"They ran up and felt about with their sticks in the mouse-hole, but in vain.",60,"Ils se précipitèrent et fouillèrent avec leurs bâtons dans le trou de souris, mais en vain.",
,,TOM POUCE ENFONCA PLUS PLUS NUIT COMMENCER DURENT CHEMIN RETOUR PRENDRE PLEINS CONTRARIETE PORTE-MONNAIE VIDE ,['Imp'],,"Tom Thumb crept farther and farther in, and as it was growing dark, they had to make the best of their way home, full of vexation, and with empty purses.",61,"Tom Pouce s'enfonça de plus en plus, et comme il commençait à faire nuit, ils durent prendre le chemin du retour, pleins de contrariété et le porte-monnaie vide.",
,,TOM POUCE APERCEVOIR PARTIS CACHETTE SOUTERRAINE GLISSER ,['Pres']['Imp']['Past']['Pres'],,"When Tom Thumb found they were gone, he crept out of his hiding-place underground.",62,"Quand Tom Pouce s'aperçut qu'ils étaient partis, il se glissa hors de sa cachette souterraine.",
,,TRAVAIL DANGEREUX TROUS OBSCURITE TATONNER DIRE ,['Pres']['Pres'],,"It is dangerous work groping about these holes in the darkness, said he;",63,"C'est un travail dangereux que de tâtonner dans ces trous dans l'obscurité, dit-il ;",
,,FACILEMENT COU POUVOIR ROMPRE ,['Pres'],,I might easily break my neck.,64,Je pourrais facilement me rompre le cou.,
,,CHANCE COQUILLE ESCARGOT VIDE TOMBE ,['Pres'],,But by good fortune he came upon an empty snail shell.,65,"Mais par chance, il tombe sur une coquille d'escargot vide.",
,,PAS GRAVE DIRE ,['Pres']['Pres'],,"That's all right, said he.",66,"Ce n'est pas grave, dit-il.",
,,MAINTENANT NUIT SECURITE POUVOIR PASSER INSTALLER ,['Pres']['Past'],,Now I can get safely through the night; and he settled himself down in it.,67,"Maintenant, je peux passer la nuit en toute sécurité ; et il s'y installa.",
,,TEMPS ENDORMIR EU DEUX HOMMES ENTENDRE PASSER DIRE ,['Pres']['Past']['Pres']['Imp'],,"Before he had time to get to sleep, he heard two men pass by, and one was saying to the other,",68,"Avant qu'il n'ait eu le temps de s'endormir, il entendit passer deux hommes dont l'un disait à l'autre,",
,,COMMENT OR ARGENT RICHE CURE POUVOIR EMPARER ,['Pres'],,How can we manage to get hold of the rich parson's gold and silver?,69,Comment pouvons-nous nous emparer de l'or et de l'argent du riche curé ?,
,,COMMENT POUVOIR DIRE TOM POUCE ECRIER ,['Pres']['Past'],,"I can tell you how, cried Tom Thumb.",70,"Je peux vous dire comment, s'écria Tom Pouce.",
,,COMMENT VOLEURS FAIRE DIRE EFFRAYE ,['Pres']['Pres'],,"How is this? said one of the thieves, quite frightened,",71,"Comment cela se fait-il ? dit l'un des voleurs, effrayé,",
,,ENTENDRE PARLER ,['Pres'],,I hear some one speak!,72,J'entends quelqu'un parler !,
,,DONC IMMOBILES ECOUTERENT RESTER TOM POUCE PAROLE REPRENDRE ,['Pres']['Pres'],,"So they stood still and listened, and Tom Thumb spoke again.",73,"Ils restèrent donc immobiles et écoutèrent, et Tom Pouce reprit la parole.",
,,EMMENEZ ,<unk>,,Take me with you;,74,Emmenez-moi avec vous ;,
,,COMMENT MONTRER FAIRE ,['Fut'],,I will show you how to do it!,75,Je vous montrerai comment faire !,
,,OU ES TOI DONC DEMANDER ,['Pres'],,"Where are you, then? asked they.",76,Où es-tu donc ? demandèrent-ils.,
,,REGARDEZ SOL VOIX REMARQUER VENIR REPONDRE ,['Pres']['Pres']['Pres'],,"Look about on the ground and notice where the voice comes from, answered he.",77,"Regardez sur le sol et remarquez d'où vient la voix, répondit-il.",
,,ENFIN TROUVERENT SOULEVERENT ,<unk>,,"At last they found him, and lifted him up.",78,"Enfin, ils le trouvèrent et le soulevèrent.",
,,PETIT LUTIN DIRE COMMENT PEUX TOI AIDER ,['Pres'],,"You little elf, said they, how can you help us?",79,"Petit lutin, dirent-ils, comment peux-tu nous aider ?",
,,ECOUTEZ REPONDRE FACILEMENT BARREAUX FER CHAMBRE CURE POUVOIR GLISSER REMETTRE VOULOIR ,['Pres']['Pres']['Pres'],,"Look here, answered he, I can easily creep between the iron bars of the parson's room and hand out to you whatever you would like to have.",80,"Ecoutez, répondit-il, je peux facilement me glisser entre les barreaux de fer de la chambre du curé et vous remettre ce que vous voulez.",
,,TRES BIEN DIT ALLER ESSAYER POUVOIR FAIRE ,['Pres']['Past']['Pres']['Pres'],,"Very well, said they, ff we will try what you can do.",81,"Très bien, ont-ils dit, nous allons essayer ce que vous pouvez faire.",
,,MAISON CURE ARRIVER TOM POUCE PIECE GLISSER CRIA TOUTES FORCES ,['Imp']['Pres'],,"So when they came to the parsonage-house, Tom Thumb crept into the room, but cried out with all his might,",82,"Lorsqu'ils arrivèrent à la maison du curé, Tom Pouce se glissa dans la pièce, mais cria de toutes ses forces,",
,,AURAS TOI TOUT ICI AVOIR ,['Pres'],,Will you have all that is here?,83,Auras-tu tout ce qu'il y a ici ?,
,,VOLEURS EPOUVANTE SAISIS DIRE ,['Past']['Past']['Pres'],,"So the thieves were terrified, and said,",84,"Les voleurs furent saisis d'épouvante et dirent ,",
,,PLUS DOUCEMENT PARLER PEUR NE REVEILLE ,['Pres']['Pres']['Past'],,"Do speak more softly, lest any one should be awaked.",85,"Parlez plus doucement, de peur que quelqu'un ne soit réveillé.",
,,POUCE NE PAS CRIA NOUVEAU FAIRE ENTENDRE ,['Imp']['Imp'],,"But Tom Thumb made as if he did not hear them, and cried out again,",86,"Mais Tom Pouce fit comme s'il ne les entendait pas et cria de nouveau,",
,,AIMERIEZ ,['Pres'],,What would you like?,87,Qu'est-ce que vous aimeriez ?,
,,TOUT ICI CUISINIERE VOULOIR AVOIR AVOIR CHAMBRE VOISINE DORMIR ENTENDIT LIT ECOUTA REDRESSER ,['Pres']['Pres']['Imp']['Past'],,"will you have all that is here? so that the cook, who was sleeping in a room hard by, heard it, and raised herself in bed and listened.",88,"Voulez-vous avoir tout ce qu'il y a ici ? La cuisinière, qui dormait dans une chambre voisine, l'entendit, se redressa dans son lit et écouta.",
,,VOLEURS DECOUVERTS CRAIGNANT PARTIE CHEMIN RECULE COURAGE REPRENDRE QU' PLAISANTERIE PETIT BONHOMME PENSANT ,['Pres']['Imp']['Past']['Pres']['Pres']['Imp'],,"The thieves, however, in their fear of being discovered, had run back part of the way, but they took courage again, thinking that it was only a jest of the little fellow's.",89,"Les voleurs, craignant d'être découverts, avaient reculé d'une partie du chemin, mais ils reprirent courage, pensant que ce n'était qu'une plaisanterie du petit bonhomme.",
,,DONC SERIEUX CHOSE REVENUS CHUCHOTE DONNER ,['Pres']['Past']['Pres']['Past'],,"So they came back and whispered to him to be serious, and to hand them out something.",90,Ils sont donc revenus et lui ont chuchoté d'être sérieux et de leur donner quelque chose.,
,,TOM POUCE CRIA NOUVEAU AUSSI FORT POUVAIT ,<unk>,,"Then Tom Thumb called out once more as loud as he could,",91,"Puis Tom Pouce cria à nouveau aussi fort qu'il le pouvait,",
,,OH OUI TOUT ALLER DONNER MAINS AS TENDRE ,['Pres']['Past'],,"Oh yes, I will give it all to you, only put out your hands.",92,"Oh oui, je vais tout te donner, tu n'as qu'à tendre les mains.",
,,SERVANTE ENTENDIT FOIS ECOUTER DISTINCTEMER SAUTA LIT PORTE COUP OUVRIT SEC ,['Imp']['Pres']['Past']['Past'],,"Then the listening maid heard him distinctly that time, and jumped out of bed, and burst open the door.",93,"La servante qui écoutait l'entendit distinctement cette fois, sauta du lit et ouvrit la porte d'un coup sec.",
,,VOLEURS CHASSEUR SAUVAGE ENFUIR ,['Pres']['Imp'],,The thieves ran off as if the wild huntsman were behind them;,94,Les voleurs s'enfuient comme si le chasseur sauvage était derrière eux ;,
,,SERVANTE NE VOIR FEU ALLER CHERCHER ,['Imp']['Imp'],,"but the maid, as she could see nothing, went to fetch a light.",95,"mais la servante, qui ne voyait rien, alla chercher du feu.",
,,REVENIR TOM POUCE RETIRE VOIE GRANGE ,['Past']['Imp']['Past'],,"And when she came back with one, Tom Thumb had taken himself off, without being seen by her, into the barn;",96,"Et lorsqu'elle revint avec l'un d'eux, Tom Pouce s'était retiré, sans qu'elle le voie, dans la grange ;",
,,SERVANTE TOUS TROUS TOUS COINS CHERCHE TROUVER ENFIN LIT RETOURNER ,['Past']['Pres'],,"and the maid, when she had looked in every hole and corner and found nothing, went back to bed at last,",97,"et la servante, après avoir cherché dans tous les trous et dans tous les coins sans rien trouver, retourna enfin au lit,",
,,YEUX OREILLES DIT DU REVER OUVERTS ,['Pres']['Past']['Imp']['Past']['Past'],,and thought that she must have been dreaming with her eyes and ears open.,98,et s'est dit qu'elle avait dû rêver les yeux et les oreilles ouverts.,
,,TOM POUCE DONC FOIN COIN CONFORTABLE DORMIR GLISSER TROUVA INTENTION FASSE JOUR AVOIR RESTER ,['Pres']['Past']['Imp'],,"So Tom Thumb crept among the hay, and found a comfortable nook to sleep in, where he intended to remain until it was day,",99,"Tom Pouce se glissa donc dans le foin et trouva un coin confortable pour dormir, où il avait l'intention de rester jusqu'à ce qu'il fasse jour,",
