FR,GLOSS_LSF,GENERATED_LSF,TENSE,GLOSS_LSFB,EN,NUM,GENERATED_FR,GENERATED_EN
,,,,,FIRST STORY,1,PREMIÈRE HISTOIRE,
,,,,,"There was once on a time an old fox with nine tails, who believed that his wife was not faithful to him, and wished to try her.",2,Il était une fois un vieux renard à neuf queues qui croyait que sa femme ne lui était pas fidèle et qui voulait la mettre à l'épreuve.,
,,,,,"He stretched himself out under the bench, did not move a limb,",3,"Il s'allonge sous le banc, ne bouge pas d'un poil,",
,,,,,and behaved as if he were stone dead.,4,et s'est comporté comme s'il était mort.,
,,,,,"Mrs. Fox went up to her room, shut herself in, and her maid, Miss Cat, sat by the fire, and did the cooking.",5,"Mme Fox monta dans sa chambre, s'y enferma, et sa bonne, Mlle Cat, s'assit près du feu et fit la cuisine.",
,,,,,"When it became known that the old fox was dead, wooers presented themselves.",6,"Lorsque l'on apprit que le vieux renard était mort, des courtisans se présentèrent.",
,,,,,"The maid heard some one standing at the house-door, knocking.",7,La servante entendit quelqu'un frapper à la porte de la maison.,
,,,,,"She went and opened it, and it was a young fox, who said,",8,"Elle alla l'ouvrir, et ce fut un jeune renard qui dit,",
,,,,,"What may you be about, Miss Cat.?",9,"De quoi s'agit-il, Mlle Cat. ?",
,,,,,Do you sleep or do you wake?,10,Dormez-vous ou vous réveillez-vous ?,
,,,,,"She answered,",11,"Elle a répondu,",
,,,,,"I am not sleeping, I am waking,",12,"Je ne dors pas, je m'éveille,",
,,,,,Wouldst thou know what I am making?,13,Veux-tu savoir ce que je fais ?,
,,,,,"I am boiling warm beer with butter so nice,",14,"Je fais bouillir de la bière chaude avec du beurre, c'est si bon,",
,,,,,Will the gentleman enter and drink some likewise?,15,Monsieur veut-il bien entrer et boire de même ?,
,,,,,"No, thank you, miss, said the fox, what is Mrs. Fox doing? The maid replied,",16,"Non, merci, mademoiselle, dit le renard, que fait Mme Fox ? La servante répondit,",
,,,,,"She sits all alone,",17,"Elle est assise toute seule,",
,,,,,"And makes her moan,",18,"Et la fait gémir,",
,,,,,"Weeping her little eyes quite red,",19,"Elle pleure, ses petits yeux sont tout rouges,",
,,,,,Because old Mr. Fox is dead.,20,Parce que le vieux M. Fox est mort.,
,,,,,"Do just tell her, miss, that a young fox is here, who would like to woo her. Certainly, young sir.",21,"Dites-lui, mademoiselle, qu'un jeune renard est ici et qu'il aimerait la courtiser. Certainement, jeune homme.",
,,,,,"The cat goes up the stairs trip, trap,",22,"Le chat monte les escaliers, trébuche, se fait piéger,",
,,,,,"The door she knocks at tap, tap, tap,",23,"La porte à laquelle elle frappe tape, tape, tape,",
,,,,,"Mistress Fox, are you inside?",24,"Mistress Fox, êtes-vous à l'intérieur ?",
,,,,,"Oh yes, my little cat, she cried.",25,"Oh oui, mon petit chat, s'écrie-t-elle.",
,,,,,A wooer he stands at the door out there.,26,Un wooer se tient à la porte là-bas.,
,,,,,"Tell me what he is like, my dear?",27,"Dites-moi comment il est, ma chère ?",
,,,,,"But has he nine as beautiful tails as the late Mr. Fox? Oh, no, answered the cat, he has only one.",28,"Mais a-t-il neuf queues aussi belles que celle de feu M. Fox ? Oh non, répond le chat, il n'en a qu'une.",
,,,,,"Then I will not have him. Miss Cat went downstairs and sent the wooer away. Soon afterwards there was another knock, and another fox was at the door who wished to woo Mrs. Fox. He had two tails, but he did not fare better than the first. After this still more came, each with one tail more than the other, but they were all turned away, until at last one came who had nine tails, like old Mr. Fox. When the widow heard that, she said joyfully to the cat,",29,"Alors je ne l'aurai pas. Mademoiselle Chat descendit et renvoya le courtisan. Peu de temps après, on frappa de nouveau à la porte et un autre renard se présenta pour faire la cour à Mme Fox. Il avait deux queues, mais il ne réussit pas mieux que le premier. D'autres encore vinrent, chacun avec une queue de plus que l'autre, mais ils furent tous éconduits, jusqu'à ce que vienne enfin un renard qui avait neuf queues, comme le vieux M. Fox. Lorsque la veuve entendit cela, elle dit joyeusement au chat,",
,,,,,"Now open the gates and doors all wide,",30,"Maintenant, ouvrez toutes grandes les portes et les barrières,",
,,,,,And carry old Mr. Fox outside.,31,Et emmenez le vieux M. Fox à l'extérieur.,
,,,,,"But just as the wedding was going to be solemnized, old Mr.",32,"Mais au moment où le mariage allait être célébré, le vieux Mr.",
,,,,,"Fox stirred under the bench, and cudgelled all the rabble, and drove them and Mrs. Fox out of the house.",33,"Fox s'agita sous le banc, donna des coups de poing à toute la populace et la chassa de la maison avec Mme Fox.",
,,,,,SECOND STORY,34,DEUXIÈME ÉTAGE,
,,,,,"When old Mr. Fox was dead,",35,"Quand le vieux M. Fox est mort,",
,,,,,"the wolf came as a wooer,",36,"le loup est venu en tant que courtisan,",
,,,,,"and knocked at the door,",37,"et frappe à la porte,",
,,,,,and the cat who was servant to Mrs.,38,et le chat qui était le serviteur de Mme.,
,,,,,"Fox, opened it for him.",39,"Fox, l'a ouvert pour lui.",
,,,,,"The wolf greeted her, and said,",40,"Le loup l'a saluée et lui a dit,",
,,,,,"Good day, Mrs. Cat of Kehrewit,",41,"Bonjour, Madame la Chatte de Kehrewit,",
,,,,,How comes it that alone you sit?,42,Comment se fait-il que tu sois seul à t'asseoir ?,
,,,,,What are you making good?,43,Que faites-vous de bien ?,
,,,,,"The cat replied,",44,"Le chat a répondu,",
,,,,,"In milk I'm breaking bread so sweet,",45,"Dans le lait, je romps le pain si doux,",
,,,,,Will the gentleman please come in and eat?,46,Ce monsieur peut-il entrer et manger ?,
,,,,,"No, thank you, Mrs. Cat, answered the wolf. Is Mrs. Fox not at home?",47,"Non, merci, madame Chat, répondit le loup. Madame Renard n'est pas à la maison ?",
,,,,,"The cat said,",48,"Le chat a dit,",
,,,,,"She sits upstairs in her room,",49,"Elle est assise dans sa chambre à l'étage,",
,,,,,"Bewailing her sorrowful doom,",50,"Se lamentant sur son triste sort,",
,,,,,"Bewailing her trouble so sore,",51,"Se lamentant sur son problème si douloureux,",
,,,,,For old Mr. Fox is no more.,52,Car le vieux M. Fox n'est plus.,
,,,,,"The wolf answered,",53,"Le loup a répondu,",
,,,,,"If she's in want of a husband now,",54,"Si elle a besoin d'un mari maintenant,",
,,,,,Then will it please her to step below?,55,"Alors, lui plaira-t-il de descendre ?",
,,,,,"The cat runs quickly up the stair,",56,"Le chat monte rapidement l'escalier,",
,,,,,"And lets her tail fly here and there,",57,"Et laisse voler sa queue ici et là,",
,,,,,Until she comes to the parlour door.,58,Jusqu'à ce qu'elle arrive à la porte du salon.,
,,,,,"With her five gold rings at the door she knocks,",59,"Elle frappe à la porte avec ses cinq anneaux d'or,",
,,,,,"Are you within, good Mistress Fox?",60,"Êtes-vous à l'intérieur, bonne maîtresse Fox ?",
,,,,,"If you're in want of a husband now,",61,"Si vous avez besoin d'un mari maintenant,",
,,,,,Then will it please you to step below?,62,"Dans ce cas, vous voudrez bien faire un pas en avant ?",
,,,,,"Mrs. Fox asked, Has the gentleman red stockings on' and has he a pointed mouth? No, answered the cat. Then he won't do for me.",63,"Mme Fox demanda : ""Le monsieur a-t-il des bas rouges"" et ""a-t-il une bouche pointue"" ? Non, répond le chat. Alors il ne me convient pas.",
,,,,,"When the wolf was gone, came a dog, a stag, a hare, a bear, a lion, and all the beasts of the forest, one after the other. But one of the good points which old Mr. Fox had possessed, was always lacking, and the cat had continually to send the wooers away. At length came a young fox. Then Mrs. Fox said, Has the gentleman red stockings on, and has he a little pointed mouth? Yes, said the cat, he has. Then let him come upstairs, said Mrs. Fox, and ordered the servant to prepare the wedding-feast.",64,"Quand le loup fut parti, vinrent successivement un chien, un cerf, un lièvre, un ours, un lion, et toutes les bêtes de la forêt. Mais il manquait toujours un des bons points que possédait le vieux M. Fox, et le chat devait sans cesse renvoyer les courtisans. Enfin arriva un jeune renard. Mme Fox dit alors : ""Ce monsieur a-t-il des bas rouges et une petite bouche pointue ? Oui, dit le chat. Qu'il monte donc, dit Mme Fox, et elle ordonna à la servante de préparer le repas de noces.",
,,,,,"Sweep me the room as clean as you can,",65,"Balayez la pièce autant que possible,",
,,,,,"Up with the window, fling out my old man!",66,"La fenêtre se lève, je jette mon vieil homme dehors !",
,,,,,"For many a fine fat mouse he brought,",67,"Il a apporté de nombreuses souris bien grasses,",
,,,,,"Yet of his wife he never thought,",68,"Pourtant, il n'a jamais pensé à sa femme,",
,,,,,But ate up every one he caught.,69,Mais il a mangé tous ceux qu'il a attrapés.,
,,,,,"Then the wedding was solemnized with young Mr. Fox,",70,"Puis le mariage a été célébré avec le jeune M. Fox,",
,,,,,and there was much rejoicing and dancing;,71,et il y eut beaucoup de réjouissances et de danses ;,
,,,,,"and if they have not left off, they are dancing still.",72,"et s'ils ne se sont pas arrêtés, ils dansent encore.",
