FR,GLOSS_LSF,GENERATED_LSF,TENSE,GLOSS_LSFB,EN,NUM,GENERATED_FR,GENERATED_EN
,,,,,first story,1,première histoire,
,,,,,"A shoemaker, by no fault of his own, had become so poor that at last he had nothing left but leather for one pair of shoes.",2,"Un cordonnier, sans qu'il y soit pour rien, était devenu si pauvre qu'il ne lui restait plus que le cuir pour une paire de chaussures.",
,,,,,"So in the evening, he cut out the shoes which he wished to begin to make the next morning,",3,"Le soir, il découpe les chaussures qu'il souhaite commencer à fabriquer le lendemain matin,",
,,,,,"and as he had a good conscience,",4,"et qu'il avait une bonne conscience,",
,,,,,"he lay down quietly in his bed,",5,"il s'est couché tranquillement dans son lit,",
,,,,,"commended himself to God, and fell asleep.",6,se recommanda à Dieu et s'endormit.,
,,,,,"In the morning, after he had said his prayers, and was just going to sit down to work, the two shoes stood quite finished on his table.",7,"Le matin, après avoir fait ses prières et alors qu'il allait s'asseoir pour travailler, les deux chaussures se trouvaient tout à fait terminées sur sa table.",
,,,,,"He was astounded, and knew not what to say to it.",8,Il fut stupéfait et ne sut que répondre.,
,,,,,"He took the shoes in his hands to observe them closer,",9,"Il prend les chaussures dans ses mains pour les observer de plus près,",
,,,,,"and they were so neatly made that there was not one bad stitch in them,",10,"et ils étaient si bien faits qu'il n'y avait pas un seul point de mauvaise qualité,",
,,,,,just as if they were intended as a masterpiece.,11,comme s'il s'agissait d'un chef-d'œuvre.,
,,,,,"Soon after, a buyer came in, and as the shoes pleased him so well,",12,"Peu de temps après, un acheteur s'est présenté, et comme les chaussures lui plaisaient beaucoup, il a décidé de les acheter,",
,,,,,"he paid more for them than was customary, and,",13,"il les a payés plus cher que d'habitude, et..,",
,,,,,"with the money, the shoemaker was able to purchase leather for two pairs of shoes.",14,"Avec l'argent, le cordonnier a pu acheter du cuir pour deux paires de chaussures.",
,,,,,"He cut them out at night, and next morning was about to set to work with fresh courage;",15,"Il les découpa pendant la nuit et, le lendemain matin, il s'apprêtait à se mettre au travail avec un nouveau courage ;",
,,,,,"but he had no need to do so, for, when he got up, they were already made,",16,"mais il n'a pas eu besoin de le faire, car lorsqu'il s'est levé, elles étaient déjà faites,",
,,,,,"and buyers also were not wanting, who gave him money enough to buy leather for four pairs of shoes.",17,"et les acheteurs ne manquaient pas non plus, qui lui donnaient assez d'argent pour acheter du cuir pour quatre paires de chaussures.",
