FR,GLOSS_LSF,GENERATED_LSF,TENSE,GLOSS_LSFB,EN,NUM,GENERATED_FR,GENERATED_EN
,,FOIS MEUNIER BELLE FILLE AVOIR ,['Imp']['Imp'],,"There was once a miller who had a beautiful daughter, ",1,"Il était une fois un meunier qui avait une belle fille,",
,,GRANDI BIEN SOIN TENU MARIEE PRENDRE ,['Pres']['Past']['Pres']['Past']['Pres']['Past']['Pres'],,and when she was grown up he became anxious that she should be well married and taken care of,2,"et lorsqu'elle a grandi, il a tenu à ce qu'elle soit bien mariée et qu'on prenne soin d'elle;",
,,PENSER ,['Pres']['Pres'],,"so he thought, ",3,"C'est ce qu'il pensait,",
,,HOMME CONVENABLE MARIAGE VENIR DEMANDER ,['Pres'],,"If a decent sort of man comes and asks her in marriage, ",4,"Si un homme convenable vient la demander en mariage,",
,,DONNERAI ,<unk>,,I will give her to him. ,5,Je la lui donnerai.,
,,PEU PRETENDANT PRESENTE TRES BIEN LOTI SEMBLER ,['Pres']['Past']['Imp'],,"Soon after a suitor came forward who seemed very well to do, ",6,"Peu après, un prétendant s'est présenté, qui semblait très bien loti,",
,,MEUNIER NE SAVOIR DESAVANTAGEAIT ,['Imp'],,"and as the miller knew nothing to his disadvantage, ",7,"et que le meunier ne savait rien, ce qui le désavantageait,",
,,FILLE PROMIS ,['Pres']['Past'],,he promised him his daughter. ,8,il lui a promis sa fille.,
,,JEUNE FILLE NE PAS AIMER JEUNE MARIEE EPOUX SEMBLER DEVOIR AIMER ,['Imp']['Pres'],,But the girl did not seem to love him as a bride should love her bridegroom;,9,Mais la jeune fille ne semblait pas l'aimer comme une jeune mariée devrait aimer son époux;,
,,PAS CONFIANCE AVOIR ,['Pres'],,she had no confidence in him,10,elle n'a pas confiance en lui;,
,,AUSSI SOUVENT VOIR PENSER ,['Imp']['Imp'],,"as often as she saw him or thought about him, ",11,"aussi souvent qu'elle le voyait ou qu'elle pensait à lui,",
,,FRISSON NIVEAU CŒUR RESSENTI ,['Pres']['Past'],,she felt a chill at her heart. ,12,elle a ressenti un frisson au niveau du cœur.,
,,JOUR DIRE FIANCEE SERAS ,['Pres']['Past'],,"One day he said to her, You are to be my bride, ",13,"Un jour, il lui dit : Tu seras ma fiancée,",
,,POURTANT TOI JAMAIS VENU VOIR ,['Pres']['Past'],,and yet you have never been to see me. ,14,et pourtant tu n'es jamais venu me voir.,
,,JEUNE FILLE REPONDU NE PAS MAISON SAVOIR TROUVE ,['Pres']['Past']['Pres']['Pres'],,"The girl answered, I do not know where your house is. ",15,La jeune fille a répondu : Je ne sais pas où se trouve votre maison.,
,,DIRE MAISON LOIN FORET ,['Pres']['Pres'],,"Then he said, My house is a long way in the wood. ",16,Puis il dit : Ma maison est loin dans la forêt.,
,,NE PAS CHEMIN COMMENCE EXCUSER DIT TROUVER ACCEDER ,['Pres']['Past']['Pres']['Past']['Imp'],,"She began to make excuses, and said she could not find the way to it",17,Elle a commencé à s'excuser et a dit qu'elle ne trouvait pas le chemin pour y accéder;,
,,EPOUX DIRE TOI VIENNES DIMANCHE PROCHAIN FALLOIR VOIR ,['Pres']['Pres'],,"but the bridegroom said, You must come and pay me a visit next Sunday",18,mais l'époux dit : Il faut que tu viennes me voir dimanche prochain;,
,,DEJA INVITE COMPAGNIE CENDRES CHEMIN TRAVERS BOIS ALLER REPANDRE AFIN SOYEZ SURS TROUVER ,['Pres']['Pres'],,"I have already invited company, and I will strew ashes on the path through the wood, so that you will be sure to find it.",19,"J'ai déjà invité de la compagnie et je vais répandre des cendres sur le chemin à travers le bois, afin que vous soyez sûrs de le trouver.",
