FR,GLOSS_LSF,GENERATED_LSF,TENSE,GLOSS_LSFB,EN,NUM,GENERATED_FR,GENERATED_EN
,,,,,There were once a cock and a hen who wanted to take a journey together. ,1,Il était une fois un coq et une poule qui voulaient faire un voyage ensemble. ,
,,,,,"So the cock built a beautiful carriage, ",2,"Le coq a donc construit un beau carrosse, ",
,,,,,"which had four red wheels, ",3,"qui avait quatre roues rouges, ",
,,,,,and harnessed four mice to it. ,4,et y a attelé quatre souris. ,
,,,,,"The hen seated herself in it with the cock, and they drove away together. ",5,La poule s'y installa avec le coq et ils partirent ensemble. ,
,,,,,"Not long afterwards they met a cat who said, Where are you going? ",6,"Peu après, ils rencontrèrent un chat qui leur dit : ""Où allez-vous ? ",
,,,,,"The cock replied, We are going to the house of Herr Korbes. ",7,Le coq répondit : Nous allons à la maison de Herr Korbes. ,
,,,,,"Take me with you, said the cat. ",8,"Emmène-moi avec toi, dit le chat. ",
,,,,,"The cock answered, Most willingly, get up behind, lest you fall off in front. ",9,"Le coq répondit : Très volontiers, monte derrière, de peur de tomber devant. ",
,,,,,Take great care not to dirty my little red wheels. ,10,Faites très attention à ne pas salir mes petites roues rouges. ,
,,,,,"And you little wheels, roll on, and you little mice pipe out, as we go forth on our way to the house of Herr Korbes.",11,"Et vous, les petites roues, roulez, et vous, les petites souris, sortez, alors que nous nous dirigeons vers la maison de Herr Korbes.",
,,,,,"After this came a millstone, then an egg, ",12,"Viennent ensuite une meule, puis un œuf, ",
,,,,,"then a duck, then a pin, and at last a needle, who all seated themselves in the carriage, and drove with them. ",13,"puis un canard, puis une épingle, et enfin une aiguille, qui s'installèrent tous dans la voiture, et roulèrent avec eux. ",
,,,,,"When, however, they reached the house of Herr Korbes, Herr Korbes was not there. ",14,"Cependant, lorsqu'ils arrivèrent à la maison de Herr Korbes, celui-ci n'était pas là. ",
,,,,,"The mice drew the carriage into the barn, the hen flew with the cock upon a perch. ",15,"Les souris ont tiré la voiture dans la grange, la poule a volé avec le coq sur un perchoir. ",
,,,,,"The cat sat down by the hearth, the duck on the well-pole. ",16,"Le chat s'est assis près de l'âtre, le canard sur la perche. ",
,,,,,"The egg rolled itself into a towel, ",17,"L'œuf s'est enroulé dans une serviette, ",
,,,,,"the pin stuck itself into the chair-cushion, ",18,"l'épingle s'est plantée dans le coussin de la chaise, ",
,,,,,"the needle jumped on to the bed in the middle of the pillow, ",19,"l'aiguille a sauté sur le lit au milieu de l'oreiller, ",
,,,,,and the millstone laid itself over the door. ,20,et la meule se plaça au-dessus de la porte. ,
,,,,,"Then Herr Korbes came home, went to the hearth, ",21,"Herr Korbes rentra à la maison et se dirigea vers l'âtre, ",
,,,,,"and was about to light the fire, ",22,"et s'apprêtait à allumer le feu, ",
,,,,,when the cat threw a quantity of ashes in his face. ,23,lorsque le chat lui a jeté une quantité de cendres au visage. ,
,,,,,"He ran into the kitchen in a great hurry to wash it off, ",24,"Il s'est précipité dans la cuisine pour se laver, ",
,,,,,and the duck splashed some water in his face. ,25,et le canard lui éclabousse le visage avec de l'eau. ,
,,,,,"He wanted to dry it with the towel, but the egg rolled up against him, broke, and glued up his eyes. ",26,"Il a voulu l'essuyer avec la serviette, mais l'œuf s'est enroulé contre lui, s'est cassé et lui a collé les yeux. ",
,,,,,"He wanted to rest, and sat down in the chair, and then the pin pricked him. ",27,"Il voulut se reposer, s'assit sur la chaise et c'est alors que l'épingle le piqua. ",
,,,,,"He fell in a passion, and threw himself on his bed, but as soon as he laid his head on the pillow, ",28,"Il tomba dans la passion et se jeta sur son lit, mais dès qu'il posa sa tête sur l'oreiller, ",
,,,,,"the needle pricked him, so that he screamed aloud, ",29,"l'aiguille l'a piqué, si bien qu'il a poussé un grand cri, ",
,,,,,"and was just going to run out into the wide world in his rage, ",30,"et allait s'enfuir dans le monde entier dans sa rage, ",
,,,,,"but when he came to the house-door, ",31,"mais lorsqu'il arriva à la porte de la maison, ",
,,,,,the millstone leapt down and struck him dead. ,32,la meule sauta et le frappa à mort. ,
,,,,,Herr Korbes must have been a very wicked man!,33,Herr Korbes devait être un homme très méchant !,
