FR,GLOSS_LSF,GENERATED_LSF,TENSE,GLOSS_LSFB,EN,NUM,GENERATED_FR,GENERATED_EN
,,,,,"A poor man had so many children that he had already asked every one in the world to be godfather, ",1,"Un pauvre homme avait tellement d'enfants qu'il avait déjà demandé à tout le monde d'être parrain, ",
,,,,,"and when still another child was born, no one else was left whom he could invite. ",2,"et à la naissance d'un autre enfant, il ne restait plus personne qu'il puisse inviter. ",
,,,,,"He knew not what to do, and, in his perplexity, ",3,"Il ne savait que faire et, dans sa perplexité, ",
,,,,,he lay down and fell asleep. ,4,il s'est allongé et s'est endormi. ,
,,,,,"Then he dreamt that he was to go outside the gate, and ask the first person who met him to be godfather. ",5,Puis il rêva qu'il devait sortir de la porte et demander au premier venu d'être parrain. ,
,,,,,"When he awoke, he determined to obey his dream, and went outside the gate, ",6,"À son réveil, il décida d'obéir à son rêve et sortit de la porte, ",
,,,,,and asked the first person who came up to him to be godfather. ,7,et a demandé au premier venu d'être son parrain. ,
,,,,,"The stranger presented him with a little glass of water, ",8,"L'étranger lui présente un petit verre d'eau, ",
,,,,,"and said, This is a wonderful water, with it thou canst heal the sick, ",9,"et dit : Voici une eau merveilleuse, avec laquelle tu peux guérir les malades, ",
,,,,,only thou must see where Death is standing. ,10,seulement tu dois voir où se tient la Mort. ,
,,,,,"If he is standing by the patient's head, give the patient some of the water and he will be healed, ",11,"S'il se tient près de la tête du patient, donnez-lui un peu d'eau et il sera guéri, ",
,,,,,"but if Death is standing by his feet, ",12,"mais si la mort se tient à ses pieds, ",
,,,,,"all trouble will be in vain, for the sick man must die. ",13,"tous les efforts seront vains, car le malade doit mourir. ",
,,,,,"From this time forth, ",14,"A partir de ce moment, ",
,,,,,"the man could always say whether a patient could be saved or not, ",15,"l'homme pouvait toujours dire si un patient pouvait être sauvé ou non, ",
,,,,,"and became famous for his skill, ",16,"et est devenu célèbre pour son habileté, ",
,,,,,and earned a great deal of money. ,17,et a gagné beaucoup d'argent. ,
,,,,,"Once he was called in to the child of the King, ",18,"Un jour, il a été appelé auprès de l'enfant du roi, ",
,,,,,"and when he entered, he saw death standing by the child's head and cured it with the water, ",19,"En entrant, il vit la mort près de la tête de l'enfant, et il la guérit avec de l'eau, ",
,,,,,"and he did the same a second time, ",20,"et il a fait de même une deuxième fois, ",
,,,,,"but the third time Death was standing by its feet, ",21,"mais la troisième fois, la Mort se tenait debout à ses pieds, ",
,,,,,and then he knew the child was forced to die.,22,et il a su que l'enfant avait été contraint de mourir.,
,,,,,"Once the man thought he would visit the godfather, ",23,"Un jour, l'homme a voulu rendre visite à son parrain, ",
,,,,,and tell him how he had succeeded with the water. ,24,et lui dire comment il avait réussi avec l'eau. ,
,,,,,"But when he entered the house, it was such a strange establishment! ",25,"Mais lorsqu'il est entré dans la maison, c'était un établissement si étrange ! ",
,,,,,"On the first flight of stairs, the broom and shovel were disputing, ",26,"Sur la première volée de marches, le balai et la pelle se disputent, ",
,,,,,and knocking each other about violently. ,27,et s'entrechoquant violemment. ,
,,,,,"He asked them, Where does the godfather live? ",28,"Il leur a demandé : ""Où habite le parrain ? ",
,,,,,"The broom replied, One flight of stairs higher up. ",29,Le balai répondit : Une volée de marches plus haut. ,
,,,,,"When he came to the second flight, he saw a heap of dead fingers lying. ",30,"Arrivé à la deuxième volée, il a vu un tas de doigts morts. ",
,,,,,"He asked, Where does the godfather live? ",31,"Il a demandé : ""Où habite le parrain ? ",
,,,,,"One of the fingers replied, One flight of stairs higher. ",32,"L'un des doigts a répondu : ""Une volée de marches plus haut"". ",
,,,,,"On the third flight lay a heap of dead heads, which again directed him to the flight beyond. ",33,"Sur la troisième volée se trouve un amas de têtes mortes, qui l'oriente à nouveau vers la volée suivante. ",
,,,,,"On the fourth flight, he saw fishes on the fire, which frizzled in the pans and baked themselves. ",34,"Au quatrième vol, il a vu des poissons sur le feu, qui ont frisé dans les poêles et se sont cuits eux-mêmes. ",
,,,,,"They, too, said, One flight of stairs higher. ",35,"Eux aussi ont dit : ""Une volée de marches plus haut"". ",
,,,,,"And when he had ascended the fifth, ",36,"Lorsqu'il fut monté sur le cinquième, ",
,,,,,"he came to the door of a room and peeped through the keyhole, ",37,"il arriva à la porte d'une chambre et jeta un coup d'œil par le trou de la serrure, ",
,,,,,and there he saw the godfather who had a pair of long horns. ,38,"et là, il vit le parrain qui avait une paire de longues cornes. ",
,,,,,"When he opened the door and went in, ",39,"Lorsqu'il a ouvert la porte, il est entré, ",
,,,,,the godfather got into bed in a great hurry and covered himself up. ,40,le parrain s'est mis au lit en toute hâte et s'est couvert. ,
,,,,,"Then said the man, Sir godfather, what a strange household you have! ",41,"L'homme dit alors : Monsieur le parrain, quel étrange ménage vous avez ! ",
,,,,,"When I came to your first flight of stairs, ",42,"Quand je suis arrivé à la première volée de marches, ",
,,,,,"the shovel and broom were quarreling, and beating each other violently.",43,la pelle et le balai se disputaient et se frappaient violemment.,
,,,,,How stupid you are! said the godfather. ,44,Comme tu es bête ! dit le parrain. ,
,,,,,That was the boy and the maid talking to each other. ,45,C'était le garçon et la servante qui se parlaient. ,
,,,,,But on the second flight I saw dead fingers lying. ,46,"Mais lors du deuxième vol, j'ai vu des doigts morts allongés. ",
,,,,,"Oh, how silly you are! ",47,"Oh, que vous êtes bête ! ",
,,,,,Those were some roots of scorzonera. ,48,Il s'agissait de racines de scorzonera. ,
