FR,GLOSS_LSF,GENERATED_LSF,TENSE,GLOSS_LSFB,EN,NUM,GENERATED_FR,GENERATED_EN
,,,,,"There was once a little girl who was obstinate and inquisitive, ",1,"Il était une fois une petite fille obstinée et curieuse, ",
,,,,,"and when her parents told her to do anything, ",2,"et quand ses parents lui disaient de faire quoi que ce soit, ",
,,,,,"she did not obey them, so how could she fare well? ",3,"elle ne leur a pas obéi, alors comment pourrait-elle s'en sortir ? ",
,,,,,"One day she said to her parents, ",4,"Un jour, elle a dit à ses parents, ",
,,,,,"I have heard so much of Frau Trude, I will go to her some day. ",5,J'ai tellement entendu parler de Frau Trude que j'irai la voir un jour. ,
,,,,,"People say that everything about her does look so strange, ",6,"Les gens disent que tout ce qui la concerne est étrange, ",
,,,,,"and that there are such odd things in her house, ",7,"et qu'il y a des choses si bizarres dans sa maison, ",
,,,,,that I have become quite curious! ,8,que je suis devenu très curieux ! ,
,,,,,"Her parents absolutely forbade her, and said, ",9,"Ses parents le lui interdisent formellement et lui disent, ",
,,,,,"Frau Trude is a bad woman, ",10,"Frau Trude est une mauvaise femme, ",
,,,,,"who does wicked things, and if thou goest to her; ",11,"qui fait le mal, et si tu vas vers elle ; ",
,,,,,thou art no longer our child. ,12,tu n'es plus notre enfant. ,
,,,,,"But the maiden did not let herself be turned aside by her parent's prohibition, ",13,"Mais la jeune fille ne se laisse pas détourner par l'interdiction de ses parents, ",
,,,,,and still went to Frau Trude. ,14,et se rendait toujours chez Frau Trude. ,
,,,,,"And when she got to her, Frau Trude said, Why art thou so pale? ",15,"Lorsqu'elle arriva près d'elle, Frau Trude lui dit : ""Pourquoi es-tu si pâle ? ",
,,,,,"Ah, she replied, and her whole body trembled, I have been so terrified at what I have seen. ",16,"Ah, répondit-elle, et tout son corps trembla, j'ai été tellement terrifiée par ce que j'ai vu. ",
,,,,,What hast thou seen? I saw a black man on your steps. ,17,Qu'as-tu vu ? J'ai vu un homme noir sur vos marches. ,
,,,,,That was a collier. ,18,C'était un charbonnier. ,
,,,,,Then I saw a green man. That was a huntsman. ,19,Puis j'ai vu un homme vert. C'était un chasseur. ,
,,,,,After that I saw a blood-red man. ,20,"Ensuite, j'ai vu un homme rouge sang. ",
,,,,,That was a butcher. ,21,C'était un boucher. ,
,,,,,"Ah, Frau Trude, ",22,"Ah, Frau Trude, ",
,,,,,I was terrified; ,23,J'étais terrifiée ; ,
,,,,,"I looked through the window and saw not you, but, as I verily believe, the devil himself with a head of fire. ",24,"J'ai regardé par la fenêtre et j'ai vu non pas vous, mais, comme je le crois sincèrement, le diable lui-même avec une tête de feu. ",
,,,,,"Oho! said she, then thou hast seen the witch in her proper costume. ",25,"Oh ! dit-elle, tu as donc vu la sorcière dans son costume. ",
,,,,,"I have been waiting for thee, and wanting thee a long time already; ",26,Je t'attends et te désire depuis longtemps déjà ; ,
,,,,,thou shalt give me some light. ,27,tu me donneras de la lumière. ,
,,,,,"Then she changed the girl into a block of wood, ",28,"Puis elle a transformé la jeune fille en un bloc de bois, ",
,,,,,and threw it into the fire. ,29,et l'a jeté dans le feu. ,
,,,,,"And when it was in full blaze she sat down close to it, ",30,"Et lorsqu'il fut complètement embrasé, elle s'assit près de lui, ",
,,,,,"and warmed herself by it, and said, ",31,"et se réchauffa auprès d'elle, et dit, ",
,,,,,That shines bright for once in a way.,32,"Pour une fois, cela brille de mille feux.",
