FR,GLOSS_LSF,GENERATED_LSF,TENSE,GLOSS_LSFB,EN,NUM,GENERATED_FR,GENERATED_EN
,,,,,A poor man had twelve children and had to work day and night in order just to feed them. ,1,Un pauvre homme avait douze enfants et devait travailler jour et nuit pour les nourrir. ,
,,,,,"Thus when the thirteenth came into the world, ",2,"Ainsi, lorsque le treizième est venu au monde, ",
,,,,,"not knowing what to do in his need, he ran out into the highway, ",3,"Ne sachant que faire dans ce cas, il se précipite sur l'autoroute, ",
,,,,,intending to ask the first person whom he met to be the godfather. ,4,avec l'intention de demander au premier venu d'être son parrain. ,
,,,,,"The first person who came his way was our dear God, ",5,"La première personne qui s'est présentée à lui a été notre Dieu bien-aimé, ",
,,,,,"who already knew what was in his heart, ",6,"qui savait déjà ce qu'il avait dans le cœur, ",
,,,,,"and God said to him, ",7,"et Dieu lui dit, ",
,,,,,"Poor man, I pity you. ",8,"Pauvre homme, je te plains. ",
,,,,,"I will hold your child at his baptism, ",9,"Je tiendrai votre enfant lors de son baptême, ",
,,,,,"and care for him, and make him happy on earth. ",10,"et s'occuper de lui, et le rendre heureux sur terre. ",
,,,,,"The man said, Who are you? ",11,"L'homme dit : ""Qui es-tu ? ",
,,,,,"I am God. Then I do not wish to have you for a godfather, said the man. ",12,"Je suis Dieu. Alors je ne souhaite pas t'avoir comme parrain, dit l'homme. ",
,,,,,"You give to the rich, and let the poor starve. ",13,Vous donnez aux riches et laissez les pauvres mourir de faim. ,
,,,,,"Thus spoke the man, for he did not know how wisely God divides out wealth and poverty. ",14,"L'homme parlait ainsi, car il ne savait pas comment Dieu répartit judicieusement la richesse et la pauvreté. ",
,,,,,"Then he turned away from the Lord, and went on his way. ",15,Il se détourna de l'Éternel et poursuivit son chemin. ,
,,,,,"Then the devil came to him and said, What are you looking for? ",16,Le diable s'approcha de lui et lui dit : Que cherches-tu ? ,
,,,,,"If you will take me as your child's godfather, ",17,"Si vous me prenez comme parrain de votre enfant, ",
,,,,,I will give him an abundance of gold and all the joys of the world as well. ,18,Je lui donnerai de l'or en abondance et toutes les joies du monde. ,
,,,,,"The man asked, Who are you? ",19,"L'homme demande : ""Qui es-tu ? ",
,,,,,I am the devil. ,20,Je suis le diable. ,
,,,,,"Then I do not wish to have you for a godfather, said the man. ",21,"Alors je ne souhaite pas vous avoir comme parrain, dit l'homme. ",
,,,,,"You deceive mankind and lead them astray. He went on his way, ",22,"Tu trompes les hommes et tu les égares. Il poursuivit son chemin, ",
,,,,,"and then Death, on his withered legs, came walking toward him, ",23,"et alors la Mort, sur ses jambes desséchées, s'avança vers lui, ",
,,,,,"and said, Take me as your child's godfather. ",24,et dit : Prends-moi comme parrain de ton enfant. ,
,,,,,"The man asked, Who are you? I am Death, who makes everyone equal. ",25,"L'homme lui demanda : ""Qui es-tu ? Je suis la Mort, qui met tout le monde sur un pied d'égalité. ",
,,,,,"Then the man said, You are the right one. ",26,L'homme dit alors : C'est toi qui as raison. ,
,,,,,"You take away the rich as well as the poor, without distinction. ",27,"Vous supprimez les riches comme les pauvres, sans distinction. ",
,,,,,You shall be my child's godfather. ,28,Vous serez le parrain de mon enfant. ,
