FR,GLOSS_LSF,GENERATED_LSF,TENSE,GLOSS_LSFB,EN,NUM,GENERATED_FR,GENERATED_EN
,,,,,"A certain tailor had a son, ",1,"Un tailleur avait un fils, ",
,,,,,"who happened to be small, ",2,"qui se trouvait être de petite taille, ",
,,,,,"and no bigger than a Thumb, ",3,"et pas plus gros qu'un Petit Poucet, ",
,,,,,and on this account he was always called Thumbling. ,4,et c'est pour cette raison qu'on l'a toujours appelé Thumbling. ,
,,,,,"He had, however, some courage in him, and said to his father, ",5,"Il eut cependant un peu de courage et dit à son père, ",
,,,,,"Father, I must and will go out into the world. ",6,"Père, je dois et je veux aller dans le monde. ",
,,,,,"That's right, my son, said the old man, ",7,"C'est vrai, mon fils, dit le vieil homme, ",
,,,,,"and took a long darning-needle and made a knob of sealing-wax on it at the candle, ",8,"Il prit une longue aiguille à repriser et fit un nœud de cire à cacheter à la bougie, ",
,,,,,and there is a sword for thee to take with thee on the way. ,9,et il y a une épée que tu prendras avec toi en chemin. ,
,,,,,"Then the little tailor wanted to have one more meal with them, ",10,"Puis le petit tailleur a voulu prendre un dernier repas avec eux, ",
,,,,,and hopped into the kitchen to see what his lady mother had cooked for the last time. ,11,et saute dans la cuisine pour voir ce que sa mère a préparé pour la dernière fois. ,
,,,,,"It was, however, just dished up, ",12,"Cependant, il a été simplement distribué, ",
,,,,,and the dish stood on the hearth. ,13,et le plat était posé sur l'âtre. ,
,,,,,"Then he said, Mother, what is there to eat to-day? ",14,"Puis il dit : ""Mère, qu'y a-t-il à manger aujourd'hui ? ",
,,,,,"See for thyself, said his mother. ",15,"Vois toi-même, dit sa mère. ",
,,,,,"So Thumbling jumped on to the hearth, ",16,"Thumbling a donc sauté sur l'âtre, ",
,,,,,"and peeped into the dish, ",17,"et a jeté un coup d'œil dans le plat, ",
,,,,,"but as he stretched his neck in too far the steam from the food caught hold of him,",18,"mais en étirant trop son cou, la vapeur de la nourriture s'est emparée de lui,",
,,,,,and carried him up the chimney. ,19,et l'a transporté dans la cheminée. ,
,,,,,"He rode about in the air on the steam for a while, until at length he sank down to the ground again. ",20,"Il se déplaça dans les airs sur la vapeur pendant un certain temps, jusqu'à ce qu'il retombe sur le sol. ",
,,,,,"Now the little tailor was outside in the wide world, ",21,"Maintenant, le petit tailleur est dehors, dans le vaste monde, ",
,,,,,"and he travelled about, and went to a master in his craft, ",22,"Il voyagea et se rendit auprès d'un maître dans son métier, ",
,,,,,but the food was not good enough for him. ,23,mais la nourriture n'était pas assez bonne pour lui. ,
,,,,,"Mistress, if you give us no better food, said Thumbling, ",24,"Maîtresse, si vous ne nous donnez pas une meilleure nourriture, dit Thumbling, ",
,,,,,"I will go away, and early to-morrow morning I will write with chalk on the door of your house, ",25,"Je m'en vais, et demain matin de bonne heure, j'écrirai à la craie sur la porte de ta maison, ",
,,,,,"Too many potatoes, too little meat! ",26,"Trop de pommes de terre, pas assez de viande ! ",
,,,,,"Farewell, Mr. Potato-King. ",27,"Adieu, Monsieur le roi de la pomme de terre. ",
,,,,,"What wouldst thou have forsooth, grasshopper? said the mistress, ",28,"Que veux-tu, sauterelle ? dit la maîtresse, ",
,,,,,"and grew angry, and seized a dishcloth, ",29,"Il se mit en colère et saisit un torchon, ",
,,,,,and was just going to strike him; ,30,et s'apprêtait à le frapper ; ,
,,,,,"but my little tailor crept nimbly under a thimble, peeped out from beneath it, ",31,"mais mon petit tailleur s'est glissé agilement sous un dé à coudre, et en est sorti, ",
,,,,,and put his tongue out at the mistress. ,32,et tire la langue à la maîtresse. ,
,,,,,"She took up the thimble, and wanted to get hold of him, but little Thumbling hopped into the cloth, ",33,"Elle prit le dé à coudre et voulut s'emparer de lui, mais le petit Poucet sauta dans le tissu, ",
,,,,,"and while the mistress was opening it out and looking for him, he got into a crevice in the table. ",34,"et pendant que la maîtresse l'ouvrait et le cherchait, il s'est glissé dans une fente de la table. ",
,,,,,"Ho, ho, lady mistress, cried he, ",35,"Ho, ho, madame, s'écria-t-il, ",
,,,,,"and thrust his head out, and when she began to strike him he leapt down into the drawer. ",36,"et sortit la tête, et lorsqu'elle commença à le frapper, il sauta dans le tiroir. ",
,,,,,"At last, however, she caught him and drove him out of the house.",37,"Enfin, elle l'a attrapé et l'a chassé de la maison.",
,,,,,"The little tailor journeyed on and came to a great forest, ",38,"Le petit tailleur continua son chemin et arriva dans une grande forêt, ",
,,,,,and there he fell in with a band of robbers who had a design to steal the King's treasure. ,39,"et là, il tomba sur une bande de brigands qui avaient l'intention de voler le trésor du roi. ",
,,,,,"When they saw the little tailor, they thought, ",40,"Lorsqu'ils ont vu le petit tailleur, ils ont pensé, ",
,,,,,A little fellow like that can creep through a key-hole and serve as picklock to us. ,41,Un petit bonhomme comme lui peut se faufiler par un trou de serrure et nous servir de cadenas. ,
,,,,,"Hollo, cried one of them, thou giant Goliath, ",42,"Hollo, s'écria l'un d'eux, toi, le géant Goliath, ",
,,,,,wilt thou go to the treasure-chamber with us? ,43,veux-tu venir avec nous dans la chambre du trésor ? ,
,,,,,Thou canst slip thyself in and throw out the money. ,44,Tu peux te glisser à l'intérieur et jeter l'argent par la fenêtre. ,
,,,,,"Thumbling reflected a while, and at length he said, ",45,"Thumbling réfléchit un moment, puis finit par dire, ",
,,,,,"yes, and went with them to the treasure-chamber. ",46,"Oui, et il alla avec eux dans la chambre du trésor. ",
,,,,,"Then he looked at the doors above and below, to see if there was any crack in them. ",47,"Ensuite, il a regardé les portes du haut et du bas pour voir s'il n'y avait pas de fissure. ",
,,,,,It was not long before he espied one which was broad enough to let him in. ,48,Il ne tarda pas à en apercevoir une qui était assez large pour lui permettre d'entrer. ,
