FR,GLOSS_LSF,GENERATED_LSF,TENSE,GLOSS_LSFB,EN,NUM,GENERATED_FR,GENERATED_EN
,,,,,"There was once a wizard who used to take the form of a poor man, ",1,"Il était une fois un sorcier qui prenait la forme d'un pauvre homme, ",
,,,,,"and went to houses and begged, and caught pretty girls. ",2,"Il allait dans les maisons, mendiait et attrapait de jolies filles. ",
,,,,,"No one knew whither he carried them, ",3,"Personne ne sait où il les a transportés, ",
,,,,,for they were never seen more. ,4,car on ne les a plus jamais vus. ,
,,,,,One day he appeared before the door of a man who had three pretty daughters; ,5,"Un jour, il se présenta à la porte d'un homme qui avait trois jolies filles ; ",
,,,,,"he looked like a poor weak beggar, ",6,"il avait l'air d'un pauvre et faible mendiant, ",
,,,,,"and carried a basket on his back, ",7,"et portait un panier sur son dos, ",
,,,,,as if he meant to collect charitable gifts in it. ,8,comme s'il avait l'intention d'y recueillir des dons de charité. ,
,,,,,"He begged for a little food, and when the eldest daughter came out and was just reaching him a piece of bread, ",9,"Il demanda un peu de nourriture, et lorsque la fille aînée sortit, elle lui tendit un morceau de pain, ",
,,,,,"he did but touch her, and she was forced to jump into his basket. ",10,"Il ne fit que la toucher, et elle fut obligée de sauter dans son panier. ",
,,,,,"Thereupon he hurried away with long strides, ",11,"Puis il s'éloigna à grandes enjambées, ",
,,,,,"and carried her away into a dark forest to his house, ",12,"et l'a emportée dans une forêt sombre jusqu'à sa maison, ",
,,,,,which stood in the midst of it. Everything in the house was magnificent; ,13,qui se trouvait au milieu de la maison. Tout dans la maison était magnifique ; ,
,,,,,"he gave her whatsoever she could possibly desire, and said: ",14,"il lui donna tout ce qu'elle pouvait désirer, et dit : ",
,,,,,"My darling, thou wilt certainly be happy with me, ",15,"Mon chéri, tu seras certainement heureux avec moi, ",
,,,,,for thou hast everything thy heart can wish for. ,16,car tu as tout ce que ton cœur peut désirer. ,
,,,,,"This lasted a few days, and then he said: I must journey forth, ",17,"Cela dura quelques jours, puis il dit : Je dois partir, ",
,,,,,and leave thee alone for a short time; there are the keys of the house; ,18,et te laisser un peu seul ; voici les clefs de la maison ; ,
,,,,,"thou mayst go everywhere and look at everything except into one room, ",19,"Tu peux aller partout et tout regarder, sauf dans une seule pièce, ",
,,,,,"which this little key here opens, ",20,"que cette petite clé ouvre, ",
,,,,,and there I forbid thee to go on pain of death. ,21,et je t'interdis d'y aller sous peine de mort. ,
,,,,,He likewise gave her an egg and said: ,22,Il lui donna aussi un œuf et lui dit : ,
,,,,,"Preserve the egg carefully for me, and carry it continually about with thee, ",23,"Conserve soigneusement l'œuf pour moi, et porte-le toujours sur toi, ",
