FR,GLOSS_LSF,GENERATED_LSF,TENSE,GLOSS_LSFB,EN,NUM,GENERATED_FR,GENERATED_EN
,,,,,"Long time ago, ",1,"Il y a longtemps, ",
,,,,,"perhaps as much as two thousand years, ",2,"peut-être jusqu'à deux mille ans, ",
,,,,,"there was a rich man, ",3,"Il y avait un homme riche, ",
,,,,,"and he had a beautiful and pious wife, ",4,"et il avait une femme belle et pieuse, ",
,,,,,"and they loved each other very much, and they had no children, ",5,"Ils s'aimaient beaucoup et n'avaient pas d'enfants, ",
,,,,,"though they wished greatly for some, ",6,"même s'ils en souhaitaient beaucoup, ",
,,,,,and the wife prayed for one day and night. ,7,et la femme ont prié pour un jour et une nuit. ,
,,,,,"Now, in the courtyard in front of their house stood an almond tree; ",8,"Or, dans la cour devant leur maison se trouvait un amandier ; ",
,,,,,"and one day in winter the wife was standing beneath it, ",9,"et un jour d'hiver, la femme se trouvait en dessous, ",
,,,,,"and paring an apple, ",10,"et à éplucher une pomme, ",
,,,,,"and as she pared it she cut her finger, ",11,"et en le coupant, elle s'est coupé le doigt, ",
,,,,,and the blood fell upon the snow. ,12,et le sang tomba sur la neige. ,
,,,,,"Ah, said the woman, sighing deeply, ",13,"Ah, dit la femme en soupirant profondément, ",
,,,,,"and looking down at the blood, ",14,"et de regarder le sang, ",
,,,,,"if only I could have a child as red as blood, ",15,"si seulement je pouvais avoir un enfant aussi rouge que le sang, ",
,,,,,and as white as snow! ,16,et blanc comme neige ! ,
,,,,,"And as she said these words, ",17,"Et en prononçant ces mots, ",
,,,,,"her heart suddenly grew light, ",18,"son cœur s'est soudain éclairé, ",
,,,,,and she felt sure she should have her wish. ,19,et elle était sûre d'obtenir ce qu'elle désirait. ,
,,,,,"So she went back to the house, ",20,"Elle est donc retournée à la maison, ",
,,,,,and when a month had passed the snow was gone; ,21,"et au bout d'un mois, la neige avait disparu ; ",
,,,,,in two months everything was green; ,22,"En deux mois, tout est devenu vert ; ",
,,,,,in three months the flowers sprang out of the earth; ,23,"en trois mois, les fleurs sortaient de terre ; ",
,,,,,"in four months the trees were in full leaf, ",24,"En quatre mois, les arbres étaient en pleine floraison, ",
,,,,,and the branches were thickly entwined; ,25,et les branches s'entremêlaient ; ,
,,,,,"the little birds began to sing, ",26,"les petits oiseaux se mirent à chanter, ",
,,,,,"so that the woods echoed, ",27,"de sorte que les bois résonnent, ",
,,,,,and the blossoms fell from the trees; ,28,et les fleurs sont tombées des arbres ; ,
,,,,,"when the fifth month had passed the wife stood under the almond tree, ",29,"Lorsque le cinquième mois fut écoulé, la femme se plaça sous l'amandier, ",
,,,,,"and it smelt so sweet that her heart leaped within her, ",30,"et cela sentait si bon que son cœur bondissait en elle, ",
,,,,,and she fell on her knees for joy; ,31,et elle tomba à genoux de joie ; ,
,,,,,"and when the sixth month had gone, ",32,"Le sixième mois s'écoula, ",
,,,,,"the fruit was thick and fine, ",33,"le fruit était épais et fin, ",
,,,,,and she remained still; ,34,et elle est restée immobile ; ,
,,,,,"and the seventh month she gathered the almonds, ",35,"Le septième mois, elle cueillit les amandes, ",
,,,,,"and ate them eagerly, and was sick and sorrowful; ",36,"et les mangea avec avidité, et il fut malade et affligé ; ",
,,,,,"and when the eighth month had passed she called to her husband, ",37,"Quand le huitième mois fut écoulé, elle appela son mari, ",
,,,,,"and said, weeping, If I die, bury me under the almond tree. ",38,"et il dit en pleurant : Si je meurs, enterre-moi sous l'amandier. ",
,,,,,"Then she was comforted and happy until the ninth month had passed, ",39,"Elle fut réconfortée et heureuse jusqu'au neuvième mois, ",
,,,,,"and then she bore a child as white as snow and as red as blood, ",40,"et elle mit au monde un enfant blanc comme la neige et rouge comme le sang, ",
,,,,,and when she saw it her joy was so great that she died.,41,"et quand elle le vit, sa joie fut si grande qu'elle en mourut.",
,,,,,"Her husband buried her under the almond tree, and he wept sore; ",42,Son mari l'enterra sous l'amandier et pleura abondamment ; ,
,,,,,"time passed, and he became less sad; ",43,Le temps passa et il devint moins triste ; ,
,,,,,"and after he had grieved a little more he left off, ",44,"et, après s'être affligé un peu plus, il s'en alla, ",
,,,,,and then he took another wife.,45,et il prit une autre femme.,
,,,,,"His second wife bore him a daughter, ",46,"Sa seconde épouse lui donna une fille, ",
,,,,,"and his first wife's child was a son, ",47,"et l'enfant de sa première femme était un fils, ",
,,,,,as red as blood and as white as snow. ,48,rouge comme le sang et blanc comme la neige. ,
,,,,,"Whenever the wife looked at her daughter she felt great love for her, ",49,"Chaque fois que la femme regardait sa fille, elle ressentait un grand amour pour elle, ",
,,,,,"but whenever she looked at the little boy, ",50,"mais chaque fois qu'elle regardait le petit garçon, ",
,,,,,"evil thoughts came into her heart, ",51,"De mauvaises pensées lui viennent à l'esprit, ",
,,,,,"of how she could get all her husband's money for her daughter, ",52,"de la façon dont elle pourrait obtenir tout l'argent de son mari pour sa fille, ",
,,,,,and how the boy stood in the way; ,53,et comment le garçon s'est mis en travers du chemin ; ,
,,,,,"and so she took great hatred to him, ",54,"et elle lui voue une grande haine, ",
,,,,,"and drove him from one corner to another, ",55,"et l'ont conduit d'un coin à l'autre, ",
,,,,,"and gave him a buffet here and a cuff there, ",56,"et lui a donné un buffet par-ci et une manchette par-là, ",
,,,,,so that the poor child was always in disgrace; ,57,de sorte que la pauvre enfant était toujours en disgrâce ; ,
,,,,,when he came back after school hours there was no peace for him. ,58,"Lorsqu'il revenait après les heures de cours, il n'avait pas la paix. ",
,,,,,"Once, when the wife went into the room upstairs, ",59,"Une fois, lorsque la femme est allée dans la chambre à l'étage, ",
,,,,,"her little daughter followed her, ",60,"sa petite fille l'a suivie, ",
,,,,,"and said, Mother, give me an apple. ",61,"et dit : Maman, donne-moi une pomme. ",
,,,,,"Yes, my child, said the mother, and gave her a fine apple out of the chest, ",62,"Oui, mon enfant, dit la mère, et elle lui donna une belle pomme tirée du coffre, ",
,,,,,and the chest had a great heavy lid with a strong iron lock. ,63,et le coffre avait un grand couvercle lourd avec une solide serrure en fer. ,
,,,,,"Mother, said the little girl, shall not my brother have one too? ",64,"Maman, dit la petite fille, mon frère ne doit-il pas en avoir un aussi ? ",
,,,,,"That was what the mother expected, and she said, ",65,"C'est ce que la mère attendait, et elle a dit, ",
,,,,,"Yes, when he comes back from school. ",66,"Oui, quand il reviendra de l'école. ",
,,,,,"And when she saw from the window that he was coming, ",67,"Et quand elle a vu par la fenêtre qu'il arrivait, ",
,,,,,"an evil thought crossed her mind, ",68,"une mauvaise pensée lui traverse l'esprit, ",
,,,,,"and she snatched the apple, and took it from her little daughter, ",69,"et elle arracha la pomme à sa petite fille, ",
,,,,,"saying, You shall not have it before your brother. ",70,en disant : Tu ne le prendras pas devant ton frère. ,
,,,,,"Then she threw the apple into the chest, and shut to the lid. ",71,Puis elle jeta la pomme dans le coffre et referma le couvercle. ,
,,,,,"Then the little boy came in at the door, ",72,"C'est alors que le petit garçon est entré par la porte, ",
,,,,,"and she said to him in a kind tone, but with evil looks, ",73,"et elle lui dit d'un ton aimable, mais avec un regard mauvais, ",
,,,,,"My son, will you have an apple? ",74,"Mon fils, veux-tu une pomme ? ",
