FR,GLOSS_LSF,GENERATED_LSF,TENSE,GLOSS_LSFB,EN,NUM,GENERATED_FR,GENERATED_EN
,,,,,"A farmer once had a faithful dog called Sultan, ",1,"Un fermier avait un jour un chien fidèle appelé Sultan, ",
,,,,,"who had grown old, ",2,"qui avait vieilli, ",
,,,,,"and lost all his teeth, ",3,"et a perdu toutes ses dents, ",
,,,,,so that he could no longer hold anything fast. ,4,de sorte qu'il ne pouvait plus rien tenir fermement. ,
,,,,,"One day the farmer was standing with his wife before the house-door, ",5,"Un jour, le fermier se tenait avec sa femme devant la porte de la maison, ",
,,,,,"and said, To-morrow I intend to shoot Old Sultan, ",6,"et dit : ""Demain, j'ai l'intention de tirer sur le vieux Sultan, ",
,,,,,he is no longer of any use.,7,il n'est plus d'aucune utilité.,
,,,,,"His wife, who felt pity for the faithful beast, ",8,"Sa femme, qui avait pitié de la bête fidèle, ",
,,,,,"answered, He has served us so long, ",9,"a répondu, il nous a servi si longtemps, ",
,,,,,"and been so faithful, ",10,"et ont été si fidèles, ",
,,,,,that we might well give him his keep.,11,que nous pourrions bien lui donner son salaire.,
,,,,,Eh! what? said the man. You are not very sharp. ,12,Eh ! quoi ? dit l'homme. Tu n'es pas très fin. ,
,,,,,"He has not a tooth left in his mouth, ",13,"Il n'a plus une dent dans la bouche, ",
,,,,,and not a thief is afraid of him; ,14,et aucun voleur ne le craint ; ,
,,,,,now he may be off. ,15,"Maintenant, il est peut-être parti. ",
,,,,,"If he has served us, he has had good feeding for it.",16,"S'il nous a servis, c'est qu'il s'en est bien nourri.",
,,,,,"The poor dog, who was lying stretched out in the sun not far off, ",17,"Le pauvre chien, qui était allongé au soleil non loin de là, ",
,,,,,"had heard everything, ",18,"avait tout entendu, ",
,,,,,and was sorry that the morrow was to be his last day. ,19,et regrettait que le lendemain soit son dernier jour. ,
,,,,,"He had a good friend, the wolf, ",20,"Il avait un bon ami, le loup, ",
,,,,,"and he crept out in the evening into the forest to him, ",21,"et il se glissait le soir dans la forêt pour le rejoindre, ",
,,,,,and complained of the fate that awaited him. ,22,et se plaignait du sort qui lui était réservé. ,
,,,,,"Hark ye, gossip, said the wolf, be of good cheer, ",23,"Écoutez, commères, dit le loup, prenez courage, ",
,,,,,I will help you out of your trouble. ,24,Je t'aiderai à sortir de tes difficultés. ,
,,,,,I have thought of something. ,25,J'ai pensé à quelque chose. ,
,,,,,"To-morrow, early in the morning, your master is going with his wife to make hay, ",26,"Demain, tôt le matin, ton maître va avec sa femme faire les foins, ",
,,,,,"and they will take their little child with them, ",27,"et ils prendront avec eux leur petit enfant, ",
,,,,,for no one will be left behind in the house. ,28,car personne ne sera oublié dans la maison. ,
,,,,,"They are wont, during work-time, ",29,"Ils le sont pendant le temps de travail, ",
,,,,,"to lay the child under the hedge in the shade; you lay yourself there too, ",30,"de déposer l'enfant sous la haie à l'ombre ; vous vous y déposez aussi, ",
,,,,,just as if you wished to guard it. ,31,comme si vous souhaitiez le garder. ,
,,,,,"Then I will come out of the wood, and carry off the child. ",32,Je sortirai du bois et j'emporterai l'enfant. ,
,,,,,"You must rush swiftly after me, as if you would seize it again from me. ",33,"Tu dois te précipiter derrière moi, comme si tu voulais me le reprendre. ",
,,,,,"I will let it fall, and you will take it back to its parents, who will think that you have saved it, ",34,"Je le laisserai tomber, et vous le ramènerez à ses parents, qui penseront que vous l'avez sauvé, ",
