FR,GLOSS_LSF,GENERATED_LSF,TENSE,GLOSS_LSFB,EN,NUM,GENERATED_FR,GENERATED_EN
,,,,,"Once on a time a king was hunting in a great wood, ",1,"Il était une fois un roi qui chassait dans un grand bois, ",
,,,,,and he pursued a wild animal so eagerly that none of his people could follow him. ,2,et il poursuivit un animal sauvage avec tant d'ardeur qu'aucun des siens ne put le suivre. ,
,,,,,"When evening came he stood still, ",3,"Le soir venu, il s'immobilisa, ",
,,,,,and looking round him he found that he had lost his way; ,4,"et, regardant autour de lui, il s'aperçut qu'il s'était égaré ; ",
,,,,,"and seeking a path, he found none. ",5,"et cherchant un chemin, il n'en a pas trouvé. ",
,,,,,Then all at once he saw an old woman with a nodding head coming up to him; ,6,"Puis, tout d'un coup, il a vu une vieille femme à la tête hochant la tête s'approcher de lui ; ",
,,,,,and it was a witch.,7,et c'était une sorcière.,
,,,,,"My good woman, said he, can you show me the way out of the wood?",8,"Ma bonne dame, dit-il, pouvez-vous m'indiquer la sortie du bois ?",
,,,,,"Oh yes, my lord king, answered she, certainly I can; ",9,"Oh oui, monseigneur le roi, répondit-elle, certainement je le peux ; ",
,,,,,"but I must make a condition, and if you do not fulfil it, ",10,"mais je dois poser une condition, et si vous ne la remplissez pas, ",
,,,,,"you will never get out of the wood again, but die there of hunger.",11,"tu ne sortiras plus jamais du bois, tu y mourras de faim.",
,,,,,What is the condition? asked the king.,12,Quelle est la condition ? demanda le roi.,
,,,,,"I have a daughter, said the old woman, ",13,"J'ai une fille, dit la vieille femme, ",
,,,,,"who is as fair as any in the world, ",14,"qui est aussi juste que n'importe quel autre au monde, ",
,,,,,"and if you will take her for your bride, ",15,"et si tu la prendras pour épouse, ",
,,,,,"and make her queen, ",16,"et la faire reine, ",
,,,,,I will show you the way out of the wood.,17,Je vous montrerai le chemin pour sortir de la forêt.,
,,,,,"The king consented, because of the difficulty he was in, ",18,"Le roi y consentit, en raison de la difficulté dans laquelle il se trouvait, ",
,,,,,"and the old woman led him into her little house, ",19,"et la vieille femme le conduisit dans sa petite maison, ",
,,,,,and there her daughter was sitting by the fire. ,20,et sa fille était assise près du feu. ,
,,,,,"She received the king just as if she had been expecting him, ",21,"Elle reçut le roi comme si elle l'avait attendu, ",
,,,,,"and though he saw that she was very beautiful, ",22,"et bien qu'il ait vu qu'elle était très belle, ",
,,,,,"she did not please him, ",23,"elle ne lui plaisait pas, ",
,,,,,and he could not look at her without an inward shudder. ,24,et il ne pouvait la regarder sans frémir intérieurement. ,
,,,,,"Nevertheless, ",25,"Néanmoins, ",
,,,,,"he took the maiden before him on his horse, ",26,"il emmena la jeune fille devant lui sur son cheval, ",
,,,,,"and the old woman showed him the way, ",27,"et la vieille femme lui a montré le chemin, ",
,,,,,"and soon he was in his royal castle again, where the wedding was held.",28,"et il est bientôt de retour dans son château royal, où se déroule le mariage.",
,,,,,"The king had been married before, ",29,"Le roi avait déjà été marié, ",
,,,,,"and his first wife had left seven children, ",30,"et sa première femme avait laissé sept enfants, ",
,,,,,"six boys and one girl, ",31,"six garçons et une fille, ",
,,,,,"whom he loved better than all the world, ",32,"qu'il aimait plus que tout au monde, ",
,,,,,"and as he was afraid the step-mother might not behave well to them, ",33,"et parce qu'il craignait que la belle-mère ne se comporte pas bien avec eux, ",
,,,,,"and perhaps would do them some mischief, ",34,"et leur ferait peut-être du tort, ",
,,,,,he took them to a lonely castle standing in the middle of a wood. ,35,Il les emmène dans un château isolé au milieu d'une forêt. ,
,,,,,"There they remained hidden, ",36,"Ils y sont restés cachés, ",
