FR,GLOSS_LSF,GENERATED_LSF,TENSE,GLOSS_LSFB,EN,NUM,GENERATED_FR,GENERATED_EN
Il était une fois un roi et une reine. ,UNE FOIS UN ROI UNE REINE,FOIS ROI REINE ,['Imp'],,"In times past there lived a king and queen,",1,,
"Chaque jour ils se disaient: Ah! si seulement nous avions un enfant. Mais d'enfant, point. ",TOUS JOURS EUX DIRE AH SI NOUS AVOIR ENFANT MAIS EUX PAS D'ENFANT,JOUR DIRE AH SEULEMENT ENFANT AVOIR ENFANT POINT ,['Pres']['Pres'],,"who said to each other every day of their lives, Would that we had a child! and yet they had none.",2,,
"Un jour que la reine était au bain, ",UN JOUR REINE DANS BAIN,JOUR REINE BAIN ,['Imp'],,"But it happened once that when the queen was bathing,",3,,
une grenouille bondit hors de l'eau ,GRENOUILLE EAU BONDIR HORS,GRENOUILLE BONDIT EAU ,<unk>,,"there came a frog out of the water,",4,,
"et il s'est accroupi sur le sol,",GRENOUILLE SOL ACCROUPIR,SOL ACCROUPI ,['Pres']['Past'],,"and he squatted on the ground,",5,,
et lui dit: Ton voeu sera exaucé. ,GRENOUILLE DIRE TON VOEUX EXAUCER,DIRE TON VOEU EXAUCE ,['Pres']['Past']['Fut']['Past'],,and said to her: Thy wish shall be fulfilled;,6,,
"Avant qu'une année ne soit passée, ",UN AN PAS ENCORE PASSE,ANNEE NE PASSEE ,['Pres']['Past'],,"before a year has gone by,",7,,
tu mettras une fillette au monde.,TOI NAITRE FILLE,TOI METTRAS FILLETTE MONDE ,<unk>,,thou shalt bring a daughter into the world.,8,,
Ce que la grenouille avait prédit arriva.,GRENOUILLE DIRE CA ARRIVER,GRENOUILLE PREDIT ARRIVA ,['Imp']['Past']['Past'],,"And as the frog foretold, so it happened;",9,,
La reine donna le jour à une fille. Elle était si belle que le roi ne se tenait plus de joie.,REINE NAITRE FILLE ELLE TELLEMENT BELLE ROI PAS CONTENIR SA JOIE,REINE JOUR FILLE DONNER SI BELLE ROI NE PLUS JOIE TENIR ,['Past']['Imp']['Imp'],,"and the queen bore a daughter so beautiful that the king could not contain himself for joy,",10,,
Il organisa une grande fête.,ROI ORGANISER GRANDE FETE,GRANDE FETE ORGANISER ,['Pres'],,and he ordained a great feast.,11,,
"Il ne se contenta pas d'y inviter ses parents, ses amis et connaissances,",LUI INVITER SES PARENTS NON AUSSI SES AMIS SES CONNAISSANCE PLEIN GENS,NE PAS PARENTS CONTENTER INVITER AMIS CONNAISSANCES ,,,"Not only did he bid to it his relations, friends, and acquaintances,",12,,
mais aussi des fées afin qu'elles fussent favorables à l'enfant.,MAIS AUSSI FEE POUR L'ENFANT,AUSSI FEES FUSSENT FAVORABLES ENFANT ,<unk>,,"but also the wise women, that they might be kind and favourable to the child.",13,,
Il y en avait treize dans son royaume.,DANS ROYAUME LA TREIZE FEE,ROYAUME AVOIR ,['Imp'],,"There were thirteen of them in his kingdom,",14,,
"Mais, comme il ne possédait que douze assiettes d'or pour leur servir un repas,",MAIS ROI AVOIR QUE DOUZE ASSIETE OR POUR SERVIR REPAS,NE QUE ASSIETTES OR REPAS POSSEDER SERVIR ,['Imp'],,"but as he had only provided twelve golden plates for them to eat from,",15,,
l'une d'elles ne fut pas invitée.,ALORS UNE FEE PAS INVITER,NE PAS INVITEE ,['Past']['Past'],,one of them had to be left out.,16,,
La fête fut magnifique.,FETE MAGNIFIQUE,FETE MAGNIFIQUE ,['Past'],,"However, the feast was celebrated with all splendour;",17,,
"Alors qu'elle touchait à sa fin,",PRESQUE FETE FINIR,ALORS FIN TOUCHER ,['Imp'],,"and as it drew to an end, ",18,,
"les fées offrirent à l'enfant de fabuleux cadeaux: l'une la vertu, l'autre la beauté, la troisième la richesse ",FEE OFFRIR BEAUX CADEAUX ENFANT UNE FEE OFFRIR VERTU AUTRE FEE OFFRIR BEAUTE TROISIEME OFFRIR RICHESSE,FEES OFFRIRENT ENFANT FABULEUX CADEAUX VERTU BEAUTE TROISIEME RICHESSE ,<unk>,,"the wise women stood forward to present to the child their wonderful gifts: one bestowed virtue, one beauty, a third riches, ",19,,
"et ainsi de suite, tout ce qui est désirable au monde. ",AINSI DE SUITE TOUTE CHOSE SOUHAITER DANS MONDE,AINSI SUITE TOUT DESIRABLE MONDE ,['Pres'],,"and so on, whatever there is in the world to wish for. ",20,,
"Comme onze des fées venaient d'agir ainsi, ",COMME LES ONZE FEE FAIRE MEME CHOSE,FEES VENAIENT AINSI AGIR ,,,"And when eleven of them had said their say, ",21,,
la treizième survint tout à coup. ,TREIZIEME ARRIVER D'UN COUP,TREIZIEME TOUT SURVENIR COUP ,['Pres'],,"in came the uninvited thirteenth, ",22,,
Elle voulait se venger de n'avoir pas été invitée. ,ELLE VOULOIR VENGER ELLE PAS INVITER,PAS VOULOIR VENGER INVITEE ,['Imp']['Past']['Past'],,"burning to revenge herself, ",23,,
"Sans saluer quiconque, ",SANS DIRE BONJOUR,SALUER ,,,"and without greeting or respect, ",24,,
"elle s'écria d'une forte voix: La fille du roi, dans sa quinzième année, se piquera à un fuseau et tombera raide morte. ",ELLE CRIER VOIX FORTE FILLE ROI ELLE QUAND QUINZE ANS ELLE PIQUER ELLE TOMBER RAIDE MORTE,FORTE VOIX ECRIER FILLE ROI QUINZIEME ANNEE FUSEAU PIQUER RAIDE MOURIR ,['Past']['Fut']['Fut']['Past']['Pres'],,she cried with a loud voice: In the fifteenth year of her age the princess shall prick herself with a spindle and shall fall down dead.,25,,
Puis elle quitta la salle. ,ELLE PARTIR,SALLE QUITTER ,['Pres'],,And without speaking one more word she turned away and left the hall. ,26,,
Tout le monde fut fort effrayé. ,TOUT MONDE CHOQUE,TOUT MONDE FORT EFFRAYE ,['Past']['Past'],,"Every one was terrified at her saying, ",27,,
"La douzième des fées, celle qui n'avait pas encore formé son voeu, s'avança alors. ",DOUZIEME FEE ELLE PAS ENCORE DIRE SON VOEUX AVANCER BEBE,DOUZIEME FEES PAS ENCORE VOEU FORME ALORS AVANCER ,['Imp']['Past'],,"when the twelfth came forward, for she had not yet bestowed her gift, ",28,,
"Et comme elle ne pouvait pas annuler le mauvais sort, ",ELLE PAS POUVOIR ANNULER MAUVAIS SORT,NE PAS MAUVAIS POUVOIR ANNULER SORT ,['Imp']['Past'],,"and though she could not do away with the evil prophecy, ",29,,
"mais seulement le rendre moins dangereux, ",MAIS POUVOIR RENDRE MOINS DANGEREUX,SEULEMENT MOINS DANGEREUX RENDRE ,,,"yet she could soften it, ",30,,
"elle dit: Ce ne sera pas une mort véritable, ",ELLE DIRE PAS VERITABLE MORT,DIRE NE PAS MORT VERITABLE ,['Pres']['Fut'],,"so she said: The princess shall not die, ",31,,
seulement un sommeil de cent années dans lequel sera plongée la fille du roi.,UNIQUEMENT SOMMEIL CENT ANS FILLE ROI ELLE DORMIR,SEULEMENT SOMMEIL CENT ANNEES FILLE ROI PLONGEE ,['Fut']['Past'],,but fall into a deep sleep for a hundred years.,32,,
"Le roi, ",ROI,ROI ,<unk>,,"Now the king, ",33,,
"qui aurait bien voulu préserver son enfant adorée du malheur, ",LUI VOULOIR PROTEGER SON ENFANT ADORER MALHEUR VA LUI ARRIVER,BIEN ENFANT MALHEUR VOULU PRESERVER ADOREE ,['Pres']['Past']['Past'],,"being desirous of saving his child even from this misfortune, ",34,,
ordonna que tous les fuseaux fussent brûlés dans le royaume. ,LUI ORDONNER TOUTES AIGUILLE DANS ROYAUME BRULER,TOUS FUSEAUX FUSSENT ROYAUME ORDONNER BRULES ,['Past'],,gave commandment that all the spindles in his kingdom should be burnt up. ,35,,
"Cependant, tous les dons que lui avaient donnés les fées s'épanouissaient chez la jeune fille. ",MAIS TOUS DONS FEE DONNER FILLE S'EPANOUIR,CEPENDANT TOUS DONS FEES JEUNE FILLE DONNES EPANOUIR ,['Imp']['Past']['Imp'],,"The maiden grew up, adorned with all the gifts of the wise women; ",36,,
"Elle était si belle, si vertueuse, si gentille et si raisonnable que tous ceux qui la voyaient l'aimaient. ",ELLE TELLEMENT BELLE VERTUEUSE GENTILLE RAISONNABLE TOUTES PERSONNES LA VOIR L'AIMER,SI BELLE VERTUEUSE GENTILLE RAISONNABLE TOUS AIMAIENT VOIR ,['Imp']['Imp'],,"and she was so lovely, modest, sweet, and kind and clever, that no one who saw her could help loving her. ",37,,
"Il advint que le jour de sa quinzième année, ",PREVU JOUR ANNIVERSAIRE QUINZE ANS,JOUR QUINZIEME ANNEE ADVENIR ,['Pres'],,"It happened one day, she being already fifteen years old, ",38,,
le roi et la reine quittèrent leur demeure. ,ROI REINE QUITTER LEUR DOMICILE,ROI REINE DEMEURE ,['Pres'],,"that the king and queen rode abroad, ",39,,
