FR,GLOSS_LSF,GENERATED_LSF,TENSE,GLOSS_LSFB,EN,NUM,GENERATED_FR,GENERATED_EN
,,,,,"There was once a forester who went into the forest to hunt, ",1,"Il était une fois un forestier qui se rendait dans la forêt pour chasser, ",
,,,,,and as he entered it he heard a sound of screaming as if a little child were there. ,2,"et en y entrant, il entendit un cri comme si un petit enfant s'y trouvait. ",
,,,,,"He followed the sound, ",3,"Il a suivi le son, ",
,,,,,"and at last came to a high tree, ",4,"et arriva enfin à un grand arbre, ",
,,,,,"and at the top of this a little child was sitting, ",5,"et au sommet de celle-ci, un petit enfant était assis, ",
,,,,,"for the mother had fallen asleep under the tree with the child, ",6,"car la mère s'était endormie sous l'arbre avec l'enfant, ",
,,,,,"and a bird of prey had seen it in her arms, had flown down, ",7,"et un oiseau de proie l'avait vu dans ses bras et s'était envolé, ",
,,,,,"snatched it away, ",8,"l'a arraché, ",
,,,,,and set it on the high tree.,9,et le posa sur l'arbre le plus haut.,
,,,,,"The forester climbed up, brought the child down, and thought to himself, ",10,"Le forestier est monté, a fait descendre l'enfant et s'est dit, ",
,,,,,"Thou wilt take him home with thee, and bring him up with thy Lina. ",11,Tu l'emmèneras chez toi et tu l'élèveras avec ta Lina. ,
,,,,,"He took it home, therefore, and the two children grew up together. ",12,Il l'a donc ramenée à la maison et les deux enfants ont grandi ensemble. ,
,,,,,"The one, however, which he had found on a tree was called Fundevogel, because a bird had carried it away. ",13,"Celui qu'il avait trouvé sur un arbre s'appelait Fundevogel, parce qu'un oiseau l'avait emporté. ",
,,,,,Fundevogel and Lina loved each other so dearly that when they did not see each other they were sad.,14,"Fundevogel et Lina s'aimaient tellement que lorsqu'ils ne se voyaient pas, ils étaient tristes.",
,,,,,"The forester, however, had an old cook, who one evening took two pails and began to fetch water, ",15,"Le forestier avait cependant un vieux cuisinier qui, un soir, prit deux seaux et commença à aller chercher de l'eau, ",
,,,,,"and did not go once only, but many times, out to the spring. ",16,"et n'est pas allé une seule fois, mais plusieurs fois, à la source. ",
,,,,,"Lina saw this and said, ",17,"Lina a vu cela et a dit, ",
,,,,,"Hark you, old Sanna, why are you fetching so much water? ",18,"Écoute, vieille Sanna, pourquoi vas-tu chercher tant d'eau ? ",
,,,,,"If thou wilt never repeat it to anyone, ",19,"Si tu ne le répètes jamais à personne, ",
,,,,,I will tell thee why. ,20,Je vais te dire pourquoi. ,
,,,,,"So Lina said, no, she would never repeat it to anyone, ",21,"Lina a donc dit que non, elle ne le répéterait jamais à personne, ",
,,,,,"and then the cook said, ",22,"et le cuisinier a dit, ",
,,,,,"Early to-morrow morning, when the forester is out hunting, ",23,"Demain matin de bonne heure, lorsque le forestier sera parti à la chasse, ",
,,,,,"I will heat the water, and when it is boiling in the kettle, ",24,"Je vais faire chauffer l'eau, et quand elle est bouillante, je la mets dans la bouilloire, ",
,,,,,"I will throw in Fundevogel, and will boil him in it.",25,Je vais ajouter du Fundevogel et le faire bouillir.,
,,,,,"Betimes next morning the forester got up and went out hunting, ",26,"Dès le lendemain matin, le forestier se lève et part à la chasse, ",
,,,,,and when he was gone the children were still in bed. ,27,"et quand il est parti, les enfants étaient encore au lit. ",
,,,,,"Then Lina said to Fundevogel, ",28,"Lina dit alors à Fundevogel, ",
,,,,,"If thou wilt never leave me, ",29,"Si tu ne me quittes jamais, ",
,,,,,I too will never leave thee. ,30,"Moi non plus, je ne te quitterai jamais. ",
,,,,,"Fundevogel said, Neither now, nor ever will I leave thee. ",31,Fundevogel a dit : Je ne te quitterai ni maintenant ni jamais. ,
,,,,,"Then said Lina, Then I will tell thee. ",32,Lina dit : Je vais te le dire. ,
,,,,,"Last night, old Sanna carried so many buckets of water into the house that I asked her why she was doing that, ",33,"Hier soir, la vieille Sanna a transporté tellement de seaux d'eau dans la maison que je lui ai demandé pourquoi elle faisait cela, ",
,,,,,"and she said that if I would promise not to tell any one she would tell me, ",34,"et elle m'a dit que si je lui promettais de ne rien dire à personne, elle me le dirait, ",
,,,,,"and I said I would be sure not to tell any one, ",35,"et j'ai dit que je m'assurerais de ne le dire à personne, ",
,,,,,"and she said that early to-morrow morning when father was out hunting, ",36,"et elle l'a dit tôt demain matin, alors que papa était parti à la chasse, ",
,,,,,"she would set the kettle full of water, ",37,"elle mettait la bouilloire pleine d'eau, ",
,,,,,throw thee into it and boil thee; ,38,te jeter dedans et te faire bouillir ; ,
,,,,,"but we will get up quickly, dress ourselves, ",39,"mais nous nous lèverons rapidement, nous nous habillerons, ",
,,,,,and go away together.,40,et s'en vont ensemble.,
,,,,,"The two children therefore got up, dressed themselves quickly, ",41,"Les deux enfants se lèvent donc, s'habillent rapidement, ",
,,,,,"and went away. When the water in the kettle was boiling, ",42,"et s'en alla. Quand l'eau de la bouilloire a commencé à bouillir, ",
,,,,,the cook went into the bed-room to fetch Fundevogel and throw him into it.,43,la cuisinière alla chercher Fundevogel dans la chambre à coucher pour l'y jeter.,
,,,,,"But when she came in, and went to the beds, ",44,"Mais lorsqu'elle est entrée et qu'elle s'est dirigée vers les lits, ",
,,,,,both the children were gone. ,45,les deux enfants étaient partis. ,
,,,,,"Then she was terribly alarmed, and she said to herself, ",46,"Elle fut alors terriblement alarmée, et elle se dit , ",
,,,,,What shall I say now when the forester comes home and sees that the children are gone? ,47,Que dirai-je maintenant lorsque le forestier rentrera à la maison et constatera que les enfants sont partis ? ,
,,,,,They must be followed instantly to get them back again.,48,Ils doivent être suivis instantanément pour les récupérer.,
,,,,,"Then the cook sent three servants after them, who were to run and overtake the children. ",49,"Le cuisinier envoya trois serviteurs après eux, qui devaient courir et rattraper les enfants. ",
,,,,,"The children, however, were sitting outside the forest, ",50,"Les enfants, eux, étaient assis à l'extérieur de la forêt, ",
,,,,,"and when they saw from afar the three servants running, ",51,"et ils virent de loin les trois serviteurs qui couraient, ",
,,,,,"Lina said to Fundevogel, ",52,"dit Lina à Fundevogel, ",
,,,,,"Never leave me, and I will never leave thee. ",53,"Ne me quitte jamais, et je ne te quitterai jamais. ",
,,,,,"Fundevogel said, Neither now, nor ever. ",54,"Fundevogel a dit : ""Ni maintenant, ni jamais"". ",
,,,,,"Then said Lina, ",55,"dit alors Lina, ",
,,,,,"Do thou become a rose-tree, and I the rose upon it. ",56,"Deviens un rosier, et moi la rose sur le rosier. ",
,,,,,"When the three servants came to the forest, nothing was there but a rose-tree and one rose on it, ",57,"Lorsque les trois serviteurs arrivèrent dans la forêt, il n'y avait rien d'autre qu'un rosier et une rose dessus, ",
,,,,,but the children were nowhere. ,58,mais les enfants n'étaient nulle part. ,
,,,,,"Then said they, There is nothing to be done here, ",59,"Ils dirent alors : Il n'y a rien à faire ici, ",
,,,,,and they went home and told the cook that they had seen nothing in the forest but a little rose-bush with one rose on it.,60,Ils rentrèrent chez eux et dirent à la cuisinière qu'ils n'avaient rien vu d'autre dans la forêt qu'un petit rosier avec une rose dessus.,
,,,,,"Then the old cook scolded and said, ",61,"Le vieux cuisinier gronda et dit, ",
,,,,,"You simpletons, you should have cut the rose-bush in two, ",62,"Vous êtes des idiots, vous auriez dû couper le rosier en deux, ",
,,,,,and have broken off the rose and brought it home with you; ,63,et vous avez cassé la rose et l'avez ramenée chez vous ; ,
,,,,,"go, and do it once. ",64,"aller, et le faire une fois. ",
,,,,,They had therefore to go out and look for the second time. ,65,Ils ont donc dû sortir et chercher pour la deuxième fois. ,
,,,,,"The children, however, saw them coming from a distance. ",66,"Les enfants, eux, les ont vus arriver de loin. ",
,,,,,"Then Lina said, Fundevogel, never leave me, and I will never leave thee. ",67,"Lina dit alors : Fundevogel, ne me quitte jamais, et je ne te quitterai jamais. ",
,,,,,"Fundevogel said, Neither now, nor ever. Said Lina, ",68,"Fundevogel dit : Ni maintenant, ni jamais. dit Lina, ",
,,,,,"Then do thou become a church, and I'll be the chandelier in it. ",69,"Alors tu deviendras une église, et j'en serai le chandelier. ",
,,,,,"So when the three servants came, nothing was there but a church, with a chandelier in it. ",70,"Lorsque les trois serviteurs arrivèrent, il n'y avait rien d'autre qu'une église avec un lustre. ",
,,,,,"They said therefore to each other, ",71,"Ils se sont donc dit l'un à l'autre, ",
,,,,,"What can we do here, let us go home. ",72,"Que pouvons-nous faire ici, rentrons à la maison. ",
,,,,,"When they got home, the cook asked if they had not found them; ",73,"Lorsqu'ils sont rentrés à la maison, le cuisinier leur a demandé s'ils ne les avaient pas trouvés ; ",
,,,,,"so they said no, they had found nothing but a church, ",74,"Ils ont répondu que non, qu'ils n'avaient rien trouvé d'autre qu'une église, ",
,,,,,and that there was a chandelier in it. ,75,et qu'il y avait un lustre à l'intérieur. ,
,,,,,"And the cook scolded them and said, You fools! why did you not pull the church to pieces, ",76,"Le cuisinier les réprimanda et leur dit : Insensés, pourquoi n'avez-vous pas mis l'église en pièces ? ",
,,,,,and bring the chandelier home with you? ,77,et ramener le lustre à la maison ? ,
,,,,,"And now the old cook herself got on her legs, and went with the three servants in pursuit of the children. ",78,La vieille cuisinière se mit sur ses jambes et partit avec les trois domestiques à la poursuite des enfants. ,
,,,,,"The children, however, saw from afar that the three servants were coming, ",79,"Mais les enfants virent de loin que les trois serviteurs arrivaient, ",
,,,,,and the cook waddling after them. ,80,et le cuisinier qui les suit en se dandinant. ,
,,,,,"Then said Lina, Fundevogel, never leave me, and I will never leave thee. ",81,"Lina dit alors : Fundevogel, ne me quitte jamais, et je ne te quitterai jamais. ",
,,,,,"Then said Fundevogel, Neither now, nor ever. Said Lina, ",82,"Fundevogel dit : Ni maintenant, ni jamais. dit Lina, ",
,,,,,"Be a fishpond, and I will be the duck upon it. ",83,"Soyez un étang à poissons, et je serai le canard qui s'y trouve. ",
,,,,,"The cook, however, came up to them, ",84,"Mais le cuisinier s'est approché d'eux, ",
,,,,,"and when she saw the pond she lay down by it, ",85,"et quand elle a vu l'étang, elle s'est couchée près de lui, ",
,,,,,and was about to drink it up. ,86,et s'apprêtait à le boire. ,
,,,,,"But the duck swam quickly to her, ",87,"Mais le canard nage rapidement vers elle, ",
,,,,,"seized her head in its beak and drew her into the water, ",88,"a saisi sa tête dans son bec et l'a entraînée dans l'eau, ",
,,,,,and there the old witch had to drown. ,89,et c'est là que la vieille sorcière a dû se noyer. ,
,,,,,"Then the children went home together, ",90,"Puis les enfants sont rentrés ensemble à la maison, ",
,,,,,"and were heartily delighted, ",91,"et ont été ravis, ",
,,,,,"and if they are not dead, they are living still.",92,"et s'ils ne sont pas morts, ils sont encore vivants.",
