FR,GLOSS_LSF,GENERATED_LSF,TENSE,GLOSS_LSFB,EN,NUM,GENERATED_FR,GENERATED_EN
,,,,,"A King had a daughter who was beautiful beyond all measure, ",1,"Un roi avait une fille d'une beauté inouïe, ",
,,,,,but so proud and haughty withal that no suitor was good enough for her. ,2,mais si fière et si hautaine qu'aucun prétendant n'était assez bien pour elle. ,
,,,,,"She sent away one after the other, ",3,"Elle les a renvoyés les uns après les autres, ",
,,,,,and ridiculed them as well.,4,et les a également ridiculisés.,
,,,,,"Once the King made a great feast and invited thereto, ",5,"Un jour, le roi fit un grand festin et y invita les convives, ",
,,,,,"from far and near, all the young men likely to marry. ",6,"de loin en loin, tous les jeunes gens susceptibles de se marier. ",
,,,,,They were all marshalled in a row according to their rank and standing; ,7,Ils ont tous été alignés en fonction de leur rang et de leur position ; ,
,,,,,"first came the kings, then the grand-dukes, ",8,"d'abord les rois, puis les grands-ducs, ",
,,,,,"then the princes, the earls, the barons, and the gentry. ",9,"puis les princes, les comtes, les barons et la noblesse. ",
,,,,,"Then the King's daughter was led through the ranks, ",10,"La fille du roi est ensuite conduite dans les rangs, ",
,,,,,but to every one she had some objection to make; ,11,mais à chacun d'eux elle avait une objection à faire ; ,
,,,,,"one was too fat, ",12,"L'un d'eux était trop gros, ",
,,,,,"The wine-cask, she said. Another was too tall, ",13,"Le tonneau de vin, dit-elle. Un autre était trop grand, ",
,,,,,Long and thin has little in. ,14,Les longs et minces n'ont pas beaucoup de place. ,
,,,,,"The third was too short, Short and thick is never quick. ",15,Le troisième était trop court. Court et épais n'est jamais rapide. ,
,,,,,"The fourth was too pale, As pale as death. ",16,"Le quatrième était trop pâle, pâle comme la mort. ",
,,,,,"The fifth too red, A fighting-cock. ",17,"Le cinquième, trop rouge, est un coq de combat. ",
,,,,,"The sixth was not straight enough, ",18,"Le sixième n'était pas assez droit, ",
,,,,,A green log dried behind the stove.,19,Une bûche verte sèche derrière le poêle.,
,,,,,"So she had something to say against every one, ",20,"Elle avait donc quelque chose à dire contre chacun d'entre eux, ",
,,,,,"but she made herself especially merry over a good king who stood quite high up in the row, ",21,"mais elle s'est surtout réjouie d'un bon roi qui se tenait assez haut dans la rangée, ",
,,,,,and whose chin had grown a little crooked. ,22,et dont le menton s'est un peu déformé. ,
,,,,,"Well, she cried and laughed, ",23,"Elle a pleuré et ri, ",
,,,,,he has a chin like a thrush's beak! ,24,il a un menton comme le bec d'une grive ! ,
,,,,,and from that time he got the name of King Thrushbeard.,25,et c'est à partir de ce moment-là qu'il reçut le nom de roi Barbe-de-Faucon.,
,,,,,"But the old King, when he saw that his daugher did nothing but mock the people, ",26,"Mais le vieux roi, voyant que sa fille ne faisait que se moquer du peuple, ",
,,,,,"and despised all the suitors who were gathered there, ",27,"et méprisa tous les prétendants qui s'y trouvaient, ",
,,,,,"was very angry, and swore that she should have for her husband the very first beggar that came to his doors.",28,fut très en colère et jura qu'elle aurait pour mari le premier mendiant qui se présenterait à sa porte.,
,,,,,"A few days afterwards a fiddler came and sang beneath the windows, trying to earn a small alms. ",29,"Quelques jours plus tard, un violoniste vint chanter sous les fenêtres, essayant de gagner une petite aumône. ",
,,,,,"When the King heard him he said, Let him come up. ",30,Le roi l'entendit et dit : Qu'il monte ! ,
,,,,,"So the fiddler came in, in his dirty, ragged clothes, ",31,"Le violoniste entra donc, dans ses vêtements sales et en lambeaux, ",
,,,,,"and sang before the King and his daughter, and when he had ended he asked for a trifling gift. ",32,"et chanta devant le roi et sa fille, et lorsqu'il eut terminé, il demanda un cadeau insignifiant. ",
,,,,,"The King said, Your song has pleased me so well that I will give you my daughter there, to wife.",33,Le roi dit : Ton chant m'a si bien plu que je te donnerai ma fille pour femme.,
,,,,,"The King's daughter shuddered, ",34,"La fille du roi frémit, ",
,,,,,"but the King said, I have taken an oath to give you to the very first beggar-man, ",35,"mais le roi dit : J'ai fait le serment de te donner au premier mendiant, ",
,,,,,and I will keep it. ,36,et je le garderai. ,
