FR,GLOSS_LSF,GENERATED_LSF,TENSE,GLOSS_LSFB,EN,NUM,GENERATED_FR,GENERATED_EN
Cela se passait en plein hiver,HISTOIRE DEROULER PENDANT HIVER,,,,"It was the middle of winter,",1,,
et les flocons de neige tombaient du ciel comme un duvet léger.,FLOCON NEIGE TOMBER CIEL COMME LEGER DUVET,,,,"and the snow-flakes were falling like feathers from the sky,",2,,
Une reine était assise à sa fenêtre encadrée de bois d'ébène et cousait.,REINE ASSOIRE FENETRE ENCADRE BOIS EBENE ELLE COUDRE,,,,"and a queen sat at her window working, and her embroidery-frame was of ebony.",3,,
"Tout en tirant l'aiguille, elle regardait voler les blancs flocons.",TIRER AIGUILLE ELLE REGARDER FLOCONS BLANC VOLER,,,,"And as she worked, gazing at times out on the snow,",4,,
Elle se piqua au doigt et trois gouttes de sang tombèrent sur la neige.,PIQUER DOIGTS TROIS GOUTTES SANG TOMBER SUR NEIGE,,,,"she pricked her finger, and there fell from it three drops of blood on the snow.",5,,
Ce rouge sur ce blanc faisait si bel effet.,ROUGE SUR BLANC BEAU,,,,"And when she saw how bright and red it looked,",6,,
Elle se dit:,REINE SE DIRE,,,,"she said to herself,",7,,
"Si seulement j'avais un enfant aussi blanc que la neige,",SI MOI AVOIR ENFANT BLANC COMME NEIGE,,,,"Oh that I had a child as white as snow,",8,,
"aussi rouge que le sang,",ROUGE COMME SANG,,,,"as red as blood,",9,,
aussi noir que le bois de ma fenêtre!,NOIR COMME BOIS MA FENETRE,,,,and as black as the wood of the embroidery frame!,10,,
"Peu de temps après, une fille lui naquit;",QUELQUES TEMPS APRES FILLE NAITRE,,,,"Not very long after she had a daughter,",11,,
"elle était blanche comme neige,",BLANCHE COMME NEIGE,,,,"with a skin as white as snow,",12,,
lèvres rouge comme sang,LEVRE ROUGE COMME SANG,,,,"lips as red as blood,",13,,
et ses cheveux étaient noirs comme de l'ébène.,SES CHEVEUX NOIR COMME EBENE,,,,"and hair as black as ebony,",14,,
On l'appela Blanche-Neige.,SON NOM BLANCHE NEIGE,,,,and she was named Snow-white.,15,,
Mais la reine mourut en lui donnant le jour.,REINE MOURIR QUAND NAITRE FILLE,,,,And when she was born the queen died.,16,,
"Au bout d'une année, le roi épousa une autre femme. ",UN AN APRES ROI EPOUSER AUTRE FEMME,,,,"After a year had gone by the king took another wife,",17,,
Elle était très belle; ,NOUVELLE FEMME BELLE,,,,"a beautiful woman,",18,,
mais elle était fière et vaniteuse ,MAIS ELLE FIERE VANITEUSE,,,,"but proud and overbearing,",19,,
et ne pouvait souffrir que quelqu'un la surpassât en beauté. ,ELLE SOUFFRIR SI QUELQU'UN PLUS BELLE QU'ELLE,,,,and she could not bear to be surpassed in beauty by any one.,20,,
Elle possédait un miroir magique. ,ELLE AVOIR MIROIR MAGIQUE,,,,"She had a magic looking-glass,",21,,
Quand elle s'y regardait en disant:,QUAND SE REGARDER ELLE DIRE,,,,"and she used to stand before it, and look in it, and say,",22,,
"Miroir, miroir joli,",MIROIR MIROIR JOLI,,,,"Looking-glass upon the wall,",23,,
Qui est la plus belle au pays?,QUI PLUS BELLE PERSONNE DANS PAYS ?,,,,Who is fairest of us all?,24,,
Le miroir répondait:,MIROIR REPONDRE,,,,"And the looking-glass would answer,",25,,
"Madame la reine, vous êtes la plus belle au pays.",MADAME REINE VOUS PLUS BELLE DU PAYS,,,,You are fairest of them all.,26,,
Et elle était contente. ,ELLE CONTENTE,,,,"And she was contented, ",27,,
Elle savait que le miroir disait la vérité. ,ELLE SAVOIR MIROIR DIRE VERITE ,,,,she knew that the looking-glass spoke the truth.,28,,
"Blanche-Neige, cependant, grandissait et devenait de plus en plus belle. ",BLANCHE NEIGE ELLE GRANDIR DEVENIR BELLE BELLE,,,,"Now, Snow-white was growing prettier and prettier,",29,,
Quand elle eut atteint ses sept ans elle était déjà plus jolie que le jour ,QUAND AVOIR SEPT ANS ELLE PLUS JOLIE QUE JOUR,,,,"and when she was seven years old she was as beautiful as day,",30,,
et plus belle que la reine elle-même. ,PLUS BELLE QUE REINE ELLE-MÊME,,,,far more so than the queen herself.,31,,
Un jour que celle-ci demandait au miroir:,UN JOUR REINE DEMANDER MIROIR,,,,"So one day when the queen went to her mirror and said,",32,,
"Miroir, ho mon beau miroir,",MIROIR OH MON BEAU MIROIR,,,,"Looking-glass upon the wall,",33,,
Qui est la plus belle au pays?,QUI PLUS BELLE PERSONNE DANS PAYS ?,,,,Who is fairest of us all?,34,,
Celui-ci répondit:,MIROIR REPONDRE,,,,"It answered,",35,,
"Madame la reine, vous êtes incroyablement belle.",MADAME REINE VOUS INCRAYBLEMENT BELLE,,,,"Queen, you are full fair, it's true,",36,,
Mais Blanche-Neige est encore mille fois plus belle.,MAIS BLANCHE NEINGE MILLE FOIS PLUS BELLE,,,,But Snow-white fairer is than you.,37,,
La reine en fut épouvantée. ,REINE CHOQUEE,,,,"This gave the queen a great shock,",38,,
Elle devint jaune et verte de jalousie. ,DEVENIR JAUNE VERTE JALOUSE,,,,"and she became yellow and green with envy,",39,,
"A partir de là, chaque fois qu'elle apercevait Blanche-Neige, son coeur se retournait dans sa poitrine tant elle éprouvait de haine à son égard. ",PARTIR CE MOMENT CHAQUE FOIS ELLE VOIR BLANCHE NEIGE SON CŒUR SERRER CAR HAINE JALOUSIE D'ELLE,,,,"and from that hour her heart turned against Snow-white, and she hated her.",40,,
La jalousie et l'orgueil croissaient en elle comme mauvaise herbe. ,JALOUSIE FIERTE POUSSER COMME MAUVAISE HERBE,,,,"And envy and pride like ill weeds grew in her heart higher every day,",41,,
"Elle en avait perdu le repos, le jour et la nuit. ",REINE SOUCI SOUCI PAS DORMIR ,,,,until she had no peace day or night.,42,,
Elle fit venir un chasseur et lui dit:,ELLE APPELER CHASSEUR DIRE,,,,"At last she sent for a huntsman, and said,",43,,
Emmène l'enfant dans la forêt! ,TOI AMENER ENFANT DANS FORET,,,,"Take the child out into the woods,",44,,
je ne veux plus la voir. ,MOI PAS VOULOIR VOIR,,,,so that I may set eyes on her no more.,45,,
Tue-la ,TOI TUER ELLE,,,,"You must put her to death,",46,,
et rapporte-moi son coeur pour preuve de sa mort.,AMENER SON CŒUR PREUVE ELLE MORTE,,,,and bring me her heart for a token.,47,,
Le chasseur obéit et conduisit Blanche-Neige dans le bois. ,CHASSEUR OBEIR AMENER BLANCHE NEIGE DANS BOIS,,,,"The huntsman consented, and led her away;",48,,
"Mais quand il eut dégainé son poignard pour en percer son coeur innocent, ",QUAND CHASSEUR DEGAINER POIGNARD POUR PLANTER DANS SON CŒUR,,,,"but when he drew his cutlass to pierce Snow-white's innocent heart,",49,,
elle se mit à pleurer et dit:,ELLE PLEURER PLEURER DIRE,,,,"she began to weep, and to say,",50,,
"0, cher chasseur, laisse-moi la vie! ",S'IL TE PLAIT CHASSEUR LAISSER MOI VIVRE,,,,"Oh, dear huntsman, do not take my life;",51,,
je m'enfoncerai au plus profond de la forêt ,MOI ALLER DANS FORET AU FOND,,,,"I will go away into the wild wood,",52,,
et ne rentrerai jamais à la maison.,MOI JAMAIS RENTRER MA MAISON,,,,and never come home again.,53,,
"Et parce qu'elle était belle, le chasseur eut pitié d'elle et dit:",ELLE BELLE CHASSEUR PITIE ELLE LUI DIRE,,,,"And as she was so lovely the huntsman had pity on her, and said, ",54,,
"Sauve-toi, pauvre enfant!",SAUVER TOI PAUVRE ENFANT,,,,"Away with you then, poor child;",55,,
Les bêtes de la forêt auront tôt fait de la dévorer! songeait-il. ,LUI PENSER ANIMAUX FORET MANGER ELLE,,,,"for he thought the wild animals would be sure to devour her,",56,,
"Et malgré tout, il se sentait soulagé de ne pas avoir dû la tuer. ",MAIS QUAND MEME SOULAGER PAS TUER ELLE,,,,and it was as if a stone had been rolled away from his heart when he spared to put her to death.,57,,
Un marcassin passait justement. ,BEBE SANGLIER PASSER PAR HASARD MEME MOMENT,,,,"Just at that moment a young wild boar came running by,",58,,
"Il le tua de son poignard, prit son coeur ",TUER AVEC POIGNARD PRENDRE SON CŒUR,,,,"so he caught and killed it, and taking out its heart,",59,,
et les apporta à la reine comme preuves de la mort de Blanche-Neige.,APPORTER REINE CŒUR DU BEBE SANGLIER POUR PREUVE MORT BLANCHE NEIGE,,,,he brought it to the queen for a token.,60,,
Le cuisinier reçut ordre de le cuisiner ,REINE ORDONER CHEF CUISINER CŒUR,,,,"And it was salted and cooked,",61,,
"et la méchante femme les mangea, ",MECHANTE FEMME MANGER,,,,"and the wicked woman ate it up,",62,,
s'imaginant que s'en était fini de Blanche-Neige.,ELLE IMAGINER FINI BLANCHE NEIGE ENFIN DEBARRASSER,,,,thinking that there was an end of Snow-white.,63,,
"La pauvre petite, elle, était au milieu des bois, toute seule. ",PAUVRE PETITE ELLE SEULE MILIEU BOIS ,,,,"Now, when the poor child found herself quite alone in the wild woods,",64,,
Sa peur était si grande qu'elle regardait toutes les feuilles de la forêt sans savoir ce qu'elle allait devenir.,BLANCHE NEIGE TRES PEUR ELLE REGARDER FEUILLE FORET SANS SAVOIR ELLE DEVENIR QUOI,,,,"she felt full of terror, even of the very leaves on the trees, and she did not know what to do for fright.",65,,
Elle se mit à courir sur les cailloux pointus et à travers les épines. ,EPINE SOL ELLE COURIR SU CAILLOUX POINTU EVITER EPINE,,,,"Then she began to run over the sharp stones and through the thorn bushes,",66,,
"Les bêtes sauvages bondissaient autour d'elle, ",ANIMAUX SAUVAGE BONDIR AUTOUR ELLE,,,,"and the wild beasts after her,",67,,
mais ne lui faisaient aucun mal. ,MAIS PAS TOUCHER ELLE PAS LA BLESSER,,,,but they did her no harm.,68,,
"Elle courut jusqu'au soir, aussi longtemps que ses jambes purent la porter. ",ELLE COURIR JUSQU'AU SOIR LONGTEMPS JUSQU’À SES JAMBE PLUS POUVOIR LA PORTER,,,,She ran as long as her feet would carry her;,69,,
Elle aperçut alors une petite maisonnette et y pénétra pour s'y reposer. ,ELLE VOIR PETITE MAISON ENTRER POUR REPOSER,,,,"and when the evening drew near she came to a little house, and she went inside to rest.",70,,
"Dans la maisonnette, tout était minuscule, gracieux et propre. ",DANS PETITE MAISON DEDANS TOUT PETIT OBJET PETIT TOUT MINUSCULE PROPRE,,,,"Everything there was very small, but as pretty and clean as possible.",71,,
"On y voyait une petite table couverte d'une nappe blanche, ",VOIR PETITE TABLE COUVERTE NAPPE BLANCHE,,,,"There stood the little table ready laid, and covered with a white cloth,",72,,
"avec sept petites assiettes et sept petites cuillères, ",SEPT PETITES ASSIETTE SEPT PETITES CUILLIERES,,,,"and seven little plates, and seven small spoons, ",73,,
"sept petites fourchettes et sept petits couteaux, et aussi sept petits gobelets. ",SEPT PETITES FOURCHETTES SEPT PETITS COUTEAUX AUSSI SEPT PETITS GOBELETS,,,,"and seven knives and forks, and drinking-cups.",74,,
"Contre le mur, il y avait sept petits lits alignés les uns à côté des autres ",MUR CONTRE SEPT PETITS LITS ALIGNE COTE A COTE,,,,"By the wall stood seven little beds, side by side,",75,,
et recouverts de draps tout blancs.,TOUS RECOUVERT DRAP BLANC,,,,covered with clean white quilts.,76,,
"Blanche-Neige avait si faim et si soif, ",BLANCHE NEIGE FAIM SOIF,,,,"Snow-white, being very hungry and thirsty,",77,,
