FR,GLOSS_LSF,GENERATED_LSF,TENSE,GLOSS_LSFB,EN,NUM,GENERATED_FR,GENERATED_EN
,,,,,"There were once three brothers who had fallen deeper and deeper into poverty, ",1,"Il était une fois trois frères qui s'enfonçaient de plus en plus dans la pauvreté, ",
,,,,,"and at last their need was so great that they had to endure hunger, ",2,"et enfin leur besoin était si grand qu'ils devaient supporter la faim, ",
,,,,,"and had nothing to eat or drink. Then said they, ",3,"et n'avaient rien à manger ni à boire. Ils dirent alors , ",
,,,,,"We cannot go on thus, we had better go into the world and seek our fortune. ",4,"Nous ne pouvons pas continuer ainsi, nous ferions mieux d'aller dans le monde et de chercher fortune. ",
,,,,,"They therefore set out, and had already walked over many a long road and many a blade of grass, ",5,"Ils se mirent donc en route et avaient déjà parcouru de nombreux chemins et de nombreux brins d'herbe, ",
,,,,,but had not yet met with good luck. ,6,mais n'a pas encore eu de chance. ,
,,,,,"One day they arrived in a great forest, ",7,"Un jour, ils arrivèrent dans une grande forêt, ",
,,,,,"and in the midst of it was a hill, ",8,"au milieu de laquelle se trouvait une colline, ",
,,,,,and when they came nearer they saw that the hill was all silver. ,9,"et quand ils s'approchèrent, ils virent que la colline était toute argentée. ",
,,,,,"Then spoke the eldest, ",10,"L'aîné prit alors la parole, ",
,,,,,"Now I have found the good luck I wished for, and I desire nothing more. ",11,J'ai trouvé la chance que je souhaitais et je ne désire rien de plus. ,
,,,,,"He took as much of the silver as he could possibly carry, ",12,"Il a pris autant d'argent qu'il pouvait en porter, ",
,,,,,and then turned back and went home again. ,13,puis a fait demi-tour et est retourné chez lui. ,
,,,,,"But the two others said, ",14,"Mais les deux autres ont dit, ",
,,,,,"We want something more from good luck than mere silver, ",15,"Nous attendons de la chance quelque chose de plus que de l'argent, ",
,,,,,"and did not touch it, but went onwards. ",16,"et n'y toucha pas, mais continua à avancer. ",
,,,,,"After they had walked for two days longer without stopping, ",17,"Après avoir marché deux jours de plus sans s'arrêter, ",
,,,,,they came to a hill which was all gold. ,18,ils arrivèrent à une colline toute en or. ,
,,,,,"The second brother stopped, took thought with himself, and was undecided. ",19,"Le deuxième frère s'arrêta, réfléchit et resta indécis. ",
,,,,,What shall I do? said he; ,20,Que dois-je faire ? dit-il ; ,
,,,,,"shall I take for myself so much of this gold, ",21,"je prendrai pour moi une telle quantité de cet or, ",
,,,,,"that I have sufficient for all the rest of my life, or shall I go farther? ",22,"que j'ai en suffisance pour le reste de ma vie, ou dois-je aller plus loin ? ",
,,,,,"At length he made a decision, ",23,"Il finit par prendre une décision, ",
,,,,,"and putting as much into his pockets as would go in, said farewell to his brother, and went home. ",24,"et, mettant dans ses poches tout ce qui pouvait y entrer, il dit adieu à son frère et rentra chez lui. ",
,,,,,"But the third said, Silver and gold do not move me, ",25,"Le troisième dit : L'argent et l'or ne m'émeuvent pas, ",
,,,,,"I will not renounce my chance of fortune, ",26,"Je ne renoncerai pas à ma chance, ",
,,,,,perhaps something better still will be given me. ,27,peut-être me donnera-t-on quelque chose de mieux encore. ,
,,,,,"He journeyed onwards, and when he had walked for three days, ",28,"Il se mit en route, et après trois jours de marche, ",
,,,,,"he got into a forest which was still larger than the one before, ",29,"il est entré dans une forêt encore plus grande que la précédente, ",
,,,,,"and never would come to an end, ",30,"et ne s'arrêtera jamais, ",
,,,,,"and as he found nothing to eat or to drink, he was all but exhausted. ",31,"et comme il ne trouvait rien à manger ni à boire, il était presque épuisé. ",
,,,,,"Then he climbed up a high tree to find out if up there he could see the end of the forest, ",32,"Puis il a grimpé sur un grand arbre pour voir si, là-haut, il pouvait apercevoir la fin de la forêt, ",
,,,,,but so far as his eye could pierce he saw nothing but the tops of trees. ,33,"mais aussi loin que son œil pouvait percer, il ne voyait rien d'autre que des cimes d'arbres. ",
,,,,,"Then he began to descend the tree again, ",34,"Puis il recommence à descendre de l'arbre, ",
,,,,,"but hunger tormented him, and he thought to himself, ",35,"mais la faim le tenaillait, et il se disait, ",
,,,,,If I could but eat my fill once more! ,36,Si je pouvais manger encore une fois à ma faim ! ,
,,,,,"When he got down he saw with astonishment a table beneath the tree richly spread with food, ",37,"Lorsqu'il descendit, il vit avec étonnement une table sous l'arbre, richement garnie de nourriture, ",
,,,,,the steam of which rose up to meet him. ,38,dont la vapeur s'élevait à sa rencontre. ,
,,,,,"This time, said he, my wish has been fulfilled at the right moment. ",39,"Cette fois, dit-il, mon souhait a été exaucé au bon moment. ",
,,,,,"And without inquiring who had brought the food, or who had cooked it, ",40,"Et sans demander qui avait apporté la nourriture ou qui l'avait préparée, ",
,,,,,"he approached the table, and ate with enjoyment until he had appeased his hunger. ",41,il s'approcha de la table et mangea avec plaisir jusqu'à ce qu'il ait apaisé sa faim. ,
,,,,,"When he was done, he thought, ",42,"Lorsqu'il a terminé, il s'est dit, ",
,,,,,"It would after all be a pity if the pretty little table-cloth were to be spoilt in the forest here, ",43,"Après tout, il serait dommage que la jolie petite nappe soit abîmée dans la forêt, ",
,,,,,and folded it up tidily and put it in his pocket. ,44,Il l'a plié et l'a mis dans sa poche. ,
,,,,,"Then he went onwards, and in the evening, when hunger once more made itself felt, ",45,"Puis il continua, et le soir, quand la faim se fit à nouveau sentir, ",
,,,,,"he wanted to make a trial of his little cloth, ",46,"il voulait faire l'essai de son petit tissu, ",
,,,,,"and spread it out and said, ",47,"et l'a étalée en disant , ",
,,,,,"I wish thee to be covered with good cheer again, ",48,"Je souhaite que tu sois à nouveau couvert de bonne humeur, ",
