FR,GLOSS_LSF,GENERATED_LSF,TENSE,GLOSS_LSFB,EN,NUM,GENERATED_FR,GENERATED_EN
"Il était une fois un meunier qui vivait pauvrement,",,FOIS MEUNIER PAUVREMENT VIVRE ,['Imp']['Imp'],,"There was once a miller who was poor, ",1,,"Once upon a time there was a miller who lived in poverty,"
mais dont la fille était fort belle.,,FILLE FORT BELLE ,['Imp'],,but he had one beautiful daughter. ,2,,but whose daughter was very beautiful.
"Or il arriva un jour que le meunier eut à parler au roi,",,JOUR MEUNIER ROI ARRIVER AVOIR PARLER ,['Pres']['Past'],,"It happened one day that he came to speak with the king, ",3,,"One day, the miller had to talk to the king,"
"pour se donner de l'importance, ",,IMPORTANCE DONNER ,,,"to give himself consequence, ",4,,"to make himself look important, "
lui dit: J'ai une fille capable de filer la paille et d'en tirer du fil d'or pur.,,DIRE FILLE CAPABLE PAILLE FIL PUR AVOIR FILER TIRER ,['Pres']['Pres'],,he told him that he had a daughter who could spin gold out of straw. ,5,,said to him: I have a daughter capable of spinning straw into pure gold thread.
"Voilà un art qui me plait, dit le roi; ",,ART VOILA PLER ROI DIRE ,['Imp']['Pres'],,The king said to the miller: That is an art that pleases me well; ,6,,"Here is an art which pleases me, said the king; "
"et si ta fille est aussi habile que tu le dis, ",,FILLE AUSSI HABILE DIS ,['Pres'],,"if thy daughter is as clever as you say, ",8,,and if your daughter is as skilled as you say she is 
conduis-la demain au château que je la voie à l'oeuvre. ,,CONDUIS DEMAIN CHATEAU VOIE OEUVRE ,<unk>,,"bring her to my castle to-morrow, that I may put her to the proof.",9,,bring her to the castle tomorrow and let me see her at work. 
"Le lendemain, quand la jeune fille fut devant lui, ",,LENDEMAIN JEUNE FILLE ,['Past'],,"When the girl was brought to him, ",11,,"The next day, when the girl was in front of him, "
"le roi la conduisit aussitôt dans une pièce toute emplie de paille, ",,ROI AUSSITOT PIECE EMPLIE PAILLE CONDUIRE ,['Pres'],,"he led her into a room that was quite full of straw, ",12,,"the king led her at once into a room full of straw, "
"lui montra le rouet,",,ROUET MONTRER ,['Past'],,"and gave her a wheel and spindle, ",13,,"showed her the spinning wheel,"
"et lui dit: A présent, au travail!",,DIRE PRESENT TRAVAIL ,['Pres'],,"and said: Now set to work, ",14,,"and said to her: ""Now get to work!"
"Et si d'ici demain matin tu ne m'as pas filé en or toute cette paille, il te faudra mourir! ",,ICI DEMAIN MATIN TOI NE PAS TOUTE PAILLE FILE FALLOIR MOURIR ,['Past']['Fut'],,and if by the early morning thou hast not spun this straw to gold thou shalt die. ,15,,"And if by tomorrow morning you have not spun all this straw into gold, you must die! "
"Le roi s'en alla sur ces mots, ferma lui-même la porte sur elle et la laissa seule.",,ROI MOTS ALLER PORTE LAISSA SEULE ,['Past'],,"And he shut the door himself, and left her there alone. ",16,,"With these words, the king went away, closed the door on her himself and left her alone."
La malheureuse fille pensa qu'elle était perdue,,MALHEUREUSE FILLE PENSA PERDUE ,['Past']['Imp']['Past'],,"And so the poor miller's daughter was left there sitting, and could not think what to do for her life: ",17,,The unfortunate girl thought she was lost
car elle ignorait tout d'un art qui eût permit de filer de l'or avec de la paille.,,TOUT ART PERMIT OR PAILLE IGNORER FILER ,['Imp']['Pres'],,"she had no notion how to set to work to spin gold from straw, ",18,,for she knew nothing of an art that would have allowed her to spin gold from straw.
"Alors, elle se mit à pleurer;",,ALORS METTRE PLEURER ,['Past'],,and her distress grew so great that she began to weep. ,19,,Then she began to cry;
"soudain, la porte s'ouvrit",,SOUDAIN PORTE OUVRIR ,['Imp'],,"Then all at once the door opened, ",20,,"suddenly, the door opened"
et un petit lutin entra en disant:,,PETIT LUTIN ENTRA DISANT ,['Pres'],,"and in came a little man, who said: ",21,,and a small imp entered while saying:
