FR,GLOSS_LSF,GENERATED_LSF,TENSE,GLOSS_LSFB,EN,NUM,GENERATED_FR,GENERATED_EN
Il y avait une fois deux fils de roi qui ,,,,,,1,,There once were two sons of a king who
s'en allèrent chercher les aventures et ,,,,,,2,,went in search of adventure and
"se jetèrent dans les dérèglements et la dissipation, ",,,,,,3,,"threw themselves into disorder and dissipation,"
si bien qu'ils ne revinrent pas à la maison paternelle. ,,,,,,4,,so they didn't return to their father's house.
"Leur frère cadet, ",,,,,,5,,"Their younger brother,"
"qu'on appelait le petit nigaud, ",,,,,,6,,"called the little nincompoop,"
se mit à leur recherche; ,,,,,,7,,set out to find them;
"mais, quand il les eut retrouvés, ",,,,,,8,,"but when he found them,"
"ils se moquèrent de lui, ",,,,,,9,,"they laughed at him,"
"qui, dans sa simplicité, ",,,,,,10,,"which, in its simplicity,"
prétendait se diriger dans un monde ,,,,,,11,,claimed to be heading into a world
"où ils s'étaient perdus tous deux, ",,,,,,12,,"where they had both lost their way,"
eux qui avaient bien plus d'esprit que lui.,,,,,,13,,who had far more spirit than he.
"S'étant mis ensemble en chemin, ",,,,,,14,,"Having set off together,"
ils rencontrèrent une fourmilière. ,,,,,,15,,they came across an anthill.
Les deux aînés voulaient la bouleverser ,,,,,,16,,The two elders wanted to upset her
"pour s'amuser de l'anxiété des petites fourmis, ",,,,,,17,,"to make fun of the little ants' anxiety,"
et les voir courir de tous côtés ,,,,,,18,,and see them running around
en emportant leurs oeufs; ,,,,,,19,,taking their eggs with them;
mais le petit nigaud leur dit: ,,,,,,20,,but the little nincompoop tells them:
"Laissez en paix ces animaux, ",,,,,,21,,"Leave these animals in peace,"
je ne souffrirai pas qu'on les trouble.,,,,,,22,,I won't let them be disturbed.
Plus loin ils trouvèrent un lac sur lequel nageaient ,,,,,,23,,Further on they found a lake on which were swimming
je ne sais combien de canards. ,,,,,,24,,I don't know how many ducks.
Les deux aînés en voulaient prendre un couple pour les faire rôtir; ,,,,,,25,,The two eldest wanted to take a couple to roast;
mais le jeune s'y opposa en disant; ,,,,,,26,,"but the young man objected, saying;"
Laissez en paix ces animaux; ,,,,,,27,,Leave these animals in peace;
je ne souffrirai pas qu'on les tue.,,,,,,28,,I won't let them be killed.
"Plus loin encore ils aperçurent dans un arbre un nid d'abeilles, ",,,,,,29,,"Further on, they spotted a bees' nest in a tree,"
